Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
2,0,0.4965221,1.338205,0.01057152,0.2941315,-0.4521589,0.2025285,-0.8173257
2,0.01111111,0.4920781,1.342446,0.008589029,0.2927518,-0.4464541,0.2058319,-0.8201271
2,0.02222222,0.4920781,1.342446,0.008589029,0.2927518,-0.4464541,0.2058319,-0.8201271
2,0.03333334,0.4891447,1.34801,0.00556092,0.2950687,-0.4361444,0.2125779,-0.823118
2,0.04444445,0.4825979,1.355731,0.001115568,0.3055223,-0.4210556,0.2140428,-0.8267732
2,0.05555556,0.4787285,1.359768,-0.001529783,0.3132337,-0.4136228,0.2105639,-0.828531
2,0.06666667,0.4691877,1.369517,-0.008404888,0.3334116,-0.3986874,0.1939265,-0.8320322
2,0.07777778,0.4616287,1.376004,-0.01327699,0.3501828,-0.3909694,0.1774441,-0.8324833
2,0.08888889,0.4534546,1.383177,-0.01955651,0.369389,-0.3831933,0.160797,-0.8311793
2,0.1,0.445644,1.389664,-0.02587845,0.3865485,-0.3748739,0.1483723,-0.829479
2,0.1111111,0.445644,1.389664,-0.02587845,0.3865485,-0.3748739,0.1483723,-0.829479
2,0.1222222,0.4270606,1.403634,-0.04347534,0.4289504,-0.3579467,0.1279062,-0.8194606
2,0.1333333,0.4178718,1.409276,-0.05309544,0.450305,-0.3506573,0.1219942,-0.8120235
2,0.1444445,0.4086681,1.414699,-0.06219375,0.4703543,-0.3438364,0.1153797,-0.8045065
2,0.1555556,0.3981865,1.418199,-0.0731435,0.4916056,-0.3398126,0.1137144,-0.7936752
2,0.1666667,0.3880883,1.421639,-0.08252239,0.511504,-0.3348614,0.1102839,-0.7836255
2,0.1777778,0.3783833,1.423096,-0.09270862,0.5315125,-0.3311113,0.1112998,-0.7716684
2,0.1888889,0.3783833,1.423096,-0.09270862,0.5315125,-0.3311113,0.1112998,-0.7716684
2,0.2,0.3635142,1.424094,-0.1099855,0.5623026,-0.3229096,0.1160203,-0.752386
2,0.2111111,0.3541096,1.421214,-0.1220581,0.580684,-0.3193314,0.1197942,-0.7392449
2,0.2222222,0.3471262,1.41916,-0.1314837,0.595461,-0.3173625,0.1204185,-0.7281529
2,0.2333333,0.3402898,1.414248,-0.1402203,0.607716,-0.3178581,0.1206127,-0.7177048
2,0.2444444,0.3349601,1.4088,-0.1476954,0.6193225,-0.3197424,0.1199064,-0.7069845
2,0.2555556,0.3349601,1.4088,-0.1476954,0.6193225,-0.3197424,0.1199064,-0.7069845
2,0.2666667,0.3277048,1.394642,-0.1566344,0.6434799,-0.3327053,0.1110044,-0.6803814
2,0.2777778,0.3254295,1.386617,-0.1586678,0.6546588,-0.3382767,0.1093088,-0.6671149
2,0.2888889,0.3233368,1.379704,-0.1614813,0.6652994,-0.3409726,0.1100636,-0.6549813
2,0.3,0.3245969,1.371142,-0.1614224,0.6710372,-0.3425862,0.1174074,-0.6469616
2,0.3111111,0.3247105,1.363679,-0.1621646,0.676011,-0.3453298,0.1233751,-0.6391674
2,0.3222222,0.3268397,1.356398,-0.1611764,0.6762834,-0.3478099,0.1328395,-0.6356279
2,0.3333333,0.3293264,1.349519,-0.1606958,0.6758046,-0.3528247,0.1411372,-0.6315721
2,0.3444445,0.3354474,1.343891,-0.1584036,0.6670765,-0.361295,0.1520125,-0.6335354
2,0.3555556,0.3401407,1.33845,-0.1561165,0.6613863,-0.3681034,0.1615642,-0.6332179
2,0.3666667,0.3468394,1.333789,-0.1535051,0.6537186,-0.376053,0.1722464,-0.6336933
2,0.3777778,0.3555946,1.332154,-0.1484572,0.6412078,-0.3851029,0.1883463,-0.6364543
2,0.3888889,0.3639041,1.329669,-0.1445963,0.6312113,-0.3925974,0.2041956,-0.6369802
2,0.4,0.3735408,1.328575,-0.1390392,0.6201134,-0.3985704,0.2233713,-0.6377354
2,0.4111111,0.3842039,1.328787,-0.1334482,0.6119607,-0.3995671,0.243098,-0.6377724
2,0.4222222,0.3953663,1.328215,-0.126751,0.6076851,-0.394595,0.26357,-0.6368237
2,0.4333333,0.4067701,1.328789,-0.1201442,0.6059555,-0.3869839,0.283504,-0.6345762
2,0.4444444,0.4180613,1.328552,-0.1127657,0.6035319,-0.3809574,0.3017619,-0.632108
2,0.4555556,0.4180613,1.328552,-0.1127657,0.6035319,-0.3809574,0.3017619,-0.632108
2,0.4666667,0.4405048,1.331001,-0.09761793,0.5999804,-0.3679852,0.3309918,-0.6285338
2,0.4777778,0.4514752,1.332465,-0.08966982,0.5959101,-0.3680252,0.3383192,-0.6284813
2,0.4888889,0.4615261,1.334674,-0.08051825,0.588275,-0.3811884,0.3300148,-0.6322328
2,0.5,0.4724827,1.336781,-0.07184074,0.5811809,-0.3876455,0.329557,-0.6350999
2,0.5111111,0.4813082,1.339261,-0.06322328,0.5718243,-0.3925234,0.3288882,-0.6409172
2,0.5222223,0.4901514,1.342089,-0.05431011,0.562574,-0.3928314,0.3355526,-0.6454444
2,0.5333334,0.4963524,1.345721,-0.04563193,0.552514,-0.390037,0.3482383,-0.649099
2,0.5444446,0.502807,1.349545,-0.0371208,0.5444347,-0.3853466,0.3627369,-0.6507847
2,0.5555557,0.502807,1.349545,-0.0371208,0.5444347,-0.3853466,0.3627369,-0.6507847
2,0.5666668,0.5107323,1.3572,-0.01786079,0.5288129,-0.3796628,0.3805271,-0.6568198
2,0.577778,0.5141467,1.360416,-0.007791281,0.521347,-0.3782574,0.3841487,-0.6614745
2,0.5888891,0.5158645,1.362866,0.002487116,0.5143283,-0.3756975,0.3829503,-0.6690791
2,0.6000003,0.5184014,1.365847,0.01250313,0.5059353,-0.3718672,0.3810677,-0.6786248
2,0.6111114,0.5192614,1.367579,0.02303221,0.4972796,-0.3665546,0.3776111,-0.689754
2,0.6222225,0.5212726,1.370035,0.03243247,0.488465,-0.3604367,0.3762629,-0.6999383
2,0.6333337,0.5210692,1.37073,0.04312955,0.4790652,-0.3524242,0.3740569,-0.7116005
2,0.6444448,0.5210692,1.37073,0.04312955,0.4790652,-0.3524242,0.3740569,-0.7116005
2,0.655556,0.519245,1.371161,0.06101942,0.4603589,-0.3424063,0.370284,-0.7305597
2,0.6666671,0.5179642,1.371235,0.06710315,0.4529634,-0.3394226,0.3691588,-0.7371147
2,0.6777782,0.5143152,1.369372,0.08365716,0.4330453,-0.3315797,0.3667749,-0.7536597
2,0.6888894,0.5111143,1.36745,0.09411268,0.4189196,-0.3256353,0.3674084,-0.763858
2,0.7000005,0.5078619,1.364309,0.1045916,0.4043297,-0.3190182,0.3695529,-0.7734182
2,0.7111117,0.5045203,1.361074,0.1151996,0.3906418,-0.3119992,0.3711788,-0.7824844
