Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
1,0,0.1538783,1.251017,-0.1078072,0.1409768,0.01483794,-0.9484988,0.2832938
1,0,0.1538783,1.251017,-0.1078072,0.1409768,0.01483794,-0.9484988,0.2832938
1,0.01111111,0.1537018,1.250762,-0.1081602,0.1392606,0.01473741,-0.9476982,0.2868054
1,0.02222222,0.1534943,1.250451,-0.1086173,0.1360669,0.01431879,-0.9472259,0.2899033
1,0.03333334,0.1532206,1.249908,-0.108744,0.1329266,0.01358282,-0.9472603,0.2912797
1,0.04444445,0.1528284,1.24913,-0.1092009,0.128715,0.01220335,-0.9475356,0.2923351
1,0.05555556,0.1525665,1.248313,-0.1092907,0.1243939,0.01002001,-0.947898,0.2931127
1,0.06666667,0.1523712,1.247885,-0.1095262,0.1206443,0.009930961,-0.9477126,0.2952744
1,0.07777778,0.1525613,1.247692,-0.1099357,0.1174794,0.009595305,-0.9473876,0.2975957
1,0.08888889,0.152995,1.247402,-0.1100658,0.1149486,0.008968525,-0.9470807,0.2995737
1,0.1,0.1533279,1.247136,-0.1102161,0.1121596,0.008472748,-0.946807,0.3015045
1,0.1111111,0.1538052,1.246959,-0.1102151,0.1092927,0.008075751,-0.9465677,0.3033142
1,0.1222222,0.1546262,1.246845,-0.1100375,0.1066375,0.007378837,-0.9463794,0.3048607
1,0.1333333,0.1555351,1.246695,-0.1098841,0.104552,0.006744156,-0.9460712,0.3065497
1,0.1444445,0.1569873,1.246807,-0.1096978,0.103504,0.006181143,-0.9458501,0.3075979
1,0.1555556,0.1585575,1.246978,-0.1095341,0.1025621,0.005721655,-0.946045,0.3073225
1,0.1666667,0.1585575,1.246978,-0.1095341,0.1025621,0.005721655,-0.946045,0.3073225
1,0.1777778,0.1614949,1.247433,-0.1093386,0.09874507,0.005711354,-0.9473556,0.3045229
1,0.1888889,0.1629434,1.247776,-0.1091968,0.09550059,0.00651725,-0.9482097,0.3028785
1,0.2,0.1643472,1.248104,-0.109063,0.09159377,0.007694922,-0.9488097,0.3021778
1,0.2111111,0.1663923,1.248548,-0.1088057,0.08589011,0.009103002,-0.9492894,0.3023072
1,0.2222222,0.1672214,1.24877,-0.1087168,0.08232401,0.009904793,-0.9493895,0.3029593
1,0.2333333,0.1682955,1.248976,-0.1086335,0.07893597,0.0106174,-0.9496298,0.3030835
1,0.2444444,0.1698896,1.249277,-0.1084757,0.07379107,0.01156331,-0.9499481,0.3033477
1,0.2555556,0.1717417,1.24969,-0.1084339,0.06892601,0.01237374,-0.9503255,0.3032781
1,0.2666667,0.1737236,1.250008,-0.1083058,0.0642312,0.01281562,-0.9507215,0.3030492
1,0.2777778,0.1758393,1.250335,-0.1082778,0.05958816,0.01272267,-0.9512302,0.3024046
1,0.2888889,0.1780457,1.250373,-0.1082285,0.05419266,0.01285856,-0.951702,0.3019291
