Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
1,0,0.3128558,1.120501,-0.07634625,-0.2802814,0.4094807,-0.5188565,0.6961005
1,0,0.3128558,1.120501,-0.07634625,-0.2802814,0.4094807,-0.5188565,0.6961005
1,0.01111111,0.3129313,1.123913,-0.07061596,0.2918927,-0.405171,0.5040316,-0.7046895
1,0.02222222,0.3128701,1.126534,-0.06562748,0.3012646,-0.4073809,0.4939917,-0.7065781
1,0.03333334,0.3132742,1.12992,-0.05965447,0.3111638,-0.4100773,0.4803219,-0.710144
1,0.04444445,0.3137732,1.133407,-0.05405773,0.3197119,-0.4122159,0.4691489,-0.7125739
1,0.05555556,0.3147073,1.136977,-0.04900295,0.3278752,-0.4121975,0.4614068,-0.7139292
1,0.06666667,0.3156705,1.13999,-0.04458742,0.3341398,-0.4111308,0.4553108,-0.7155517
1,0.07777778,0.3170469,1.143124,-0.04049128,0.339338,-0.4077738,0.4541867,-0.7157406
1,0.08888889,0.3185547,1.14681,-0.03765392,0.341801,-0.4032662,0.4558378,-0.7160729
1,0.1,0.3198162,1.150277,-0.03439867,0.343818,-0.400166,0.4564451,-0.7164595
1,0.1111111,0.3209403,1.153569,-0.03157484,0.3449949,-0.39851,0.456585,-0.7167277
1,0.1222222,0.3216653,1.156317,-0.0289854,0.3443998,-0.3995758,0.455115,-0.7173551
1,0.1333333,0.3211018,1.158824,-0.02507657,0.3446093,-0.4009073,0.4521616,-0.7183785
1,0.1444445,0.3216818,1.161529,-0.02239294,0.3450228,-0.4019713,0.449495,-0.7192583
1,0.1555556,0.3213311,1.164071,-0.01985736,0.3448364,-0.4037765,0.4464735,-0.7202179
1,0.1666667,0.3218114,1.166576,-0.01743155,0.3453898,-0.4044877,0.4441469,-0.7209918
1,0.1777778,0.3215788,1.16858,-0.01555635,0.3463641,-0.403773,0.4443412,-0.7208052
1,0.1888889,0.3218161,1.170638,-0.01409612,0.3473932,-0.4020928,0.4456365,-0.7204496
1,0.2,0.3218713,1.172611,-0.01255833,0.3482297,-0.4013538,0.4460965,-0.720173
1,0.2111111,0.3212475,1.174663,-0.01085564,0.3486615,-0.4007105,0.4471489,-0.7196695
1,0.2222222,0.3209157,1.176326,-0.009943716,0.3492,-0.4002132,0.4482458,-0.7190024
1,0.2333333,0.3204966,1.177936,-0.008972377,0.3491551,-0.3992107,0.4498315,-0.718591
1,0.2444444,0.3202595,1.17951,-0.008392885,0.3490705,-0.3980828,0.4512946,-0.7183405
1,0.2555556,0.319791,1.181054,-0.007718444,0.3490839,-0.3977097,0.4523816,-0.7178568
1,0.2666667,0.3192019,1.182293,-0.006928198,0.3503315,-0.3989415,0.4519172,-0.7168573
1,0.2777778,0.318533,1.183462,-0.006199509,0.3517741,-0.4001061,0.4511718,-0.7159708
1,0.2888889,0.3178163,1.184809,-0.00557445,0.352831,-0.4015273,0.4504443,-0.7151126
1,0.3,0.317223,1.185653,-0.005134225,0.3550078,-0.4019711,0.4516554,-0.713019
1,0.3111111,0.3163978,1.186806,-0.004642248,0.3569285,-0.4002767,0.4552032,-0.7107536
1,0.3222222,0.3159086,1.187698,-0.004539169,0.3583629,-0.3994669,0.4578062,-0.7088128
1,0.3333333,0.3153679,1.188736,-0.004307419,0.3597741,-0.3998442,0.4599645,-0.7064841
1,0.3444445,0.314827,1.189678,-0.004374661,0.3605711,-0.4010614,0.4610879,-0.7046532
1,0.3555556,0.3142873,1.190436,-0.004679635,0.3604567,-0.4017445,0.4622031,-0.7035912
1,0.3666667,0.3137606,1.191395,-0.005066678,0.359827,-0.4030781,0.4626531,-0.7028547
