Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
2,0,0.3300627,0.6782413,0.7826116,-0.1585599,0.1072853,0.5834299,-0.789277
2,0.01111111,0.3304693,0.6776525,0.7821488,-0.1569309,0.1100734,0.5851442,-0.7879484
2,0.02222222,0.330343,0.6770576,0.7814717,-0.1522929,0.1112917,0.5823359,-0.790763
2,0.03333334,0.3292369,0.6772088,0.781535,-0.1477673,0.1089996,0.5784927,-0.7947516
2,0.04444445,0.329465,0.6769118,0.781207,-0.1471464,0.1103685,0.5783719,-0.7947658
2,0.05555556,0.3296154,0.67714,0.7814876,-0.1476542,0.1126591,0.5790652,-0.7938448
2,0.06666667,0.3300034,0.6767068,0.7816879,-0.1496879,0.1148889,0.5795432,-0.7927949
2,0.07777778,0.3301021,0.6766928,0.7820178,-0.1518092,0.1160039,0.5789733,-0.7926455
2,0.08888889,0.3299765,0.6769245,0.7822689,-0.1541801,0.1165382,0.5784671,-0.7924791
2,0.1,0.3300725,0.6768875,0.7827,-0.1565541,0.1174506,0.5785102,-0.7918475
2,0.1111111,0.3302531,0.6772478,0.7829019,-0.159214,0.1183081,0.5795266,-0.7904447
2,0.1222222,0.3304242,0.6774765,0.7830396,-0.1611479,0.1193213,0.5801792,-0.7894211
2,0.1333333,0.3306945,0.6774578,0.7833362,-0.1630087,0.1200396,0.5809785,-0.7883417
2,0.1444445,0.3308725,0.6775357,0.7833533,-0.1639884,0.1202533,0.5813689,-0.787818
2,0.1555556,0.3309539,0.6775559,0.7834544,-0.164735,0.1200918,0.5815559,-0.7875488
2,0.1666667,0.3309493,0.6776363,0.7833132,-0.164928,0.1192004,0.5815527,-0.7876461
2,0.1777778,0.3309712,0.6776673,0.7833201,-0.1654245,0.1183106,0.5818077,-0.7874878
2,0.1888889,0.3311091,0.6776891,0.7834229,-0.1664152,0.1175923,0.5825469,-0.78684
2,0.2,0.330977,0.6778104,0.7836027,-0.1675041,0.1172731,0.5832793,-0.7861136
2,0.2111111,0.3309854,0.6778258,0.7836455,-0.167863,0.1169545,0.5837028,-0.7857702
2,0.2222222,0.331002,0.677816,0.7836975,-0.1682282,0.1167465,0.5838977,-0.7855781
2,0.2333333,0.3310184,0.6778028,0.7836589,-0.1682192,0.1166476,0.5838715,-0.7856142
2,0.2444444,0.3309813,0.6778659,0.7836344,-0.1683626,0.1166689,0.5838078,-0.7856275
2,0.2555556,0.3309382,0.6778892,0.7836298,-0.1684359,0.1166305,0.5838043,-0.7856203
2,0.2666667,0.3309541,0.6778321,0.7835776,-0.1683221,0.1167515,0.5835499,-0.7858157
2,0.2777778,0.3310213,0.6777326,0.7834913,-0.1682629,0.1169119,0.5833052,-0.7859862
2,0.2888889,0.3310452,0.6777366,0.783496,-0.168649,0.1170731,0.5831482,-0.7859958
2,0.3,0.3311326,0.677754,0.7835647,-0.1690914,0.1172115,0.5832239,-0.7858241
2,0.3111111,0.3311736,0.6777571,0.7835675,-0.1693627,0.1174104,0.5831435,-0.7857956
