Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
3,0,0.3303518,0.6778828,0.7822424,-0.157682,0.1106032,0.5835833,-0.7888814
3,0,0.3303518,0.6778828,0.7822424,-0.157682,0.1106032,0.5835833,-0.7888814
3,0.01111111,0.3304619,0.6779556,0.7822422,-0.1581019,0.1136249,0.5836581,-0.7883125
3,0.02222222,0.3306637,0.677699,0.7819213,-0.1575195,0.1147694,0.5815685,-0.789806
3,0.03333334,0.3303963,0.6777486,0.7818211,-0.1561825,0.1159688,0.5793872,-0.7914978
3,0.04444445,0.3304507,0.6778967,0.7818338,-0.1557892,0.1172644,0.5779302,-0.7924491
3,0.05555556,0.3304666,0.6779507,0.7819918,-0.1564102,0.1179896,0.577522,-0.7925166
3,0.06666667,0.3303804,0.6780444,0.7817527,-0.1572316,0.1182983,0.5775209,-0.7923088
3,0.07777778,0.3304015,0.6781381,0.7818238,-0.1577193,0.1180044,0.5773054,-0.7924127
3,0.08888889,0.3302982,0.6780609,0.7817818,-0.1578285,0.1176024,0.5772007,-0.792527
3,0.1,0.3303916,0.6780913,0.7818975,-0.1583839,0.1168358,0.5780606,-0.7919028
3,0.1111111,0.3303663,0.6780391,0.7818799,-0.1589365,0.1158832,0.5792567,-0.7910575
3,0.1222222,0.3302246,0.6780864,0.7819525,-0.1593439,0.1151619,0.5799484,-0.790574
3,0.1333333,0.3303047,0.6781118,0.7820483,-0.1599673,0.114517,0.5809299,-0.7898208
3,0.1444445,0.3303414,0.6780562,0.7820859,-0.1604143,0.1140315,0.5816115,-0.7892985
3,0.1555556,0.3303419,0.6780832,0.7821677,-0.1609242,0.1135613,0.5820403,-0.7889463
3,0.1666667,0.3304461,0.6781738,0.7821849,-0.1613389,0.1132654,0.5823416,-0.7886819
3,0.1777778,0.3304323,0.678184,0.7822469,-0.161816,0.1134484,0.5824584,-0.7884714
3,0.1888889,0.3305754,0.6780711,0.7823032,-0.1623161,0.1140892,0.5824755,-0.7882636
