Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
2,0,0.2658177,0.7221525,0.8227158,0.1967975,-0.05052623,-0.6902034,0.6945049
2,0.01111111,0.2659886,0.7205753,0.8212832,0.1922148,-0.05654239,-0.6938698,0.6916654
2,0.02222222,0.2660297,0.7187594,0.8198145,0.1873662,-0.06395215,-0.6948957,0.6913205
2,0.03333334,0.2663773,0.7163166,0.8188257,0.1834898,-0.07533985,-0.6979662,0.6881123
2,0.04444445,0.2671996,0.7145666,0.8185331,0.182706,-0.08532959,-0.702979,0.6820248
2,0.05555556,0.2683496,0.7125087,0.8181503,0.1825987,-0.09469755,-0.7041371,0.6796183
2,0.06666667,0.2685016,0.7114989,0.8184648,0.1817948,-0.1006984,-0.7053478,0.677713
2,0.07777778,0.2691835,0.7122609,0.8194717,0.1866395,-0.1001948,-0.7084875,0.6731806
2,0.08888889,0.2693712,0.7125849,0.8189154,0.1880169,-0.09910616,-0.7069284,0.6745961
2,0.1,0.2691365,0.713248,0.8183155,0.1878079,-0.09514794,-0.7024991,0.679831
2,0.1111111,0.2691081,0.7134901,0.8174722,0.1872983,-0.09237077,-0.6997975,0.6831329
2,0.1222222,0.2689241,0.7135577,0.8167603,0.1871408,-0.08954388,-0.6977075,0.6856854
2,0.1333333,0.2689406,0.7133713,0.8163168,0.1872743,-0.08734113,-0.6970309,0.6866205
2,0.1444445,0.2688742,0.7131213,0.8158243,0.1872746,-0.08621173,-0.6972366,0.6865544
2,0.1555556,0.2687491,0.7124164,0.8154814,0.1869059,-0.08505237,-0.6986682,0.685343
2,0.1666667,0.268727,0.711841,0.8151177,0.1866016,-0.08413824,-0.6999458,0.6842343
2,0.1777778,0.2688881,0.7104102,0.8144463,0.18676,-0.08422,-0.7037109,0.6803078
2,0.1888889,0.2688881,0.7104102,0.8144463,0.18676,-0.08422,-0.7037109,0.6803078
2,0.2,0.2689884,0.7092756,0.8139412,0.1885331,-0.08366767,-0.7080239,0.675394
2,0.2111111,0.2689055,0.7087314,0.8134371,0.189931,-0.08201562,-0.7100137,0.6731125
2,0.2222222,0.2687436,0.7080745,0.8129181,0.1907065,-0.08040666,-0.7120531,0.6709294
2,0.2333333,0.2686246,0.7076892,0.8124744,0.1911889,-0.07796575,-0.7133968,0.6696515
2,0.2444444,0.2684518,0.7071997,0.8120236,0.1917619,-0.07585105,-0.7144904,0.6685637
2,0.2555556,0.2682771,0.7065663,0.8119501,0.1915341,-0.07442997,-0.7134421,0.6699069
2,0.2666667,0.2678166,0.7062163,0.8119369,0.1916339,-0.07399847,-0.7128352,0.6705719
2,0.2777778,0.267851,0.7056428,0.8118346,0.1918217,-0.0746951,-0.7108756,0.6725183
2,0.2888889,0.2678608,0.7050893,0.8118603,0.192433,-0.07526393,-0.708817,0.6744505
2,0.3,0.267869,0.7048434,0.8118054,0.1933516,-0.07572462,-0.7065279,0.6765348
2,0.3111111,0.267679,0.7046862,0.8117309,0.1943379,-0.0760989,-0.7041928,0.6786415
2,0.3222222,0.2676074,0.7045778,0.8117412,0.1959296,-0.07695121,-0.7017872,0.6805769
2,0.3333333,0.2675862,0.704382,0.8118395,0.1978741,-0.07810675,-0.7007125,0.6809897
2,0.3444445,0.2672154,0.7040106,0.8118701,0.1990998,-0.07918226,-0.7006726,0.6805493
2,0.3555556,0.2669628,0.7035792,0.8118253,0.1998424,-0.0802173,-0.701441,0.6794178
2,0.3666667,0.2666546,0.7032585,0.8118646,0.2007694,-0.0810204,-0.7016766,0.6788056
2,0.3777778,0.2664449,0.702964,0.811875,0.2011117,-0.08187884,-0.7019218,0.6783477
2,0.3888889,0.2662591,0.7027118,0.8119498,0.2013379,-0.08270834,-0.701333,0.6787888
2,0.4,0.2660877,0.7025688,0.8119746,0.2013061,-0.08382214,-0.7001525,0.6798795
2,0.4111111,0.2658449,0.7025505,0.8122804,0.201937,-0.08500303,-0.6995829,0.6801322
2,0.4222222,0.2656451,0.7024248,0.8123996,0.2022869,-0.08597463,-0.6993001,0.6801969
2,0.4333333,0.2654969,0.7021968,0.8126531,0.2022636,-0.08711004,-0.6994231,0.6799327
2,0.4444444,0.2653849,0.7020609,0.8128927,0.2020876,-0.08817485,-0.69959,0.679676
2,0.4555556,0.2651399,0.7019278,0.8129925,0.2019272,-0.08878849,-0.6994056,0.6798337
2,0.4666667,0.2648637,0.7020725,0.8130841,0.2020294,-0.08836107,-0.698772,0.6805102
2,0.4777778,0.2646312,0.7023335,0.8129689,0.2019418,-0.08793908,-0.6980646,0.6813164
2,0.4888889,0.2645435,0.7031144,0.8122028,0.2022232,-0.08551095,-0.6959865,0.6836641
2,0.5,0.2642924,0.703706,0.8118806,0.2026875,-0.08327433,-0.69473,0.685079
2,0.5111111,0.2637695,0.7041149,0.8122212,0.2039969,-0.08115445,-0.694509,0.685169
