Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
8,0,0.2977826,0.6417508,0.7732522,-0.1522418,0.1494557,0.5306903,-0.8202763
8,0.01111111,0.2982754,0.6413299,0.7732629,-0.1516408,0.1532849,0.5297751,-0.8202726
8,0.02222222,0.2980413,0.64103,0.772974,-0.1492239,0.153945,0.5271392,-0.8222879
8,0.03333334,0.2976663,0.6411105,0.7723312,-0.1465379,0.1533127,0.5252706,-0.8240829
8,0.04444445,0.2976364,0.6414372,0.7720177,-0.1448288,0.1531234,0.524533,-0.8248897
8,0.05555556,0.2974722,0.6412894,0.7717026,-0.1436724,0.1519959,0.5241761,-0.8255271
8,0.06666667,0.297208,0.6414331,0.7715415,-0.1431822,0.1507547,0.5239662,-0.8259729
8,0.07777778,0.2971832,0.6414167,0.7715276,-0.1431083,0.1497542,0.5244008,-0.825892
8,0.08888889,0.297275,0.6415719,0.7717632,-0.1448082,0.1490296,0.5265728,-0.8243433
8,0.1,0.2972885,0.6415976,0.7718455,-0.1451986,0.1481882,0.5275072,-0.8238288
8,0.1111111,0.2973132,0.6416433,0.771978,-0.1456712,0.1473717,0.528882,-0.8230098
8,0.1222222,0.2973129,0.6416655,0.7720976,-0.1460364,0.1471282,0.5306194,-0.8218696
8,0.1333333,0.2973984,0.6416863,0.7720523,-0.146271,0.1473385,0.5318656,-0.8209842
8,0.1444445,0.2974659,0.6417302,0.771998,-0.1464863,0.1476212,0.5327769,-0.8203039
8,0.1555556,0.297579,0.64167,0.7718724,-0.1464722,0.1486855,0.5320728,-0.8205712
8,0.1666667,0.2976196,0.6416744,0.7718572,-0.1466439,0.1495148,0.5321077,-0.8203671
8,0.1777778,0.2977004,0.6416934,0.7719997,-0.1472573,0.1506946,0.5324024,-0.8198501
