Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
7,0,0.2976617,0.6417584,0.7729365,-0.1484206,0.1521964,0.5249518,-0.824156
7,0,0.2976617,0.6417584,0.7729365,-0.1484206,0.1521964,0.5249518,-0.824156
7,0.01111111,0.2980531,0.6413586,0.7727984,-0.1481462,0.1551074,0.5236291,-0.8245041
7,0.02222222,0.2985402,0.6409325,0.7726228,-0.1458321,0.1606345,0.5218645,-0.824977
7,0.03333334,0.2979881,0.6414194,0.7722094,-0.1464857,0.1563552,0.5203313,-0.82665
7,0.04444445,0.298115,0.6414376,0.7720647,-0.1466219,0.1566737,0.5199704,-0.8267927
7,0.05555556,0.2981108,0.6414892,0.771938,-0.146922,0.1558225,0.5199889,-0.8268887
7,0.06666667,0.2980551,0.6414185,0.7718171,-0.1467584,0.1544518,0.5200707,-0.8271234
7,0.07777778,0.2981169,0.6414346,0.7718046,-0.1470452,0.1531917,0.5205871,-0.8269819
7,0.08888889,0.2982811,0.6413847,0.7719324,-0.1474585,0.1526085,0.5212416,-0.8266038
7,0.1,0.2985682,0.6413404,0.7720549,-0.1483919,0.1519608,0.5227279,-0.825617
7,0.1111111,0.2982075,0.6416442,0.7723998,-0.1491878,0.151469,0.5238554,-0.8248489
7,0.1222222,0.2984915,0.6415958,0.7725688,-0.1502468,0.1511989,0.5253398,-0.8237614
7,0.1333333,0.2983922,0.6417052,0.7727634,-0.1511061,0.1509715,0.5262215,-0.8230829
7,0.1444445,0.298505,0.641628,0.7729045,-0.1517165,0.150673,0.5269746,-0.8225434
7,0.1555556,0.2985924,0.6416397,0.772963,-0.1523377,0.1504986,0.5275351,-0.8221011
7,0.1666667,0.2986468,0.6416538,0.7729986,-0.1528659,0.1504402,0.5278788,-0.821793
7,0.1777778,0.2986395,0.6416799,0.7730017,-0.15316,0.1502438,0.5279471,-0.8217304
7,0.1888889,0.2986612,0.6416986,0.7730759,-0.1534524,0.149966,0.5280443,-0.821664
7,0.2,0.2985623,0.6417732,0.7730421,-0.1534643,0.1495052,0.5276867,-0.8219756
7,0.2111111,0.2984776,0.6417841,0.7730458,-0.153512,0.1490563,0.5275239,-0.8221526
7,0.2222222,0.2984744,0.6418048,0.7730794,-0.1537912,0.1488512,0.5275998,-0.8220888
7,0.2333333,0.2985795,0.6418332,0.7733054,-0.1545908,0.148915,0.5280217,-0.8216563
7,0.2444444,0.2986097,0.6418411,0.7734518,-0.1552213,0.1487839,0.5283702,-0.8213372
7,0.2555556,0.2987148,0.6418594,0.7735468,-0.1560601,0.1488897,0.52886,-0.8208436
7,0.2666667,0.298946,0.6417292,0.773553,-0.1565974,0.1488956,0.5291764,-0.8205363
7,0.2777778,0.2989503,0.6417376,0.7735285,-0.1566559,0.1488142,0.5291236,-0.8205739
7,0.2888889,0.2987896,0.641808,0.7735531,-0.1564533,0.1486476,0.5290282,-0.8207042
7,0.3,0.2988123,0.6418049,0.7735479,-0.1564107,0.1487255,0.5290933,-0.8206562
7,0.3111111,0.298865,0.6417803,0.7735749,-0.156461,0.1488726,0.5292475,-0.8205205
7,0.3222222,0.2988942,0.641773,0.773586,-0.156555,0.1488743,0.529368,-0.8204246
7,0.3333333,0.2989944,0.6417038,0.7736368,-0.1566203,0.1487074,0.5293874,-0.82043
7,0.3444445,0.299081,0.641645,0.7736527,-0.1567294,0.1486256,0.5295518,-0.8203178
7,0.3555556,0.2990837,0.6416341,0.7736461,-0.1567212,0.1483478,0.5297233,-0.8202589
7,0.3666667,0.2990887,0.6417259,0.7737106,-0.1568854,0.1482836,0.5299031,-0.820123
7,0.3777778,0.2991273,0.6417213,0.7737219,-0.1570375,0.1481897,0.5301213,-0.8199698
7,0.3888889,0.2991214,0.6416979,0.7737352,-0.1571898,0.1480458,0.5302437,-0.8198875
7,0.4,0.2991204,0.6417052,0.773702,-0.157152,0.1479366,0.5302156,-0.8199325
7,0.4111111,0.2990708,0.6416963,0.7736272,-0.1571153,0.1478074,0.5300841,-0.820048
7,0.4222222,0.2990652,0.6416952,0.7735932,-0.1570129,0.1477648,0.5300962,-0.8200674
7,0.4333333,0.2990993,0.6416926,0.7736254,-0.1568342,0.1477703,0.5300337,-0.820141
7,0.4444444,0.2988036,0.6418931,0.773692,-0.1567415,0.1476976,0.5299115,-0.8202507
7,0.4555556,0.2988015,0.6419041,0.7736875,-0.1567357,0.1477972,0.5299,-0.8202415
7,0.4666667,0.2986265,0.6419819,0.7737339,-0.156813,0.1479113,0.5298986,-0.8202069
7,0.4777778,0.2986032,0.6420027,0.7737556,-0.1569059,0.1479029,0.5299217,-0.8201759
7,0.4888889,0.2985803,0.6420829,0.7737704,-0.1570289,0.1480186,0.5299715,-0.8200991
7,0.5,0.2985546,0.6421168,0.7737902,-0.1571691,0.1480321,0.5299597,-0.8200775
7,0.5111111,0.2986056,0.6420697,0.7737321,-0.1571671,0.1480184,0.5300135,-0.8200455
7,0.5222223,0.298645,0.6420737,0.7736996,-0.1572212,0.1480079,0.5300435,-0.8200178
7,0.5333334,0.2986922,0.6420258,0.7736536,-0.157201,0.1479735,0.5300781,-0.8200054
7,0.5444446,0.2988168,0.641892,0.7736388,-0.1571824,0.1480899,0.5301008,-0.8199733
7,0.5555557,0.2988185,0.6418894,0.7736141,-0.1570792,0.1480128,0.5302572,-0.8199058
7,0.5666668,0.2990713,0.6417885,0.7735367,-0.1570385,0.1479484,0.5303029,-0.8198957
7,0.577778,0.2991015,0.6418013,0.7734788,-0.1569395,0.1477315,0.5303424,-0.8199282
7,0.5888891,0.2991825,0.6417258,0.773508,-0.1569385,0.1475733,0.5304173,-0.8199084
7,0.6000003,0.2992105,0.6417163,0.773517,-0.1570267,0.1475785,0.5306255,-0.8197559
7,0.6111114,0.2992584,0.6416582,0.7735706,-0.1570968,0.1475903,0.5308142,-0.8196182
7,0.6222225,0.2992713,0.6416622,0.7735732,-0.1571541,0.1475244,0.5309114,-0.8195561
7,0.6333337,0.2992838,0.6416427,0.7735887,-0.1572113,0.1474606,0.530866,-0.819586
7,0.6444448,0.2991505,0.6416838,0.7736587,-0.1572916,0.1474131,0.5308708,-0.8195761
7,0.655556,0.2991401,0.6416895,0.7736554,-0.1573336,0.1473077,0.5308089,-0.8196271
7,0.6666671,0.2991241,0.6417153,0.7736852,-0.1573433,0.1472362,0.5307465,-0.8196784
7,0.6777782,0.2991453,0.6417028,0.7737027,-0.1574172,0.1472642,0.5307912,-0.8196302
7,0.6888894,0.2991552,0.6416992,0.7737467,-0.1575409,0.1471999,0.530812,-0.8196046
7,0.7000005,0.2990934,0.6417211,0.7737994,-0.1575956,0.1472412,0.5308691,-0.8195496
7,0.7111117,0.2991216,0.6416953,0.7737582,-0.1575952,0.1472624,0.5309645,-0.8194841
7,0.7222228,0.2992168,0.6416845,0.7737206,-0.1576644,0.1471716,0.5310286,-0.8194456
7,0.7333339,0.2993013,0.6416276,0.7737285,-0.1578334,0.1471474,0.5311515,-0.8193378
7,0.7444451,0.299384,0.6416256,0.7738057,-0.1579843,0.1471518,0.5312678,-0.8192325
7,0.7555562,0.2993956,0.6416332,0.7738318,-0.1581488,0.1472364,0.5313919,-0.8191051
7,0.7666674,0.2994485,0.6416021,0.7738118,-0.1582001,0.147246,0.53144,-0.8190624
7,0.7777785,0.299465,0.6416066,0.7738048,-0.158284,0.1471589,0.5314207,-0.8190742
7,0.7888896,0.2994801,0.6415757,0.773834,-0.1581952,0.1470968,0.5314349,-0.8190932
7,0.8000008,0.2993768,0.6416305,0.7738855,-0.1582876,0.1470414,0.5314379,-0.8190835
7,0.8111119,0.2993743,0.6416301,0.7738693,-0.1583175,0.1470746,0.531462,-0.8190562
7,0.8222231,0.2994139,0.6416062,0.7738496,-0.1583824,0.1471066,0.5315028,-0.8190113
7,0.8333342,0.29933,0.6416613,0.7738532,-0.1584582,0.1471066,0.5314651,-0.819021
7,0.8444453,0.2993194,0.6417137,0.7738904,-0.1585553,0.1470692,0.5314394,-0.8190258
7,0.8555565,0.2993414,0.6417037,0.7739014,-0.1586339,0.1471344,0.531505,-0.8189561
7,0.8666676,0.2993398,0.6416859,0.7739017,-0.1587035,0.1471392,0.5314721,-0.8189632
7,0.8777788,0.2993714,0.6416717,0.7738979,-0.1587436,0.147139,0.53149,-0.8189439
7,0.8888899,0.2994087,0.641643,0.7739137,-0.1588054,0.1471309,0.5315401,-0.8189008
7,0.900001,0.2993936,0.641627,0.7739193,-0.1587869,0.1470569,0.5315329,-0.8189223
7,0.9111122,0.2993555,0.6416975,0.7739592,-0.1588184,0.147106,0.5315982,-0.8188649
7,0.9222233,0.2993883,0.6416885,0.7739763,-0.1589202,0.1471891,0.5317159,-0.818754
7,0.9333345,0.2992854,0.6417907,0.7740584,-0.1591558,0.1472921,0.5317971,-0.8186368
7,0.9444456,0.2992865,0.6417773,0.7740614,-0.1591249,0.1473943,0.5317959,-0.8186253
7,0.9555568,0.299243,0.6417274,0.7740302,-0.1590451,0.147413,0.5316846,-0.8187097
7,0.9666679,0.2992491,0.6417876,0.774,-0.159104,0.1474681,0.531747,-0.8186477
7,0.977779,0.2992702,0.6417855,0.7739794,-0.1591819,0.1474165,0.5316993,-0.8186729
7,0.9888902,0.299339,0.6417406,0.7739354,-0.1591468,0.1473835,0.5317631,-0.8186442
7,1.000001,0.2993881,0.6417322,0.7739168,-0.1592919,0.1474025,0.5317768,-0.8186037
7,1.011112,0.2994582,0.6416628,0.7739171,-0.1594787,0.1473961,0.5318993,-0.8184889
7,1.022224,0.2994391,0.6416678,0.7739407,-0.1596099,0.1473623,0.5319286,-0.8184503
7,1.033335,0.2992814,0.6417714,0.7740381,-0.1597208,0.1473339,0.532028,-0.8183693
7,1.044446,0.2992951,0.6417713,0.7740425,-0.159886,0.1473612,0.5321037,-0.8182829
7,1.055557,0.2993348,0.6417992,0.7740967,-0.1599648,0.1474852,0.5321664,-0.8182044
7,1.066668,0.2994072,0.6418025,0.7741814,-0.1601651,0.1475687,0.5322797,-0.8180765
7,1.077779,0.2995013,0.6417874,0.7742541,-0.1605645,0.1478451,0.5325688,-0.81776
7,1.08889,0.299536,0.6417795,0.7742834,-0.1607507,0.1479892,0.5327002,-0.8176117
7,1.100002,0.2996061,0.6417813,0.7742968,-0.1610514,0.1480015,0.532724,-0.8175348
7,1.111113,0.2997343,0.6416866,0.7743723,-0.1613632,0.148072,0.5327989,-0.8174117
7,1.122224,0.2997729,0.6416879,0.7744007,-0.161639,0.1480876,0.532946,-0.8172585
7,1.133335,0.2998109,0.6416181,0.7743807,-0.1618533,0.1480637,0.5329669,-0.8172068
7,1.144446,0.2997313,0.6416932,0.7744722,-0.1620375,0.1480284,0.533025,-0.8171387
7,1.155557,0.2997304,0.6416862,0.7745045,-0.1622336,0.1480525,0.5331154,-0.8170365
7,1.166668,0.2997814,0.6416935,0.7744751,-0.162375,0.1480093,0.5331016,-0.8170252
7,1.17778,0.2998043,0.6416855,0.7744619,-0.1624126,0.1480396,0.5330957,-0.8170161
7,1.188891,0.2998345,0.6417042,0.7744606,-0.1624736,0.1480581,0.5331852,-0.8169423
7,1.200002,0.2998235,0.6416984,0.774449,-0.1623975,0.1481364,0.5331559,-0.8169624
7,1.211113,0.299803,0.6417291,0.7744444,-0.1623876,0.1480422,0.5331597,-0.8169788
7,1.222224,0.2997954,0.6417226,0.774444,-0.1623848,0.1481039,0.5331471,-0.8169765
7,1.233335,0.2996787,0.6417944,0.7744469,-0.1624055,0.1481254,0.5331911,-0.8169398
7,1.244446,0.2996582,0.6418126,0.7744509,-0.1624247,0.1481304,0.5332195,-0.8169166
7,1.255558,0.2997227,0.6417806,0.7744396,-0.1623186,0.1480753,0.5332197,-0.8169475
7,1.266669,0.2998872,0.6417747,0.7744262,-0.1623689,0.1481265,0.533199,-0.8169417
7,1.27778,0.2999029,0.6417896,0.7744055,-0.1623375,0.1481678,0.5331938,-0.8169438
7,1.288891,0.29997,0.6417729,0.774423,-0.162252,0.1481658,0.5332385,-0.816932
7,1.300002,0.2999578,0.6417835,0.7743692,-0.1619568,0.148096,0.5330679,-0.8171146
7,1.311113,0.299955,0.6417541,0.7743454,-0.1617254,0.1479827,0.5329448,-0.8172612
7,1.322224,0.2999752,0.6417568,0.7743334,-0.1616102,0.1479632,0.5328881,-0.8173245
7,1.333336,0.2999774,0.6416376,0.7743624,-0.1616424,0.1479615,0.5331479,-0.817149
7,1.344447,0.2997577,0.6417657,0.7743918,-0.1617545,0.1479987,0.5332374,-0.8170616
7,1.355558,0.299784,0.6417855,0.7744255,-0.1620015,0.1479542,0.5334007,-0.8169141
7,1.366669,0.2996769,0.6418229,0.7744936,-0.1621577,0.147826,0.5334854,-0.816851
7,1.37778,0.2996779,0.6418463,0.7745396,-0.1624134,0.1478493,0.5336401,-0.8166949
