Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
6,0,0.4077873,1.383883,0.02690037,0.3824168,-0.3025225,0.07720087,-0.8696423
6,0.01111111,0.407118,1.377239,0.02966435,0.3832921,-0.302032,0.07706824,-0.8694391
6,0.02222222,0.4077437,1.371179,0.03266844,0.384528,-0.2993069,0.07428448,-0.8700778
6,0.03333334,0.4091159,1.366956,0.03449937,0.379807,-0.2933344,0.07765307,-0.873883
6,0.04444445,0.4103965,1.362126,0.03616133,0.3734063,-0.2900686,0.08190396,-0.8773366
6,0.05555556,0.4115056,1.357728,0.03816436,0.3675456,-0.2884841,0.08475393,-0.880059
6,0.06666667,0.4120751,1.352846,0.04004636,0.3629856,-0.2890898,0.08574305,-0.8816557
6,0.07777778,0.4127919,1.348618,0.04182166,0.3573225,-0.2930381,0.08689424,-0.8825524
6,0.08888889,0.4136023,1.34436,0.04312614,0.3515235,-0.2973545,0.08918449,-0.8832088
6,0.1,0.4143985,1.340618,0.04461035,0.345468,-0.302512,0.09243841,-0.8835121
6,0.1111111,0.4155154,1.337012,0.04590976,0.3399144,-0.3067777,0.09566177,-0.8838521
6,0.1222222,0.4175321,1.333996,0.04685202,0.3352298,-0.3110504,0.09898236,-0.8837823
6,0.1333333,0.4195506,1.330788,0.04761468,0.3309453,-0.3144916,0.1023867,-0.8837914
6,0.1444445,0.4215065,1.327661,0.04793495,0.3280691,-0.3179043,0.10584,-0.8832358
6,0.1555556,0.4240925,1.324508,0.04802606,0.3258812,-0.3214167,0.1089108,-0.8824008
6,0.1666667,0.4266296,1.321817,0.04786268,0.3234745,-0.32471,0.1123893,-0.8816441
