Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
10,0,0.3227422,0.55814,0.5347665,-0.1698093,0.3568271,0.1160046,-0.9112532
10,0.01111111,0.3223274,0.5569931,0.5341597,-0.1620863,0.3576288,0.1152444,-0.9124409
10,0.02222222,0.3229907,0.5561528,0.5337706,-0.1570991,0.3560451,0.1236368,-0.912834
10,0.03333334,0.3235043,0.5562109,0.5333954,-0.1577514,0.355996,0.129815,-0.9118823
10,0.04444445,0.3246818,0.5561733,0.5341227,-0.1604159,0.3550146,0.13831,-0.9105503
10,0.05555556,0.3256549,0.5559283,0.534517,-0.1602296,0.3547933,0.1438985,-0.909803
10,0.06666667,0.3263257,0.5556001,0.5349494,-0.1601484,0.3549005,0.1473377,-0.9092249
10,0.07777778,0.3268883,0.5553991,0.5351732,-0.1601973,0.3551356,0.1503673,-0.9086281
10,0.08888889,0.3272219,0.5554081,0.5355788,-0.16109,0.3553296,0.151103,-0.9082724
10,0.1,0.3274996,0.555333,0.5359005,-0.1617389,0.3550017,0.1528741,-0.9079889
10,0.1111111,0.3276884,0.5553749,0.5362123,-0.1638887,0.3541132,0.1543302,-0.9077039
10,0.1222222,0.3271368,0.555904,0.5367123,-0.1658447,0.3534029,0.1544536,-0.9076045
10,0.1333333,0.3269371,0.5562966,0.537222,-0.1669977,0.3523138,0.15445,-0.9078171
10,0.1444445,0.32705,0.5561514,0.5370425,-0.1673789,0.351034,0.1525904,-0.9085568
10,0.1555556,0.3270405,0.5561186,0.5370729,-0.1685978,0.3497104,0.1513864,-0.9090433
10,0.1666667,0.3264234,0.556398,0.5369272,-0.169218,0.3472574,0.1498249,-0.9101264
10,0.1777778,0.3257808,0.556732,0.5367109,-0.1709795,0.344248,0.1498402,-0.9109375
