Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
21,0,0.2605389,0.626102,0.7779856,0.2589061,0.02112536,-0.7300839,0.6320592
21,0,0.2605389,0.626102,0.7779856,0.2589061,0.02112536,-0.7300839,0.6320592
21,0.01111111,0.2608474,0.6259696,0.7774559,0.2591104,0.02096795,-0.7312222,0.6306635
21,0.02222222,0.2611219,0.6256422,0.7774819,0.2594392,0.02057896,-0.7328449,0.6286543
21,0.03333334,0.2614537,0.6255148,0.7775553,0.2596698,0.0200253,-0.7348046,0.6262848
21,0.04444445,0.2616555,0.6253368,0.7775187,0.2598597,0.01963545,-0.736168,0.624615
21,0.05555556,0.2618257,0.6253118,0.7776667,0.2600612,0.01946891,-0.7370895,0.6234488
21,0.06666667,0.2619262,0.6252465,0.7776563,0.2602006,0.01929985,-0.7376833,0.6226928
21,0.07777778,0.2620851,0.625303,0.7778237,0.2602786,0.01921377,-0.7381006,0.6221682
21,0.08888889,0.2618845,0.6253858,0.7778518,0.2602579,0.01953691,-0.7373159,0.6230966
21,0.1,0.2618845,0.6253858,0.7778518,0.2602579,0.01953691,-0.7373159,0.6230966
21,0.1111111,0.2615012,0.6257557,0.7780728,0.2600892,0.0200503,-0.7355288,0.6252591
21,0.1222222,0.261363,0.625855,0.7780613,0.2599843,0.02029873,-0.7347797,0.6261747
21,0.1333333,0.2612639,0.6258955,0.7780652,0.2599513,0.02049172,-0.7342754,0.6267736
21,0.1444445,0.2611536,0.6259679,0.7780549,0.2598052,0.02065331,-0.733591,0.6276295
21,0.1555556,0.2610606,0.6260185,0.7780658,0.2597062,0.02087394,-0.7329594,0.6284007
21,0.1666667,0.2610035,0.626075,0.7780604,0.2596794,0.02098662,-0.7324853,0.6289607
21,0.1777778,0.2608345,0.6260666,0.7781258,0.2596002,0.02095968,-0.732407,0.6290854
21,0.1888889,0.2606543,0.6261065,0.7782162,0.2595476,0.02108432,-0.7324105,0.6290989
21,0.2,0.2606929,0.6261026,0.7782224,0.2595698,0.02100714,-0.7325969,0.6288753
21,0.2111111,0.2608414,0.6260353,0.7782099,0.2596909,0.02087247,-0.7329087,0.6284662
21,0.2222222,0.2608503,0.6260111,0.7782482,0.2597224,0.02079983,-0.7331035,0.6282284
21,0.2333333,0.2609519,0.625952,0.778169,0.2596821,0.02066836,-0.7331997,0.6281371
21,0.2444444,0.2609374,0.6259507,0.7781801,0.2596726,0.02069075,-0.733255,0.6280757
21,0.2555556,0.2609374,0.6259507,0.7781801,0.2596726,0.02069075,-0.733255,0.6280757
21,0.2666667,0.2609416,0.6259323,0.7781492,0.2595685,0.02069884,-0.733085,0.628317
21,0.2777778,0.260973,0.6258956,0.7781302,0.2596478,0.02062998,-0.7331122,0.6282547
