Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
2,0,0.256327,0.9400544,0.02917495,-0.04282283,-0.2103572,0.8222983,-0.527012
2,0.01111111,0.2549995,0.9408118,0.02880889,-0.04016406,-0.2153921,0.8181608,-0.531607
2,0.02222222,0.2549869,0.9406866,0.02878632,-0.03726413,-0.2142723,0.8150015,-0.5370952
2,0.03333334,0.2561018,0.9399455,0.02798072,-0.0367434,-0.2058713,0.8156384,-0.539445
2,0.04444445,0.2565545,0.9397116,0.027262,-0.03682236,-0.2008316,0.8145027,-0.5430433
2,0.05555556,0.2570359,0.939638,0.02656116,-0.03806876,-0.1962305,0.8117744,-0.5486954
2,0.06666667,0.2572246,0.9400324,0.02575442,-0.03918625,-0.1940776,0.8080556,-0.5548372
2,0.07777778,0.2574418,0.9404778,0.02529824,-0.03982762,-0.1935388,0.8040725,-0.5607351
2,0.08888889,0.2571798,0.9410681,0.02489804,-0.03939996,-0.1936524,0.7999961,-0.5665269
2,0.1,0.2570346,0.9417784,0.02447745,-0.03851955,-0.1955743,0.7965083,-0.5708253
2,0.1111111,0.2567376,0.9423654,0.02416365,-0.03793092,-0.1971491,0.7947192,-0.5728132
2,0.1222222,0.2568486,0.9428619,0.02375752,-0.03836279,-0.1977899,0.7945951,-0.5727354
2,0.1333333,0.2572392,0.943333,0.02351543,-0.03952938,-0.1970792,0.7958263,-0.5711899
2,0.1444445,0.257899,0.9439552,0.02294001,-0.04034799,-0.1961624,0.7965806,-0.570396
2,0.1555556,0.2585222,0.9444061,0.02249727,-0.04183938,-0.1954059,0.7978809,-0.5687285
2,0.1666667,0.2584894,0.945177,0.02177741,-0.04152892,-0.1967184,0.7969114,-0.5696573
2,0.1777778,0.2581013,0.9456341,0.02111968,-0.03910036,-0.1984439,0.7947758,-0.5722087
2,0.1888889,0.2578015,0.9460073,0.02074462,-0.03562718,-0.2009536,0.7910184,-0.5767481
