Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
5,0,0.1276757,0.9508531,-0.02177756,-0.153829,0.4339225,-0.654602,0.5996199
5,0,0.1276757,0.9508531,-0.02177756,-0.153829,0.4339225,-0.654602,0.5996199
5,0.01111111,0.1261886,0.9504158,-0.02136428,-0.1588996,0.4372798,-0.6478376,0.6031947
5,0.02222222,0.1250379,0.9497753,-0.02103357,-0.165371,0.4405087,-0.6408606,0.6065494
5,0.03333334,0.1257004,0.9499195,-0.02196094,-0.1674599,0.438467,-0.6408463,0.6074701
5,0.04444445,0.125966,0.9496239,-0.02306855,-0.1678695,0.4320929,-0.6464292,0.6060072
5,0.05555556,0.1269958,0.9498996,-0.02414091,-0.1664467,0.426648,-0.6513942,0.6049402
5,0.06666667,0.1272884,0.9501513,-0.02494801,-0.1648921,0.4232115,-0.6532971,0.6057273
5,0.07777778,0.1277076,0.9502317,-0.02538866,-0.1631571,0.4218095,-0.6526825,0.6078338
5,0.08888889,0.1273976,0.9502978,-0.02549931,-0.1624102,0.4218016,-0.6500649,0.6108372
5,0.1,0.1272122,0.9504055,-0.02530202,-0.1614763,0.4244296,-0.6447089,0.6149272
5,0.1111111,0.1265405,0.9503232,-0.0248136,-0.1614916,0.4270732,-0.6405517,0.6174321
5,0.1222222,0.125881,0.9501404,-0.02422126,-0.1621155,0.4289528,-0.6385721,0.6180159
5,0.1333333,0.1256725,0.9501961,-0.02398991,-0.1628172,0.4305351,-0.6371161,0.6182339
5,0.1444445,0.1251708,0.9501676,-0.02349072,-0.1646126,0.4310976,-0.638076,0.6163737
5,0.1555556,0.1250099,0.9501556,-0.02335487,-0.1662922,0.4314082,-0.6393861,0.6143446
5,0.1666667,0.1247133,0.9501427,-0.02307139,-0.1683113,0.4312006,-0.6421428,0.6110565
5,0.1777778,0.1244654,0.9501072,-0.0228008,-0.1696978,0.4314489,-0.6444962,0.6080125
