Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
4,0,0.312476,0.6717206,0.7864739,0.1011093,-0.1680785,-0.6790394,0.7074122
4,0.01111111,0.313147,0.6710946,0.786647,0.103323,-0.1710393,-0.6816626,0.7038509
4,0.02222222,0.3134375,0.6710087,0.7869908,0.1035345,-0.1756455,-0.6834489,0.7009472
4,0.03333334,0.3132006,0.6708964,0.7868641,0.1025175,-0.175918,-0.6832006,0.7012703
4,0.04444445,0.3126,0.6708766,0.7860547,0.09816964,-0.1757673,-0.6799851,0.7050453
4,0.05555556,0.3125302,0.6708536,0.7859554,0.09627581,-0.1768117,-0.6789306,0.7060608
4,0.06666667,0.3125302,0.6708536,0.7859554,0.09627581,-0.1768117,-0.6789306,0.7060608
4,0.07777778,0.3125851,0.6706664,0.7859797,0.0951787,-0.1786419,-0.6785734,0.7060922
4,0.08888889,0.3126894,0.6704175,0.7860107,0.09462814,-0.1805327,-0.6785978,0.7056617
4,0.1,0.3128181,0.6702241,0.7861743,0.09437512,-0.183142,-0.6781713,0.7054332
4,0.1111111,0.312747,0.6701994,0.7863461,0.09488861,-0.1846099,-0.6779765,0.705169
4,0.1222222,0.3130796,0.6700945,0.7865312,0.0961984,-0.1864593,-0.6777113,0.7047597
4,0.1333333,0.3130904,0.6701176,0.7866679,0.09763418,-0.1869226,-0.6775091,0.704634
4,0.1444445,0.3130057,0.6703165,0.7867219,0.09869157,-0.1866909,-0.6768669,0.705165
4,0.1555556,0.3130057,0.6703165,0.7867219,0.09869157,-0.1866909,-0.6768669,0.705165
4,0.1666667,0.3127587,0.6705447,0.7867373,0.09926595,-0.1857176,-0.6752908,0.7068505
4,0.1777778,0.3126538,0.6706303,0.7867384,0.09946664,-0.1853067,-0.6747504,0.7074459
4,0.1888889,0.3127768,0.6708196,0.7867212,0.100009,-0.1856894,-0.6748395,0.7071841
4,0.2,0.3130354,0.6707428,0.7866778,0.100289,-0.1859558,-0.6749714,0.7069486
4,0.2111111,0.3130701,0.6706972,0.7866272,0.09997249,-0.1859899,-0.675152,0.7068118
4,0.2222222,0.3131863,0.670652,0.7865846,0.09960096,-0.185915,-0.6752874,0.7067547
4,0.2333333,0.3132543,0.6705678,0.7865007,0.099023,-0.1859374,-0.6758022,0.7063377
4,0.2444444,0.3133267,0.6704172,0.7864809,0.09864221,-0.1859204,-0.6763022,0.7059169
4,0.2555556,0.3133533,0.6703487,0.7864254,0.09815248,-0.1855894,-0.6766189,0.7057686
4,0.2666667,0.312959,0.6705071,0.786482,0.09784575,-0.1850693,-0.6768385,0.7057374
4,0.2777778,0.3129409,0.6704617,0.786435,0.09763964,-0.1847722,-0.6771387,0.7055558
4,0.2888889,0.3128974,0.6705133,0.7864286,0.09775808,-0.1843843,-0.6772676,0.7055171
4,0.3,0.3129038,0.6705525,0.7864794,0.09782011,-0.1841073,-0.6774713,0.7053852
4,0.3111111,0.3128547,0.6705762,0.786478,0.09787459,-0.183851,-0.6774161,0.7054976
4,0.3222222,0.3129323,0.6705576,0.786456,0.09793834,-0.1838255,-0.6774271,0.7054847
4,0.3333333,0.3128767,0.6705663,0.7864313,0.09791171,-0.1836973,-0.677287,0.7056565
4,0.3444445,0.3129167,0.6706156,0.7863383,0.09772028,-0.1836708,-0.676913,0.7060485
4,0.3555556,0.3128825,0.6706129,0.7863109,0.09748671,-0.1837045,-0.6766878,0.7062879
4,0.3666667,0.312858,0.6706157,0.7862861,0.09739645,-0.1837517,-0.6764886,0.7064788
4,0.3777778,0.3128561,0.6706098,0.786291,0.09745651,-0.1837762,-0.676386,0.7065624
4,0.3888889,0.3126929,0.6706821,0.7863635,0.0975969,-0.1837506,-0.6763917,0.7065443
4,0.4,0.3127346,0.6707401,0.7863883,0.09772649,-0.183693,-0.6765075,0.7064305
4,0.4111111,0.3127045,0.6707535,0.7863761,0.09759997,-0.1836128,-0.6763901,0.7065813
4,0.4222222,0.3126455,0.6707813,0.7863623,0.09740208,-0.1834338,-0.6761973,0.7068394
4,0.4333333,0.312615,0.6707888,0.7863602,0.09732769,-0.1833093,-0.6762065,0.7068731
4,0.4444444,0.3126004,0.6708085,0.7863353,0.09725983,-0.1832962,-0.6763123,0.7067847
4,0.4555556,0.3126012,0.6708059,0.7863351,0.09724239,-0.1832334,-0.676344,0.7067731
4,0.4666667,0.3125335,0.6708286,0.786302,0.09702261,-0.182925,-0.6762553,0.7069681
4,0.4777778,0.3125179,0.6708369,0.7863268,0.09689018,-0.1827081,-0.6762426,0.7070544
4,0.4888889,0.3127494,0.670746,0.7862485,0.09672436,-0.1826428,-0.6762847,0.7070538
4,0.5,0.3126987,0.6707599,0.7862639,0.09657007,-0.1825307,-0.6763329,0.7070577
4,0.5111111,0.3126625,0.6707531,0.7862304,0.0963547,-0.182366,-0.6762472,0.7072115
4,0.5222223,0.3125461,0.6707399,0.7862171,0.09620793,-0.1821899,-0.6761928,0.7073289
4,0.5333334,0.3125274,0.6707482,0.7862065,0.09619419,-0.1820912,-0.6761682,0.7073796
4,0.5444446,0.3125905,0.6707231,0.7861236,0.09609915,-0.1820373,-0.6761475,0.7074264
4,0.5555557,0.3126595,0.6707874,0.7861494,0.09618301,-0.1820706,-0.6761484,0.7074054
4,0.5666668,0.3126648,0.6707981,0.7861499,0.09624594,-0.1820665,-0.6761454,0.7074007
4,0.577778,0.3124879,0.670945,0.7862135,0.09613929,-0.1818486,-0.6760016,0.7076088
4,0.5888891,0.3124644,0.6709682,0.7862062,0.09608892,-0.1818292,-0.6758524,0.7077631
4,0.6000003,0.3124627,0.6709388,0.786232,0.09612761,-0.1818605,-0.6758429,0.7077588
4,0.6111114,0.3124627,0.6709388,0.786232,0.09612761,-0.1818605,-0.6758429,0.7077588
4,0.6222225,0.3124501,0.6709464,0.7862424,0.09608989,-0.1818889,-0.6758623,0.7077382
4,0.6333337,0.3123713,0.6709928,0.786178,0.09607308,-0.1816841,-0.6757672,0.7078838
4,0.6444448,0.312582,0.6709482,0.7860516,0.09595954,-0.1814584,-0.6757212,0.708001
4,0.655556,0.3126184,0.6709636,0.786042,0.09596571,-0.1814216,-0.6757672,0.7079657
4,0.6666671,0.3126184,0.6709636,0.786042,0.09596571,-0.1814216,-0.6757672,0.7079657
4,0.6777782,0.3126273,0.6709002,0.7860421,0.09598021,-0.1813058,-0.6759396,0.7078288
4,0.6888894,0.3125813,0.670839,0.7859669,0.09580617,-0.1811224,-0.6760056,0.7078364
4,0.7000005,0.3124804,0.6709033,0.7859533,0.09575896,-0.1809287,-0.67603,0.7078689
4,0.7111117,0.3124804,0.6709033,0.7859533,0.09575896,-0.1809287,-0.67603,0.7078689
4,0.7222228,0.312477,0.6708487,0.785965,0.09569956,-0.1809467,-0.6761358,0.7077712
4,0.7333339,0.3124528,0.6708393,0.7859401,0.09557129,-0.1808539,-0.676163,0.7077863
4,0.7444451,0.3124528,0.6708393,0.7859401,0.09557129,-0.1808539,-0.676163,0.7077863
4,0.7555562,0.3123936,0.6709178,0.7859704,0.09533715,-0.1807443,-0.6759916,0.7080098
4,0.7666674,0.3123785,0.6709225,0.7859774,0.09538532,-0.1806995,-0.6760186,0.707989
4,0.7777785,0.3124796,0.6707996,0.7860032,0.09549449,-0.1806559,-0.6760821,0.7079246
4,0.7888896,0.3124575,0.6707971,0.7860044,0.09553593,-0.1805396,-0.6760344,0.7079943
4,0.8000008,0.3124809,0.6708025,0.7860267,0.09550044,-0.1804277,-0.6760201,0.7080412
4,0.8111119,0.3124688,0.6707988,0.7860259,0.09547541,-0.1803687,-0.6759972,0.7080814
4,0.8222231,0.3124599,0.6707871,0.7860597,0.09534219,-0.1803247,-0.6758716,0.7082306
4,0.8333342,0.3123755,0.6708903,0.7860792,0.09532322,-0.1803243,-0.6758136,0.7082885
4,0.8444453,0.3124117,0.6709188,0.786092,0.09533074,-0.180459,-0.6757997,0.7082664
4,0.8555565,0.3124202,0.670907,0.7861049,0.09536029,-0.1805876,-0.6757811,0.7082474
4,0.8666676,0.3123897,0.6709104,0.7860874,0.09512892,-0.1805917,-0.6756852,0.7083691
4,0.8777788,0.3123518,0.6709188,0.7860194,0.09501182,-0.1805053,-0.6755569,0.7085291
4,0.8888899,0.3126177,0.6707242,0.7859455,0.09507936,-0.1806497,-0.6756713,0.7083741
4,0.900001,0.3126314,0.6706995,0.7859552,0.09519179,-0.1807207,-0.6756734,0.7083389
4,0.9111122,0.3126439,0.6707047,0.7859391,0.0952451,-0.1806188,-0.6756502,0.7083797
4,0.9222233,0.3125077,0.6707494,0.785987,0.0951834,-0.1804395,-0.6755492,0.7085302
4,0.9333345,0.312528,0.6707381,0.7859998,0.09524746,-0.180407,-0.6755729,0.7085073
4,0.9444456,0.3125629,0.670788,0.7859927,0.09529096,-0.1804298,-0.6756133,0.7084571
4,0.9555568,0.3125887,0.6707785,0.7860506,0.09524857,-0.1803845,-0.675653,0.7084365
4,0.9666679,0.3124603,0.6708269,0.7861072,0.09518003,-0.1803628,-0.6756414,0.7084622
4,0.977779,0.312547,0.6708591,0.7860144,0.09503213,-0.1803541,-0.6756436,0.7084822
4,0.9888902,0.3125719,0.670852,0.7860255,0.09502696,-0.1804196,-0.6757053,0.7084073
4,1.000001,0.3125795,0.6707975,0.7860528,0.09503597,-0.1805253,-0.6756933,0.7083907
4,1.011112,0.312591,0.6707793,0.7860727,0.09503554,-0.1805765,-0.6757994,0.7082765
4,1.022224,0.3125664,0.6707799,0.7860359,0.09502766,-0.1805132,-0.67576,0.7083312
4,1.033335,0.3125664,0.6707799,0.7860359,0.09502766,-0.1805132,-0.67576,0.7083312
4,1.044446,0.3125743,0.6708294,0.7860342,0.09519094,-0.1805304,-0.6757832,0.7082829
4,1.055557,0.3125734,0.6708301,0.786047,0.09518514,-0.1804829,-0.6758444,0.7082373
