Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
7,0,0.3109398,0.6687763,0.7801281,0.05338788,-0.1758833,-0.6757594,0.7138375
7,0,0.3109398,0.6687763,0.7801281,0.05338788,-0.1758833,-0.6757594,0.7138375
7,0.01111111,0.3118833,0.6682135,0.7807878,0.05639279,-0.1817316,-0.680159,0.7079388
7,0.02222222,0.3118047,0.6687094,0.780949,0.05957611,-0.1802266,-0.6807257,0.7075179
7,0.03333334,0.3112845,0.6676999,0.78051,0.05273066,-0.1831637,-0.6761218,0.7117091
7,0.04444445,0.3108979,0.6672947,0.7804074,0.05259374,-0.1842517,-0.6747314,0.7127572
7,0.05555556,0.3111575,0.6673713,0.7803983,0.05321537,-0.1855051,-0.6743005,0.7127937
7,0.06666667,0.3112147,0.667717,0.780344,0.0542722,-0.1857762,-0.6730145,0.7138579
7,0.07777778,0.3112094,0.6681097,0.7803646,0.05481587,-0.1860319,-0.6718575,0.714839
7,0.08888889,0.311091,0.6682281,0.7805002,0.05594343,-0.1860034,-0.6706465,0.7158955
7,0.1,0.3111583,0.6685934,0.7805676,0.05701519,-0.1861921,-0.6698352,0.7165211
7,0.1111111,0.3113583,0.6685841,0.7805321,0.05793412,-0.1861016,-0.6691259,0.7171334
7,0.1222222,0.3114328,0.6688394,0.7805497,0.05843541,-0.1857836,-0.668627,0.7176405
7,0.1333333,0.3114093,0.6689064,0.7805731,0.05892589,-0.1855235,-0.6681984,0.7180667
7,0.1444445,0.3114416,0.6690431,0.7805605,0.05888518,-0.1848906,-0.6677362,0.7186629
7,0.1555556,0.3114768,0.6690826,0.7806095,0.05927254,-0.1846432,-0.6677688,0.7186643
7,0.1666667,0.3115884,0.6690031,0.7806277,0.05951346,-0.1844252,-0.668538,0.7179849
7,0.1777778,0.3116365,0.6690397,0.7806171,0.0595202,-0.1838956,-0.6687378,0.7179342
7,0.1888889,0.3115075,0.669112,0.7806176,0.05918563,-0.1832003,-0.6689965,0.7178987
7,0.2,0.3114757,0.6690224,0.7805752,0.05892071,-0.1825901,-0.6692536,0.717836
7,0.2111111,0.3113621,0.6690512,0.7805967,0.05868711,-0.1820056,-0.6695544,0.7177232
7,0.2222222,0.3113002,0.6690143,0.7805406,0.05852796,-0.181448,-0.6695916,0.7178428
7,0.2333333,0.310983,0.6691763,0.7806404,0.05849621,-0.1809066,-0.6696433,0.7179337
7,0.2444444,0.310937,0.6692678,0.7805732,0.05870791,-0.1806434,-0.6697428,0.71789
7,0.2555556,0.3108476,0.66943,0.7806044,0.05868182,-0.1803387,-0.6695795,0.7181211
7,0.2666667,0.3107956,0.669482,0.7806093,0.0587239,-0.1800912,-0.6694509,0.7182995
7,0.2777778,0.3106965,0.6695455,0.7806368,0.05877833,-0.180062,-0.6691839,0.7185512
7,0.2888889,0.3106856,0.66959,0.7806777,0.05903434,-0.1804075,-0.669128,0.7184955
7,0.3,0.3106637,0.6696031,0.7807269,0.05935078,-0.1804445,-0.6689807,0.7185974
7,0.3111111,0.3107254,0.6695849,0.7806884,0.05961379,-0.1804161,-0.6686137,0.7189241
7,0.3222222,0.3106818,0.6696693,0.780649,0.05986366,-0.1803107,-0.6683047,0.7192171
7,0.3333333,0.3107148,0.6696949,0.7805544,0.05991208,-0.1800011,-0.6677216,0.7198319
7,0.3444445,0.310686,0.6697327,0.7805625,0.05979846,-0.1798597,-0.6674255,0.7201512
7,0.3555556,0.3106726,0.6697591,0.7805767,0.05991782,-0.1798649,-0.6673555,0.7202049
7,0.3666667,0.3107112,0.6697387,0.7805419,0.05992752,-0.1799705,-0.6675752,0.719974
7,0.3777778,0.3106603,0.6696882,0.7805284,0.05974367,-0.1798632,-0.6675551,0.7200348
7,0.3888889,0.3107696,0.6696424,0.7804274,0.05941299,-0.1796286,-0.6675608,0.7201154
7,0.4,0.3107256,0.6695319,0.7804207,0.05918039,-0.1794774,-0.6677576,0.7199898
7,0.4111111,0.3107287,0.6695087,0.7803985,0.05907285,-0.1791689,-0.6679714,0.7198771
7,0.4222222,0.3107046,0.6695625,0.7803857,0.05902122,-0.1787795,-0.6678762,0.7200664
7,0.4333333,0.3106659,0.6695791,0.7803365,0.05883006,-0.1783362,-0.6677952,0.7202672
7,0.4444444,0.3106397,0.6695467,0.780369,0.05855842,-0.1778957,-0.6677582,0.7204325
7,0.4555556,0.3106919,0.6695281,0.7803269,0.05845608,-0.177708,-0.6679195,0.7203376
7,0.4666667,0.3107721,0.6695539,0.7804021,0.0586503,-0.177901,-0.6681941,0.7200194
7,0.4777778,0.3108011,0.6695836,0.7804228,0.05870343,-0.1779153,-0.6682568,0.7199534
7,0.4888889,0.3108165,0.6695493,0.7804522,0.0587766,-0.1779275,-0.6682039,0.7199935
7,0.5,0.3107499,0.6696329,0.7803718,0.05869917,-0.1776678,-0.6678094,0.7204298
7,0.5111111,0.3106131,0.6697078,0.7804027,0.05863989,-0.1774235,-0.6675049,0.720777
7,0.5222223,0.3105881,0.6697565,0.7803491,0.05874794,-0.1773874,-0.6674649,0.7208141
7,0.5333334,0.3106273,0.6697765,0.7803922,0.0590964,-0.1775266,-0.6675927,0.720633
7,0.5444446,0.3105724,0.6698879,0.7804759,0.05916367,-0.1776367,-0.6675751,0.7206167
7,0.5555557,0.3105724,0.6698879,0.7804759,0.05916367,-0.1776367,-0.6675751,0.7206167
7,0.5666668,0.3104975,0.6698632,0.7804126,0.05901806,-0.1774939,-0.6674797,0.7207522
7,0.577778,0.310553,0.6698402,0.7804025,0.05900399,-0.1774528,-0.667622,0.7206315
7,0.5888891,0.310553,0.6698402,0.7804025,0.05900399,-0.1774528,-0.667622,0.7206315
7,0.6000003,0.3107693,0.6696572,0.780378,0.0588484,-0.1773873,-0.6678527,0.7204467
7,0.6111114,0.3107685,0.6696472,0.7803868,0.05899364,-0.177282,-0.6679512,0.7203694
7,0.6222225,0.3107581,0.6696514,0.7803922,0.05903937,-0.1771134,-0.6679361,0.7204211
7,0.6333337,0.3107721,0.6696489,0.7803841,0.05907581,-0.1769093,-0.6679022,0.7204996
7,0.6444448,0.3107721,0.6696489,0.7803841,0.05907581,-0.1769093,-0.6679022,0.7204996
7,0.655556,0.3108214,0.6696551,0.7802508,0.05920238,-0.176006,-0.6673929,0.721182
7,0.6666671,0.3108001,0.669694,0.7802485,0.05923122,-0.1757374,-0.6673433,0.7212913
7,0.6777782,0.3107759,0.6696978,0.7802364,0.05919188,-0.175441,-0.6673113,0.7213963
7,0.6888894,0.3107989,0.6696763,0.7802519,0.05920484,-0.1754335,-0.6675388,0.7211865
7,0.7000005,0.3108099,0.6696766,0.7802522,0.05915713,-0.1753169,-0.6676435,0.7211217
7,0.7111117,0.3108099,0.6696766,0.7802522,0.05915713,-0.1753169,-0.6676435,0.7211217
7,0.7222228,0.3108314,0.6696477,0.7802649,0.05906177,-0.1752844,-0.6677502,0.7210386
7,0.7333339,0.3108674,0.6696405,0.7802709,0.05895615,-0.175004,-0.6679911,0.7208923
7,0.7444451,0.3108773,0.6696532,0.7802591,0.05891052,-0.1748405,-0.668116,0.7208198
