Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
2,0,0.4267774,1.311898,-0.02841421,0.3473286,-0.535821,0.3216026,-0.6991641
2,0.01111111,0.4294105,1.304587,-0.02820904,0.3280432,-0.544136,0.3382916,-0.694163
2,0.02222222,0.4320058,1.297494,-0.02806946,0.3063782,-0.552985,0.3570961,-0.6876206
2,0.03333334,0.433673,1.292091,-0.02787743,-0.2881414,0.5601802,-0.3698133,0.6829427
2,0.04444445,0.436543,1.28711,-0.0277513,-0.2604608,0.5712273,-0.3851674,0.6763916
2,0.05555556,0.4405734,1.282169,-0.02736379,-0.2343652,0.5802476,-0.4016862,0.6686059
2,0.06666667,0.4461365,1.278024,-0.02864011,-0.2066194,0.5866265,-0.4233149,0.6587733
2,0.07777778,0.4513345,1.273418,-0.02943472,-0.1840909,0.5903866,-0.4453673,0.6474583
2,0.08888889,0.4576261,1.269775,-0.03207984,-0.1712306,0.58994,-0.472661,0.6318563
2,0.1,0.4630536,1.267349,-0.03375693,-0.1611985,0.590729,-0.4917454,0.6190643
2,0.1111111,0.4688366,1.265385,-0.03603141,-0.1537692,0.5932829,-0.5082328,0.605037
2,0.1222222,0.4729044,1.266773,-0.03643511,-0.1588885,0.6062239,-0.5033736,0.5948629
2,0.1333333,0.4778526,1.26678,-0.03771333,-0.160481,0.6159931,-0.502169,0.5853414
2,0.1444445,0.4803617,1.271319,-0.03801054,-0.1714031,0.6294882,-0.4866542,0.580976
2,0.1555556,0.4832009,1.276325,-0.03831837,-0.1869006,0.6397216,-0.4722448,0.5768962
2,0.1666667,0.4852425,1.282799,-0.03876035,-0.2041603,0.6473417,-0.4610394,0.5715855
2,0.1777778,0.4866678,1.294245,-0.03887919,-0.2345714,0.6497011,-0.4503887,0.5656986
2,0.1888889,0.4875957,1.304728,-0.03912514,-0.2599038,0.6479765,-0.4448316,0.5609826
2,0.2,0.4884052,1.316677,-0.03951498,-0.2861646,0.6449286,-0.4389623,0.5563172
2,0.2111111,0.4879976,1.330934,-0.03980296,-0.3164957,0.6359447,-0.4332404,0.5547141
2,0.2222222,0.4871305,1.345329,-0.03900058,-0.3451985,0.627867,-0.4223389,0.5552035
2,0.2333333,0.4850721,1.359768,-0.03765351,-0.3717304,0.6202403,-0.4083039,0.5571413
2,0.2444444,0.4836198,1.374367,-0.03612097,-0.3970675,0.6126603,-0.3934053,0.5587637
2,0.2555556,0.4806266,1.390163,-0.03396937,0.4193111,-0.6061207,0.3754269,-0.5620058
2,0.2666667,0.4780856,1.405581,-0.03136885,0.4412104,-0.5985875,0.3574772,-0.5650101
2,0.2777778,0.4728737,1.421569,-0.0276927,0.4604319,-0.5890589,0.3370973,-0.5721691
2,0.2888889,0.4692023,1.437214,-0.02418081,0.480018,-0.5777785,0.3193455,-0.5777311
2,0.3,0.4634585,1.453604,-0.02112505,0.4976757,-0.5628737,0.3039978,-0.5857282
2,0.3111111,0.4583216,1.468611,-0.01801061,0.5131372,-0.5461415,0.2896583,-0.5954139
