Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
3,0,0.4318449,1.398603,-0.03861441,0.381046,-0.4992501,0.2641071,-0.7319841
3,0,0.4318449,1.398603,-0.03861441,0.381046,-0.4992501,0.2641071,-0.7319841
3,0.01111111,0.431218,1.396919,-0.0355648,0.3848521,-0.5057377,0.2566121,-0.7281954
3,0.02222222,0.4315705,1.39631,-0.03370304,0.387763,-0.5103871,0.2525025,-0.7248362
3,0.03333334,0.4323778,1.395682,-0.03068247,0.3921217,-0.5182085,0.2424067,-0.7203746
3,0.04444445,0.4337574,1.396515,-0.03066501,0.3903034,-0.5174425,0.2483253,-0.7198966
3,0.05555556,0.4344895,1.396636,-0.03030687,0.389135,-0.5150977,0.2555738,-0.7196737
3,0.06666667,0.4350369,1.396214,-0.02959792,0.3882298,-0.5174274,0.2566297,-0.7181139
3,0.07777778,0.4350135,1.395523,-0.0284178,0.3866147,-0.5190812,0.259395,-0.716797
3,0.08888889,0.4352568,1.395233,-0.02738605,0.3853975,-0.5200315,0.2624962,-0.7156339
3,0.1,0.4357597,1.394471,-0.02678432,0.384256,-0.5207517,0.2648756,-0.7148467
3,0.1111111,0.4361691,1.393426,-0.02582353,0.3839492,-0.521518,0.2661102,-0.713994
3,0.1222222,0.4368154,1.392565,-0.02520109,0.3840768,-0.5217842,0.2667164,-0.7135044
3,0.1333333,0.4372153,1.391283,-0.0243881,0.3842969,-0.5220249,0.2670689,-0.7130779
3,0.1444445,0.4377998,1.390388,-0.02379427,0.3842768,-0.5222954,0.2677011,-0.7126535
3,0.1555556,0.4379883,1.389455,-0.0229874,0.384227,-0.522227,0.268479,-0.7124377
3,0.1666667,0.4384793,1.388649,-0.02245271,0.3840685,-0.5220512,0.2695864,-0.712234
3,0.1777778,0.4392165,1.387903,-0.02236391,0.3834061,-0.5216175,0.2714006,-0.7122195
3,0.1888889,0.4397077,1.387316,-0.02179526,0.3826004,-0.5214342,0.2730911,-0.7121409
3,0.2,0.4403323,1.386992,-0.02170364,0.3808567,-0.5219452,0.2748262,-0.7120337
