Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
2,0,0.3622668,0.7847218,0.5661122,0.07806391,0.4540122,0.7741991,-0.4340448
2,0.01111111,0.3625735,0.7838802,0.5680076,0.07386118,0.4632823,0.7725546,-0.4278708
2,0.02222222,0.3635935,0.7828644,0.5689977,0.06848659,0.4714079,0.7699457,-0.4245796
2,0.03333334,0.3639916,0.7827444,0.5698044,0.06683631,0.4752173,0.7679561,-0.4241989
2,0.04444445,0.3640273,0.7833619,0.5696847,0.06829914,0.4726882,0.7668435,-0.4287799
2,0.05555556,0.3647799,0.7834568,0.5689976,0.06753786,0.4710388,0.7657506,-0.4326511
2,0.06666667,0.3652692,0.7836868,0.5686843,0.06726389,0.4703223,0.7648523,-0.4350556
2,0.07777778,0.3655363,0.7838377,0.5689088,0.06787525,0.4705545,0.7642221,-0.4358162
2,0.08888889,0.365232,0.7838145,0.5695169,0.06810996,0.4724613,0.7638052,-0.4344458
2,0.1,0.365333,0.7838072,0.5701657,0.06806107,0.4747567,0.7634557,-0.4325612
2,0.1111111,0.3647303,0.7837385,0.5710265,0.0679418,0.4773506,0.7635458,-0.4295557
2,0.1222222,0.3647594,0.7836862,0.5712846,0.06786394,0.4790367,0.7637903,-0.4272503
2,0.1333333,0.364711,0.7836351,0.571382,0.06809561,0.4794993,0.7640589,-0.4262129
2,0.1444445,0.3647497,0.7839551,0.5709754,0.06909317,0.477526,0.7647468,-0.427033
2,0.1555556,0.3646484,0.7841446,0.5701549,0.06993447,0.474714,0.7657171,-0.4282908
2,0.1666667,0.3645675,0.7842209,0.5696586,0.07051763,0.4720277,0.7669579,-0.4289438
2,0.1777778,0.3644688,0.7843114,0.5694871,0.07109711,0.4714404,0.7675475,-0.4284391
2,0.1888889,0.3643301,0.7841756,0.569568,0.07178172,0.4716996,0.7681363,-0.4269819
2,0.2,0.3641816,0.78416,0.5698061,0.07267383,0.4729864,0.7679914,-0.4256663
2,0.2111111,0.3640057,0.7840399,0.5701016,0.0741954,0.474892,0.7677248,-0.4237587
2,0.2222222,0.3639865,0.7841277,0.5701621,0.07479905,0.4753241,0.7675123,-0.4235527
2,0.2333333,0.3639415,0.7842985,0.5700173,0.07530537,0.4751208,0.7674536,-0.4237974
2,0.2444444,0.364028,0.7846217,0.5698303,0.07515858,0.4745794,0.7672889,-0.4247271
2,0.2555556,0.3646025,0.784628,0.569527,0.0744846,0.4744475,0.7671862,-0.4251787
2,0.2666667,0.3648122,0.7849072,0.5695431,0.07376589,0.4749132,0.7666793,-0.4256983
2,0.2777778,0.3648122,0.7849072,0.5695431,0.07376589,0.4749132,0.7666793,-0.4256983
2,0.2888889,0.3650978,0.7852448,0.5696169,0.07338691,0.4761855,0.7650763,-0.4272237
2,0.3,0.3650978,0.7852448,0.5696169,0.07338691,0.4761855,0.7650763,-0.4272237
2,0.3111111,0.3649443,0.7854776,0.5696635,0.07391709,0.4764567,0.7641687,-0.4284525
2,0.3222222,0.3649606,0.7856768,0.5695776,0.07442909,0.476694,0.7633954,-0.429477
2,0.3333333,0.3652606,0.7857664,0.5693319,0.07505713,0.4767472,0.7626306,-0.4306657
2,0.3444445,0.3652163,0.7860163,0.569109,0.07552287,0.4767323,0.76201,-0.4316982
2,0.3555556,0.3653004,0.7861794,0.5689226,0.07574037,0.4770518,0.7613894,-0.4324014
2,0.3666667,0.3653004,0.7861794,0.5689226,0.07574037,0.4770518,0.7613894,-0.4324014
2,0.3777778,0.3651933,0.7863342,0.5689605,0.07567079,0.4771933,0.7611261,-0.432721
2,0.3888889,0.3650825,0.7865394,0.5687968,0.07544956,0.4773494,0.7611687,-0.4325126
2,0.4,0.3650825,0.7865394,0.5687968,0.07544956,0.4773494,0.7611687,-0.4325126
2,0.4111111,0.3651316,0.7865234,0.5686241,0.07526092,0.4773898,0.7612247,-0.432402
2,0.4222222,0.3647721,0.7867255,0.5684707,0.07541463,0.4775017,0.761151,-0.4323816
2,0.4333333,0.3646859,0.7868052,0.5684615,0.07551709,0.4778376,0.7610264,-0.4322119
2,0.4444444,0.3646859,0.7868052,0.5684615,0.07551709,0.4778376,0.7610264,-0.4322119
2,0.4555556,0.3646554,0.7869435,0.5685554,0.07519083,0.4780358,0.7608179,-0.4324166
2,0.4666667,0.3646718,0.7870059,0.5684589,0.07507657,0.477854,0.7607138,-0.4328204
2,0.4777778,0.3646718,0.7870059,0.5684589,0.07507657,0.477854,0.7607138,-0.4328204
2,0.4888889,0.3645233,0.7871101,0.5683041,0.0750504,0.4770463,0.7607492,-0.4336531
2,0.5,0.364322,0.78714,0.5682024,0.07538758,0.4760277,0.761252,-0.4338315
2,0.5111111,0.364167,0.7871909,0.5682012,0.0752254,0.4756764,0.7617294,-0.4334068
2,0.5222223,0.364167,0.7871909,0.5682012,0.0752254,0.4756764,0.7617294,-0.4334068
2,0.5333334,0.3640976,0.7871993,0.5682669,0.0748574,0.4756785,0.7621192,-0.4327824
2,0.5444446,0.364046,0.787378,0.5685282,0.07356994,0.476541,0.7624426,-0.4314828
2,0.5555557,0.3644318,0.787335,0.5686144,0.07268199,0.4771754,0.7621143,-0.4315121
2,0.5666668,0.3644735,0.7873697,0.5686116,0.07235059,0.4773323,0.7618145,-0.4319237
2,0.577778,0.3643806,0.7876348,0.5686923,0.07207829,0.4773389,0.7613977,-0.4326958
2,0.5888891,0.3644261,0.7877934,0.5685436,0.07244064,0.4770657,0.7610607,-0.433529
2,0.6000003,0.3645931,0.7878167,0.5684573,0.07266702,0.477085,0.7608818,-0.4337837
2,0.6111114,0.3645767,0.7878634,0.5684628,0.07282101,0.4775473,0.7608289,-0.433342
2,0.6222225,0.3646438,0.7879158,0.5684343,0.07280537,0.4782733,0.7607366,-0.4327053
2,0.6333337,0.3646175,0.7878673,0.5684355,0.07298999,0.479071,0.7606601,-0.4319256
2,0.6444448,0.3646175,0.7878673,0.5684355,0.07298999,0.479071,0.7606601,-0.4319256
2,0.655556,0.3646022,0.7878997,0.5683652,0.07354824,0.4796186,0.7604173,-0.4316507
2,0.6666671,0.3645687,0.7879296,0.5682548,0.07423544,0.4802224,0.7600679,-0.4314769
2,0.6777782,0.364456,0.787954,0.5684513,0.07436641,0.4813471,0.7596414,-0.430952
2,0.6888894,0.3644751,0.7879032,0.5686696,0.07361712,0.4828879,0.7592712,-0.4300083
2,0.7000005,0.3644355,0.7879923,0.5690491,0.07145488,0.4847168,0.7590073,-0.4287792
2,0.7111117,0.3644903,0.7880703,0.5691707,0.069397,0.4852487,0.75904,-0.4284577
2,0.7222228,0.3643714,0.7883812,0.5690454,0.06673498,0.4844534,0.7592515,-0.4294048
2,0.7333339,0.3643134,0.7885125,0.5690126,0.06563112,0.4839637,0.7592913,-0.4300564
2,0.7444451,0.3638749,0.7885812,0.568931,0.06381081,0.4831138,0.7592227,-0.4314048
2,0.7555562,0.3636205,0.7884424,0.5689695,0.06278178,0.4834388,0.7592591,-0.4311275
2,0.7666674,0.363261,0.7882919,0.5690238,0.06172289,0.4835295,0.7595636,-0.430642
2,0.7777785,0.3628308,0.7880744,0.5690297,0.06089149,0.4832284,0.7601528,-0.4300585
2,0.7888896,0.362392,0.7878034,0.5690411,0.06057182,0.4827712,0.7607397,-0.4295791
2,0.8000008,0.3619794,0.7875319,0.5690893,0.06062159,0.4821745,0.7612062,-0.429416
2,0.8111119,0.3616,0.7872404,0.5692285,0.06081064,0.4818156,0.7615296,-0.4292187
2,0.8222231,0.3612723,0.7869633,0.5693929,0.06073149,0.4816732,0.7618403,-0.4288379
2,0.8333342,0.3609577,0.7866757,0.5695592,0.06090578,0.4814693,0.7622497,-0.4283144
2,0.8444453,0.3606846,0.7864032,0.5697368,0.0609919,0.481378,0.7626522,-0.4276877
2,0.8555565,0.3604358,0.7861366,0.5699081,0.06084293,0.4813689,0.7630657,-0.426981
2,0.8666676,0.3602636,0.7859355,0.5700202,0.0605578,0.4812758,0.7635264,-0.4263026
2,0.8777788,0.3600889,0.7858043,0.5700284,0.06050794,0.4807755,0.764035,-0.4259626
2,0.8888899,0.3600013,0.7857196,0.5700604,0.06034343,0.4805028,0.7643222,-0.4257784
2,0.900001,0.3599204,0.7856398,0.5701376,0.06023294,0.4803827,0.7645048,-0.4256017
2,0.9111122,0.3599828,0.7856494,0.5701921,0.06010205,0.4803606,0.7644536,-0.4257371
2,0.9222233,0.3598179,0.7858357,0.5696541,0.06011672,0.4803797,0.7641766,-0.4262107
2,0.9333345,0.3599772,0.7859367,0.5697074,0.06014222,0.4804607,0.7637721,-0.4268403
2,0.9444456,0.3601581,0.7859995,0.5697767,0.06011675,0.4807391,0.7633291,-0.4273224
2,0.9555568,0.3601581,0.7859995,0.5697767,0.06011675,0.4807391,0.7633291,-0.4273224
2,0.9666679,0.3605059,0.7860882,0.5698641,0.06031165,0.4812599,0.7625201,-0.4281523
2,0.977779,0.3606668,0.7861362,0.5698884,0.06078273,0.4814686,0.7621671,-0.4284796
2,0.9888902,0.3608532,0.7860438,0.5699606,0.06107712,0.4818445,0.7618089,-0.4286522
2,1.000001,0.360997,0.7860037,0.5700052,0.06163944,0.482114,0.7615894,-0.4286586
2,1.011112,0.3611076,0.7859198,0.5699879,0.06243482,0.4820921,0.7614302,-0.4288509
2,1.022224,0.3610686,0.785815,0.5698786,0.06346838,0.4818267,0.7614901,-0.4288912
2,1.033335,0.3611608,0.7856852,0.5699212,0.06395063,0.4817548,0.7618059,-0.4283391
2,1.044446,0.3611712,0.7855806,0.5699582,0.06412762,0.4816723,0.7622653,-0.4275876
2,1.055557,0.3612673,0.7854779,0.5699701,0.06430088,0.4814311,0.7627364,-0.4269926
2,1.066668,0.361367,0.7854066,0.5699756,0.0646088,0.4808895,0.7632051,-0.426719
2,1.077779,0.3614801,0.7853065,0.5699753,0.06506418,0.4804315,0.7635508,-0.426547
2,1.08889,0.3616046,0.7852514,0.5699636,0.0656969,0.4799253,0.763804,-0.4265667
2,1.100002,0.3617782,0.7851439,0.5699245,0.06629996,0.4792699,0.7640454,-0.4267778
2,1.111113,0.3619703,0.7850307,0.5698841,0.06669782,0.4786693,0.764393,-0.4267675
2,1.122224,0.3623039,0.7847583,0.5697842,0.06716987,0.4780887,0.764873,-0.4264843
2,1.133335,0.362458,0.7846052,0.5697879,0.06779982,0.4775848,0.7652544,-0.4262648
2,1.144446,0.362458,0.7846052,0.5697879,0.06779982,0.4775848,0.7652544,-0.4262648
2,1.155557,0.362664,0.7844243,0.5698184,0.06850561,0.4770566,0.7656507,-0.4260315
2,1.166668,0.3628379,0.7841877,0.5699738,0.06988806,0.4761705,0.7663975,-0.4254553
2,1.17778,0.3628379,0.7841877,0.5699738,0.06988806,0.4761705,0.7663975,-0.4254553
2,1.188891,0.3630166,0.7840797,0.5702533,0.07046494,0.4762418,0.7665295,-0.4250425
2,1.200002,0.3632907,0.7839569,0.5703602,0.07118976,0.4760435,0.7667484,-0.4247486
2,1.211113,0.3636098,0.7838519,0.5704516,0.07175343,0.4758317,0.7670196,-0.4244014
2,1.222224,0.3639891,0.7837045,0.5704777,0.07237567,0.4753544,0.7673373,-0.4242562
2,1.233335,0.3642873,0.7835677,0.5704731,0.07337384,0.4744045,0.7677341,-0.4244303
2,1.244446,0.3645635,0.7834336,0.5704011,0.07458502,0.47348,0.7681994,-0.4244096
2,1.255558,0.3647297,0.7832502,0.5702249,0.07605214,0.4724119,0.7688991,-0.4240722
2,1.266669,0.3650804,0.7830284,0.5701093,0.07731475,0.471632,0.7696606,-0.4233299
2,1.27778,0.3654131,0.7828237,0.5701805,0.07834545,0.4711597,0.7703272,-0.4224529
2,1.288891,0.3657928,0.7826167,0.5701951,0.07923575,0.4708251,0.7711367,-0.4211811
2,1.300002,0.3661569,0.7823098,0.5703986,0.07999274,0.4708376,0.7717937,-0.4198183
2,1.311113,0.3665215,0.7820705,0.5705589,0.08022887,0.4708895,0.7724991,-0.4184155
2,1.322224,0.3667885,0.7819229,0.5706804,0.08082832,0.4704893,0.7731814,-0.4174889
2,1.333336,0.3670173,0.7817778,0.5707647,0.08176124,0.469907,0.773893,-0.4166439
2,1.344447,0.3671502,0.7816128,0.5708451,0.08263244,0.4690615,0.7747041,-0.4159166
2,1.355558,0.367253,0.7813258,0.5709158,0.08368066,0.4684344,0.775541,-0.414853
2,1.366669,0.3674596,0.7811019,0.5710521,0.08444519,0.4679444,0.7763749,-0.4136896
2,1.37778,0.3676493,0.7808976,0.5712089,0.08530149,0.467548,0.7770109,-0.412767
2,1.388891,0.3679026,0.7807835,0.5713908,0.08634934,0.4667931,0.7774508,-0.4125752
2,1.400002,0.3683264,0.7806621,0.5715443,0.08808072,0.4653084,0.7779294,-0.412984
2,1.411114,0.3683959,0.7808034,0.5716293,0.0902061,0.4628381,0.778456,-0.4143068
2,1.422225,0.3678638,0.7811449,0.5716661,0.09226805,0.4598192,0.7794262,-0.4153888
2,1.433336,0.3671303,0.7815379,0.5716367,0.09353109,0.4574485,0.7808678,-0.4150158
2,1.444447,0.3654619,0.7822326,0.5720795,0.09371263,0.4562602,0.7830144,-0.4122294
2,1.455558,0.3628772,0.7831053,0.5728433,0.09295808,0.4567472,0.7852775,-0.4075292
2,1.466669,0.3597184,0.7839238,0.5739644,0.0909104,0.4597903,0.7872475,-0.4007114
2,1.47778,0.3561964,0.7846969,0.5748624,0.08950053,0.4619074,0.789544,-0.3940197
2,1.488891,0.350214,0.7862398,0.5753559,0.08860052,0.4629872,0.7926997,-0.3865488
