Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
3,0,0.4341759,0.7638837,0.5031796,-0.02359888,0.201142,0.7688015,-0.6065717
3,0,0.4341759,0.7638837,0.5031796,-0.02359888,0.201142,0.7688015,-0.6065717
3,0.01111111,0.4349087,0.7580552,0.504975,-0.02130145,0.2243275,0.7825194,-0.5804195
3,0.02222222,0.4342616,0.7533721,0.5069472,-0.01135543,0.2443399,0.7928945,-0.5581105
3,0.03333334,0.43294,0.749387,0.5084152,0.001356207,0.2593601,0.7995792,-0.5416674
3,0.04444445,0.4320042,0.7458442,0.5092279,0.01326255,0.2733931,0.8051824,-0.5260814
3,0.05555556,0.4316964,0.7439989,0.5100486,0.02066356,0.284695,0.8104259,-0.511597
3,0.06666667,0.4318103,0.7432791,0.5099595,0.02546888,0.290066,0.8138619,-0.5028336
3,0.07777778,0.4323104,0.7436551,0.5095248,0.02856708,0.2915281,0.8155248,-0.4991139
3,0.08888889,0.4332798,0.7448769,0.5085761,0.03063389,0.2909551,0.8153949,-0.4995376
3,0.1,0.4340194,0.7454928,0.5081195,0.03268997,0.2911062,0.815377,-0.4993484
3,0.1111111,0.4356637,0.7458312,0.5072703,0.03275541,0.2898054,0.8142951,-0.5018599
3,0.1222222,0.436364,0.7461436,0.5067588,0.0331506,0.288821,0.8137547,-0.5032761
3,0.1333333,0.4370086,0.7466583,0.5065789,0.03344248,0.2879793,0.8132566,-0.5045427
3,0.1444445,0.437663,0.7467998,0.5063379,0.03441847,0.2879012,0.8140981,-0.5031627
3,0.1555556,0.4378649,0.7467871,0.506353,0.03507728,0.2875532,0.8151202,-0.501659
3,0.1666667,0.4380579,0.7470213,0.5064477,0.03572509,0.2876348,0.8161896,-0.4998245
3,0.1777778,0.4381389,0.7467291,0.5066377,0.03619567,0.2879372,0.8172688,-0.4978491
3,0.1888889,0.4382927,0.7464272,0.5066823,0.03679284,0.287936,0.8178952,-0.496776
3,0.2,0.4383827,0.7461838,0.5066471,0.03755029,0.2869982,0.8181634,-0.4968205
3,0.2111111,0.4384637,0.7459217,0.5065202,0.03842205,0.285241,0.8183455,-0.4974653
3,0.2222222,0.4384517,0.7458041,0.5063602,0.03877419,0.2837501,0.8183213,-0.49833
3,0.2333333,0.4384664,0.7456579,0.5061911,0.03899736,0.2819512,0.8183504,-0.4992848
3,0.2444444,0.4384052,0.7454002,0.5059179,0.03879986,0.279577,0.8185103,-0.5003719
3,0.2555556,0.4383574,0.745128,0.5057157,0.03856493,0.277748,0.8189402,-0.5007054
3,0.2666667,0.4382152,0.7447217,0.5055309,0.03819331,0.2761164,0.8199211,-0.5000303
3,0.2777778,0.4379789,0.7442734,0.5053493,0.03820357,0.2742972,0.8209508,-0.4993408
3,0.2888889,0.4377383,0.7438359,0.5051782,0.03857074,0.2726535,0.8218035,-0.4988099
3,0.3,0.4374425,0.74334,0.5050601,0.03925906,0.2711236,0.8224559,-0.4985147
3,0.3111111,0.437172,0.7427933,0.5050591,0.03984783,0.2705145,0.8229024,-0.4980619
3,0.3222222,0.4368805,0.7423297,0.5050442,0.04030404,0.2696733,0.8233426,-0.4977539
3,0.3333333,0.4365969,0.7419406,0.5050846,0.04073418,0.2691901,0.8233495,-0.497969
3,0.3444445,0.4362669,0.7417951,0.5050563,0.0407984,0.2682488,0.8230587,-0.4989514
3,0.3555556,0.4356325,0.7418987,0.5049516,0.04074653,0.2663915,0.8228626,-0.5002723
3,0.3666667,0.435581,0.7436094,0.5046823,0.04105493,0.2638691,0.8232034,-0.5010229
3,0.3777778,0.4339223,0.7442105,0.5046937,0.04180332,0.2614833,0.823545,-0.5016499
3,0.3888889,0.4320404,0.7447283,0.5047892,0.04301143,0.2598863,0.8242472,-0.5012244
3,0.4,0.4284191,0.7462879,0.5050291,0.04598995,0.257335,0.8247083,-0.5015174
3,0.4111111,0.4234827,0.7490047,0.5050581,0.04999211,0.2523211,0.8239987,-0.5048377
3,0.4222222,0.4179138,0.7523254,0.5053471,0.05326745,0.2476387,0.8232759,-0.5079906
3,0.4333333,0.4090593,0.7568346,0.5072419,0.05382257,0.2499289,0.823695,-0.5061277
3,0.4444444,0.4016187,0.7599465,0.5092536,0.05287694,0.2563142,0.8256483,-0.4998119
3,0.4555556,0.3909782,0.7638583,0.5131481,0.04937229,0.2717039,0.8299369,-0.4847103
3,0.4666667,0.3791761,0.7676596,0.5174332,0.04489537,0.289358,0.8355007,-0.4649675
3,0.4777778,0.365527,0.7726092,0.5219992,0.03914988,0.3073425,0.8411012,-0.4433473
3,0.4888889,0.3522091,0.7779238,0.5259433,0.03442397,0.3211845,0.8449983,-0.4261847
3,0.5,0.3364111,0.7846254,0.5300471,0.02632418,0.3368447,0.8485136,-0.407268
3,0.5111111,0.3216403,0.7920284,0.5331295,0.01588322,0.3498443,0.8502242,-0.3930337
3,0.5222223,0.3061275,0.7995754,0.5364215,0.003901094,0.3631403,0.8511921,-0.3789274
3,0.5333334,0.2898464,0.8084286,0.5388467,-0.01405933,0.3770796,0.8498045,-0.3680295
3,0.5444446,0.2737199,0.8166362,0.5416358,-0.02905037,0.3904086,0.8486702,-0.3556627
3,0.5555557,0.2568521,0.8251346,0.5434904,-0.04767881,0.4034818,0.846087,-0.3450592
3,0.5666668,0.2400095,0.8338823,0.5452538,-0.06540106,0.4148766,0.8431675,-0.3356613
3,0.577778,0.2225384,0.8430939,0.5455461,-0.08568773,0.4234706,0.8386818,-0.3315767
3,0.5888891,0.2053363,0.8519227,0.5454922,-0.106179,0.4308238,0.8335669,-0.329064
3,0.6000003,0.1875965,0.8604092,0.5446411,-0.1289131,0.4369956,0.8280939,-0.3266141
3,0.6111114,0.1688533,0.8687928,0.5435734,-0.1513449,0.4423332,0.8230065,-0.3226396
3,0.6222225,0.1498349,0.8753101,0.5422207,-0.1745162,0.4495001,0.8177825,-0.3142063
3,0.6333337,0.1304695,0.8824624,0.5404721,-0.1970603,0.4561748,0.8124254,-0.3050193
3,0.6444448,0.110451,0.8878978,0.537672,-0.2204072,0.4619427,0.8078015,-0.2923805
3,0.655556,0.08963373,0.8912796,0.5343647,-0.2436489,0.470697,0.8029096,-0.2727925
3,0.6666671,0.06818675,0.8936017,0.5304759,-0.2655491,0.4814534,0.7977012,-0.2477078
3,0.6777782,0.04692637,0.8942935,0.5250474,-0.2869749,0.4897323,0.7936127,-0.2190587
3,0.6888894,0.025511,0.8959739,0.51922,-0.308104,0.4942346,0.7896081,-0.193192
3,0.7000005,0.005873963,0.8955134,0.5103486,-0.330368,0.493108,0.7877672,-0.1646947
3,0.7111117,-0.01222835,0.8956544,0.500542,-0.3563059,0.4871079,0.7848268,-0.14078
3,0.7222228,-0.02878319,0.895587,0.4915454,-0.3826393,0.4829112,0.7784647,-0.1199027
3,0.7333339,-0.03957341,0.895353,0.4812424,-0.4117202,0.4800736,0.7659803,-0.1152819
3,0.7444451,-0.05169269,0.895775,0.4728332,-0.436693,0.4805502,0.751883,-0.1142043
3,0.7555562,-0.05869298,0.8973252,0.4648506,-0.4630994,0.4843799,0.7314022,-0.1263554
3,0.7666674,-0.06712462,0.8987581,0.4575771,-0.4891563,0.4871111,0.7119951,-0.1284984
3,0.7777785,-0.07083464,0.9016075,0.4511905,-0.5139389,0.4917453,0.690402,-0.1319032
3,0.7888896,-0.07317758,0.9058454,0.4468008,-0.5291784,0.5003708,0.6712186,-0.1380756
3,0.8000008,-0.07374191,0.9113491,0.4437593,-0.5302292,0.5190138,0.6523321,-0.1547406
3,0.8111119,-0.07048263,0.9189101,0.4434878,-0.5167451,0.5491387,0.6317778,-0.1796609
3,0.8222231,-0.06858416,0.926003,0.441924,-0.502898,0.5765034,0.6118552,-0.2009241
3,0.8333342,-0.06377271,0.9333432,0.4425222,-0.4773569,0.6062796,0.5970548,-0.2192737
3,0.8444453,-0.05900305,0.9389552,0.4413928,-0.4584811,0.6260113,0.5902911,-0.2223988
3,0.8555565,-0.05262778,0.9430991,0.4406211,-0.4437548,0.6363567,0.5932753,-0.2148402
3,0.8666676,-0.04521528,0.9473295,0.4391951,-0.4329005,0.638437,0.6029446,-0.2036006
3,0.8777788,-0.0363401,0.9504296,0.4387643,-0.4195749,0.6381051,0.6158541,-0.1936551
3,0.8888899,-0.02711029,0.9544687,0.4378872,-0.4044488,0.6403594,0.62581,-0.1863407
3,0.900001,-0.01539742,0.9577783,0.4391962,-0.3872613,0.6415225,0.6376718,-0.178472
3,0.9111122,-0.002915282,0.9594851,0.441096,-0.3679248,0.6433846,0.6483586,-0.1741226
3,0.9222233,0.009401307,0.9620371,0.4433241,-0.3502962,0.6461755,0.6561603,-0.17089
3,0.9333345,0.02398234,0.9626696,0.4467434,-0.3327045,0.6481616,0.6632633,-0.1711022
3,0.9444456,0.03970852,0.9629097,0.450525,-0.3167236,0.6484612,0.6699219,-0.1743242
