Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
1,0,0.6002666,1.553925,-0.01935186,0.3337577,-0.4767069,0.3293021,-0.7435835
1,0,0.6002666,1.553925,-0.01935186,0.3337577,-0.4767069,0.3293021,-0.7435835
1,0.01111111,0.6001558,1.553899,-0.01939634,0.3344798,-0.4762184,0.3318093,-0.7424567
1,0.02222222,0.6004331,1.55372,-0.01947991,0.3349954,-0.4766806,0.3334767,-0.7411793
1,0.03333334,0.6000354,1.553245,-0.01972875,0.3357158,-0.4754131,0.3334855,-0.7416634
1,0.04444445,0.6002198,1.553039,-0.01957689,0.3361246,-0.4757926,0.3329005,-0.7414978
1,0.05555556,0.600109,1.55287,-0.01947965,0.3367028,-0.4766214,0.3314803,-0.7413393
1,0.06666667,0.6003192,1.552621,-0.01949133,0.3369758,-0.4766144,0.3303627,-0.7417186
1,0.07777778,0.6000611,1.552437,-0.01946747,0.3371415,-0.4760642,0.3299815,-0.7421662
1,0.08888889,0.6002402,1.552082,-0.01958132,0.3369421,-0.4750848,0.3298805,-0.7429289
1,0.1,0.6003877,1.551887,-0.01960078,0.3369879,-0.4741721,0.3299327,-0.7434679
1,0.1111111,0.6004543,1.551653,-0.01960705,0.3368364,-0.4738422,0.3300326,-0.7437025
1,0.1222222,0.6005669,1.551486,-0.019656,0.3366443,-0.4735014,0.3298748,-0.7440763
1,0.1333333,0.600682,1.551311,-0.01968354,0.33615,-0.4733135,0.3294726,-0.7445974
1,0.1444445,0.600786,1.551156,-0.01968808,0.3357972,-0.4734909,0.3288095,-0.7449368
1,0.1555556,0.6008668,1.551028,-0.0196705,0.3356046,-0.4737808,0.3281677,-0.7451223
1,0.1666667,0.6009106,1.550931,-0.0195538,0.3358835,-0.4740656,0.3281497,-0.7448235
1,0.1777778,0.6009831,1.550854,-0.01942781,0.3366691,-0.4746395,0.3285561,-0.7439235
1,0.1888889,0.6008852,1.550677,-0.01920359,0.3378501,-0.4751448,0.3294193,-0.7426827
1,0.2,0.6009589,1.550548,-0.01925915,0.3386738,-0.4749756,0.3311929,-0.7416262
1,0.2111111,0.6010165,1.550518,-0.01944198,0.3387355,-0.4746241,0.3327517,-0.7411252
1,0.2222222,0.6011041,1.550411,-0.01959381,0.3383864,-0.474496,0.3333789,-0.7410849
1,0.2333333,0.6011939,1.550378,-0.01967439,0.337844,-0.4745871,0.3336044,-0.7411724
1,0.2444444,0.6013002,1.550439,-0.01982117,0.3363714,-0.4751698,0.3332948,-0.7416081
