Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
2,0,0.2732624,0.9524239,0.2187767,-0.1744786,-0.7111433,-0.5593693,-0.388508
2,0.01111111,0.2738562,0.9511073,0.2193092,-0.1745038,-0.7115792,-0.5639498,-0.3810041
2,0.02222222,0.2754633,0.9497298,0.2192512,-0.1758525,-0.7092838,-0.5734359,-0.3703564
2,0.03333334,0.2754633,0.9497298,0.2192512,-0.1758525,-0.7092838,-0.5734359,-0.3703564
2,0.04444445,0.2790857,0.9454621,0.2198847,-0.1707454,-0.7086643,-0.5918776,-0.3439795
2,0.05555556,0.2802845,0.943799,0.2204683,-0.1657976,-0.7103136,-0.5963227,-0.3352088
2,0.06666667,0.2816798,0.9421238,0.2205414,-0.1577186,-0.7130089,-0.5991364,-0.328297
2,0.07777778,0.2816798,0.9421238,0.2205414,-0.1577186,-0.7130089,-0.5991364,-0.328297
2,0.08888889,0.2828685,0.9403765,0.2202061,-0.148434,-0.7145824,-0.6032007,-0.3216957
2,0.1,0.2826144,0.9404888,0.2200376,-0.148071,-0.7143276,-0.60268,-0.3234004
2,0.1111111,0.2821017,0.9407032,0.2199686,-0.1483991,-0.7137971,-0.602617,-0.324537
2,0.1222222,0.2803499,0.9415917,0.2198981,-0.1529358,-0.7123363,-0.5997325,-0.330921
2,0.1333333,0.2794023,0.9422345,0.2196691,-0.1550216,-0.7117271,-0.5977216,-0.3348756
2,0.1444445,0.2780367,0.9426879,0.2195948,-0.1573213,-0.7111305,-0.5948859,-0.3400795
2,0.1555556,0.2780367,0.9426879,0.2195948,-0.1573213,-0.7111305,-0.5948859,-0.3400795
2,0.1666667,0.2771618,0.9431286,0.219519,-0.1585758,-0.7104887,-0.5932412,-0.3436923
2,0.1777778,0.2762013,0.9432014,0.219371,-0.1592875,-0.709954,-0.591745,-0.3470314
2,0.1888889,0.2751463,0.9433178,0.2196552,-0.1585181,-0.7100157,-0.5900942,-0.3500551
2,0.2,0.2746542,0.9435496,0.219613,-0.1571505,-0.7107675,-0.5884083,-0.3519787
2,0.2111111,0.2741153,0.9438674,0.2197594,-0.1554092,-0.711476,-0.5865958,-0.3543376
2,0.2222222,0.2737696,0.9444478,0.2196658,-0.1544975,-0.711889,-0.5849807,-0.35657
2,0.2333333,0.2733629,0.944755,0.2198415,-0.1539044,-0.7122015,-0.5835864,-0.3584821
2,0.2444444,0.2729392,0.9454118,0.2198535,-0.153802,-0.7122397,-0.5822555,-0.360608
2,0.2555556,0.2723967,0.9457034,0.2199192,-0.153922,-0.7121925,-0.5811737,-0.3623908
2,0.2666667,0.2719702,0.9459345,0.219857,-0.1540122,-0.712068,-0.5802317,-0.3641025
2,0.2777778,0.2719709,0.9456221,0.2202128,-0.1549251,-0.7114663,-0.580873,-0.3638687
2,0.2888889,0.2722717,0.9450288,0.2201293,-0.156409,-0.7095549,-0.585153,-0.3600889
2,0.3,0.2726759,0.9441757,0.2203442,-0.1565245,-0.7085988,-0.589023,-0.3555838
2,0.3111111,0.2729233,0.9436187,0.2205673,-0.1559879,-0.7082207,-0.5916258,-0.3522358
2,0.3222222,0.27312,0.9429973,0.2208537,-0.1539361,-0.7087743,-0.5927411,-0.3501437
2,0.3333333,0.2731773,0.9427837,0.2209061,-0.1515137,-0.7093214,-0.5928847,-0.349849
2,0.3444445,0.2735206,0.9424982,0.2209695,-0.1497513,-0.7092659,-0.5932304,-0.3501344
2,0.3555556,0.2734557,0.9424167,0.2208539,-0.1487462,-0.708953,-0.5934907,-0.3507549
2,0.3666667,0.2734401,0.9424199,0.22108,-0.1483512,-0.7086619,-0.5938366,-0.3509249
2,0.3777778,0.273272,0.9425393,0.2210146,-0.1490014,-0.7080851,-0.5938473,-0.3517948
2,0.3888889,0.2729977,0.9427583,0.2211267,-0.1499267,-0.7077081,-0.5933785,-0.3529492
2,0.4,0.2727091,0.9429926,0.2211181,-0.1505748,-0.7073916,-0.5926343,-0.3545548
2,0.4111111,0.2722561,0.9435131,0.2211331,-0.1515576,-0.7074615,-0.5907645,-0.3571077
2,0.4222222,0.2720567,0.9439417,0.2210334,-0.152094,-0.7075335,-0.5894591,-0.3588897
2,0.4333333,0.2717045,0.9443257,0.2210878,-0.1526868,-0.707802,-0.5875419,-0.3612445
2,0.4444444,0.2716125,0.9445979,0.2210879,-0.1533036,-0.7078255,-0.5864892,-0.362645
2,0.4555556,0.2714782,0.9446138,0.221147,-0.1539714,-0.7075353,-0.5863346,-0.363178
2,0.4666667,0.2713722,0.9447742,0.2210771,-0.1543595,-0.7074351,-0.5862639,-0.3633229
2,0.4777778,0.2712265,0.9447171,0.2212606,-0.1547693,-0.7073359,-0.5861568,-0.3635141
2,0.4888889,0.2713399,0.9448013,0.2214814,-0.1549658,-0.7073606,-0.586243,-0.3632433
2,0.5,0.2714196,0.9447209,0.2215341,-0.1550019,-0.7072884,-0.5863469,-0.3632005
2,0.5111111,0.271454,0.9447691,0.2214922,-0.155102,-0.7073177,-0.5862347,-0.3632821
2,0.5222223,0.2715671,0.94466,0.221476,-0.1552904,-0.7073262,-0.5859157,-0.3636994
2,0.5333334,0.2715383,0.944801,0.2214459,-0.1554201,-0.7075663,-0.585143,-0.3644207
2,0.5444446,0.2715208,0.944991,0.2215198,-0.1557445,-0.7078059,-0.5843006,-0.3651674
2,0.5555557,0.2714876,0.9450915,0.2214883,-0.1561772,-0.7080709,-0.5834844,-0.3657732
2,0.5666668,0.2717844,0.9454008,0.221243,-0.1569322,-0.7082396,-0.582784,-0.3662399
2,0.577778,0.2719384,0.9454832,0.2211707,-0.1578162,-0.7085244,-0.582064,-0.3664543
2,0.5888891,0.2719797,0.9457075,0.2211853,-0.158689,-0.7087685,-0.5813712,-0.366705
2,0.6000003,0.2721789,0.9458855,0.2212514,-0.159506,-0.7090926,-0.5806081,-0.3669329
2,0.6111114,0.2722378,0.9460211,0.2213013,-0.1603246,-0.7093531,-0.5801275,-0.3668327
2,0.6222225,0.2724729,0.9463401,0.2212707,-0.1611502,-0.7098109,-0.5793552,-0.366806
2,0.6333337,0.2725459,0.946456,0.2213346,-0.161651,-0.7104574,-0.5784917,-0.3666968
2,0.6444448,0.2726933,0.946561,0.221381,-0.162124,-0.7109922,-0.5778836,-0.3664104
2,0.655556,0.2727845,0.9466006,0.2214081,-0.1626211,-0.7114316,-0.5774229,-0.3660631
2,0.6666671,0.2729097,0.9464957,0.2215943,-0.1628594,-0.7117251,-0.5773676,-0.3654734
2,0.6777782,0.2729488,0.9463957,0.2217468,-0.1632321,-0.7119997,-0.5772047,-0.3650294
2,0.6888894,0.2729172,0.9462746,0.2217538,-0.1634036,-0.7121947,-0.5771021,-0.3647343
2,0.7000005,0.2730174,0.9463925,0.2216876,-0.163371,-0.7124518,-0.5767638,-0.3647819
2,0.7111117,0.2730256,0.9463897,0.2216387,-0.1634667,-0.7125249,-0.5766349,-0.3648001
2,0.7222228,0.2731773,0.9464052,0.2214559,-0.1636195,-0.7125814,-0.5765302,-0.3647867
2,0.7333339,0.2731563,0.9463975,0.221396,-0.1634632,-0.712697,-0.5764118,-0.364818
2,0.7444451,0.2732607,0.9465612,0.2212178,-0.1633699,-0.7128606,-0.576079,-0.3650658
2,0.7555562,0.2732012,0.9466137,0.2211602,-0.1633154,-0.7129917,-0.5757462,-0.3653588
2,0.7666674,0.2731867,0.9468589,0.2210959,-0.1632502,-0.7130181,-0.5755261,-0.3656833
2,0.7777785,0.2729567,0.9468623,0.2211655,-0.163114,-0.7129918,-0.5754602,-0.3658989
2,0.7888896,0.2730019,0.947002,0.2210832,-0.1630248,-0.71298,-0.5754831,-0.3659254
2,0.8000008,0.2729323,0.946981,0.221023,-0.1628785,-0.7130096,-0.575452,-0.3659822
2,0.8111119,0.2730466,0.9469398,0.2210038,-0.1628011,-0.7131228,-0.575467,-0.3657723
2,0.8222231,0.2730466,0.9469398,0.2210038,-0.1628011,-0.7131228,-0.575467,-0.3657723
2,0.8333342,0.2731142,0.9468155,0.2209084,-0.1624806,-0.7133489,-0.5754436,-0.365511
2,0.8444453,0.2732033,0.9467627,0.2208284,-0.1624782,-0.7131482,-0.5757828,-0.3653691
2,0.8555565,0.2731456,0.9467404,0.2208973,-0.162478,-0.7131017,-0.5758359,-0.365376
2,0.8666676,0.2730795,0.946613,0.2209726,-0.1626088,-0.7130429,-0.5758626,-0.3653909
2,0.8777788,0.2729919,0.9465619,0.2211442,-0.1626778,-0.7130755,-0.575838,-0.3653354
2,0.8888899,0.2729135,0.9464741,0.2212509,-0.1627401,-0.7130728,-0.5758823,-0.3652432
2,0.900001,0.2728813,0.9462462,0.221379,-0.1629202,-0.7129802,-0.5761515,-0.3649188
2,0.9111122,0.2728258,0.9460839,0.2214437,-0.1629533,-0.7128116,-0.5765327,-0.3646311
2,0.9222233,0.2727545,0.9460239,0.221539,-0.1629311,-0.7126498,-0.5768092,-0.3645201
2,0.9333345,0.2725893,0.9459364,0.2216877,-0.1627508,-0.7124865,-0.5768293,-0.3648881
2,0.9444456,0.2724287,0.9459248,0.2217303,-0.1626439,-0.7123244,-0.5767652,-0.365353
2,0.9555568,0.2722483,0.9459584,0.2217811,-0.1624861,-0.712058,-0.5769147,-0.3657063
2,0.9666679,0.2721351,0.9459062,0.2217755,-0.1622718,-0.7117928,-0.5771093,-0.3660104
2,0.977779,0.2722725,0.9460542,0.2215002,-0.1622135,-0.7115251,-0.5772746,-0.3662961
2,0.9888902,0.2721616,0.9460497,0.2214344,-0.1619414,-0.711227,-0.5774084,-0.3667842
2,1.000001,0.27213,0.9461829,0.2214286,-0.1617438,-0.7109579,-0.5775335,-0.3671961
2,1.011112,0.2720519,0.9461647,0.2214004,-0.161595,-0.7107474,-0.5776442,-0.3674946
2,1.022224,0.2720432,0.946288,0.2214307,-0.1615046,-0.7106202,-0.5776443,-0.3677804
2,1.033335,0.2720305,0.9462481,0.2214534,-0.1614606,-0.7104816,-0.5777829,-0.3678496
2,1.044446,0.2721011,0.9461842,0.2214467,-0.1615136,-0.7103116,-0.5780358,-0.3677572
2,1.055557,0.272115,0.9461989,0.2214237,-0.1614805,-0.710144,-0.5782428,-0.3677701
2,1.066668,0.2720987,0.9461309,0.2213972,-0.1614157,-0.7100973,-0.5782979,-0.3678022
