Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
1,0,0.3838532,1.13698,0.2293084,-0.4096144,-0.6650229,-0.6008047,-0.1702771
1,0,0.3838532,1.13698,0.2293084,-0.4096144,-0.6650229,-0.6008047,-0.1702771
1,0.01111111,0.3825428,1.141055,0.2324845,-0.410085,-0.6726678,-0.5873362,-0.1854306
1,0.02222222,0.3807774,1.144552,0.2361519,-0.411075,-0.68014,-0.5730485,-0.2001059
1,0.03333334,0.3790234,1.148258,0.2400931,-0.4111658,-0.6875395,-0.5589718,-0.2139687
1,0.04444445,0.3773858,1.15264,0.2435248,-0.4116831,-0.6935107,-0.5456839,-0.2275722
1,0.05555556,0.3742935,1.156424,0.2471744,-0.4130413,-0.6960212,-0.5363014,-0.2394416
1,0.06666667,0.3724429,1.160299,0.2500076,-0.4133363,-0.6980727,-0.5279521,-0.2512252
1,0.07777778,0.3705487,1.163751,0.2523093,-0.4120129,-0.6981019,-0.5242042,-0.2609771
1,0.08888889,0.368775,1.167019,0.2552419,-0.4091358,-0.6995096,-0.5200242,-0.2699424
1,0.1,0.3670681,1.169365,0.2591259,-0.4041499,-0.7017215,-0.5184569,-0.2746857
1,0.1111111,0.3655537,1.171446,0.2638323,-0.3975928,-0.7056798,-0.5172722,-0.276343
1,0.1222222,0.3639611,1.173649,0.2678228,-0.392956,-0.7075521,-0.5162282,-0.2801144
1,0.1333333,0.3619835,1.175916,0.2717324,-0.3872612,-0.708073,-0.518361,-0.2827776
1,0.1444445,0.3597589,1.17809,0.2758539,-0.3816249,-0.7086655,-0.5193326,-0.2871397
1,0.1555556,0.3570355,1.180722,0.2798645,-0.3751283,-0.7073091,-0.5225513,-0.2931426
1,0.1666667,0.3542506,1.183377,0.2836624,-0.3689479,-0.706834,-0.5235945,-0.3001867
1,0.1777778,0.3507262,1.186318,0.2872151,-0.3615907,-0.7050294,-0.5254329,-0.3100095
1,0.1888889,0.3469319,1.189508,0.2905858,-0.3530751,-0.7029397,-0.527145,-0.3214527
1,0.2,0.3430126,1.192528,0.2937746,-0.3429592,-0.7010975,-0.528349,-0.3341985
1,0.2111111,0.3392439,1.195836,0.2966508,-0.3317661,-0.6988627,-0.5290865,-0.3486969
1,0.2222222,0.3356042,1.19916,0.2993971,-0.321007,-0.6962788,-0.5296055,-0.3628615
1,0.2333333,0.3311576,1.202113,0.3015668,-0.309835,-0.6914008,-0.5315148,-0.3787599
1,0.2444444,0.3273354,1.205219,0.3037947,-0.3000963,-0.6856051,-0.5345842,-0.3925654
1,0.2555556,0.3230194,1.207952,0.305557,-0.2901335,-0.6782265,-0.5382694,-0.4075507
1,0.2666667,0.3186078,1.210946,0.3072786,-0.2803971,-0.6708202,-0.5412446,-0.4224122
1,0.2777778,0.3144214,1.213278,0.3088356,-0.2708715,-0.6630396,-0.5443722,-0.4366531
1,0.2888889,0.3103399,1.215459,0.3105047,-0.2619589,-0.6545683,-0.5482385,-0.449836
1,0.3,0.3064528,1.217686,0.312243,-0.252597,-0.6467347,-0.5510411,-0.4629067
1,0.3111111,0.3025768,1.219763,0.3140239,-0.245592,-0.6382994,-0.554194,-0.474476
1,0.3222222,0.2986358,1.221875,0.3160613,-0.2406327,-0.6293103,-0.5575671,-0.4849572
1,0.3333333,0.2948163,1.224163,0.3185661,-0.2373236,-0.6208353,-0.5597566,-0.4948875
1,0.3444445,0.2909501,1.226493,0.3212261,-0.2348944,-0.613241,-0.5612727,-0.5037192
1,0.3555556,0.2870533,1.2284,0.3240791,-0.2324067,-0.6057169,-0.5633765,-0.5115673
1,0.3666667,0.2832259,1.229674,0.3267188,-0.231125,-0.5980338,-0.5682014,-0.5158332
1,0.3777778,0.2796094,1.230361,0.3292394,-0.2293044,-0.5904995,-0.5745119,-0.51833
1,0.3888889,0.2758391,1.231034,0.3322028,-0.2268257,-0.5844281,-0.5799413,-0.5202519
1,0.4,0.2719723,1.231419,0.3351521,-0.2248989,-0.5789407,-0.5848094,-0.521772
1,0.4111111,0.2681449,1.231764,0.3380976,-0.2230806,-0.5732688,-0.5899433,-0.5230341
1,0.4222222,0.2622347,1.234549,0.3398401,-0.224731,-0.5659386,-0.5944311,-0.5252249
1,0.4333333,0.2582611,1.234647,0.3427411,-0.2235402,-0.5608451,-0.6008207,-0.5239248
1,0.4444444,0.2566466,1.233889,0.3457404,-0.221987,-0.5546188,-0.6072835,-0.5237617
1,0.4555556,0.2528118,1.233174,0.3478297,-0.2191556,-0.5495499,-0.6131091,-0.5235104
1,0.4666667,0.2499423,1.232489,0.3501453,-0.2161969,-0.5439295,-0.6187185,-0.5240105
1,0.4777778,0.2467407,1.231947,0.3513942,-0.2119153,-0.5381413,-0.6244756,-0.5249059
1,0.4888889,0.2433702,1.23161,0.3526292,-0.2071984,-0.5322089,-0.6297455,-0.5265387
1,0.5,0.2399297,1.231498,0.3531967,-0.2010625,-0.5267235,-0.6330449,-0.5304626
1,0.5111111,0.236533,1.231293,0.3543646,-0.196046,-0.5210018,-0.6372033,-0.5330056
1,0.5222223,0.2330391,1.23107,0.3545136,-0.1895434,-0.5151696,-0.6404117,-0.5371652
1,0.5333334,0.2296207,1.230903,0.3549182,-0.1843689,-0.5090082,-0.6442082,-0.5402912
1,0.5444446,0.226088,1.231131,0.3551784,-0.180366,-0.5031435,-0.6466579,-0.5441951
1,0.5555557,0.2225929,1.231457,0.3554538,-0.1763842,-0.4977095,-0.6492758,-0.5473707
1,0.5666668,0.2185437,1.231665,0.3560106,-0.1726469,-0.4927571,-0.6527386,-0.5489224
1,0.577778,0.2148421,1.231115,0.3562453,-0.1684899,-0.4882078,-0.6571789,-0.5489811
1,0.5888891,0.2112976,1.230648,0.3564258,-0.1639927,-0.4843645,-0.6618279,-0.5481617
1,0.6000003,0.2076527,1.229907,0.3562381,-0.1585013,-0.4810651,-0.666211,-0.5473725
1,0.6111114,0.204111,1.229289,0.3561062,-0.1525602,-0.477722,-0.6703623,-0.5469201
1,0.6222225,0.2006332,1.228256,0.3556872,-0.1453428,-0.4757682,-0.6740688,-0.5460323
1,0.6333337,0.1971517,1.227377,0.3553003,-0.1381274,-0.4743368,-0.677008,-0.5455141
1,0.6444448,0.1934149,1.226809,0.3550375,-0.131514,-0.4723004,-0.6804234,-0.5446656
1,0.655556,0.1901245,1.225479,0.3544728,-0.1244845,-0.470451,-0.6844265,-0.5428994
1,0.6666671,0.1867182,1.224491,0.3538296,-0.1175057,-0.4687083,-0.6880239,-0.5414131
1,0.6777782,0.1834549,1.223397,0.3528855,-0.1106015,-0.4673323,-0.6908804,-0.5404186
1,0.6888894,0.1802881,1.22217,0.3518817,-0.1036676,-0.4662863,-0.6935066,-0.5393319
1,0.7000005,0.1772113,1.221122,0.3506104,-0.09684624,-0.465153,-0.6960214,-0.5383379
1,0.7111117,0.1741961,1.219832,0.3493778,-0.09089004,-0.4648567,-0.6980537,-0.5369994
1,0.7222228,0.1710922,1.219041,0.3480638,-0.08548364,-0.4640164,-0.7001973,-0.5358219
1,0.7333339,0.1679281,1.218215,0.3467972,-0.0812663,-0.4634311,-0.7019864,-0.5346425
1,0.7444451,0.1648091,1.217239,0.3453737,-0.0763271,-0.4628018,-0.7041757,-0.5330338
1,0.7555562,0.1619469,1.215983,0.3439214,-0.07106352,-0.4629841,-0.7061595,-0.530975
1,0.7666674,0.1590041,1.214671,0.3423251,-0.06473835,-0.463621,-0.7081326,-0.5285951
1,0.7777785,0.1563096,1.213134,0.3408509,-0.05844915,-0.4642772,-0.7103283,-0.5257985
1,0.7888896,0.1536226,1.211588,0.3390372,-0.0520054,-0.4647154,-0.7130753,-0.5223588
1,0.8000008,0.1511782,1.209996,0.3373696,-0.0456104,-0.4651345,-0.7157643,-0.518894
1,0.8111119,0.1486748,1.208334,0.335294,-0.03867719,-0.465732,-0.7187082,-0.5148363
1,0.8222231,0.14674,1.20645,0.3331974,-0.03129461,-0.4666055,-0.7215542,-0.5105483
1,0.8333342,0.144922,1.204565,0.3313176,-0.02409604,-0.4677022,-0.7239099,-0.5065852
1,0.8444453,0.1431472,1.203144,0.3290414,-0.0173789,-0.468621,-0.7261334,-0.5028147
1,0.8555565,0.1416779,1.20126,0.3271302,-0.01109754,-0.4696177,-0.7287724,-0.4982236
1,0.8666676,0.1402127,1.199847,0.3251607,-0.005428746,-0.4705349,-0.7312554,-0.4937945
1,0.8777788,0.1391708,1.197933,0.3231924,0.0001268983,-0.4713431,-0.733901,-0.4891063
1,0.8888899,0.1384801,1.195975,0.3211159,0.005878776,-0.4720389,-0.7368655,-0.4839153
1,0.900001,0.1376573,1.194375,0.3191142,0.0115155,-0.4727019,-0.7395933,-0.4789802
1,0.9111122,0.1375113,1.192566,0.3170452,0.0160221,-0.4735876,-0.7413656,-0.4752212
1,0.9222233,0.1368352,1.190922,0.3150453,0.02035038,-0.4745135,-0.7429109,-0.4717056
1,0.9333345,0.136694,1.189293,0.3130229,0.02340896,-0.4755291,-0.744153,-0.4685726
1,0.9444456,0.1365733,1.187761,0.3110367,0.02602531,-0.4765346,-0.7455034,-0.4652548
1,0.9555568,0.1367093,1.186285,0.3091165,0.02709198,-0.4779532,-0.7463496,-0.4623735
1,0.9666679,0.1367848,1.185142,0.3073019,0.0267597,-0.4796972,-0.7459881,-0.4611686
1,0.977779,0.1366578,1.184167,0.3053727,0.02602923,-0.4814065,-0.7450694,-0.4609143
1,0.9888902,0.1369549,1.182902,0.3032615,0.02569881,-0.4827421,-0.7447877,-0.4599902
1,1.000001,0.1377088,1.18169,0.3006471,0.02585299,-0.4835602,-0.7447538,-0.4591764
1,1.011112,0.1390103,1.180697,0.2973385,0.02672252,-0.484209,-0.7440265,-0.4596215
1,1.022224,0.1408639,1.179777,0.2936689,0.02815041,-0.4855072,-0.7417709,-0.4618076
1,1.033335,0.1424066,1.178831,0.2903351,0.02983387,-0.4878247,-0.7387839,-0.4640424
1,1.044446,0.1444254,1.177733,0.2871108,0.0315593,-0.492902,-0.7336888,-0.4666395
1,1.055557,0.1464962,1.176303,0.2842313,0.03186701,-0.5010541,-0.7274806,-0.4676551
1,1.066668,0.1484306,1.174779,0.2820433,0.03020568,-0.5119022,-0.7207732,-0.4664007
1,1.077779,0.1504478,1.172703,0.2803752,0.02641907,-0.5251139,-0.7145041,-0.4615639
1,1.08889,0.1524226,1.170766,0.2787274,0.02253264,-0.537726,-0.7091764,-0.4554247
1,1.100002,0.1546428,1.167941,0.2779603,0.01619142,-0.5531821,-0.704305,-0.4446144
1,1.111113,0.1574055,1.165364,0.2773162,0.009164423,-0.5693944,-0.6992908,-0.4320861
1,1.122224,0.1604054,1.163102,0.2763318,0.001853317,-0.5850417,-0.6936758,-0.4201629
1,1.133335,0.1635027,1.16092,0.2755442,-0.005123317,-0.600166,-0.6874044,-0.4089618
1,1.144446,0.1668969,1.158873,0.2741682,-0.01188153,-0.615128,-0.6798786,-0.3990507
1,1.155557,0.1705971,1.15702,0.2729161,-0.01806882,-0.6292048,-0.6716872,-0.3906547
1,1.166668,0.1743558,1.155238,0.2709692,-0.02347234,-0.6419948,-0.6637773,-0.3830031
1,1.17778,0.1787116,1.153789,0.268643,-0.02898553,-0.6538079,-0.655214,-0.3773457
1,1.188891,0.1825142,1.153023,0.266024,-0.03374583,-0.6623227,-0.6478975,-0.3747247
1,1.200002,0.186574,1.152052,0.2631653,-0.03890863,-0.670926,-0.640099,-0.3723139
1,1.211113,0.1909969,1.151112,0.2601297,-0.04415759,-0.6791881,-0.6318729,-0.3707968
1,1.222224,0.1949794,1.15021,0.2573321,-0.04824701,-0.6859536,-0.6250431,-0.3694064
1,1.233335,0.1993537,1.149298,0.2544081,-0.05225345,-0.6929088,-0.6173249,-0.3688592
1,1.244446,0.2036925,1.148437,0.2514496,-0.05655399,-0.699778,-0.6096919,-0.3679513
1,1.255558,0.2082644,1.147655,0.2484929,-0.06169268,-0.7055805,-0.6026687,-0.3676146
1,1.266669,0.2128159,1.147131,0.2455863,-0.06724152,-0.7116321,-0.594906,-0.3676209
1,1.27778,0.2176864,1.146484,0.2431022,-0.07363763,-0.7182642,-0.5863413,-0.3672573
1,1.288891,0.2223652,1.146187,0.2406443,-0.08034587,-0.7241726,-0.5779792,-0.3675033
1,1.300002,0.2274382,1.145518,0.237786,-0.08725955,-0.7301186,-0.5698718,-0.3668225
1,1.311113,0.2324462,1.145026,0.2354043,-0.09490842,-0.7355386,-0.5620413,-0.3661761
1,1.322224,0.2377386,1.144582,0.2325925,-0.1025983,-0.741075,-0.5542014,-0.3648867
1,1.333336,0.2430427,1.144192,0.2302278,-0.1110373,-0.7462008,-0.5463159,-0.3638598
1,1.344447,0.2484909,1.143738,0.2275054,-0.1186292,-0.7514977,-0.5380122,-0.362934
1,1.355558,0.2546988,1.143294,0.2249188,-0.1274259,-0.7575431,-0.5287991,-0.3609191
1,1.366669,0.2601868,1.142615,0.2230413,-0.1342573,-0.762667,-0.5210956,-0.3588501
1,1.37778,0.2666099,1.142027,0.2207296,-0.1419304,-0.7683969,-0.5117761,-0.3570814
1,1.388891,0.2724806,1.141528,0.2186535,-0.1500072,-0.7734465,-0.502741,-0.3557103
1,1.400002,0.2785537,1.14117,0.2166563,-0.1592721,-0.7782947,-0.4933501,-0.3542534
1,1.411114,0.2850818,1.14072,0.2148428,-0.1717346,-0.7820768,-0.4848699,-0.3518015
1,1.422225,0.2919527,1.140141,0.2125253,-0.1833102,-0.7860222,-0.4762942,-0.34887
1,1.433336,0.2985917,1.139041,0.2110438,-0.195712,-0.7892632,-0.4690874,-0.3445536
1,1.444447,0.3056342,1.137871,0.2094045,-0.2079629,-0.7928231,-0.4606606,-0.3405506
1,1.455558,0.312607,1.136549,0.2076526,-0.219905,-0.7961649,-0.4516401,-0.3373195
1,1.466669,0.3197432,1.13517,0.2055091,-0.2315328,-0.7990264,-0.4427673,-0.3345245
1,1.47778,0.3270002,1.133631,0.2036762,-0.2435018,-0.8016717,-0.4326118,-0.3329811
1,1.488891,0.334213,1.132099,0.2019099,-0.255352,-0.8042724,-0.4223937,-0.3309455
1,1.500003,0.3416499,1.130244,0.2005102,-0.2681834,-0.80639,-0.4118232,-0.3289598
1,1.511114,0.3485822,1.128698,0.1991412,-0.2817258,-0.8080336,-0.4009529,-0.3270304
1,1.522225,0.3562133,1.126974,0.1978943,-0.2947089,-0.8096352,-0.3896512,-0.3252837
1,1.533336,0.3636001,1.124779,0.1969606,-0.3087622,-0.810202,-0.3783177,-0.3242135
1,1.544447,0.3705973,1.122706,0.1958303,-0.3221731,-0.8098836,-0.3679471,-0.3238951
