Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
1,0,0.4762256,1.31732,-0.01974149,0.3974833,-0.4588581,0.1234768,-0.7849904
1,0,0.4762256,1.31732,-0.01974149,0.3974833,-0.4588581,0.1234768,-0.7849904
1,0.01111111,0.475604,1.315594,-0.02110253,0.4023905,-0.4631661,0.1168988,-0.7809569
1,0.02222222,0.4753661,1.316188,-0.02262825,0.4016829,-0.4675789,0.1161266,-0.7788039
1,0.03333334,0.474516,1.316609,-0.02604564,0.3970719,-0.4649279,0.1243911,-0.7814747
1,0.04444445,0.4752046,1.317192,-0.02903929,0.3958245,-0.4621506,0.1261613,-0.7834687
1,0.05555556,0.474924,1.317616,-0.030095,0.3922826,-0.4664172,0.1180242,-0.7839895
1,0.06666667,0.4754131,1.316926,-0.03259514,0.389266,-0.4686014,0.106182,-0.7858818
1,0.07777778,0.4755244,1.31607,-0.0342432,0.3863527,-0.4685104,0.1006994,-0.7880921
1,0.08888889,0.4753977,1.315629,-0.0354836,0.3832584,-0.4705466,0.09468043,-0.7891352
1,0.1,0.474202,1.314485,-0.03712533,0.3771898,-0.4795641,0.08220404,-0.7880283
1,0.1111111,0.474202,1.314485,-0.03712533,0.3771898,-0.4795641,0.08220404,-0.7880283
1,0.1222222,0.4738601,1.313393,-0.03784964,0.3760167,-0.4822394,0.07817598,-0.7873659
1,0.1333333,0.4737156,1.312631,-0.03886657,0.3752655,-0.4833499,0.07638276,-0.7872193
1,0.1444445,0.4731081,1.311343,-0.04076169,0.3732308,-0.4836398,0.07757857,-0.7878914
1,0.1555556,0.472748,1.310877,-0.04148909,0.3718933,-0.4840142,0.07997929,-0.7880539
1,0.1666667,0.472748,1.310877,-0.04148909,0.3718933,-0.4840142,0.07997929,-0.7880539
1,0.1777778,0.4726958,1.310419,-0.04218339,0.3704775,-0.4853064,0.0802335,-0.7879002
1,0.1888889,0.4720443,1.309535,-0.04298791,0.3676214,-0.4893984,0.07888369,-0.7868425
1,0.2,0.4716907,1.308974,-0.04331568,0.3665197,-0.4909852,0.07820097,-0.786436
1,0.2111111,0.4716907,1.308974,-0.04331568,0.3665197,-0.4909852,0.07820097,-0.786436
1,0.2222222,0.4711265,1.307775,-0.04387091,0.3647654,-0.4925244,0.07868081,-0.7862413
1,0.2333333,0.4710723,1.307128,-0.0441203,0.3642514,-0.4932731,0.07872793,-0.7860054
1,0.2444444,0.4710723,1.307128,-0.0441203,0.3642514,-0.4932731,0.07872793,-0.7860054
1,0.2555556,0.470969,1.305925,-0.04452815,0.3636599,-0.4940081,0.08044712,-0.7856434
1,0.2666667,0.470969,1.305925,-0.04452815,0.3636599,-0.4940081,0.08044712,-0.7856434
1,0.2777778,0.4708332,1.305318,-0.04464307,0.3631001,-0.494728,0.0813494,-0.7853565
1,0.2888889,0.4707277,1.304903,-0.04477849,0.3624117,-0.4953448,0.08270508,-0.785144
1,0.3,0.4708327,1.304112,-0.04509158,0.3605496,-0.4962344,0.08403996,-0.7852979
1,0.3111111,0.4705921,1.303645,-0.04504024,0.3597821,-0.4968238,0.08406241,-0.7852749
1,0.3222222,0.4705921,1.303645,-0.04504024,0.3597821,-0.4968238,0.08406241,-0.7852749
1,0.3333333,0.4706072,1.303259,-0.04499473,0.3590285,-0.4975644,0.08363254,-0.7851967
1,0.3444445,0.4706811,1.302633,-0.04479572,0.3580479,-0.4992952,0.08261214,-0.7846536
1,0.3555556,0.470507,1.302482,-0.04472896,0.3575734,-0.4998334,0.08259059,-0.7845296
1,0.3666667,0.4705269,1.302285,-0.04478146,0.3572397,-0.5001252,0.0826357,-0.7844908
1,0.3777778,0.4705432,1.302233,-0.04494423,0.3567423,-0.4996165,0.08398481,-0.7848979
1,0.3888889,0.4706399,1.302354,-0.04504521,0.3559879,-0.4992787,0.08499643,-0.7853464
1,0.4,0.4704916,1.302448,-0.04502459,0.355155,-0.4995997,0.08515236,-0.7855026
1,0.4111111,0.4705027,1.302601,-0.04493024,0.3544065,-0.5002929,0.08422451,-0.7854994
1,0.4222222,0.4705027,1.302601,-0.04493024,0.3544065,-0.5002929,0.08422451,-0.7854994
1,0.4333333,0.47047,1.302693,-0.04474005,0.353967,-0.5005664,0.08309202,-0.7856439
1,0.4444444,0.4704713,1.302641,-0.04457778,0.3538277,-0.5003635,0.08207949,-0.7859423
1,0.4555556,0.4703082,1.302312,-0.04434001,0.3540038,-0.4999737,0.08073342,-0.7862504
1,0.4666667,0.4702699,1.302361,-0.04409245,0.3540402,-0.4999052,0.07935952,-0.7864174
1,0.4777778,0.4703411,1.302293,-0.04392545,0.3547539,-0.4996118,0.07748461,-0.7864693
1,0.4888889,0.4703183,1.302404,-0.04354256,0.3551726,-0.4993271,0.07642296,-0.7865649
1,0.5,0.4701251,1.302492,-0.04319233,0.3558849,-0.4984759,0.07599278,-0.7868246
1,0.5111111,0.4700139,1.302732,-0.04283516,0.356745,-0.4976465,0.07581973,-0.7869767
1,0.5222223,0.4699101,1.303182,-0.04242904,0.3579258,-0.4969341,0.07563767,-0.7869083
1,0.5333334,0.4698508,1.303588,-0.04200496,0.3590892,-0.4962368,0.07560493,-0.7868212
1,0.5444446,0.469781,1.303784,-0.04159418,0.3603212,-0.4953868,0.07572323,-0.7867824
1,0.5555557,0.469981,1.304033,-0.04143345,0.3619267,-0.4941819,0.07628521,-0.786749
1,0.5666668,0.4700459,1.304213,-0.04102094,0.3639668,-0.4932623,0.07630867,-0.7863826
1,0.577778,0.4702084,1.304338,-0.04065318,0.3659723,-0.4922913,0.0763846,-0.7860528
1,0.5888891,0.4703925,1.304403,-0.04022742,0.3680611,-0.4912609,0.07717358,-0.785645
1,0.6000003,0.4706371,1.304418,-0.03989032,0.3700091,-0.4898898,0.07891178,-0.7854134
1,0.6111114,0.4707612,1.304433,-0.03949982,0.371237,-0.4891878,0.08064602,-0.7850952
1,0.6222225,0.471051,1.304461,-0.03900652,0.3721898,-0.4885536,0.08239333,-0.7848577
1,0.6333337,0.4711825,1.30439,-0.03837229,0.3734848,-0.4878195,0.0832625,-0.7846073
1,0.6444448,0.4716066,1.304118,-0.03775147,0.3746757,-0.4876401,0.08288123,-0.7841914
1,0.655556,0.4716117,1.303688,-0.03698115,0.3756393,-0.4872909,0.08255357,-0.7839817
1,0.6666671,0.4720515,1.303463,-0.03637584,0.3764353,-0.4868418,0.08271848,-0.7838618
1,0.6777782,0.4722806,1.303162,-0.03571859,0.3773344,-0.48641,0.08281896,-0.7836869
1,0.6888894,0.4727391,1.302799,-0.03493258,0.3783328,-0.4862019,0.08295856,-0.7833197
1,0.7000005,0.473198,1.302319,-0.03413788,0.3792782,-0.485811,0.08377399,-0.7830184
1,0.7111117,0.4737737,1.302041,-0.03359319,0.3798859,-0.4851997,0.08548348,-0.7829179
1,0.7222228,0.4742438,1.301738,-0.03286105,0.3801931,-0.4846694,0.08745913,-0.782879
1,0.7333339,0.4747882,1.301513,-0.03214596,0.3803379,-0.4843405,0.08916418,-0.7828199
1,0.7444451,0.4752706,1.301253,-0.03140711,0.380002,-0.4842075,0.09098336,-0.7828561
1,0.7555562,0.475875,1.301217,-0.03060358,0.3794987,-0.4847004,0.09179604,-0.7827003
1,0.7666674,0.4764985,1.300811,-0.02992597,0.3794155,-0.4851352,0.09136203,-0.782522
1,0.7777785,0.4770862,1.30042,-0.02911674,0.3794194,-0.4854254,0.0912466,-0.7823536
1,0.7888896,0.477616,1.299863,-0.02829362,0.3795912,-0.4853244,0.09146844,-0.7823071
1,0.8000008,0.4781759,1.299384,-0.02754975,0.3796928,-0.484641,0.0928258,-0.7825215
1,0.8111119,0.4785532,1.299035,-0.02702957,0.3796926,-0.4837978,0.09511551,-0.7827683
1,0.8222231,0.4789731,1.298621,-0.02633128,0.3794877,-0.4831393,0.09725259,-0.7830118
1,0.8333342,0.4793476,1.298088,-0.02546498,0.3793054,-0.4827518,0.09877616,-0.7831483
1,0.8444453,0.4796175,1.297676,-0.02458508,0.3789132,-0.4828617,0.0997813,-0.7831432
1,0.8555565,0.479826,1.297112,-0.02376498,0.3783979,-0.4826977,0.1006728,-0.7833793
1,0.8666676,0.4801643,1.296679,-0.02300756,0.3780983,-0.4820458,0.1012827,-0.7838465
1,0.8777788,0.4805123,1.29617,-0.02219322,0.3777964,-0.4814557,0.1013412,-0.7843471
1,0.8888899,0.4807948,1.295706,-0.02137709,0.3774883,-0.4809202,0.1016435,-0.7847846
1,0.900001,0.4810884,1.295213,-0.02064834,0.3773701,-0.4802702,0.1015796,-0.7852477
1,0.9111122,0.4814861,1.294986,-0.01972596,0.3771247,-0.4793858,0.1019938,-0.7858521
1,0.9222233,0.4817866,1.294511,-0.01889807,0.3771355,-0.4785343,0.1027682,-0.7862649
1,0.9333345,0.4821067,1.294078,-0.01841136,0.377178,-0.4773719,0.1039863,-0.7867908
1,0.9444456,0.4824861,1.293587,-0.01773825,0.3771542,-0.4762079,0.1051766,-0.787349
1,0.9555568,0.4829068,1.293104,-0.01724238,0.3769884,-0.4752345,0.1060428,-0.7879003
1,0.9666679,0.4832919,1.292732,-0.01677181,0.3766015,-0.474571,0.1067161,-0.7883941
1,0.977779,0.4836729,1.292158,-0.01608068,0.3762931,-0.4739069,0.1071999,-0.7888751
1,0.9888902,0.4841706,1.29173,-0.01542625,0.3758703,-0.4735122,0.1074908,-0.7892739
1,1.000001,0.4845559,1.291017,-0.01470822,0.375762,-0.4727741,0.1077576,-0.7897315
1,1.011112,0.4850458,1.290563,-0.01424715,0.3755702,-0.4719905,0.108251,-0.7902238
1,1.022224,0.4853713,1.289945,-0.01356776,0.3753092,-0.4713329,0.1089397,-0.7906455
1,1.033335,0.4859326,1.289746,-0.01318963,0.3748605,-0.4708347,0.1101682,-0.7909849
1,1.044446,0.4862799,1.289331,-0.01256539,0.3744661,-0.4705768,0.1110555,-0.7912011
1,1.055557,0.4866063,1.289158,-0.01201984,0.3739605,-0.4704893,0.1115991,-0.7914157
1,1.066668,0.4871005,1.288888,-0.01150194,0.3735172,-0.4702974,0.1120468,-0.7916759
1,1.077779,0.4875385,1.288924,-0.01106662,0.3729256,-0.4698588,0.1128155,-0.792106
1,1.08889,0.4880484,1.288722,-0.01067536,0.372419,-0.4694495,0.1134502,-0.7924962
1,1.100002,0.4887764,1.288847,-0.01039513,0.3719464,-0.4690495,0.1141518,-0.7928542
1,1.111113,0.4894428,1.28882,-0.01014895,0.3716134,-0.468449,0.1147972,-0.793272
1,1.122224,0.4900066,1.28864,-0.00977397,0.3713909,-0.4677997,0.1150913,-0.7937167
1,1.133335,0.4907061,1.288329,-0.0094207,0.3714187,-0.4669723,0.1155197,-0.7941287
1,1.144446,0.491245,1.288108,-0.009012021,0.3715736,-0.4661368,0.1162154,-0.7944453
1,1.155557,0.4918808,1.287698,-0.008578941,0.3715715,-0.4652402,0.1173436,-0.794806
1,1.166668,0.4924171,1.287531,-0.008192599,0.3715229,-0.4642984,0.1190752,-0.7951218
1,1.17778,0.4929977,1.287253,-0.007875271,0.3713682,-0.4632122,0.1220856,-0.7953712
1,1.188891,0.4934422,1.286917,-0.007419497,0.371067,-0.4619863,0.125716,-0.7956592
1,1.200002,0.4939055,1.286867,-0.007062979,0.3707047,-0.4608005,0.131818,-0.7955281
1,1.211113,0.4942093,1.286389,-0.006587744,0.3705731,-0.4598382,0.1363612,-0.7953805
1,1.222224,0.4945483,1.285744,-0.006105244,0.3706082,-0.4587948,0.1413475,-0.7950962
1,1.233335,0.4949505,1.285541,-0.005721539,0.3700899,-0.4576126,0.1463068,-0.7951217
1,1.244446,0.4954402,1.285286,-0.005346246,0.3681357,-0.4563865,0.152486,-0.7955725
1,1.255558,0.4961572,1.285383,-0.005332522,0.365638,-0.4550796,0.1585459,-0.796288
1,1.266669,0.4966412,1.284336,-0.005002797,0.3640673,-0.4544324,0.1613209,-0.7968197
1,1.27778,0.4972767,1.283642,-0.004370287,0.363225,-0.4543261,0.1620237,-0.7971222
1,1.288891,0.497788,1.281954,-0.0038139,0.3624192,-0.4536115,0.160723,-0.7981586
1,1.300002,0.4987564,1.280726,-0.003718406,0.3606351,-0.4510773,0.1615453,-0.8002341
1,1.311113,0.4996544,1.279692,-0.003429398,0.3583916,-0.4493628,0.1632228,-0.8018646
1,1.322224,0.5004989,1.278497,-0.003257558,0.3558154,-0.447571,0.1651172,-0.8036242
1,1.333336,0.5014084,1.276907,-0.00310538,0.3533756,-0.4468811,0.1661679,-0.8048672
1,1.344447,0.5021853,1.275428,-0.002581351,0.351197,-0.4464296,0.1670764,-0.8058825
1,1.355558,0.5028318,1.273648,-0.001907535,0.349393,-0.4460868,0.167583,-0.806751
1,1.366669,0.5039075,1.271947,-0.001436114,0.3480449,-0.4454382,0.1678572,-0.8076346
1,1.37778,0.5047327,1.269977,-0.0008756593,0.3467922,-0.4447395,0.1681767,-0.8084916
1,1.388891,0.5056961,1.268031,-3.33041E-05,0.3460346,-0.4441857,0.1686259,-0.8090268
1,1.400002,0.506609,1.266301,0.0006235912,0.345214,-0.4433197,0.1702176,-0.809519
1,1.411114,0.5075283,1.264573,0.001308896,0.3442745,-0.4423179,0.1728084,-0.809918
1,1.422225,0.5084691,1.262946,0.001967028,0.343288,-0.4411997,0.175889,-0.8102834
1,1.433336,0.5094702,1.261335,0.00263001,0.3423612,-0.4400293,0.1786415,-0.8107097
1,1.444447,0.5104682,1.259562,0.003353447,0.3416597,-0.4387721,0.1815111,-0.8110495
1,1.455558,0.5114631,1.257937,0.004179694,0.3407654,-0.4377565,0.1837788,-0.8114638
1,1.466669,0.5124122,1.256121,0.004914895,0.3398273,-0.4369139,0.1860468,-0.8117945
1,1.47778,0.5134212,1.254283,0.005709007,0.3387023,-0.4362027,0.1887068,-0.812033
1,1.488891,0.5142305,1.252459,0.006684661,0.3373291,-0.4356162,0.1915622,-0.8122509
1,1.500003,0.5150499,1.250531,0.00769718,0.3359475,-0.4349715,0.1948119,-0.812396
1,1.511114,0.5158601,1.248728,0.008770242,0.3347054,-0.4343428,0.1979725,-0.8124812
1,1.522225,0.5164587,1.246494,0.009871475,0.3334839,-0.4334298,0.2017441,-0.8125431
1,1.533336,0.5171509,1.244358,0.01116836,0.3323858,-0.4324116,0.2052504,-0.8126575
1,1.544447,0.5179173,1.242232,0.0124293,0.331285,-0.4313246,0.2088525,-0.8127668
1,1.555558,0.5186082,1.23999,0.01388216,0.3303301,-0.4300078,0.2129778,-0.8127827
1,1.566669,0.5192048,1.237562,0.01541939,0.3294344,-0.4286614,0.2174264,-0.8126796
1,1.577781,0.520013,1.235237,0.01691696,0.328481,-0.4273232,0.2218962,-0.8125622
1,1.588892,0.5205646,1.232556,0.01865867,0.3276822,-0.4254914,0.2274251,-0.8123173
1,1.600003,0.5212826,1.229895,0.02043167,0.326672,-0.4232665,0.2336258,-0.8121268
1,1.611114,0.5218019,1.227138,0.02201527,0.3255453,-0.4212165,0.2395502,-0.811919
1,1.622225,0.5223472,1.224382,0.02378904,0.3242056,-0.419429,0.2453304,-0.8116544
1,1.633336,0.5228423,1.221295,0.02570247,0.3227971,-0.4176444,0.2516081,-0.8112141
1,1.644447,0.5230792,1.217854,0.0280433,0.3212118,-0.4160111,0.2580433,-0.8106611
1,1.655559,0.5233461,1.214358,0.03048284,0.3198003,-0.4144126,0.2645577,-0.8099378
1,1.66667,0.5233715,1.210428,0.03328547,0.3184857,-0.4129796,0.2714614,-0.8089026
1,1.677781,0.5236261,1.206467,0.03584459,0.3170963,-0.4116354,0.2782702,-0.8078193
1,1.688892,0.5235864,1.202013,0.03876028,0.3154945,-0.4105593,0.2856152,-0.8064292
1,1.700003,0.5232846,1.197522,0.04196587,0.3134566,-0.4095762,0.2934019,-0.8049271
1,1.711114,0.5228646,1.192758,0.0452655,0.3109306,-0.4087331,0.3013467,-0.8033987
1,1.722225,0.5224985,1.188027,0.0484644,0.3080678,-0.407721,0.3092572,-0.8020086
1,1.733337,0.5219738,1.183129,0.05178329,0.3042267,-0.4068117,0.3171733,-0.8008443
1,1.744448,0.521336,1.177889,0.05515662,0.2997981,-0.4058727,0.3255778,-0.7996171
1,1.755559,0.5207708,1.172719,0.0584195,0.2952037,-0.4052033,0.3337736,-0.7982858
1,1.76667,0.5198708,1.167096,0.0619909,0.2905711,-0.4046958,0.3421457,-0.796697
1,1.777781,0.5187253,1.161346,0.06573644,0.2862063,-0.4042839,0.3511818,-0.7945514
1,1.788892,0.517486,1.155455,0.06939934,0.2819298,-0.4038405,0.3604128,-0.7921686
1,1.800003,0.5156264,1.148955,0.07361391,0.2777561,-0.4034966,0.3716492,-0.7886184
1,1.811115,0.514214,1.143103,0.07753196,0.2734641,-0.4031395,0.3828261,-0.784946
1,1.822226,0.5125062,1.136852,0.08160669,0.268523,-0.4026129,0.3944421,-0.7811617
1,1.833337,0.5102063,1.130445,0.08575832,0.2623596,-0.4017566,0.4076425,-0.7769084
1,1.844448,0.5079219,1.124103,0.08975242,0.2554275,-0.40059,0.4216863,-0.7723114
1,1.855559,0.5052168,1.117502,0.09397657,0.2481646,-0.3989237,0.437077,-0.7669668
1,1.86667,0.5025145,1.110786,0.09824887,0.2409244,-0.3974012,0.4529987,-0.7608022
1,1.877781,0.499535,1.104246,0.1026174,-0.2336022,0.3964942,-0.4682964,0.7542684
1,1.888893,0.4960415,1.097402,0.1072894,-0.2257438,0.3963989,-0.483918,0.7468138
