Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
1,0,0.3179591,0.6800275,0.8281987,0.2605134,-0.0439094,-0.6640318,0.6994758
1,0,0.3179591,0.6800275,0.8281987,0.2605134,-0.0439094,-0.6640318,0.6994758
1,0.01111111,0.3187692,0.6785488,0.8268698,-0.2504924,0.06402464,0.660453,-0.7049512
1,0.02222222,0.3187692,0.6785488,0.8268698,-0.2504924,0.06402464,0.660453,-0.7049512
1,0.03333334,0.3183609,0.6778365,0.8256636,-0.2443078,0.07580224,0.656279,-0.7098349
1,0.04444445,0.3196114,0.6754895,0.8242337,-0.2365204,0.1057116,0.6622626,-0.7030588
1,0.05555556,0.3201615,0.6747729,0.8243076,-0.2322582,0.135975,0.6628532,-0.6987079
1,0.06666667,0.3188893,0.6764336,0.8237329,-0.2249998,0.1464667,0.6455973,-0.7149313
1,0.07777778,0.3189257,0.676456,0.8229872,-0.2181623,0.1583266,0.6341374,-0.7247122
1,0.08888889,0.3189257,0.676456,0.8229872,-0.2181623,0.1583266,0.6341374,-0.7247122
1,0.1,0.3151029,0.6783146,0.8204875,-0.1912331,0.1706687,0.5980265,-0.7593856
1,0.1111111,0.3151029,0.6783146,0.8204875,-0.1912331,0.1706687,0.5980265,-0.7593856
1,0.1222222,0.3107184,0.6776745,0.8170126,-0.1692107,0.1796823,0.5780228,-0.7777992
1,0.1333333,0.3097212,0.6776274,0.8162583,-0.1641914,0.1852764,0.572894,-0.7813491
1,0.1444445,0.3090261,0.6774651,0.8153545,-0.1665657,0.1897772,0.5704134,-0.781581
1,0.1555556,0.3083507,0.6776026,0.8148983,-0.1666672,0.1950063,0.5656208,-0.7837523
1,0.1666667,0.3082035,0.6775193,0.8151299,-0.1706884,0.200297,0.5636547,-0.7829688
1,0.1777778,0.3081931,0.6776982,0.8150937,-0.1741067,0.2048025,0.5592492,-0.7842087
1,0.1888889,0.3077329,0.6780874,0.814801,-0.1761107,0.2068122,0.5542485,-0.7867798
1,0.2,0.3070466,0.6781674,0.8143907,-0.1760708,0.2089971,0.5497357,-0.7893731
1,0.2111111,0.3065699,0.6782784,0.8139396,-0.175967,0.2105714,0.5466489,-0.7911196
1,0.2222222,0.3070872,0.6776742,0.8134902,-0.1759108,0.2130583,0.5457643,-0.791077
1,0.2333333,0.3069839,0.677766,0.8130304,-0.1758639,0.2151415,0.5444708,-0.791415
1,0.2444444,0.3065783,0.6778586,0.8121788,-0.1730647,0.2163035,0.543771,-0.792196
1,0.2555556,0.3062595,0.6777631,0.8114721,-0.1703095,0.2179871,0.5416269,-0.7937988
1,0.2666667,0.3063611,0.6776121,0.8106971,-0.1654835,0.2196604,0.5394296,-0.7958518
1,0.2777778,0.3065237,0.6772693,0.8099966,-0.1622995,0.2217294,0.5376259,-0.7971532
1,0.2888889,0.3067965,0.6770746,0.8093655,-0.1591488,0.2237871,0.5364204,-0.7980253
1,0.3,0.3069893,0.6768031,0.8085319,-0.1562402,0.2251246,0.5357915,-0.798646
1,0.3111111,0.3071303,0.6764327,0.8077099,-0.1526829,0.2252174,0.5358491,-0.799269
1,0.3222222,0.3074274,0.6763495,0.8070645,0.150126,-0.2254502,-0.5362575,0.7994136
1,0.3333333,0.3077793,0.6760108,0.8066311,0.1477471,-0.2264678,-0.536577,0.799355
1,0.3444445,0.3085934,0.6758366,0.8062142,0.1465322,-0.2277939,-0.5369852,0.7989275
1,0.3555556,0.3090186,0.6760793,0.8058618,0.1455635,-0.2275334,-0.5360681,0.7997942
1,0.3666667,0.3092515,0.6761054,0.805555,0.1443859,-0.2266088,-0.5353143,0.8007745
1,0.3777778,0.3096841,0.6761333,0.8049896,0.1430935,-0.2260315,-0.534997,0.8013814
1,0.3888889,0.309904,0.6760611,0.8048809,0.1426654,-0.2257998,-0.5358958,0.8009224
1,0.4,0.3102686,0.6759752,0.8046354,0.1421785,-0.2261717,-0.5369393,0.8002049
1,0.4111111,0.3103737,0.675853,0.804555,0.1416875,-0.2263838,-0.5382338,0.7993618
