Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
6,0,0.3700111,0.9541547,-0.1772323,0.1735448,0.2620203,-0.6052233,0.7313907
6,0.01111111,0.367112,0.9542199,-0.180991,0.1630738,0.2634884,-0.6041111,0.7341871
6,0.02222222,0.3649294,0.9544088,-0.1834221,0.15361,0.2629599,-0.60238,0.7378309
6,0.03333334,0.3632784,0.9549788,-0.1869681,0.1463343,0.2598923,-0.6055472,0.7378041
6,0.04444445,0.3616077,0.955928,-0.1897795,0.1403108,0.2580042,-0.6076911,0.7378742
6,0.05555556,0.3603212,0.9574854,-0.1921892,0.1363807,0.255559,-0.6095699,0.7379121
6,0.06666667,0.3585731,0.9605646,-0.1953931,0.1333435,0.2523931,-0.6143385,0.7355989
6,0.07777778,0.3585731,0.9605646,-0.1953931,0.1333435,0.2523931,-0.6143385,0.7355989
6,0.08888889,0.3570213,0.9630085,-0.1977867,0.130154,0.2510196,-0.6159725,0.7352735
6,0.1,0.3556581,0.9646797,-0.1999028,0.1268832,0.2497893,-0.6170744,0.7353401
6,0.1111111,0.3543232,0.9668168,-0.2014658,0.1241789,0.249292,-0.6170964,0.7359518
6,0.1222222,0.352953,0.9690872,-0.2030962,0.1213925,0.2492004,-0.6170129,0.7365175
6,0.1333333,0.3516293,0.9717253,-0.2042244,0.1194221,0.2500346,-0.6160985,0.737322
6,0.1444445,0.3503736,0.9747556,-0.2052239,0.1179176,0.2509642,-0.6158085,0.7374905
6,0.1555556,0.3494155,0.9780735,-0.2062407,0.1171266,0.251303,-0.6166469,0.7368003
6,0.1666667,0.3486458,0.9820936,-0.2071393,0.1164412,0.2507567,-0.6193643,0.7348131
6,0.1777778,0.348012,0.9847453,-0.2079557,0.1154429,0.2501007,-0.6214085,0.7334673
6,0.1888889,0.3474546,0.9880956,-0.2087659,0.1145584,0.2489965,-0.6241494,0.7316519
6,0.2,0.3472321,0.9915518,-0.2094917,0.1139671,0.2470294,-0.6274537,0.729582
6,0.2111111,0.3470764,0.9948766,-0.2102609,0.1127582,0.2443646,-0.6305069,0.7280334
6,0.2222222,0.3466319,0.9979529,-0.2111692,0.1105042,0.2417825,-0.6318519,0.728075
6,0.2333333,0.3458115,1.000653,-0.2121166,0.105972,0.239438,-0.6307961,0.7304353
