Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
3,0,0.1623203,1.003145,-0.1646606,0.1721114,-0.4151143,0.7762752,-0.4421024
3,0,0.1623203,1.003145,-0.1646606,0.1721114,-0.4151143,0.7762752,-0.4421024
3,0.01111111,0.1615285,1.003193,-0.1647171,0.1785041,-0.412862,0.7717829,-0.44948
3,0.02222222,0.1635925,1.004988,-0.1640413,0.1734697,-0.4166748,0.7701371,-0.450754
3,0.03333334,0.1641539,1.005512,-0.1647352,0.1724013,-0.4133042,0.7701103,-0.454299
3,0.04444445,0.1658967,1.006446,-0.1654573,0.1693752,-0.4073057,0.7708153,-0.4596281
3,0.05555556,0.1662956,1.006818,-0.1655724,0.1684214,-0.4060972,0.7704583,-0.4616419
3,0.06666667,0.1667681,1.007285,-0.1656989,0.1669878,-0.4049606,0.7694364,-0.4648543
3,0.07777778,0.1674444,1.007887,-0.1656293,0.1650494,-0.4037015,0.767472,-0.4698623
3,0.08888889,0.1678434,1.008554,-0.1655627,0.1638457,-0.402669,0.7654617,-0.4744265
3,0.1,0.1681987,1.009065,-0.1652258,0.1631669,-0.4028224,0.7624216,-0.4793997
3,0.1111111,0.1683003,1.009517,-0.1648068,0.1633257,-0.403594,0.759083,-0.4839727
3,0.1222222,0.168159,1.010047,-0.1643069,0.1636596,-0.4050547,0.7557048,-0.4879103
3,0.1333333,0.1682407,1.010571,-0.1638414,0.1636364,-0.4058318,0.7531586,-0.4911983
3,0.1444445,0.1680204,1.010998,-0.1633133,0.1641749,-0.4071126,0.7516695,-0.4922386
3,0.1555556,0.1680111,1.011426,-0.1629713,0.1642353,-0.4077122,0.7504655,-0.4935576
3,0.1666667,0.167996,1.011744,-0.162659,0.1641457,-0.4077119,0.7506641,-0.4932854
3,0.1777778,0.1680127,1.012038,-0.1624466,0.1639733,-0.4075126,0.7506988,-0.4934547
3,0.1888889,0.1679872,1.012186,-0.1621795,0.1637231,-0.4069784,0.7516087,-0.4925929
3,0.2,0.1680142,1.012286,-0.1620725,0.1634364,-0.4064125,0.7525845,-0.4916644
3,0.2111111,0.1679236,1.012262,-0.1618868,0.1632595,-0.4060886,0.7531015,-0.491199
3,0.2222222,0.1677492,1.012205,-0.1616046,0.1631058,-0.4061444,0.7532554,-0.490968
3,0.2333333,0.1675104,1.01209,-0.1613389,0.1629546,-0.4066845,0.7527345,-0.4913697
3,0.2444444,0.1672184,1.012018,-0.1608999,0.1626754,-0.4075479,0.7520789,-0.4917507
3,0.2555556,0.1669037,1.011841,-0.1606108,0.1623833,-0.4083151,0.75158,-0.4919735
3,0.2666667,0.1666136,1.01172,-0.1602959,0.1620568,-0.4089524,0.7512786,-0.4920121
3,0.2777778,0.1663523,1.011532,-0.1601795,0.1618857,-0.409397,0.7513286,-0.4916222
3,0.2888889,0.1660616,1.011363,-0.1599615,0.1615382,-0.4098119,0.7514948,-0.4911366
3,0.3,0.1657752,1.011088,-0.1598215,0.1611977,-0.4099724,0.7521453,-0.4901177
3,0.3111111,0.1654798,1.01088,-0.1596094,0.1609704,-0.410217,0.7524557,-0.489511
3,0.3222222,0.1651416,1.010635,-0.1594288,0.1608297,-0.4105651,0.7526535,-0.4889609
3,0.3333333,0.1647954,1.010402,-0.1592742,0.1605145,-0.4109418,0.7527359,-0.4886211
3,0.3444445,0.164414,1.010129,-0.1590538,0.160034,-0.411141,0.7529882,-0.4882222
3,0.3555556,0.1641376,1.009958,-0.1589491,0.1597507,-0.4113515,0.753043,-0.4880531
3,0.3666667,0.1637703,1.00976,-0.158851,0.1593987,-0.4115595,0.7531307,-0.4878576
3,0.3777778,0.1634292,1.009524,-0.1587608,0.1591236,-0.4117743,0.7532606,-0.4875656
3,0.3888889,0.1630991,1.009333,-0.1586542,0.1587493,-0.4118894,0.7534573,-0.4872863
3,0.4,0.1627955,1.009094,-0.1585781,0.1583612,-0.4117796,0.7538438,-0.4869075
3,0.4111111,0.1625171,1.008915,-0.1584692,0.1579164,-0.4118434,0.7540862,-0.4866222
3,0.4222222,0.1623315,1.00873,-0.1583826,0.1575256,-0.4122954,0.7540196,-0.4864696
3,0.4333333,0.1620365,1.008571,-0.1582641,0.1571328,-0.4127744,0.7538249,-0.4864922
3,0.4444444,0.1617817,1.008377,-0.15817,0.1567952,-0.4132253,0.753636,-0.486511
3,0.4555556,0.1615422,1.008177,-0.1581394,0.1565231,-0.4132316,0.7537417,-0.4864293
3,0.4666667,0.161368,1.008038,-0.1580617,0.1562467,-0.4133365,0.7538012,-0.4863369
3,0.4777778,0.161134,1.007955,-0.1580056,0.1558136,-0.4135705,0.7539326,-0.4860732
3,0.4888889,0.1609678,1.007838,-0.1579575,0.1554574,-0.4138269,0.7540562,-0.4857773
3,0.5,0.1607485,1.007744,-0.1577813,0.155277,-0.4143128,0.7539703,-0.4855541
3,0.5111111,0.1606565,1.007605,-0.1578324,0.1552983,-0.4148479,0.7537904,-0.4853694
3,0.5222223,0.160502,1.007511,-0.1577711,0.155504,-0.4151853,0.7536926,-0.485167
3,0.5333334,0.1603705,1.007379,-0.1576886,0.1557282,-0.4155749,0.7536151,-0.4848818
3,0.5444446,0.1602739,1.007282,-0.1576988,0.1560187,-0.4158016,0.7536251,-0.4845785
3,0.5555557,0.1601845,1.007232,-0.1576917,0.1562705,-0.415969,0.7536871,-0.4842572
3,0.5666668,0.1601975,1.007217,-0.1576432,0.1565549,-0.4160388,0.7538109,-0.4839126
3,0.577778,0.1601419,1.007192,-0.1576527,0.1567507,-0.4162314,0.7538292,-0.4836549
3,0.5888891,0.1601413,1.007175,-0.1576571,0.1568453,-0.4165247,0.7537314,-0.4835241
3,0.6000003,0.1600957,1.00715,-0.1576559,0.1568758,-0.4168321,0.7536539,-0.4833701
3,0.6111114,0.160079,1.007179,-0.1576189,0.1569653,-0.417476,0.7533657,-0.4832349
3,0.6222225,0.1600057,1.00714,-0.157582,0.1571545,-0.4179389,0.7530939,-0.4831966
3,0.6333337,0.1600567,1.007038,-0.1575409,0.1574389,-0.418291,0.7529429,-0.4830347
3,0.6444448,0.1600155,1.006922,-0.1575541,0.1578388,-0.4183562,0.7530872,-0.4826226
3,0.655556,0.1600234,1.006786,-0.1575567,0.1580102,-0.418377,0.753301,-0.4822148
3,0.6666671,0.1600121,1.006682,-0.1575822,0.1581068,-0.4185044,0.753529,-0.4817162
3,0.6777782,0.159959,1.006649,-0.1576171,0.1579662,-0.4190348,0.7535161,-0.481321
3,0.6888894,0.1599255,1.006574,-0.1576068,0.1580709,-0.4195116,0.7533575,-0.4811196
3,0.7000005,0.1598823,1.006447,-0.1576502,0.1580988,-0.4200684,0.7531945,-0.4808797
3,0.7111117,0.1598739,1.006366,-0.1576659,0.1582623,-0.4203432,0.7532471,-0.4805034
3,0.7222228,0.159837,1.00617,-0.1576814,0.1585726,-0.4204923,0.7534926,-0.4798853
3,0.7333339,0.1598715,1.006047,-0.1577708,0.1587079,-0.4206547,0.75379,-0.4792306
3,0.7444451,0.159822,1.005838,-0.15777,0.1588699,-0.4209484,0.7538556,-0.4788158
3,0.7555562,0.1597537,1.005643,-0.1576721,0.1589552,-0.4213725,0.7539336,-0.4782914
3,0.7666674,0.1597059,1.005416,-0.1576308,0.158976,-0.4218559,0.7538866,-0.4779322
3,0.7777785,0.1596762,1.005222,-0.1574898,0.1588726,-0.4223792,0.7538623,-0.4775427
3,0.7888896,0.159732,1.005071,-0.1575167,0.1587645,-0.4228299,0.7539183,-0.4770912
3,0.8000008,0.1597658,1.004835,-0.1575311,0.1585311,-0.4231678,0.7542148,-0.4763999
3,0.8111119,0.1599025,1.004635,-0.1575994,0.1584124,-0.4236179,0.7543834,-0.4757721
3,0.8222231,0.1599196,1.004454,-0.1575195,0.1581269,-0.4242016,0.7545092,-0.475147
3,0.8333342,0.159975,1.004202,-0.1575124,0.1578979,-0.4246179,0.7547234,-0.4745108
3,0.8444453,0.1600152,1.003984,-0.1574633,0.1576269,-0.424917,0.7549397,-0.4739886
3,0.8555565,0.1600527,1.003693,-0.1574655,0.1573429,-0.4250933,0.7552026,-0.4735061
3,0.8666676,0.1601514,1.003373,-0.1574354,0.1571359,-0.4251771,0.7553732,-0.4732274
3,0.8777788,0.1602238,1.003148,-0.157384,0.1568044,-0.4253329,0.7554696,-0.4730433
3,0.8888899,0.1602238,1.003148,-0.157384,0.1568044,-0.4253329,0.7554696,-0.4730433
3,0.900001,0.1604094,1.002763,-0.1571383,0.1564015,-0.4258536,0.7554293,-0.4727724
3,0.9111122,0.1604649,1.002599,-0.1569782,0.1562242,-0.4261693,0.7554649,-0.4724896
3,0.9222233,0.1605948,1.002447,-0.1568661,0.1560587,-0.4262056,0.7557395,-0.4720725
3,0.9333345,0.160703,1.002265,-0.156776,0.1558484,-0.4263177,0.7560236,-0.4715854
3,0.9444456,0.160864,1.00208,-0.1566628,0.1556395,-0.4262565,0.7564031,-0.4711008
3,0.9555568,0.1609749,1.001936,-0.1564765,0.1555095,-0.4263747,0.75648,-0.4709134
3,0.9666679,0.1611091,1.001722,-0.1563889,0.1552838,-0.4265938,0.7565252,-0.4707168
3,0.977779,0.1612599,1.001548,-0.1562512,0.155042,-0.426687,0.75664,-0.4705276
