Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
1,0,0.4352509,0.8610274,0.5435526,0.01076999,-0.2834593,-0.6503685,0.7046671
1,0,0.4352509,0.8610274,0.5435526,0.01076999,-0.2834593,-0.6503685,0.7046671
1,0.01111111,0.4352509,0.8610274,0.5435526,0.01076999,-0.2834593,-0.6503685,0.7046671
1,0.02222222,0.4351775,0.8605377,0.5438334,0.01305363,-0.2884474,-0.6523327,0.700778
1,0.03333334,0.434623,0.860624,0.5439626,0.0138943,-0.289993,-0.6531098,0.6993987
1,0.04444445,0.4338206,0.8604711,0.5441685,0.01254761,-0.2933016,-0.6527105,0.6984167
1,0.05555556,0.4329786,0.8604373,0.5444186,0.01151429,-0.2952136,-0.6523502,0.6979654
1,0.06666667,0.4331941,0.8601287,0.54454,0.01156451,-0.2970954,-0.6528027,0.6967418
1,0.07777778,0.4325886,0.860192,0.5445528,0.01103154,-0.2980306,-0.6533095,0.6958756
1,0.08888889,0.4316883,0.8603832,0.5444887,0.01037575,-0.2985663,-0.6536674,0.6953197
1,0.1,0.4310902,0.8604513,0.5444701,0.009849235,-0.2993068,-0.6539865,0.6947086
1,0.1111111,0.4308704,0.8604724,0.5444907,0.009857386,-0.3007113,-0.6540938,0.6940007
1,0.1222222,0.4304152,0.8605052,0.544577,0.0097965,-0.3020587,-0.6542318,0.6932859
1,0.1333333,0.4300682,0.8607199,0.5449467,0.01061475,-0.3044365,-0.6535899,0.6928391
1,0.1444445,0.4303157,0.8605181,0.5449784,0.01134343,-0.306567,-0.6531706,0.6922832
1,0.1555556,0.4296408,0.860729,0.5454043,0.01264164,-0.3099414,-0.6522086,0.691665
1,0.1666667,0.4296408,0.860729,0.5454043,0.01264164,-0.3099414,-0.6522086,0.691665
1,0.1777778,0.4293932,0.860718,0.5455893,0.01319605,-0.3112055,-0.6521372,0.6911541
1,0.1888889,0.4293773,0.8607014,0.5456118,0.0135964,-0.3123701,-0.6522202,0.6905424
1,0.2,0.4289017,0.860644,0.5459321,0.01421213,-0.3145998,-0.6523165,0.6894259
1,0.2111111,0.428756,0.8607229,0.5458041,0.01377656,-0.3148122,-0.6521646,0.6894816
1,0.2222222,0.428883,0.8606199,0.5455518,0.0129942,-0.314696,-0.6516907,0.6899976
1,0.2333333,0.428502,0.8606761,0.5455399,0.01271336,-0.3150575,-0.6515355,0.6899846
1,0.2444444,0.4285394,0.8606203,0.5453776,0.01287475,-0.315488,-0.6515983,0.6897255
1,0.2555556,0.4281633,0.8607143,0.5453053,0.01263355,-0.3155288,-0.6514763,0.6898265
1,0.2666667,0.4284804,0.8604828,0.5449549,0.01237144,-0.3153481,-0.6513222,0.6900594
1,0.2777778,0.4282285,0.8604977,0.5448329,0.01272377,-0.3155968,-0.6515338,0.6897394
1,0.2888889,0.4279479,0.8605832,0.5447842,0.01320569,-0.3157189,-0.6520407,0.6891954
1,0.3,0.4278859,0.8605214,0.5446597,0.01319493,-0.3156803,-0.6521902,0.6890717
1,0.3111111,0.4275656,0.8606211,0.5445644,0.01314992,-0.3155711,-0.6522906,0.6890274
1,0.3222222,0.427718,0.8605556,0.5443286,0.01285398,-0.3152377,-0.6519789,0.6894807
1,0.3333333,0.4274573,0.8607006,0.5442139,0.01260857,-0.3150469,-0.6514995,0.6900254
1,0.3444445,0.4272995,0.8608354,0.544181,0.01264468,-0.315134,-0.6511873,0.6902795
1,0.3555556,0.4270868,0.8609573,0.5441305,0.01276296,-0.3153231,-0.6510349,0.6903347
1,0.3666667,0.4266273,0.8611367,0.544182,0.01253709,-0.3153985,-0.6509017,0.6904299
1,0.3777778,0.4263645,0.8612298,0.5441089,0.01217365,-0.3154301,-0.650677,0.6906338
1,0.3888889,0.4261268,0.8612012,0.5440299,0.01163398,-0.3156301,-0.6503494,0.6908602
1,0.4,0.4258939,0.8612584,0.5440075,0.01129439,-0.3158598,-0.6501119,0.6909844
1,0.4111111,0.4257125,0.86128,0.5439089,0.01128632,-0.3162402,-0.6499843,0.6909307
1,0.4222222,0.4255782,0.8613212,0.543882,0.01137586,-0.3165969,-0.6499321,0.6908149
1,0.4333333,0.4253904,0.8613874,0.5438706,0.01133057,-0.3166275,-0.6498256,0.6909018
1,0.4444444,0.4254739,0.8613703,0.5437062,0.01094274,-0.316252,-0.6495832,0.691308
1,0.4555556,0.4252065,0.8615378,0.5435282,0.01040709,-0.3153796,-0.6490505,0.6922145
1,0.4666667,0.4250213,0.8616888,0.5433546,0.01000714,-0.3146031,-0.6483824,0.693199
1,0.4777778,0.4253531,0.8616672,0.543158,0.009966001,-0.3141299,-0.6475331,0.6942074
1,0.4888889,0.4252504,0.8617861,0.5431461,0.0103222,-0.3139309,-0.6470112,0.6947786
1,0.5,0.4252988,0.8618331,0.5433058,0.01160498,-0.3144557,-0.647292,0.6942594
1,0.5111111,0.4251865,0.8617667,0.543502,0.01270536,-0.3152553,-0.6483469,0.6928918
1,0.5222223,0.4253982,0.8615249,0.5435416,0.01305053,-0.3156096,-0.6488549,0.6922483
1,0.5333334,0.4253121,0.8613954,0.5436536,0.01339099,-0.3160454,-0.6496184,0.6913262
1,0.5444446,0.425556,0.8609841,0.5436682,0.01323923,-0.3163384,-0.6504563,0.6904066
1,0.5555557,0.4253507,0.8608595,0.5436581,0.01257573,-0.3160177,-0.6508889,0.6901583
1,0.5666668,0.4253633,0.8607328,0.5435712,0.01193267,-0.3154459,-0.650933,0.6903896
1,0.577778,0.4251945,0.8607437,0.5434813,0.01140504,-0.3147235,-0.6507574,0.6908935
1,0.5888891,0.4256153,0.8605367,0.5432804,0.01105851,-0.3142249,-0.6506289,0.6912469
1,0.6000003,0.4254842,0.860595,0.5431749,0.01076293,-0.3134406,-0.6501672,0.6920417
1,0.6111114,0.4257414,0.8604059,0.5430937,0.01099835,-0.3132215,-0.6498693,0.692417
1,0.6222225,0.4256301,0.8604451,0.5431175,0.01162341,-0.3134367,-0.6500345,0.6921542
1,0.6333337,0.4256083,0.8603965,0.5432155,0.01220423,-0.3137457,-0.650275,0.6917782
1,0.6444448,0.4255586,0.8604621,0.5433224,0.01262826,-0.3137008,-0.6504087,0.6916652
1,0.655556,0.4255128,0.8604846,0.5434062,0.01303159,-0.3136391,-0.650462,0.6916355
1,0.6666671,0.4252093,0.860661,0.5434902,0.01306292,-0.3131693,-0.6503155,0.6919855
1,0.6777782,0.4248469,0.8608146,0.5435722,0.01305616,-0.3126549,-0.6502482,0.6922815
1,0.6888894,0.4245668,0.860913,0.5436178,0.01309054,-0.3120022,-0.6501645,0.6926538
1,0.7000005,0.424407,0.8609885,0.5435843,0.01285791,-0.3112647,-0.6499069,0.6932315
1,0.7111117,0.4238962,0.8612368,0.5435947,0.01238361,-0.3102639,-0.6493126,0.694245
1,0.7222228,0.4237712,0.8613155,0.5435257,0.01218106,-0.3095289,-0.6488686,0.6949915
1,0.7333339,0.423591,0.8613709,0.5434432,0.01178636,-0.3086237,-0.648228,0.6959977
1,0.7444451,0.4235262,0.8613512,0.5433082,0.01161107,-0.3077333,-0.6477502,0.6968393
1,0.7555562,0.4235262,0.8613512,0.5433082,0.01161107,-0.3077333,-0.6477502,0.6968393
1,0.7666674,0.4233347,0.8613164,0.5432069,0.01137741,-0.3067998,-0.6472446,0.697724
1,0.7777785,0.4231249,0.8613875,0.5431294,0.01114382,-0.305747,-0.646602,0.6987851
1,0.7888896,0.4230926,0.8613874,0.5430546,0.01103784,-0.3047741,-0.6460144,0.6997545
1,0.8000008,0.4229186,0.8614548,0.5430573,0.01129058,-0.3038383,-0.6457486,0.7004024
1,0.8111119,0.4226888,0.8615118,0.5430403,0.01138264,-0.3028593,-0.64548,0.7010723
1,0.8222231,0.4224249,0.8616008,0.5430255,0.01142739,-0.3014553,-0.6451032,0.7020228
1,0.8333342,0.4225733,0.8615773,0.5429471,0.01142561,-0.3001082,-0.6445786,0.7030811
1,0.8444453,0.422322,0.8616763,0.5429032,0.01135282,-0.298668,-0.6439679,0.7042541
1,0.8555565,0.4221733,0.8616923,0.5428258,0.01108707,-0.2969449,-0.6431655,0.7057187
1,0.8666676,0.4217777,0.8618875,0.5427048,0.01082627,-0.2948576,-0.6423061,0.7073787
1,0.8777788,0.4214858,0.8620398,0.5425522,0.01075257,-0.2926631,-0.6416096,0.7089214
1,0.8888899,0.4209461,0.86243,0.5424661,0.01076339,-0.2904957,-0.641045,0.7103222
1,0.900001,0.4207182,0.8625546,0.5423278,0.01054996,-0.288101,-0.6405149,0.7117775
1,0.9111122,0.4204482,0.8627313,0.5420832,0.0101326,-0.2855696,-0.6398494,0.7134003
1,0.9222233,0.4201431,0.8629294,0.5418783,0.009835437,-0.2832102,-0.6391186,0.7149983
1,0.9333345,0.4196805,0.8631638,0.54182,0.009896234,-0.2812699,-0.6385273,0.7162905
1,0.9444456,0.4194772,0.8633395,0.5417134,0.01008473,-0.2795396,-0.6380826,0.7173607
1,0.9555568,0.4189647,0.8636824,0.5417698,0.0103837,-0.2781371,-0.6376082,0.7183228
1,0.9666679,0.4188022,0.8637868,0.5417445,0.01046948,-0.2770415,-0.6372634,0.7190506
1,0.977779,0.4182373,0.8639423,0.541841,0.01057324,-0.2762039,-0.6369707,0.7196305
1,0.9888902,0.4177849,0.8641762,0.541968,0.01092666,-0.2757817,-0.6369165,0.719835
1,1.000001,0.4176943,0.8642237,0.5420415,0.01133387,-0.275417,-0.6368924,0.7199896
1,1.011112,0.4178851,0.8641086,0.5420674,0.01165438,-0.2751034,-0.6368773,0.7201178
1,1.022224,0.4178155,0.8641654,0.542125,0.01197101,-0.2747516,-0.6368392,0.7202805
1,1.033335,0.4175472,0.8642935,0.5422282,0.01219001,-0.2743155,-0.6366661,0.7205961
1,1.044446,0.4175501,0.8642886,0.5423446,0.0126649,-0.2743084,-0.6368661,0.7204138
1,1.055557,0.4176031,0.8641825,0.5423663,0.01288128,-0.2741151,-0.6372643,0.7201314
1,1.066668,0.4175298,0.8640549,0.5423321,0.01276006,-0.2738283,-0.6375108,0.7200245
1,1.077779,0.4174784,0.8640189,0.5423923,0.01284631,-0.2735721,-0.637771,0.7198899
1,1.08889,0.4171116,0.8641998,0.5425333,0.01314516,-0.2734763,-0.6380538,0.7196702
1,1.100002,0.417116,0.8641698,0.5426233,0.01341255,-0.2733959,-0.6382774,0.7194976
1,1.111113,0.417322,0.8640036,0.5425988,0.01350462,-0.2730484,-0.6384798,0.7194483
1,1.122224,0.4172921,0.8639503,0.5426534,0.01334035,-0.2726192,-0.6386468,0.7194659
1,1.133335,0.4171823,0.8639257,0.5426884,0.01312201,-0.2721689,-0.6387506,0.7195482
1,1.144446,0.4172134,0.8638597,0.5428354,0.01311952,-0.2717045,-0.639073,0.7194375
1,1.155557,0.4172003,0.8637748,0.5429053,0.01316766,-0.2712975,-0.6394205,0.7192814
1,1.166668,0.4171178,0.8636926,0.5429631,0.01318842,-0.270887,-0.6397955,0.7191022
1,1.17778,0.4170885,0.8636391,0.5430358,0.01325566,-0.2705182,-0.6400884,0.7189791
1,1.188891,0.4169602,0.8635694,0.5431854,0.01341593,-0.2702343,-0.6402115,0.7189733
1,1.200002,0.4169616,0.8634936,0.5432488,0.01344646,-0.2698838,-0.6402842,0.7190396
1,1.211113,0.4167429,0.8634868,0.543336,0.01338968,-0.2694911,-0.6402459,0.7192221
1,1.222224,0.4167219,0.8633788,0.5434918,0.01330718,-0.2693067,-0.6403018,0.7192429
1,1.233335,0.416679,0.8633484,0.5436731,0.01361972,-0.2694998,-0.6406686,0.7188381
1,1.244446,0.4167161,0.8632243,0.5438901,0.01406308,-0.2696845,-0.6411127,0.7183641
1,1.255558,0.4168799,0.8630154,0.5441473,0.01463203,-0.2699379,-0.6416737,0.7177563
1,1.266669,0.4170361,0.8627303,0.5443403,0.01491017,-0.2700827,-0.6421292,0.7172887
1,1.27778,0.4168918,0.8626075,0.5445629,0.01502957,-0.2698192,-0.6423995,0.7171434
1,1.288891,0.4172115,0.8621738,0.5446355,0.01506069,-0.2694796,-0.642515,0.7171668
1,1.300002,0.4171383,0.8620279,0.5448132,0.01524365,-0.2690603,-0.6426498,0.7171998
1,1.311113,0.4171761,0.8618375,0.544939,0.01541733,-0.2685393,-0.6425588,0.7174729
1,1.322224,0.4171162,0.8616838,0.5451543,0.01578055,-0.2680396,-0.642541,0.7176676
