Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
1,0,-0.2190992,0.8207586,-0.2074176,0.3816182,0.6284269,-0.5848436,0.3426445
1,0,-0.2190992,0.8207586,-0.2074176,0.3816182,0.6284269,-0.5848436,0.3426445
1,0.01111111,-0.2190992,0.8207586,-0.2074176,0.3816182,0.6284269,-0.5848436,0.3426445
1,0.02222222,-0.2217644,0.8223873,-0.2084478,0.3865203,0.626255,-0.5836686,0.3431292
1,0.03333334,-0.2240186,0.8235106,-0.2083313,0.3917187,0.627747,-0.5799118,0.3408703
1,0.04444445,-0.2271452,0.8246055,-0.2089078,0.3968751,0.6253614,-0.5806445,0.3380315
1,0.05555556,-0.2279661,0.8248489,-0.208902,0.3987001,0.6253017,-0.5808426,0.3356453
1,0.06666667,-0.228739,0.8249499,-0.2094417,0.4005847,0.624751,-0.5835598,0.3296607
1,0.07777778,-0.2297092,0.8257003,-0.2096215,0.4031152,0.623555,-0.5870165,0.3226281
1,0.08888889,-0.230388,0.8257712,-0.2107325,0.405665,0.6211849,-0.5919839,0.3148336
1,0.1,-0.2308749,0.82615,-0.2114781,0.4079086,0.6186764,-0.5957883,0.3096554
1,0.1111111,-0.2321963,0.8264755,-0.2126873,0.4102455,0.6162249,-0.5978785,0.3074196
1,0.1222222,-0.2328183,0.8266246,-0.2135267,0.4132845,0.6140887,-0.5987344,0.3059546
1,0.1333333,-0.2341291,0.8267688,-0.214229,0.4179685,0.6121064,-0.5967779,0.3073828
1,0.1444445,-0.2347916,0.8272139,-0.2148783,0.4222062,0.6107183,-0.5943646,0.3090242
1,0.1555556,-0.2354266,0.8270904,-0.215127,0.4253013,0.6097156,-0.5933563,0.3086973
1,0.1666667,-0.2357808,0.8274763,-0.2158576,0.4276746,0.6091785,-0.5927527,0.3076365
1,0.1777778,-0.2357236,0.8272623,-0.2160962,0.4290045,0.6097261,-0.5923564,0.3054556
1,0.1888889,-0.2350281,0.827604,-0.216316,0.4297743,0.6108568,-0.5919744,0.3028437
1,0.2,-0.2355374,0.8273984,-0.2167344,0.430446,0.6120341,-0.5915124,0.3004059
1,0.2111111,-0.234634,0.8276635,-0.2171835,0.4301837,0.613916,-0.5911594,0.2976233
1,0.2222222,-0.2347993,0.8274501,-0.2177164,0.430203,0.6162699,-0.5897311,0.2955571
1,0.2333333,-0.2339396,0.8273878,-0.2179185,0.4312099,0.6188068,-0.5871174,0.2939886
1,0.2444444,-0.2332492,0.8272163,-0.2180665,0.4318909,0.6213461,-0.5844181,0.2930101
1,0.2555556,-0.2321338,0.8275481,-0.218875,0.4317634,0.6235024,-0.5826732,0.292091
1,0.2666667,-0.2313557,0.82736,-0.2194319,0.4309132,0.625604,-0.5810194,0.2921471
1,0.2777778,-0.2301259,0.8279905,-0.2207341,0.4296975,0.6269562,-0.5801932,0.2926807
1,0.2888889,-0.2289633,0.8281578,-0.221901,0.4287487,0.6278232,-0.5795441,0.2934982
1,0.3,-0.2274727,0.8284556,-0.2230286,0.4284562,0.6285027,-0.578715,0.2941066
1,0.3111111,-0.2258467,0.8289661,-0.2242435,0.429118,0.6284676,-0.5775744,0.2954555
1,0.3222222,-0.2240646,0.8289394,-0.2250454,0.4308745,0.6282053,-0.5758061,0.296905
1,0.3333333,-0.2222221,0.8292669,-0.2259048,0.4332911,0.6278288,-0.5737221,0.2982163
1,0.3444445,-0.2205216,0.8293564,-0.2269472,0.4359202,0.627576,-0.5711538,0.2998421
1,0.3555556,-0.2182774,0.8293728,-0.2274137,0.4382619,0.6272901,-0.5688342,0.3014323
1,0.3666667,-0.2150499,0.8293884,-0.2288239,0.4424906,0.626743,-0.5637874,0.3058416
1,0.3777778,-0.2139804,0.8295192,-0.2293351,0.4436323,0.6265389,-0.562343,0.3072616
1,0.3888889,-0.2131826,0.8291168,-0.2296914,0.4443721,0.626346,-0.5608873,0.3092404
1,0.4,-0.2116589,0.8292279,-0.2308915,0.4449034,0.6260518,-0.5587021,0.313005
1,0.4111111,-0.2102108,0.8294187,-0.2320768,0.4454226,0.6258855,-0.5563335,0.3167948
1,0.4222222,-0.2090259,0.8289601,-0.2327067,0.4455569,0.6260619,-0.5534402,0.3212934
1,0.4333333,-0.2079976,0.8286488,-0.2333367,0.4457501,0.6267448,-0.550012,0.3255524
1,0.4444444,-0.2069538,0.8287419,-0.2341112,0.4453558,0.6277565,-0.5470375,0.3291348
1,0.4555556,-0.2057528,0.8287376,-0.2347347,0.4445765,0.6287577,-0.5447705,0.3320251
1,0.4666667,-0.2045315,0.8289575,-0.2354999,0.4429877,0.6298251,-0.5437691,0.3337624
1,0.4777778,-0.2033364,0.8289762,-0.2366964,0.4414705,0.6304969,-0.5434955,0.3349481
1,0.4888889,-0.2021818,0.8292749,-0.2378705,0.4400887,0.6309466,-0.5431173,0.3365294
1,0.5,-0.2016322,0.8295327,-0.23898,0.4393361,0.6313165,-0.5418855,0.3387968
1,0.5111111,-0.2007392,0.8295553,-0.2395214,0.4392076,0.631724,-0.5399791,0.341239
1,0.5222223,-0.2002973,0.8297608,-0.2406412,0.438979,0.6320695,-0.5382629,0.3435965
1,0.5333334,-0.1994421,0.8298412,-0.241793,0.4391439,0.6323541,-0.5367105,0.3452867
1,0.5444446,-0.1990249,0.8301249,-0.2426766,0.4395779,0.6326644,-0.5353348,0.3462999
1,0.5555557,-0.1979896,0.830364,-0.2448353,0.4401904,0.6329169,-0.5350673,0.3454728
1,0.5666668,-0.1979896,0.830364,-0.2448353,0.4401904,0.6329169,-0.5350673,0.3454728
1,0.577778,-0.1975165,0.8305623,-0.2458791,0.4400787,0.6329209,-0.5357845,0.3444951
1,0.5888891,-0.1968344,0.8308872,-0.2470805,0.4398777,0.6329851,-0.5372182,0.3423945
1,0.6000003,-0.1964292,0.8311471,-0.2480063,0.4395115,0.6333673,-0.5382291,0.3405656
1,0.6111114,-0.1961004,0.8316827,-0.2491785,0.4394217,0.6337424,-0.5389641,0.3388167
1,0.6222225,-0.1956511,0.8319191,-0.2501734,0.4395875,0.6341009,-0.5393783,0.3372683
1,0.6333337,-0.1948796,0.8324118,-0.251497,0.4398113,0.6345085,-0.5399988,0.3352109
1,0.6444448,-0.1946825,0.8326199,-0.2529619,0.4395062,0.6352154,-0.5409077,0.332798
1,0.655556,-0.1935525,0.8334007,-0.2539993,0.4389698,0.6359325,-0.5420053,0.3303416
1,0.6666671,-0.1932479,0.8337384,-0.2557092,0.4378836,0.6367374,-0.5435326,0.3277129
1,0.6777782,-0.1922833,0.8342622,-0.2568287,0.4369449,0.6373987,-0.5447567,0.3256412
1,0.6888894,-0.1921002,0.8345267,-0.2581798,0.4366595,0.637784,-0.5454114,0.3241704
1,0.7000005,-0.1909165,0.8349441,-0.2595146,0.4368605,0.6378886,-0.5458111,0.323019
1,0.7111117,-0.1903473,0.8353266,-0.2609064,0.4380195,0.6376843,-0.5452906,0.3227316
1,0.7222228,-0.1892487,0.8355371,-0.262067,0.4404399,0.6372813,-0.5432979,0.3235933
1,0.7333339,-0.1887277,0.8350499,-0.2627587,0.4431405,0.6373745,-0.5404296,0.3245246
1,0.7444451,-0.187062,0.8350296,-0.2643897,0.4457751,0.6385267,-0.5376858,0.3232059
1,0.7555562,-0.187062,0.8350296,-0.2643897,0.4457751,0.6385267,-0.5376858,0.3232059
1,0.7666674,-0.1861068,0.8350744,-0.2650467,0.4450889,0.6402357,-0.5367008,0.3224071
1,0.7777785,-0.1855866,0.8349072,-0.2661767,0.444075,0.6416327,-0.5361912,0.3218755
1,0.7888896,-0.1829753,0.8350027,-0.2681257,0.4405455,0.6436725,-0.5382962,0.319128
1,0.8000008,-0.1829753,0.8350027,-0.2681257,0.4405455,0.6436725,-0.5382962,0.319128
1,0.8111119,-0.1810428,0.8346542,-0.2697423,0.4393739,0.6442561,-0.539193,0.31805
1,0.8222231,-0.1792306,0.834778,-0.2714097,0.43755,0.6443694,-0.5415656,0.3162986
1,0.8333342,-0.1773061,0.8356594,-0.2744967,0.4342536,0.644271,-0.5470558,0.3115585
1,0.8444453,-0.1749706,0.8359431,-0.276356,0.4306055,0.6458961,-0.5510486,0.3061741
1,0.8555565,-0.1716765,0.836696,-0.2792265,0.4260158,0.6480213,-0.5571715,0.2968822
1,0.8666676,-0.1678691,0.8374256,-0.2825117,0.4170718,0.6526946,-0.5659487,0.2823878
1,0.8777788,-0.1654027,0.837598,-0.2842658,0.4095545,0.6600978,-0.5675039,0.2729016
1,0.8888899,-0.1625011,0.8382882,-0.2868188,0.4031466,0.6669905,-0.56814,0.2642223
1,0.900001,-0.1594437,0.8384412,-0.2891386,0.3953735,0.6756845,-0.5672892,0.2555645
1,0.9111122,-0.1556973,0.8389677,-0.2923259,0.3885656,0.683173,-0.5662777,0.2482355
1,0.9222233,-0.1517957,0.8388923,-0.2953573,0.3845492,0.6894885,-0.5630621,0.2443122
1,0.9333345,-0.1472587,0.839043,-0.298521,0.3833368,0.694207,-0.5583459,0.243679
1,0.9444456,-0.1426772,0.8389118,-0.3022113,0.3822489,0.6977988,-0.5547279,0.2433918
1,0.9555568,-0.1363977,0.8389325,-0.3063528,0.3831138,0.69919,-0.5512044,0.2460299
1,0.9666679,-0.1313345,0.838931,-0.3097134,0.3819966,0.7024654,-0.5480588,0.2454638
1,0.977779,-0.1240985,0.8390459,-0.3132037,0.3805498,0.7061771,-0.5449433,0.2439931
1,0.9888902,-0.1170404,0.8389629,-0.3167502,0.3754391,0.7102705,-0.5451168,0.2396013
1,1.000001,-0.108567,0.8392432,-0.3208895,0.3666934,0.7146402,-0.5479513,0.2336118
1,1.011112,-0.1002381,0.8395144,-0.3246638,0.3576319,0.7191367,-0.5501955,0.2285319
1,1.022224,-0.09028829,0.8401034,-0.328899,0.3447054,0.724327,-0.5539652,0.2228256
1,1.033335,-0.08008271,0.8405877,-0.33248,0.3309603,0.7304242,-0.556304,0.2178803
1,1.044446,-0.06910983,0.8412645,-0.3354455,0.3173733,0.7373081,-0.5560736,0.215483
1,1.055557,-0.05651701,0.8426303,-0.3382551,0.3024928,0.7453431,-0.5537511,0.2152242
1,1.066668,-0.04564717,0.8435541,-0.3400488,0.2895451,0.7518699,-0.5518164,0.2152999
