Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
1,0,0.07417767,0.7721391,-0.2384718,-0.04836056,0.8268945,-0.5563645,0.0660715
1,0,0.07417767,0.7721391,-0.2384718,-0.04836056,0.8268945,-0.5563645,0.0660715
1,0.01111111,0.07414292,0.7725167,-0.2354085,-0.04734584,0.8262854,-0.5564049,0.07365072
1,0.02222222,0.07413446,0.7727423,-0.2314107,-0.04477606,0.8276483,-0.5535603,0.0810207
1,0.03333334,0.07553074,0.7728578,-0.2277043,-0.04179355,0.8298072,-0.5504836,0.08149421
1,0.04444445,0.07536812,0.7732089,-0.2245187,-0.04396659,0.8278905,-0.5512707,0.09362163
1,0.05555556,0.07519712,0.7729552,-0.2230818,-0.04445946,0.8269448,-0.5519627,0.0975846
1,0.06666667,0.07603718,0.7730696,-0.221043,-0.04424906,0.826351,-0.5522247,0.1011637
1,0.07777778,0.07665335,0.7731886,-0.2189008,-0.04451789,0.825281,-0.5530646,0.1051144
1,0.08888889,0.07760938,0.7733331,-0.217017,-0.04504673,0.8235835,-0.5549222,0.1083621
1,0.1,0.07808335,0.7731716,-0.2151946,-0.04671191,0.8216932,-0.5569757,0.111429
1,0.1111111,0.0789201,0.7731157,-0.2135819,-0.04873553,0.8197525,-0.5592089,0.1136488
1,0.1222222,0.08007396,0.7733038,-0.2118039,-0.0483184,0.8190295,-0.559788,0.1161617
1,0.1333333,0.08140271,0.7732387,-0.2097685,-0.04908122,0.8181702,-0.5607738,0.1171371
1,0.1444445,0.08227384,0.7732713,-0.2082527,-0.0502515,0.8170763,-0.5619711,0.1185306
1,0.1555556,0.08351446,0.7732503,-0.2066235,-0.05200864,0.8159912,-0.5633719,0.1185977
1,0.1666667,0.08470119,0.7731681,-0.2051535,-0.05393037,0.8150522,-0.5645962,0.1183751
1,0.1777778,0.08686768,0.7729898,-0.2018579,-0.05927844,0.8132911,-0.5669835,0.1165043
1,0.1888889,0.08686768,0.7729898,-0.2018579,-0.05927844,0.8132911,-0.5669835,0.1165043
1,0.2,0.08782403,0.7728184,-0.2003374,-0.06172889,0.8124946,-0.568033,0.1156745
1,0.2111111,0.0887952,0.7726772,-0.1986984,-0.06392261,0.8118119,-0.5688915,0.115056
1,0.2222222,0.08975282,0.7723531,-0.1972333,-0.06519051,0.8114119,-0.5693847,0.1147254
1,0.2333333,0.09061014,0.7722106,-0.1956332,-0.06641614,0.8109698,-0.5699198,0.1144913
1,0.2444444,0.09154936,0.7719473,-0.1944149,-0.06682339,0.810307,-0.5708096,0.1145152
1,0.2555556,0.09219208,0.7719559,-0.1929564,-0.06723103,0.8094476,-0.5719342,0.1147429
1,0.2666667,0.09287894,0.7717928,-0.1915784,-0.06734689,0.8086759,-0.5729469,0.1150624
1,0.2777778,0.09338817,0.7715309,-0.190268,-0.06658383,0.80794,-0.5739107,0.1158709
1,0.2888889,0.09386864,0.771327,-0.1889841,-0.0654829,0.8072641,-0.574751,0.1170383
1,0.3,0.09434628,0.7711232,-0.1877028,-0.06407429,0.806732,-0.5753525,0.1185219
1,0.3111111,0.09469406,0.7708881,-0.1866222,-0.06217432,0.8061352,-0.5759921,0.1204721
1,0.3222222,0.09514882,0.7707308,-0.1855786,-0.06035799,0.8055341,-0.5766181,0.1224068
1,0.3333333,0.09536268,0.7705762,-0.1845939,-0.05828775,0.8049464,-0.5771323,0.1248286
