Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
26,0,0.05886097,1.081982,-0.5200682,-0.2093591,0.5468037,0.7554297,-0.2941098
26,0.01111111,0.05816676,1.081263,-0.5204703,-0.2071428,0.5465161,0.7556596,-0.295619
26,0.02222222,0.05774907,1.080771,-0.5205643,-0.2056581,0.5467005,0.7556775,-0.2962679
26,0.03333334,0.05725512,1.080592,-0.5202116,-0.2067882,0.5468909,0.7566395,-0.2926529
26,0.04444445,0.05711216,1.080477,-0.5203369,-0.2080281,0.5457329,0.7569445,-0.2931463
26,0.05555556,0.05716129,1.080268,-0.5207421,-0.2063552,0.5454719,0.7569845,-0.2947072
26,0.06666667,0.05808803,1.080248,-0.5217271,-0.2066427,0.5455944,0.7565304,-0.2954443
26,0.07777778,0.05785813,1.080405,-0.5216575,-0.2090492,0.5449024,0.7566942,-0.2946076
26,0.08888889,0.0583996,1.080919,-0.5223572,-0.2085305,0.5445406,0.7569169,-0.2950715
26,0.1,0.0583759,1.081028,-0.5229551,-0.2072959,0.5437416,0.7572979,-0.2964343
26,0.1111111,0.05872919,1.08135,-0.5235496,-0.2064045,0.5433276,0.7577628,-0.2966274
26,0.1222222,0.05868228,1.081415,-0.5241693,-0.2057304,0.5429085,0.7582085,-0.2967244
26,0.1333333,0.05868904,1.081564,-0.5246,-0.2047954,0.5425777,0.7587867,-0.2964977
26,0.1444445,0.05846005,1.081357,-0.5250587,-0.2038468,0.5418949,0.7593761,-0.296891
26,0.1555556,0.05851063,1.081525,-0.5253751,-0.2033504,0.5415193,0.7597308,-0.2970095
26,0.1666667,0.05811885,1.080994,-0.5254102,-0.202497,0.541052,0.7601374,-0.2974034
26,0.1777778,0.05807064,1.08121,-0.5255845,-0.2015783,0.5405566,0.760507,-0.2979832
26,0.1888889,0.05760523,1.080617,-0.5253489,-0.2007068,0.5403227,0.7607695,-0.298325
26,0.2,0.05738778,1.080851,-0.5254921,-0.1998567,0.540149,0.7609224,-0.2988203
26,0.2111111,0.05738778,1.080851,-0.5254921,-0.1998567,0.540149,0.7609224,-0.2988203
26,0.2222222,0.0569751,1.080503,-0.5252345,-0.1985752,0.5401743,0.7610152,-0.2993918
26,0.2333333,0.05650163,1.080601,-0.5247218,-0.1975284,0.5405703,0.7608666,-0.299747
26,0.2444444,0.05629997,1.081096,-0.5248686,-0.196579,0.5409095,0.7606401,-0.3003334
26,0.2555556,0.05605816,1.08111,-0.5247372,-0.1960138,0.5414439,0.7602046,-0.3008425
26,0.2666667,0.05587609,1.081673,-0.5248441,-0.1955019,0.5419767,0.7597609,-0.3013365
26,0.2777778,0.0556311,1.081672,-0.5246252,-0.195232,0.5425507,0.7590774,-0.3021998
