Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
1,0,0.4700627,0.692512,0.6202965,-0.02637568,0.2004791,0.7349877,-0.6472292
1,0,0.4700627,0.692512,0.6202965,-0.02637568,0.2004791,0.7349877,-0.6472292
1,0.01111111,0.470551,0.6918341,0.6206875,-0.02747305,0.2039629,0.7382382,-0.6423775
1,0.02222222,0.4703119,0.6914093,0.6205519,-0.02592074,0.20493,0.7391376,-0.6410986
1,0.03333334,0.4703035,0.6910474,0.6206785,-0.02428396,0.2056446,0.7395679,-0.6404374
1,0.04444445,0.4703827,0.6904923,0.6205671,-0.02262075,0.2064924,0.7399729,-0.6397572
1,0.05555556,0.4705127,0.6902142,0.620399,-0.0213188,0.207457,0.741025,-0.6382704
1,0.06666667,0.4709335,0.6897355,0.6204687,-0.02045336,0.2097583,0.7434043,-0.6347702
1,0.07777778,0.471115,0.6892952,0.6205795,-0.02005367,0.2114384,0.7448703,-0.6325028
1,0.08888889,0.4717114,0.6881436,0.6209534,-0.01883479,0.2158788,0.7486193,-0.6265867
1,0.1,0.4717114,0.6881436,0.6209534,-0.01883479,0.2158788,0.7486193,-0.6265867
1,0.1111111,0.472331,0.687206,0.6210369,-0.01679021,0.2194309,0.7517573,-0.6216342
1,0.1222222,0.4727692,0.6865821,0.620998,-0.01570111,0.2210042,0.7531562,-0.619408
1,0.1333333,0.4727692,0.6865821,0.620998,-0.01570111,0.2210042,0.7531562,-0.619408
1,0.1444445,0.4729674,0.6862617,0.6209435,-0.01459378,0.2221428,0.7544347,-0.617469
1,0.1555556,0.4732784,0.6854523,0.6209668,-0.0123579,0.2241621,0.7573601,-0.6131919
1,0.1666667,0.4732784,0.6854523,0.6209668,-0.0123579,0.2241621,0.7573601,-0.6131919
1,0.1777778,0.473459,0.6849458,0.6209374,-0.0111563,0.2250326,0.7587776,-0.6111402
1,0.1888889,0.4735615,0.6846321,0.6208388,-0.01012097,0.2256644,0.7601053,-0.6092727
1,0.2,0.4744,0.6835806,0.6207755,-0.0089982,0.2284244,0.7632154,-0.604354
1,0.2111111,0.4746773,0.6830861,0.6208313,-0.008515492,0.2299238,0.7648507,-0.6017191
1,0.2222222,0.4746773,0.6830861,0.6208313,-0.008515492,0.2299238,0.7648507,-0.6017191
1,0.2333333,0.4752206,0.6820869,0.6208722,-0.006918468,0.2323063,0.7678749,-0.596954
1,0.2444444,0.4753713,0.6816539,0.6208688,-0.005872108,0.2333466,0.7692814,-0.5947446
1,0.2555556,0.4754754,0.6811944,0.6207761,-0.004945971,0.234411,0.7708317,-0.5923222
1,0.2666667,0.4754754,0.6811944,0.6207761,-0.004945971,0.234411,0.7708317,-0.5923222
1,0.2777778,0.4757606,0.6803896,0.6207383,-0.002617553,0.2365313,0.7733101,-0.5882496
1,0.2888889,0.4758936,0.6799811,0.620728,-0.001583502,0.2377301,0.7743025,-0.5864618
1,0.3,0.4760561,0.6796185,0.62073,-0.0007515922,0.2391478,0.7755158,-0.5842798
1,0.3111111,0.4760561,0.6796185,0.62073,-0.0007515922,0.2391478,0.7755158,-0.5842798
1,0.3222222,0.4764674,0.6787456,0.6209083,0.0006342083,0.2427773,0.7780641,-0.5793747
1,0.3333333,0.4766701,0.6783006,0.6210423,0.001276948,0.2445237,0.7793157,-0.576952
1,0.3444445,0.4768308,0.6778985,0.6211467,0.001794323,0.2461346,0.7804612,-0.5747128
1,0.3555556,0.4769009,0.6774558,0.6211834,0.002534546,0.2474198,0.7815663,-0.5726526
1,0.3666667,0.4769992,0.6770718,0.6212398,0.00317391,0.2482672,0.7824495,-0.5710744
1,0.3777778,0.4769961,0.6768318,0.6211956,0.003997415,0.2486112,0.7831484,-0.5699607
1,0.3888889,0.4771813,0.676553,0.6211054,0.00473503,0.2486889,0.7837213,-0.5691331
1,0.4,0.4773328,0.6762366,0.6210337,0.005412571,0.2486502,0.7842751,-0.5683806
1,0.4111111,0.4773328,0.6762366,0.6210337,0.005412571,0.2486502,0.7842751,-0.5683806
1,0.4222222,0.4773674,0.6760291,0.6210204,0.005939692,0.2487512,0.7849224,-0.5674368
1,0.4333333,0.4773959,0.6758804,0.6210564,0.006128006,0.248796,0.7854279,-0.566715
1,0.4444444,0.4774283,0.6757922,0.6210233,0.006575234,0.248839,0.7860066,-0.5658882
1,0.4555556,0.4775475,0.6756214,0.621033,0.006695166,0.2489042,0.7863945,-0.5653189
1,0.4666667,0.4776243,0.6756095,0.6210106,0.006822973,0.2488309,0.7867153,-0.5649032
1,0.4777778,0.4777386,0.6755416,0.6210083,0.006872937,0.2484798,0.7868441,-0.5648776
1,0.4888889,0.4777682,0.6756006,0.6209284,0.00695622,0.2482,0.7870509,-0.5647116
1,0.5,0.4777847,0.6756313,0.6208982,0.007121079,0.2477632,0.7870161,-0.5649497
1,0.5111111,0.4779153,0.6755024,0.6206496,0.007386684,0.2474371,0.7870336,-0.5650651
1,0.5222223,0.4779109,0.6755599,0.6206046,0.007382058,0.2472641,0.787085,-0.5650692
1,0.5333334,0.4779218,0.6755404,0.6206039,0.007484622,0.2471527,0.7871674,-0.5650018
1,0.5444446,0.4779233,0.675516,0.6206282,0.007444009,0.2471931,0.7872875,-0.5648172
1,0.5555557,0.4779862,0.6755067,0.6207212,0.007294387,0.2474252,0.7873892,-0.5645758
1,0.5666668,0.477991,0.6754832,0.6207433,0.007255703,0.2476914,0.7874668,-0.5643512
