Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
2,0,0.3118182,0.7023599,0.8142486,0.2606098,-0.08821334,-0.6750963,0.6845042
2,0.01111111,0.3119347,0.7020291,0.813477,0.2573931,-0.09012341,-0.6747236,0.6858386
2,0.02222222,0.3115865,0.701929,0.8136618,0.2551793,-0.09125544,-0.6757453,0.6855103
2,0.03333334,0.3116721,0.7021018,0.8132931,0.2539804,-0.09284468,-0.6760854,0.6854066
2,0.04444445,0.3113622,0.7022165,0.8132648,0.252883,-0.09310228,-0.675359,0.6864927
2,0.05555556,0.3114026,0.7021706,0.813369,0.2531469,-0.09367426,-0.6757361,0.6859465
2,0.06666667,0.3114945,0.7021155,0.8137077,0.2553338,-0.09391391,-0.6766211,0.6842285
2,0.07777778,0.3115904,0.7021176,0.8140911,0.2575243,-0.09394912,-0.6771404,0.6828879
2,0.08888889,0.3122219,0.7016942,0.8144363,0.2606366,-0.09392013,-0.6778276,0.6810267
2,0.1,0.3124208,0.7016629,0.8150432,0.2641241,-0.09409822,-0.6786013,0.6788847
2,0.1111111,0.3126343,0.7015413,0.8155719,0.2674951,-0.09460485,-0.679603,0.676488
2,0.1222222,0.3129244,0.701429,0.8160927,0.2705633,-0.09536273,-0.6808155,0.6739376
2,0.1333333,0.3131425,0.7011454,0.8165355,0.2726419,-0.09639899,-0.6823158,0.6714304
2,0.1444445,0.3135457,0.7005905,0.816428,0.2728797,-0.09688912,-0.6828789,0.6706904
2,0.1555556,0.3135957,0.700398,0.8162848,0.2715941,-0.09739453,-0.6835149,0.6704911
2,0.1666667,0.31382,0.700335,0.8158527,0.270183,-0.09771015,-0.6844601,0.670051
