Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
8,0,0.5261167,0.5682263,0.4417028,-0.02760518,0.2011624,0.7118564,-0.6723333
8,0.01111111,0.5268505,0.5673308,0.442267,-0.02862538,0.2085708,0.7140862,-0.6676524
8,0.02222222,0.5275813,0.5662519,0.4424089,-0.02641473,0.2181919,0.7145869,-0.6641236
8,0.03333334,0.5275807,0.5657683,0.4431185,-0.0227768,0.2241799,0.7133614,-0.6635813
8,0.04444445,0.5274954,0.5653922,0.4431236,-0.01796227,0.2297061,0.7112554,-0.6640995
8,0.05555556,0.5277411,0.5655533,0.4426748,-0.01489457,0.2343192,0.7100058,-0.663901
8,0.06666667,0.5278006,0.5653967,0.4426965,-0.01192433,0.2385941,0.7089275,-0.6635906
8,0.07777778,0.5276973,0.5654254,0.442203,-0.009455323,0.2406994,0.7083798,-0.663455
8,0.08888889,0.5277392,0.5651358,0.4420905,-0.007338487,0.2436732,0.7079402,-0.6628652
8,0.1,0.527751,0.5649828,0.4420745,-0.006190844,0.2457109,0.7078897,-0.6621781
8,0.1111111,0.527845,0.5647934,0.4421476,-0.005149998,0.2482312,0.7077357,-0.6614113
8,0.1222222,0.5273799,0.5649371,0.4422783,-0.004828766,0.2486401,0.7077764,-0.6612166
8,0.1333333,0.5274529,0.5648322,0.4422843,-0.004528046,0.2499414,0.7079538,-0.6605378
8,0.1444445,0.52746,0.5645911,0.4425309,-0.005259201,0.2506944,0.7086766,-0.6594711
8,0.1555556,0.527306,0.5645549,0.4428974,-0.005691238,0.2505727,0.7095724,-0.6585499
8,0.1666667,0.5271274,0.5649378,0.4428918,-0.005936824,0.2484579,0.7090346,-0.6599268
8,0.1777778,0.5270268,0.5654905,0.4427794,-0.007211037,0.2453893,0.7083134,-0.6618341
8,0.1888889,0.5269669,0.5658908,0.4427115,-0.008620545,0.2431233,0.7077837,-0.6632187
8,0.2,0.5268857,0.5664886,0.4425073,-0.01063796,0.2399077,0.7070738,-0.6651149
8,0.2111111,0.5267148,0.5669059,0.4424509,0.01239488,-0.2373672,-0.7063865,0.6667242
8,0.2222222,0.5265452,0.5672783,0.4422439,0.01359862,-0.235163,-0.7054518,0.6684693
8,0.2333333,0.5263148,0.5676529,0.4420349,0.01416288,-0.2328605,-0.7041901,0.6705905
8,0.2444444,0.5259444,0.5680664,0.4417283,0.01409444,-0.2304127,-0.7025564,0.6731463
8,0.2555556,0.5257818,0.5684366,0.441454,0.01403523,-0.228183,-0.700963,0.6755639
