Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
11,0,0.5251569,0.5658242,0.4420883,-0.01975079,0.2083597,0.7141658,-0.6679545
11,0,0.5251569,0.5658242,0.4420883,-0.01975079,0.2083597,0.7141658,-0.6679545
11,0.01111111,0.5256603,0.564901,0.4422203,-0.0195654,0.2124883,0.7159951,-0.6646931
11,0.02222222,0.5256701,0.5651418,0.4422791,-0.01977291,0.2116612,0.7165701,-0.6643312
11,0.03333334,0.5256597,0.5644519,0.4424455,-0.01578306,0.2153857,0.7164595,-0.6633593
11,0.04444445,0.5255582,0.5645368,0.4422769,-0.01376068,0.2146572,0.716471,-0.6636281
11,0.05555556,0.5253145,0.5644574,0.4421478,-0.01192242,0.2143169,0.7167101,-0.6635155
11,0.06666667,0.5250116,0.5645475,0.4419654,-0.0100443,0.2127606,0.7172275,-0.6634883
11,0.07777778,0.5249133,0.5643091,0.4416862,-0.008764692,0.2120301,0.7183627,-0.6625115
11,0.08888889,0.5251617,0.5638219,0.4414274,-0.007890858,0.2120827,0.7197325,-0.6610171
11,0.1,0.5252534,0.5635726,0.4414042,-0.007229626,0.2119573,0.7209882,-0.6596953
11,0.1111111,0.5253581,0.5633352,0.4413158,-0.006570913,0.2115904,0.7218769,-0.6588476
11,0.1222222,0.5252484,0.5631796,0.4411591,-0.005945608,0.2105872,0.7224638,-0.6585315
11,0.1333333,0.5251204,0.5630581,0.4409758,-0.005316637,0.2097357,0.7232657,-0.6579282
11,0.1444445,0.5253029,0.5628475,0.4409715,-0.005260631,0.2092877,0.7238445,-0.6574346
11,0.1555556,0.5253038,0.5627261,0.4409378,-0.005144566,0.2093795,0.7244006,-0.6567932
11,0.1666667,0.5252875,0.5627449,0.4410217,-0.005249619,0.2098352,0.7245767,-0.6564528
11,0.1777778,0.5252486,0.5627633,0.4411035,-0.005199224,0.2102343,0.7246498,-0.6562448
11,0.1888889,0.5256549,0.5626592,0.4408575,-0.005538255,0.2108949,0.7245028,-0.6561924
11,0.2,0.5257377,0.5626101,0.440947,-0.006030962,0.2114899,0.7242028,-0.6563275
11,0.2111111,0.5258121,0.5626156,0.4410493,-0.006577328,0.2119383,0.7238201,-0.6565998
11,0.2222222,0.5258292,0.5626428,0.4411997,-0.00747557,0.2127652,0.7235106,-0.6566638
11,0.2333333,0.5257965,0.5626352,0.4414104,-0.008313015,0.2135129,0.7232706,-0.6566756
11,0.2444444,0.5259396,0.5627353,0.4415921,-0.00939855,0.2139455,0.7229252,-0.6569005
11,0.2555556,0.5259206,0.5629568,0.4416949,-0.01044068,0.2138889,0.7224119,-0.6574676
11,0.2666667,0.5259117,0.5630921,0.441795,-0.01149885,0.2139466,0.7218593,-0.6580378
11,0.2777778,0.5257931,0.5633242,0.4420604,-0.01262636,0.2139808,0.7214959,-0.6584045
11,0.2888889,0.5257956,0.5634824,0.4421598,-0.01363553,0.214058,0.7211487,-0.6587395
11,0.3,0.5257709,0.5635765,0.4422719,-0.01446122,0.2141139,0.720842,-0.6590393
11,0.3111111,0.5260067,0.5635936,0.4421965,-0.01525625,0.2140983,0.7207403,-0.6591377
11,0.3222222,0.5260104,0.563635,0.4422541,-0.01587102,0.2141533,0.7206545,-0.6591991
11,0.3333333,0.5260602,0.5636517,0.4423259,-0.01644518,0.2143387,0.7205995,-0.659185
11,0.3444445,0.5260847,0.5637007,0.4423572,-0.01689112,0.2143782,0.7204489,-0.6593254
11,0.3555556,0.5259989,0.5636301,0.4424342,-0.01714385,0.2142785,0.7204261,-0.6593761
11,0.3666667,0.525965,0.5636472,0.4424558,-0.01718108,0.2141417,0.7204932,-0.6593465
11,0.3777778,0.5259386,0.5635889,0.4424308,-0.01717254,0.21416,0.72071,-0.6591036
11,0.3888889,0.5258824,0.5635789,0.4424737,-0.01718564,0.2141608,0.7209232,-0.65887
11,0.4,0.5258924,0.5635055,0.4424675,-0.01691119,0.2141928,0.7211784,-0.6585873
11,0.4111111,0.5260605,0.5632931,0.4424294,-0.01670577,0.2143158,0.721451,-0.6582538
11,0.4222222,0.5261098,0.5632014,0.442412,-0.01648583,0.2143746,0.7217168,-0.6579489
11,0.4333333,0.526123,0.5632089,0.4423491,-0.01609839,0.2142115,0.7219151,-0.6577939
11,0.4444444,0.5261068,0.5631663,0.4423137,-0.0157907,0.2138974,0.7220979,-0.657703
