Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
1,0,0.3589695,0.7511621,0.6274175,-0.1011876,-0.3742967,-0.6061952,0.6943994
1,0,0.3589695,0.7511621,0.6274175,-0.1011876,-0.3742967,-0.6061952,0.6943994
1,0.01111111,0.3605131,0.7514111,0.6281143,-0.09833479,-0.3828226,-0.6060337,0.6902901
1,0.02222222,0.3606355,0.7519072,0.6286296,-0.0987182,-0.3887955,-0.6047578,0.6880122
1,0.03333334,0.3613787,0.7513658,0.6277763,-0.1035011,-0.387462,-0.6044022,0.688374
1,0.04444445,0.3610731,0.7519118,0.6271874,-0.1050564,-0.3873358,-0.6048888,0.6877816
1,0.05555556,0.3609231,0.7524939,0.6267787,-0.1055477,-0.388851,-0.6051431,0.6866268
1,0.06666667,0.3607222,0.7529784,0.6263189,-0.1071141,-0.3885587,-0.6049416,0.6867272
1,0.07777778,0.3631577,0.7519351,0.6256316,-0.1097022,-0.3893934,-0.6039168,0.686748
1,0.08888889,0.3636474,0.7519121,0.6251895,-0.1113957,-0.3900386,-0.6035271,0.6864517
1,0.1,0.3636559,0.7520477,0.625178,-0.1126635,-0.3908581,-0.6032991,0.6859789
1,0.1111111,0.3643805,0.7520124,0.6250405,-0.1131471,-0.3921358,-0.6030487,0.68539
1,0.1222222,0.3645556,0.752202,0.6250771,-0.1131685,-0.3934661,-0.6029181,0.6847388
1,0.1333333,0.3650678,0.752408,0.6249248,-0.1124313,-0.3948646,-0.602505,0.6844187
1,0.1444445,0.3653433,0.7526398,0.6249337,-0.1118513,-0.3958579,-0.601822,0.6845408
1,0.1555556,0.365796,0.7528654,0.6248289,-0.1117158,-0.3968583,-0.6010285,0.6846809
1,0.1666667,0.3660332,0.7531483,0.6246261,-0.1115773,-0.3969237,-0.5998148,0.6857291
1,0.1777778,0.3662342,0.7534317,0.6241391,-0.1120169,-0.3952894,-0.5983587,0.6878701
1,0.1888889,0.3663853,0.7537034,0.6238317,-0.1123945,-0.3946883,-0.5973035,0.6890698
1,0.2,0.3667036,0.7537646,0.6231945,-0.1134389,-0.3921245,-0.5963392,0.6911942
1,0.2111111,0.3678384,0.7534805,0.6225625,-0.1140828,-0.3903885,-0.5956537,0.6926606
1,0.2222222,0.3678784,0.753625,0.6220289,-0.1145375,-0.3882743,-0.5959336,0.6935326
1,0.2333333,0.368052,0.7536052,0.6217089,-0.1147394,-0.3869402,-0.5965616,0.693705
1,0.2444444,0.3681632,0.7535335,0.6215249,-0.1152248,-0.3864664,-0.5973461,0.6932133
1,0.2555556,0.3685146,0.7532873,0.6213551,-0.1158068,-0.3859683,-0.5979517,0.6928717
1,0.2666667,0.3686666,0.7530755,0.6213064,-0.1162991,-0.3863473,-0.5991008,0.691584
1,0.2777778,0.3681355,0.7532718,0.6215177,-0.1164059,-0.3868502,-0.6002524,0.6902851
1,0.2888889,0.3682902,0.7531276,0.6214544,-0.116845,-0.3872778,-0.6011031,0.6892302
1,0.3,0.3683913,0.7529493,0.6215812,-0.1178137,-0.388262,-0.6010904,0.6885222
1,0.3111111,0.368078,0.7530437,0.6217247,-0.1187239,-0.3888789,-0.6010279,0.6880721
1,0.3222222,0.3682313,0.7529468,0.6216156,-0.1195884,-0.3891536,-0.601005,0.6877872
1,0.3333333,0.3678776,0.7533033,0.6216465,-0.1200955,-0.3890359,-0.6008881,0.6878674
1,0.3444445,0.3680297,0.7533894,0.6213461,-0.1207006,-0.3883508,-0.6005232,0.6884671
1,0.3555556,0.3686933,0.753264,0.6210253,-0.121348,-0.3874953,-0.6000734,0.6892272
1,0.3666667,0.3688233,0.7533009,0.6207683,-0.1219825,-0.3868317,-0.5998023,0.6897236
1,0.3777778,0.3695427,0.7530402,0.6204457,-0.1224434,-0.3863481,-0.5996021,0.690087
1,0.3888889,0.3697321,0.7530019,0.6202853,-0.1228438,-0.3862171,-0.5995092,0.6901698
1,0.4,0.3701195,0.7526773,0.6203404,-0.123335,-0.3867521,-0.5992444,0.6900126
1,0.4111111,0.3703774,0.7525184,0.6202745,-0.1241691,-0.3867604,-0.599142,0.6899474
1,0.4222222,0.3704756,0.7523459,0.6201988,-0.124675,-0.3867457,-0.5992917,0.6897343
1,0.4333333,0.3716306,0.751665,0.6199287,-0.1250518,-0.386878,-0.5993482,0.6895427
1,0.4444444,0.3717995,0.7514574,0.6199027,-0.1252832,-0.3871284,-0.599434,0.6892855
1,0.4555556,0.372104,0.7512678,0.6198351,-0.1255123,-0.3874199,-0.5995206,0.6890048
1,0.4666667,0.3722733,0.7511532,0.6196907,-0.1253746,-0.3873489,-0.5996648,0.6889443
1,0.4777778,0.372392,0.7510754,0.6195806,-0.1255036,-0.3869658,-0.5997242,0.6890843
1,0.4888889,0.3722658,0.7511198,0.6194293,-0.1260906,-0.3864027,-0.5995112,0.6894784
1,0.5,0.372395,0.7509876,0.6192724,-0.126562,-0.386149,-0.5993619,0.6896639
1,0.5111111,0.3721695,0.751022,0.6192209,-0.1270232,-0.3859285,-0.5993963,0.6896726
1,0.5222223,0.3722443,0.750847,0.6191243,-0.127595,-0.3858777,-0.5994558,0.6895438
1,0.5333334,0.3721343,0.7507504,0.6192108,-0.1278668,-0.3860966,-0.5996533,0.6891991
1,0.5444446,0.3722443,0.7505187,0.6192424,-0.1281556,-0.3865264,-0.5999595,0.6886379
1,0.5555557,0.3722202,0.750442,0.6193163,-0.1284124,-0.3869334,-0.6001798,0.6881694
1,0.5666668,0.3722561,0.7503644,0.6195181,-0.1282533,-0.3876567,-0.6003466,0.6876462
1,0.577778,0.3724436,0.7502255,0.6195218,-0.128271,-0.3880069,-0.6002653,0.6875163
1,0.5888891,0.372042,0.7503736,0.6195421,-0.1283368,-0.3881113,-0.6001321,0.6875615
1,0.6000003,0.3722219,0.7503058,0.619447,-0.1282974,-0.388033,-0.5997006,0.6879894
1,0.6111114,0.3719668,0.75047,0.6195413,-0.1285038,-0.3877417,-0.5990903,0.6886464
1,0.6222225,0.3719668,0.75047,0.6195413,-0.1285038,-0.3877417,-0.5990903,0.6886464
1,0.6333337,0.3718573,0.7503921,0.6193126,-0.1297468,-0.3866598,-0.5979708,0.6899933
1,0.6444448,0.3720189,0.7502495,0.6192392,-0.1300808,-0.3863119,-0.5977545,0.6903127
1,0.655556,0.3719297,0.7501602,0.6192451,-0.1300081,-0.3863091,-0.5980638,0.6900601
1,0.6666671,0.3720817,0.7499743,0.6192244,-0.1300608,-0.3861839,-0.5983398,0.6898808
1,0.6777782,0.3720817,0.7499743,0.6192244,-0.1300608,-0.3861839,-0.5983398,0.6898808
1,0.6888894,0.3717253,0.7498178,0.619451,-0.1297698,-0.3866296,-0.5993963,0.688768
1,0.7000005,0.371901,0.7495689,0.619491,-0.1297801,-0.3867863,-0.5998109,0.688317
1,0.7111117,0.3718297,0.749486,0.6195903,-0.1297639,-0.3868468,-0.6001185,0.6880178
1,0.7222228,0.3718297,0.749486,0.6195903,-0.1297639,-0.3868468,-0.6001185,0.6880178
1,0.7333339,0.3714572,0.7494569,0.6197937,-0.129684,-0.3868563,-0.6003234,0.6878489
1,0.7444451,0.3716343,0.7492783,0.6197401,-0.1297491,-0.386598,-0.6002154,0.688076
1,0.7555562,0.3709458,0.7495199,0.6198528,-0.1298733,-0.3861768,-0.6001356,0.6883587
1,0.7666674,0.371084,0.7493579,0.6197882,-0.1299338,-0.3857814,-0.6001282,0.6885754
1,0.7777785,0.370616,0.7495097,0.6199369,-0.1298832,-0.3853257,-0.6002067,0.6887717
1,0.7888896,0.3707602,0.7493529,0.6199268,-0.1296818,-0.3850566,-0.6004217,0.6887727
1,0.8000008,0.3700137,0.7495995,0.6202706,-0.1294561,-0.3850021,-0.6006743,0.6886253
1,0.8111119,0.3697879,0.7495815,0.6204522,-0.1293807,-0.3848398,-0.6009707,0.6884716
1,0.8222231,0.3697938,0.7493824,0.6204784,-0.1293674,-0.3846183,-0.6014726,0.6881596
1,0.8333342,0.3695092,0.7493594,0.6205568,-0.1292946,-0.3844366,-0.6018182,0.6879725
1,0.8444453,0.3695421,0.7491795,0.6206079,-0.1291867,-0.38447,-0.6021734,0.6876633
1,0.8555565,0.3698161,0.748906,0.6206168,-0.1290754,-0.3846596,-0.6024895,0.6873012
1,0.8666676,0.3698538,0.7487382,0.6206532,-0.1290562,-0.3848148,-0.6026312,0.6870936
1,0.8777788,0.369736,0.7487025,0.6207427,-0.1293618,-0.3847078,-0.6024799,0.6872286
1,0.8888899,0.3689113,0.7489911,0.621015,-0.1293993,-0.3846555,-0.6025081,0.6872264
1,0.900001,0.3688964,0.7488993,0.6210665,-0.1292786,-0.384775,-0.6024395,0.6872423
1,0.9111122,0.3680967,0.7491893,0.6213039,-0.1290699,-0.384686,-0.6024336,0.6873365
1,0.9222233,0.368039,0.7491116,0.6213701,-0.1288232,-0.384768,-0.6024708,0.6873043
1,0.9333345,0.3677901,0.7491663,0.6214443,-0.1283651,-0.3848298,-0.6025334,0.6873004
1,0.9444456,0.3676955,0.7491171,0.6214909,-0.1279016,-0.3848454,-0.6027802,0.6871617
1,0.9555568,0.367759,0.7490231,0.6215436,-0.1275217,-0.384982,-0.6029523,0.6870047
1,0.9666679,0.367879,0.7489174,0.621622,-0.1270225,-0.3853682,-0.6029124,0.6869158
1,0.977779,0.3678274,0.7488366,0.6217317,-0.1267176,-0.385689,-0.6028416,0.6868542
1,0.9888902,0.3682201,0.7485852,0.6216935,-0.1264992,-0.3858549,-0.6026078,0.6870062
1,1.000001,0.3681735,0.7485188,0.6217059,-0.1264251,-0.3858209,-0.6023856,0.6872339
1,1.011112,0.3680723,0.7485656,0.6217375,-0.1262038,-0.3855931,-0.6022933,0.6874834
1,1.022224,0.368054,0.7485248,0.6217628,-0.1258646,-0.3855444,-0.6023229,0.687547
