Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
1,0,0.2888134,0.7002013,0.8362682,-0.3031045,0.2323959,0.6367058,-0.6698697
1,0,0.2888134,0.7002013,0.8362682,-0.3031045,0.2323959,0.6367058,-0.6698697
1,0.01111111,0.2887354,0.700562,0.8362994,-0.3038675,0.2331204,0.6357183,-0.6702102
1,0.02222222,0.2885928,0.7007317,0.8365667,-0.3040201,0.234125,0.6342067,-0.6712222
1,0.03333334,0.2882988,0.7007796,0.8363424,-0.3028096,0.2349267,0.6319892,-0.6735766
1,0.04444445,0.2881798,0.7009127,0.8361921,-0.3013208,0.2364546,0.6298777,-0.6756842
1,0.05555556,0.288124,0.7009768,0.8361444,-0.3004277,0.2382202,0.6285143,-0.6767304
1,0.06666667,0.2880281,0.7010908,0.8360537,-0.2992237,0.2394444,0.6270089,-0.6782267
1,0.07777778,0.2877053,0.7008337,0.8358316,-0.2984236,0.2402716,0.6258841,-0.6793247
1,0.08888889,0.2878168,0.7008087,0.8357952,-0.2983022,0.240905,0.6254709,-0.6795342
1,0.1,0.2880022,0.7005098,0.8357325,-0.2983255,0.2413631,0.6249976,-0.6797969
1,0.1111111,0.2879725,0.7005599,0.8358001,-0.2987257,0.2410455,0.6250464,-0.6796889
1,0.1222222,0.287969,0.7005618,0.8358624,-0.2991168,0.240775,0.625074,-0.6795874
1,0.1333333,0.2879853,0.7005239,0.8359323,-0.2996985,0.2398848,0.6253499,-0.6793921
1,0.1444445,0.287966,0.7005463,0.8359632,-0.2998522,0.2392956,0.6253388,-0.6795422
1,0.1555556,0.2879747,0.7005925,0.8359991,-0.3000413,0.2387066,0.6255257,-0.679494
1,0.1666667,0.2879905,0.7005773,0.8360476,-0.3002433,0.2383681,0.6256748,-0.6793862
1,0.1777778,0.2879874,0.700573,0.8360544,-0.3002074,0.2380284,0.625824,-0.6793838
1,0.1888889,0.2880003,0.7005505,0.836063,-0.3001554,0.2379696,0.6258747,-0.6793807
1,0.2,0.2880106,0.7005221,0.836082,-0.3001204,0.2380043,0.6259938,-0.6792742
1,0.2111111,0.2880002,0.7005179,0.8360958,-0.3000267,0.2382243,0.6257167,-0.6794937
1,0.2222222,0.2879999,0.7005035,0.836112,-0.3000551,0.2382485,0.6256662,-0.6795192
1,0.2333333,0.2882636,0.7006844,0.8359777,-0.3006594,0.2383115,0.625589,-0.679301
1,0.2444444,0.2882033,0.7008504,0.8360897,-0.3011154,0.2382895,0.6254895,-0.6791984
1,0.2555556,0.2882036,0.7008745,0.8361462,-0.3015412,0.2381902,0.6253704,-0.679154
1,0.2666667,0.287862,0.7007834,0.8358173,-0.301893,0.2381717,0.6251289,-0.6792266
1,0.2777778,0.2878644,0.7007827,0.8358377,-0.3022377,0.2381269,0.6251052,-0.6791109
1,0.2888889,0.2877944,0.7007859,0.8357731,-0.3023676,0.2380295,0.6250386,-0.6791483
1,0.3,0.2877932,0.7007759,0.8357366,-0.3022502,0.2379724,0.6249855,-0.6792694
1,0.3111111,0.2877912,0.7007741,0.8358017,-0.302077,0.2379467,0.6249658,-0.6793737
1,0.3222222,0.2876257,0.7007551,0.8358703,-0.3018937,0.2378244,0.6249961,-0.6794701
1,0.3333333,0.2877517,0.7007688,0.8358993,-0.3017668,0.2377402,0.625245,-0.6793271
1,0.3444445,0.2877079,0.7007861,0.8359339,-0.3017318,0.2375698,0.6253242,-0.6793292
1,0.3555556,0.2876197,0.7009434,0.8360093,-0.3016654,0.2373578,0.6253394,-0.6794188
1,0.3666667,0.2876007,0.7009264,0.8360272,-0.3016163,0.2373544,0.625409,-0.6793778
1,0.3777778,0.2876236,0.7009615,0.8360075,-0.3018065,0.2374215,0.6253122,-0.6793588
1,0.3888889,0.2876455,0.7009141,0.835995,-0.3019219,0.2375207,0.6251591,-0.6794139
1,0.4,0.2876156,0.7009418,0.8360062,-0.3020145,0.2375886,0.6250395,-0.679459
1,0.4111111,0.2875476,0.7009567,0.8359814,-0.3020985,0.2375878,0.6249394,-0.6795139
1,0.4222222,0.2876137,0.7009575,0.8359182,-0.3021009,0.2376244,0.6249428,-0.6794971
1,0.4333333,0.2876883,0.7009315,0.8358535,-0.3020092,0.2375298,0.6250078,-0.679511
1,0.4444444,0.2876819,0.7009366,0.8358308,-0.3019086,0.2374672,0.6249775,-0.6796055
1,0.4555556,0.287777,0.7009183,0.8357719,-0.3019444,0.2374262,0.6251341,-0.6794599
1,0.4666667,0.2878286,0.7009286,0.8357138,-0.3018071,0.2373986,0.6251439,-0.6795214
1,0.4777778,0.2878444,0.7009324,0.8356735,-0.3017146,0.237408,0.6251734,-0.6795322
1,0.4888889,0.287852,0.7009302,0.8356495,-0.3016518,0.2373795,0.6251754,-0.6795682
1,0.5,0.2878485,0.7009334,0.8356147,-0.301643,0.2373918,0.6251718,-0.679571
1,0.5111111,0.2878514,0.7009202,0.8355803,-0.3015556,0.237455,0.6251302,-0.679626
1,0.5222223,0.2878581,0.70093,0.8355524,-0.3015069,0.2374624,0.6250795,-0.6796917
1,0.5333334,0.2878581,0.70093,0.8355524,-0.3015069,0.2374624,0.6250795,-0.6796917
1,0.5444446,0.2874779,0.7012576,0.8356513,-0.3014988,0.2375279,0.6249264,-0.6798131
1,0.5555557,0.2872545,0.7013209,0.8357295,-0.3014767,0.2375374,0.6247504,-0.6799814
1,0.5666668,0.287327,0.7011808,0.8357012,-0.3014748,0.2376284,0.6245915,-0.6800964
1,0.577778,0.2873316,0.7011956,0.8357089,-0.3014772,0.2376541,0.6245416,-0.6801322
1,0.5888891,0.2873095,0.701174,0.8357139,-0.3014649,0.2377215,0.624479,-0.6801716
1,0.6000003,0.2872778,0.7011895,0.8357463,-0.3015991,0.2376926,0.6244562,-0.6801432
1,0.6111114,0.2872778,0.7011895,0.8357463,-0.3015991,0.2376926,0.6244562,-0.6801432
1,0.6222225,0.2872477,0.701189,0.8357552,-0.301592,0.2376824,0.624425,-0.6801785
1,0.6333337,0.2872615,0.7012019,0.8358538,-0.301645,0.237547,0.6244391,-0.6801895
1,0.6444448,0.2872173,0.701178,0.8358461,-0.3015773,0.2373784,0.6245046,-0.6802182
1,0.655556,0.2873598,0.701178,0.8358279,-0.301484,0.2372317,0.6245452,-0.6802735
1,0.6666671,0.2874935,0.7012082,0.8357815,-0.3014733,0.2371264,0.6246375,-0.68023
1,0.6777782,0.2876,0.7011032,0.8357207,-0.3013226,0.237082,0.624656,-0.6802953
1,0.6888894,0.2875735,0.7011051,0.8357094,-0.3011183,0.2370349,0.6246881,-0.6803728
1,0.7000005,0.2875478,0.70113,0.8357275,-0.3010232,0.2370696,0.624656,-0.6804322
1,0.7111117,0.2875407,0.7011389,0.8357086,-0.3008639,0.2371148,0.624538,-0.6805951
1,0.7222228,0.2875699,0.7011683,0.8356927,-0.300873,0.2372039,0.6245109,-0.6805849
1,0.7333339,0.2875693,0.7011609,0.835704,-0.3008426,0.2372656,0.6244917,-0.6805945
1,0.7444451,0.2875853,0.7011621,0.8357133,-0.3009451,0.2373945,0.6244792,-0.6805157
1,0.7555562,0.2875456,0.701183,0.8356701,-0.3009532,0.237415,0.624364,-0.6806108
1,0.7666674,0.2875327,0.7012081,0.8356895,-0.3010631,0.2372903,0.6242917,-0.680672
1,0.7777785,0.2874907,0.7012191,0.8355672,-0.3010873,0.2373138,0.6242692,-0.6806736
1,0.7888896,0.287384,0.701272,0.8356218,-0.3011247,0.2371124,0.6242935,-0.680705
