Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
4,0,0.5395645,0.9671214,0.502488,-0.6575831,-0.03726565,-0.7066565,0.2585199
4,0.01111111,0.5399454,0.9645071,0.5022163,-0.6507748,-0.04241528,-0.7115691,0.261462
4,0.02222222,0.540349,0.9612553,0.5027072,-0.645552,-0.05106189,-0.7143531,0.2652451
4,0.03333334,0.5402593,0.9595322,0.5031506,-0.6379995,-0.05851317,-0.7212209,0.2633883
4,0.04444445,0.539998,0.9577322,0.5045235,-0.6335374,-0.06501315,-0.7261948,0.2589298
4,0.05555556,0.5389413,0.9567574,0.506485,-0.6300179,-0.07271511,-0.7317413,0.249689
4,0.06666667,0.5377197,0.956198,0.5091107,-0.6258957,-0.08376851,-0.7386653,0.2358199
4,0.07777778,0.5365939,0.9553041,0.5112606,-0.6209111,-0.09576946,-0.7454997,0.2225487
4,0.08888889,0.535529,0.9552853,0.5147042,-0.6153729,-0.1137444,-0.7534108,0.2018677
4,0.1,0.5344878,0.9547449,0.5173053,-0.6096835,-0.1281116,-0.7595963,0.1867803
4,0.1111111,0.5335371,0.9550225,0.5203369,-0.6037076,-0.1432633,-0.7654803,0.170448
4,0.1222222,0.5324579,0.95527,0.5228894,-0.597861,-0.1564261,-0.7705805,0.1558807
4,0.1333333,0.5313434,0.9562848,0.5257419,-0.5921564,-0.1683683,-0.7750178,0.1426546
4,0.1444445,0.5303385,0.9574332,0.527938,-0.5863054,-0.1784366,-0.7790847,0.1320354
4,0.1555556,0.5292987,0.9590894,0.5300094,-0.5804424,-0.18699,-0.7828566,0.123519
4,0.1666667,0.5282391,0.9612287,0.5320739,-0.5747494,-0.1944001,-0.7862464,0.1169978
4,0.1777778,0.5271571,0.9632406,0.5342022,-0.5688137,-0.2029912,-0.7894512,0.109601
4,0.1888889,0.5262029,0.9658414,0.5360265,-0.5635886,-0.2100826,-0.7918726,0.1056927
4,0.2,0.5252013,0.9688808,0.5381119,-0.5580053,-0.2189387,-0.7940618,0.1008057
4,0.2111111,0.5241383,0.9720426,0.5400068,-0.5535972,-0.2271478,-0.7953662,0.0965741
4,0.2222222,0.5230257,0.9750664,0.5420758,-0.5492748,-0.2356985,-0.796405,0.09210014
4,0.2333333,0.5217955,0.9789767,0.544198,-0.5461617,-0.2445834,-0.7961342,0.08975874
4,0.2444444,0.5205491,0.9828913,0.5463701,-0.542648,-0.2528974,-0.7962423,0.08703013
4,0.2555556,0.5193267,0.9868491,0.5482976,-0.5399052,-0.2598795,-0.7960576,0.08518971
4,0.2666667,0.517987,0.9920243,0.5500377,-0.5382943,-0.2651122,-0.7954439,0.08499321
4,0.2777778,0.5164964,0.9973246,0.5519295,-0.5356427,-0.271705,-0.795218,0.08301547
4,0.2888889,0.5150056,1.002605,0.5539758,-0.5326611,-0.2793477,-0.7948803,0.08001529
4,0.3,0.5132898,1.008321,0.5562733,-0.529255,-0.2894303,-0.7940278,0.07509452
4,0.3111111,0.5116131,1.014018,0.5584912,-0.5253071,-0.3000449,-0.7931383,0.0704074
4,0.3222222,0.5099941,1.020039,0.5606796,-0.5200357,-0.3126649,-0.7922008,0.0649719
4,0.3333333,0.5082721,1.02645,0.5628744,-0.5138485,-0.3260701,-0.7912157,0.06013105
4,0.3444445,0.506772,1.03263,0.5648081,-0.5080404,-0.3379132,-0.7902526,0.05666089
4,0.3555556,0.5049087,1.039483,0.5667456,-0.5021626,-0.3488286,-0.7894223,0.05444036
4,0.3666667,0.5031989,1.04552,0.5682059,-0.4974286,-0.357527,-0.7886266,0.05298312
4,0.3777778,0.5011451,1.052381,0.5694804,-0.4929127,-0.3656746,-0.7877806,0.05216289
4,0.3888889,0.4989769,1.05926,0.5708968,-0.4885382,-0.3742422,-0.7865146,0.05165341
4,0.4,0.4968598,1.066203,0.5722127,-0.4836744,-0.3839721,-0.7848184,0.05181113
4,0.4111111,0.494881,1.072739,0.5734526,-0.4783666,-0.3942908,-0.7828853,0.05282821
4,0.4222222,0.4928604,1.079083,0.5747434,-0.4728863,-0.4041032,-0.7811239,0.05407922
4,0.4333333,0.4906777,1.0853,0.5755792,-0.4673336,-0.4131112,-0.7795092,0.05748096
4,0.4444444,0.4883051,1.09147,0.5760056,-0.4618483,-0.4209719,-0.7782764,0.0613572
4,0.4555556,0.4859665,1.097463,0.5763665,-0.4563431,-0.4286163,-0.7770747,0.06476015
4,0.4666667,0.4832233,1.103455,0.5765253,-0.4508646,-0.4361607,-0.7757413,0.06863268
4,0.4777778,0.4804261,1.108874,0.5768656,-0.4452302,-0.4449041,-0.7737374,0.07183915
4,0.4888889,0.4775643,1.113681,0.5773091,-0.4394154,-0.4553778,-0.770763,0.07395592
4,0.5,0.474413,1.118378,0.5779939,-0.4335653,-0.4668635,-0.767145,0.07448711
4,0.5111111,0.4709688,1.123013,0.5783895,-0.4278955,-0.477915,-0.7635775,0.07383953
4,0.5222223,0.4677452,1.127914,0.5786097,-0.4219436,-0.4883123,-0.7603933,0.07291666
4,0.5333334,0.4641041,1.131874,0.5787522,-0.4146109,-0.4995181,-0.7574181,0.06997973
4,0.5444446,0.4601849,1.135731,0.5785772,-0.4066489,-0.5096527,-0.7552685,0.06678572
4,0.5555557,0.4560924,1.139154,0.5780148,-0.3982578,-0.5188732,-0.7538051,0.06276283
4,0.5666668,0.4520243,1.142532,0.5776607,-0.3902842,-0.5278883,-0.7520233,0.05893327
4,0.577778,0.447796,1.145378,0.5771506,-0.3818467,-0.5368224,-0.7504141,0.05379061
4,0.5888891,0.4436226,1.14815,0.5766084,-0.3729731,-0.5460966,-0.7485873,0.04781771
4,0.6000003,0.4394304,1.15073,0.5758555,-0.3644965,-0.5546945,-0.7467641,0.04242401
4,0.6111114,0.4352981,1.153225,0.574949,-0.3570507,-0.5616401,-0.745424,0.03765851
4,0.6222225,0.4309939,1.155679,0.5739436,-0.3499195,-0.5681081,-0.7440954,0.03364062
4,0.6333337,0.4270062,1.157802,0.5727086,-0.3437135,-0.573186,-0.7432146,0.03083673
4,0.6444448,0.4230862,1.159885,0.5713222,-0.3378287,-0.5778793,-0.7423511,0.02902144
4,0.655556,0.4191008,1.162007,0.5698825,-0.3317527,-0.5832922,-0.7409238,0.02724481
4,0.6666671,0.4157493,1.163694,0.5689228,-0.3266476,-0.5883197,-0.7392517,0.02623317
4,0.6777782,0.4121012,1.165712,0.5677593,-0.320735,-0.5939506,-0.7373881,0.02470842
4,0.6888894,0.4087458,1.167507,0.5665604,-0.3151846,-0.5994832,-0.7353356,0.02366588
4,0.7000005,0.4051693,1.16954,0.5648825,-0.3094153,-0.6048707,-0.7333987,0.02280203
4,0.7111117,0.4024708,1.170979,0.5636007,-0.3051378,-0.60886,-0.7318939,0.02262172
4,0.7222228,0.399189,1.17279,0.5621826,-0.3001897,-0.6133885,-0.7301682,0.02225402
4,0.7333339,0.3963727,1.174299,0.5608612,-0.2954864,-0.6179773,-0.7282217,0.02202451
4,0.7444451,0.3936225,1.175791,0.5596345,-0.2908477,-0.6227214,-0.726046,0.0219768
4,0.7555562,0.3907905,1.177071,0.5584759,-0.2858101,-0.6280586,-0.7234561,0.02159122
4,0.7666674,0.3882808,1.178568,0.5575846,-0.2810714,-0.6337565,-0.7203489,0.02119356
4,0.7777785,0.3854855,1.179938,0.5561976,-0.2762169,-0.638809,-0.7177514,0.02145338
4,0.7888896,0.3833641,1.180837,0.5550056,-0.2728002,-0.6419164,-0.7162764,0.02171361
4,0.8000008,0.3808746,1.181997,0.5533922,-0.2693122,-0.6443502,-0.7153978,0.02213526
4,0.8111119,0.3782617,1.182984,0.5518752,-0.2659631,-0.6468886,-0.7143493,0.02245054
4,0.8222231,0.3758853,1.183982,0.5503332,-0.2634853,-0.6485245,-0.7137766,0.02267772
4,0.8333342,0.3734628,1.184785,0.548886,-0.2605582,-0.6507741,-0.7128068,0.02255636
