Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
3,0,0.4834778,0.9283168,0.5036715,-0.4769324,-0.1099405,-0.7370759,0.4660127
3,0,0.4834778,0.9283168,0.5036715,-0.4769324,-0.1099405,-0.7370759,0.4660127
3,0.01111111,0.4837951,0.9256338,0.5036787,-0.4737234,-0.1126121,-0.7404266,0.4633281
3,0.02222222,0.4837951,0.9256338,0.5036787,-0.4737234,-0.1126121,-0.7404266,0.4633281
3,0.03333334,0.4852638,0.9183172,0.5057527,-0.4717097,-0.1294562,-0.7443332,0.4546416
3,0.04444445,0.4852638,0.9183172,0.5057527,-0.4717097,-0.1294562,-0.7443332,0.4546416
3,0.05555556,0.4846215,0.9155477,0.5065147,-0.4727199,-0.1253397,-0.746087,0.4518629
3,0.06666667,0.4841451,0.9120091,0.5075694,-0.4734813,-0.1219069,-0.7471365,0.450268
3,0.07777778,0.4843233,0.9026998,0.5090986,-0.4677438,-0.1157344,-0.751025,0.4514231
3,0.08888889,0.4843233,0.9026998,0.5090986,-0.4677438,-0.1157344,-0.751025,0.4514231
3,0.1,0.4849364,0.8975973,0.5096262,-0.462985,-0.1103418,-0.7525135,0.4551845
3,0.1111111,0.4853568,0.892578,0.5102773,-0.458393,-0.104048,-0.754132,0.4586229
3,0.1222222,0.4861943,0.8821216,0.5114397,-0.4455157,-0.08641465,-0.7595518,0.4659715
3,0.1333333,0.4861114,0.876813,0.5122127,-0.4383473,-0.07543345,-0.7641603,0.4671409
3,0.1444445,0.4861114,0.876813,0.5122127,-0.4383473,-0.07543345,-0.7641603,0.4671409
3,0.1555556,0.4855404,0.8665435,0.5144693,-0.425641,-0.04963401,-0.7733277,0.4672583
3,0.1666667,0.4853732,0.8612825,0.5155587,-0.4184163,-0.03897704,-0.7785943,0.4660467
3,0.1777778,0.4853732,0.8612825,0.5155587,-0.4184163,-0.03897704,-0.7785943,0.4660467
3,0.1888889,0.485696,0.8506865,0.5175739,-0.4020759,-0.02415024,-0.7908842,0.4607102
3,0.2,0.4859615,0.8457161,0.5184312,-0.3940226,-0.01760016,-0.7970921,0.4572535
3,0.2111111,0.4863554,0.8408047,0.5190967,-0.3864655,-0.01156862,-0.8033235,0.45297
3,0.2222222,0.4865724,0.8359194,0.5196073,-0.379253,-0.003547147,-0.8087442,0.4495414
3,0.2333333,0.4864956,0.8321344,0.5196893,-0.3737568,0.004951119,-0.8119012,0.4484393
3,0.2444444,0.4862964,0.8285566,0.5196548,-0.3693315,0.01459473,-0.8136312,0.4487599
3,0.2555556,0.4859753,0.8249165,0.5197125,-0.3648993,0.02417415,-0.8153943,0.4487719
3,0.2666667,0.484926,0.8217781,0.519569,-0.3625683,0.03345595,-0.8159429,0.4490679
3,0.2777778,0.4837649,0.8183037,0.5198801,-0.3610592,0.04030088,-0.8171026,0.4476108
3,0.2888889,0.4822174,0.8147883,0.5199547,-0.3605011,0.04449142,-0.8184105,0.4452684
3,0.3,0.48085,0.8110963,0.5202665,-0.3596751,0.04666075,-0.8198154,0.4431246
3,0.3111111,0.4796927,0.8078618,0.5203458,-0.3582191,0.04956369,-0.8209314,0.441921
3,0.3222222,0.4782218,0.8054147,0.5203218,-0.3565107,0.05325685,-0.8209528,0.4428321
3,0.3333333,0.4771096,0.8031203,0.5203345,-0.3539382,0.05767274,-0.8209976,0.4442573
3,0.3444445,0.4757905,0.8013375,0.5203494,-0.3512554,0.06154983,-0.8209654,0.4459227
3,0.3555556,0.4743438,0.7999716,0.5203742,-0.3478402,0.0649894,-0.8210644,0.4479249
3,0.3666667,0.4727591,0.7996202,0.5206996,-0.343869,0.06674838,-0.8219296,0.449144
3,0.3777778,0.4709697,0.7989956,0.5209299,-0.3401443,0.06825939,-0.8233366,0.4491763
3,0.3888889,0.4690004,0.799426,0.5215329,-0.3358862,0.06905092,-0.8258008,0.4477337
3,0.4,0.4690004,0.799426,0.5215329,-0.3358862,0.06905092,-0.8258008,0.4477337
3,0.4111111,0.4650357,0.8009341,0.5228922,-0.3289943,0.06981508,-0.8304987,0.4440276
3,0.4222222,0.4622867,0.8024276,0.5241874,-0.3255227,0.06719737,-0.8338273,0.4407397
3,0.4333333,0.4601502,0.8045775,0.5253119,-0.3227021,0.06249544,-0.837073,0.4373403
3,0.4444444,0.4574127,0.8071618,0.5268594,-0.3196574,0.0565002,-0.840398,0.4340022
3,0.4555556,0.4551927,0.8100455,0.5281597,-0.316991,0.05083417,-0.8431306,0.4313507
3,0.4666667,0.4529038,0.8135484,0.5291986,-0.3140416,0.04211956,-0.8460991,0.4286259
3,0.4777778,0.4508291,0.8176287,0.5302026,-0.3111033,0.0326648,-0.8485687,0.4267071
3,0.4888889,0.4486786,0.8224342,0.5312427,-0.3082685,0.02267591,-0.8505397,0.4254862
3,0.5,0.4464566,0.8272763,0.5320493,-0.3056041,0.01348603,-0.8522633,0.4243482
3,0.5111111,0.4441065,0.833026,0.5330245,-0.3041004,0.003261812,-0.8530335,0.4240827
3,0.5222223,0.4415991,0.8390528,0.5338403,-0.3035026,-0.007896461,-0.853636,0.4232367
3,0.5333334,0.4389798,0.8452075,0.5346549,-0.3035327,-0.01994214,-0.8540608,0.4219602
3,0.5444446,0.43649,0.8517313,0.535244,-0.303771,-0.03235588,-0.8545005,0.4201251
3,0.5555557,0.433768,0.858334,0.5360418,-0.3038959,-0.04537724,-0.8547506,0.4183175
3,0.5666668,0.4310252,0.8652366,0.5365504,-0.3042998,-0.05918863,-0.8547236,0.4163482
3,0.577778,0.4286062,0.8720687,0.5368638,-0.3044299,-0.07329295,-0.8543714,0.4147289
3,0.5888891,0.4260898,0.8790475,0.53707,-0.3042589,-0.08869994,-0.8536882,0.4132496
3,0.6000003,0.4235834,0.8860672,0.5374374,-0.3038498,-0.1038155,-0.8528551,0.4117472
3,0.6111114,0.4211739,0.8936466,0.537118,-0.3030627,-0.120103,-0.8515046,0.4106921
3,0.6222225,0.418618,0.9008206,0.5369127,-0.3023562,-0.134881,-0.8501946,0.4093375
3,0.6333337,0.4159885,0.9081388,0.536131,-0.3007509,-0.1506958,-0.8485855,0.4083408
3,0.6444448,0.4132469,0.9157506,0.5352659,-0.2993149,-0.1659536,-0.8468916,0.4069944
3,0.655556,0.410024,0.9239061,0.5337584,-0.297434,-0.1824497,-0.8450016,0.4052375
3,0.6666671,0.406592,0.9316148,0.531479,-0.2955546,-0.1975597,-0.8435771,0.4024865
3,0.6777782,0.406592,0.9316148,0.531479,-0.2955546,-0.1975597,-0.8435771,0.4024865
3,0.6888894,0.400477,0.9455426,0.5277858,-0.2920355,-0.2273246,-0.839483,0.3978781
3,0.7000005,0.3973259,0.9525327,0.5252471,-0.2901893,-0.2446461,-0.8363363,0.3955759
3,0.7111117,0.3939988,0.9596306,0.5220381,-0.2880805,-0.2652583,-0.8314786,0.3940698
3,0.7222228,0.3939988,0.9596306,0.5220381,-0.2880805,-0.2652583,-0.8314786,0.3940698
3,0.7333339,0.3881715,0.9720067,0.5158309,-0.2850005,-0.2982999,-0.8217558,0.3930765
3,0.7444451,0.3853396,0.9777442,0.5125239,-0.2843641,-0.3138943,-0.8157546,0.3938932
