Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
1,0,0.2600162,0.6312954,0.7612179,-0.2189077,0.06742238,0.5988122,-0.7674358
1,0,0.2600162,0.6312954,0.7612179,-0.2189077,0.06742238,0.5988122,-0.7674358
1,0.01111111,0.2603691,0.6310696,0.7612001,-0.2207044,0.06982174,0.5992464,-0.7663668
1,0.02222222,0.2603858,0.6313848,0.7613638,-0.2219123,0.07166331,0.5977487,-0.7670174
1,0.03333334,0.2603975,0.6315596,0.7612852,-0.2218935,0.07312445,0.5959591,-0.7682765
1,0.04444445,0.2601938,0.631746,0.7613763,-0.2220072,0.07474767,0.5935989,-0.7699129
1,0.05555556,0.2599872,0.6318842,0.7615474,-0.2225908,0.07678703,0.5921628,-0.7706493
1,0.06666667,0.2600862,0.6317377,0.7615993,-0.2230143,0.07904831,0.5914403,-0.7708529
1,0.07777778,0.2601472,0.6317231,0.7616236,-0.2231454,0.08095508,0.5906316,-0.7712371
1,0.08888889,0.2601008,0.6316056,0.7615315,-0.2230663,0.08226897,0.5902556,-0.7714089
1,0.1,0.2600736,0.6316041,0.7615563,-0.2229422,0.08281787,0.5898015,-0.7717332
1,0.1111111,0.2598902,0.6316046,0.7614813,-0.2230055,0.08256289,0.5892081,-0.7721955
1,0.1222222,0.2600304,0.6315608,0.7615644,-0.2234769,0.08261651,0.5888658,-0.7723144
1,0.1333333,0.2600099,0.631596,0.7616509,-0.2244161,0.08226078,0.5891602,-0.7718554
1,0.1444445,0.2600163,0.631668,0.7617614,-0.2254172,0.08197539,0.5894065,-0.7714059
1,0.1555556,0.2600091,0.6317384,0.7619184,-0.2263565,0.08169595,0.5894888,-0.7710975
1,0.1666667,0.2603088,0.631698,0.762,-0.2275957,0.08145835,0.5897558,-0.7705535
1,0.1777778,0.2603088,0.631698,0.762,-0.2275957,0.08145835,0.5897558,-0.7705535
1,0.1888889,0.2606331,0.6315203,0.7619787,-0.2279745,0.08147269,0.5897372,-0.7704543
1,0.2,0.2607017,0.6314407,0.7618413,-0.2280414,0.08143183,0.589582,-0.7705576
1,0.2111111,0.2607204,0.6314515,0.7618423,-0.2282491,0.08140422,0.5895018,-0.7705604
1,0.2222222,0.2608434,0.6313503,0.7617173,-0.2280977,0.08134977,0.5894175,-0.7706756
1,0.2333333,0.2608745,0.6313754,0.761699,-0.2278147,0.08127055,0.5891719,-0.7709552
1,0.2444444,0.2608678,0.6313919,0.7616508,-0.2277502,0.08120712,0.5889686,-0.7711363
1,0.2555556,0.2609386,0.6313558,0.7617182,-0.2277602,0.08115523,0.5887237,-0.7713259
1,0.2666667,0.2607555,0.631439,0.7617834,-0.2278666,0.08099572,0.5885025,-0.7714801
1,0.2777778,0.2607969,0.6314201,0.7617913,-0.2280801,0.08108424,0.588519,-0.7713949
1,0.2888889,0.2606472,0.6314911,0.7618715,-0.2282087,0.08114497,0.588393,-0.7714467
1,0.3,0.2606851,0.6314964,0.7619011,-0.2282869,0.08121515,0.5882982,-0.7714884
1,0.3111111,0.260529,0.631515,0.7619668,-0.2282579,0.08123501,0.5880455,-0.7716876
1,0.3222222,0.2603923,0.6316227,0.7619952,-0.2281753,0.08139472,0.5878456,-0.7718475
1,0.3333333,0.2603779,0.6316042,0.761995,-0.2281131,0.08163916,0.5877473,-0.7719148
1,0.3444445,0.2602499,0.6316274,0.7618825,-0.2277762,0.08181621,0.5876318,-0.7720835
1,0.3555556,0.2601784,0.6317433,0.7617625,-0.2273669,0.08188453,0.5873467,-0.7724137
1,0.3666667,0.2603763,0.631569,0.761661,-0.2271119,0.0818589,0.5871381,-0.7726501
1,0.3777778,0.260401,0.6316063,0.761669,-0.2270791,0.08183594,0.5871085,-0.7726846
1,0.3888889,0.2605428,0.6315516,0.7615924,-0.2271413,0.08174885,0.5871255,-0.7726626
1,0.4,0.2605511,0.6314954,0.7615991,-0.2271085,0.08175647,0.5871245,-0.7726722
1,0.4111111,0.2605352,0.6314932,0.7615721,-0.2269993,0.08166817,0.5870129,-0.7727985
1,0.4222222,0.2604802,0.6314582,0.7614609,-0.2267279,0.08163011,0.5869218,-0.7729513
1,0.4333333,0.260495,0.6314497,0.7614548,-0.2265521,0.08161188,0.5868317,-0.7730733
1,0.4444444,0.2607793,0.631236,0.7613552,-0.2263736,0.0816295,0.5867872,-0.7731574
1,0.4555556,0.2608085,0.6312292,0.7613353,-0.2264194,0.08164375,0.5868209,-0.7731169
1,0.4666667,0.2608803,0.6311819,0.7612966,-0.2264067,0.08170639,0.5868129,-0.77312
1,0.4777778,0.2609875,0.6312507,0.7613252,-0.2263922,0.08168818,0.5867747,-0.7731552
1,0.4888889,0.2609884,0.631285,0.7612841,-0.2264676,0.08168415,0.5867044,-0.773187
1,0.5,0.26107,0.6312383,0.7613738,-0.2264889,0.08166972,0.5867267,-0.7731654
1,0.5111111,0.2610845,0.6312494,0.7613623,-0.2265166,0.08159732,0.5866167,-0.7732484
1,0.5222223,0.261106,0.6311892,0.7613793,-0.2264792,0.08163163,0.58653,-0.7733214
1,0.5333334,0.2611419,0.6311694,0.7613717,-0.2264214,0.08164959,0.586529,-0.7733372
1,0.5444446,0.2611624,0.6311114,0.7613727,-0.2263512,0.08167439,0.5864602,-0.7734073
1,0.5555557,0.261174,0.6310683,0.7613529,-0.226297,0.08165051,0.586485,-0.7734069
1,0.5666668,0.2611977,0.6310391,0.7613428,-0.2262992,0.08164449,0.5864946,-0.7733994
1,0.577778,0.2612442,0.6309866,0.7613565,-0.2262762,0.08170859,0.5865638,-0.7733471
1,0.5888891,0.2612798,0.630963,0.7613467,-0.2263454,0.08170941,0.586516,-0.773363
