Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
8,0,0.3645184,1.157209,-0.02363432,-0.3700643,0.2267929,-0.7500799,0.4989965
8,0.01111111,0.367602,1.161283,-0.0242864,-0.3819023,0.2170449,-0.7406731,0.5083753
8,0.02222222,0.3716487,1.166099,-0.02495014,-0.3899076,0.2085415,-0.7311282,0.5195517
8,0.03333334,0.374711,1.171547,-0.02689865,-0.3921266,0.2025412,-0.7224205,0.5322804
8,0.04444445,0.374711,1.171547,-0.02689865,-0.3921266,0.2025412,-0.7224205,0.5322804
8,0.05555556,0.3792356,1.183991,-0.03008556,-0.3927703,0.1992562,-0.7084182,0.551518
8,0.06666667,0.3815148,1.189981,-0.03157964,-0.3940062,0.1958116,-0.7038242,0.5577172
8,0.07777778,0.3825569,1.194994,-0.03278725,-0.3938015,0.1910417,-0.7027422,0.5608715
8,0.08888889,0.3832512,1.199366,-0.03385823,-0.394651,0.1857786,-0.7026945,0.5621008
8,0.1,0.3832204,1.202811,-0.03444264,-0.3962562,0.1814523,-0.7016733,0.5636583
8,0.1111111,0.3835728,1.206581,-0.03535573,-0.3971779,0.1770793,-0.700253,0.566161
8,0.1222222,0.3835728,1.206581,-0.03535573,-0.3971779,0.1770793,-0.700253,0.566161
8,0.1333333,0.3836721,1.211614,-0.036852,-0.3966323,0.1704033,-0.6954779,0.574418
8,0.1444445,0.3830046,1.213563,-0.03741147,-0.3960356,0.1682128,-0.6924645,0.5790969
8,0.1555556,0.3827274,1.215684,-0.03815451,-0.3954306,0.1663455,-0.6895276,0.583537
8,0.1666667,0.3827274,1.215684,-0.03815451,-0.3954306,0.1663455,-0.6895276,0.583537
8,0.1777778,0.3816352,1.217412,-0.03913443,-0.394605,0.1652578,-0.6865826,0.5878615
