Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
31,0,0.5270063,1.311707,-0.0018197,0.3647569,-0.4105755,0.2923037,-0.782904
31,0,0.5270063,1.311707,-0.0018197,0.3647569,-0.4105755,0.2923037,-0.782904
31,0.01111111,0.5265716,1.311428,-0.002106637,0.3671707,-0.4106289,0.2864214,-0.7839212
31,0.02222222,0.526493,1.312918,-0.00281015,0.3665847,-0.4102633,0.286429,-0.7843839
31,0.03333334,0.525959,1.314111,-0.003407806,0.3656716,-0.4095193,0.2875268,-0.7847972
31,0.04444445,0.5252506,1.315899,-0.003837951,0.3657859,-0.4102497,0.2865394,-0.7847236
31,0.05555556,0.524497,1.318071,-0.00386174,0.366942,-0.4108998,0.285554,-0.7842026
31,0.06666667,0.5235778,1.320585,-0.004136115,0.3679871,-0.4108605,0.2849454,-0.7839549
31,0.07777778,0.522795,1.323005,-0.004652515,0.3689826,-0.410163,0.2844072,-0.7840476
31,0.08888889,0.5218029,1.326055,-0.005183689,0.3709874,-0.4088039,0.2830309,-0.7843094
31,0.1,0.5205614,1.328878,-0.005770311,0.3741345,-0.4070857,0.2801731,-0.7847342
31,0.1111111,0.5192702,1.332438,-0.006572314,0.3774225,-0.4056109,0.2761596,-0.7853459
31,0.1222222,0.5178238,1.336169,-0.007598557,0.3805477,-0.403573,0.2719849,-0.7863438
31,0.1333333,0.5162182,1.339863,-0.008590922,0.3839418,-0.4011659,0.2677321,-0.7873843
31,0.1444445,0.5141299,1.343836,-0.009907432,0.3886524,-0.3977305,0.262541,-0.7885633
31,0.1555556,0.5116261,1.348314,-0.01128909,0.3943744,-0.3938414,0.2571875,-0.789438
31,0.1666667,0.5092114,1.352445,-0.01275737,0.3993861,-0.3905141,0.2525557,-0.7900665
31,0.1777778,0.5064383,1.356942,-0.01432458,0.4049692,-0.3868147,0.247605,-0.7906111
31,0.1888889,0.5031318,1.361603,-0.01655865,0.4109455,-0.3828492,0.2429118,-0.7909135
31,0.2,0.4990693,1.366786,-0.01898309,0.4175198,-0.3779483,0.2381922,-0.7912627
31,0.2111111,0.4951429,1.371884,-0.02136989,0.424222,-0.3730018,0.2331076,-0.7915593
31,0.2222222,0.491364,1.376527,-0.02375841,0.430674,-0.3679625,0.2281248,-0.7918854
31,0.2333333,0.4864286,1.381468,-0.02707353,0.4384748,-0.3608635,0.2228651,-0.7923688
31,0.2444444,0.4815536,1.386498,-0.03025129,0.4465998,-0.3542737,0.2168777,-0.7924663
31,0.2555556,0.4769251,1.391443,-0.03344174,0.4550173,-0.3480214,0.2101433,-0.7922626
31,0.2666667,0.4709788,1.396971,-0.03788041,0.4649952,-0.3416646,0.2012043,-0.7915564
31,0.2777778,0.4667054,1.400492,-0.04088946,0.4721842,-0.3372747,0.1944582,-0.7908691
31,0.2888889,0.4611767,1.404312,-0.04441037,0.4814548,-0.3321536,0.1855172,-0.7895939
31,0.3,0.4555573,1.407839,-0.04828969,0.4910726,-0.3267547,0.176753,-0.7879324
31,0.3111111,0.4502048,1.411421,-0.05213115,0.5004506,-0.3211324,0.1683832,-0.7861745
31,0.3222222,0.4443981,1.414287,-0.05666175,0.5103024,-0.3148826,0.1602255,-0.7840716
31,0.3333333,0.4389431,1.417345,-0.06095468,0.51943,-0.3089402,0.1521064,-0.7820563
31,0.3444445,0.4331316,1.419975,-0.06576718,0.528093,-0.3032083,0.1442044,-0.779992
31,0.3555556,0.4276708,1.422444,-0.07049252,0.5364597,-0.2971778,0.1367162,-0.7779493
31,0.3666667,0.4215929,1.424401,-0.07600838,0.5444374,-0.2915384,0.1292492,-0.7758144
31,0.3777778,0.4162125,1.425401,-0.08149487,0.551585,-0.2858041,0.1232435,-0.7738741
31,0.3888889,0.4104762,1.426858,-0.0869656,0.5593468,-0.2801079,0.1169226,-0.7713622
31,0.4,0.4050224,1.427398,-0.09250432,0.5670298,-0.2743475,0.1120215,-0.7685453
31,0.4111111,0.3992579,1.428078,-0.09824132,0.5749305,-0.2685533,0.1073497,-0.7653822
31,0.4222222,0.3936712,1.427523,-0.1036849,0.5829991,-0.2643415,0.1039611,-0.7612015
31,0.4333333,0.3868718,1.427095,-0.1082893,0.5911424,-0.2603907,0.09959006,-0.756855
31,0.4444444,0.3813559,1.42574,-0.1132147,0.5996648,-0.2569174,0.09676903,-0.7516856
31,0.4555556,0.3756633,1.423737,-0.1179496,0.6089464,-0.253089,0.09441823,-0.7457986
31,0.4666667,0.3702356,1.422228,-0.1229731,0.6179774,-0.2485912,0.09140083,-0.7402379
31,0.4777778,0.3655625,1.419456,-0.1275127,0.6272305,-0.2441715,0.08934793,-0.734152
31,0.4888889,0.3655625,1.419456,-0.1275127,0.6272305,-0.2441715,0.08934793,-0.734152
31,0.5,0.3570126,1.413443,-0.1365028,0.6442852,-0.2376612,0.08463231,-0.7219774
31,0.5111111,0.3525685,1.410155,-0.1405355,0.652585,-0.2355267,0.0814777,-0.7155565
31,0.5222223,0.3489755,1.406621,-0.1444617,0.660503,-0.2352512,0.07879362,-0.7086496
31,0.5333334,0.3450365,1.402694,-0.1476634,0.6679652,-0.2357787,0.07677144,-0.7016673
