Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
1,0,0.3030488,0.633168,0.7909613,-0.2240205,0.1770077,0.6086369,-0.7403002
1,0,0.3030488,0.633168,0.7909613,-0.2240205,0.1770077,0.6086369,-0.7403002
1,0.01111111,0.3035513,0.6330045,0.7911738,-0.2263406,0.1787295,0.6089749,-0.7389015
1,0.02222222,0.3037495,0.63292,0.7918344,-0.2291026,0.1808986,0.6092361,-0.7373055
1,0.03333334,0.3033891,0.633133,0.7924549,-0.2299327,0.1813459,0.6092637,-0.7369141
1,0.04444445,0.3033724,0.6332704,0.7924081,-0.2303918,0.1812621,0.6088012,-0.7371736
1,0.05555556,0.303279,0.6334584,0.7924254,-0.2302897,0.1818591,0.6073457,-0.7382582
1,0.06666667,0.3030242,0.6337214,0.792451,-0.2299944,0.1822723,0.6059622,-0.7393844
1,0.07777778,0.3029119,0.6338276,0.7923495,-0.2300954,0.1829764,0.6052476,-0.7397643
1,0.08888889,0.3045407,0.6327218,0.7919154,-0.2296856,0.183959,0.6047531,-0.7400522
1,0.1,0.3045897,0.6328225,0.7919732,-0.2298051,0.1849807,0.6039464,-0.7404191
1,0.1111111,0.3042141,0.6328363,0.7918351,-0.2294676,0.1851675,0.6033158,-0.7409909
1,0.1222222,0.3048295,0.6324719,0.7916746,-0.2291967,0.1849442,0.6037019,-0.740816
1,0.1333333,0.3046746,0.6324452,0.7916022,-0.2293053,0.1854286,0.6036758,-0.7406827
1,0.1444445,0.3046772,0.6324943,0.7916843,-0.22964,0.185939,0.6038604,-0.7403005
1,0.1555556,0.3047635,0.6325056,0.7917573,-0.2302818,0.1867554,0.604216,-0.7396051
1,0.1666667,0.3053677,0.6321943,0.7916749,-0.2305762,0.1873766,0.6044493,-0.7391656
1,0.1777778,0.3057629,0.6320435,0.7916797,-0.2306051,0.1873172,0.6044287,-0.7391883
1,0.1888889,0.3056911,0.6321253,0.7916375,-0.2302653,0.1871413,0.6041394,-0.7395752
1,0.2,0.3057702,0.6321498,0.7915349,-0.229897,0.1870355,0.6039798,-0.739847
1,0.2111111,0.3057106,0.6320537,0.7915794,-0.2297462,0.1871029,0.6039638,-0.7398898
1,0.2222222,0.3058808,0.6319803,0.7915698,-0.2296444,0.1875077,0.6042272,-0.7396038
1,0.2333333,0.305876,0.631894,0.7915943,-0.2296463,0.1877564,0.6043574,-0.7394338
1,0.2444444,0.3060034,0.6318921,0.7916835,-0.2300605,0.188349,0.6046821,-0.7388885
1,0.2555556,0.3061702,0.6317985,0.7916593,-0.230448,0.1887501,0.6048333,-0.7385415
1,0.2666667,0.3061919,0.631855,0.7916908,-0.2306625,0.1889438,0.6048652,-0.7383991
