Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
2,0,0.3304271,0.6756979,0.826749,-0.3222236,0.1882457,0.6168745,-0.6929657
2,0.01111111,0.3305507,0.6760429,0.8272828,-0.3233681,0.1914739,0.6169938,-0.6914402
2,0.02222222,0.3303291,0.6760019,0.82716,-0.3222838,0.1945808,0.6143283,-0.6934495
2,0.03333334,0.3303291,0.6760019,0.82716,-0.3222838,0.1945808,0.6143283,-0.6934495
2,0.04444445,0.3299418,0.6758128,0.8270354,-0.320713,0.1965943,0.6105736,-0.6969172
2,0.05555556,0.3298623,0.6760005,0.8272292,-0.3217221,0.1977617,0.6103771,-0.6962938
2,0.06666667,0.3299475,0.6760236,0.8273635,-0.3229613,0.1988266,0.6103096,-0.6954755
2,0.07777778,0.330029,0.6760538,0.8276653,-0.325128,0.1996392,0.6095863,-0.6948673
2,0.08888889,0.3299452,0.6760611,0.8277522,-0.3259345,0.1999228,0.6090654,-0.6948647
2,0.1,0.3301879,0.6761184,0.8276711,-0.326599,0.1997494,0.6085746,-0.6950324
2,0.1111111,0.3302269,0.6760727,0.8277428,-0.326985,0.2000385,0.608789,-0.69458
2,0.1222222,0.3302731,0.6760511,0.8277003,-0.3266783,0.1998338,0.6090015,-0.6945969
2,0.1333333,0.3302398,0.6760809,0.8276753,-0.3263472,0.199704,0.6090255,-0.6947687
2,0.1444445,0.3303211,0.6760082,0.8276355,-0.3258408,0.1994338,0.6096946,-0.6944972
2,0.1555556,0.3304616,0.6759371,0.8274751,-0.3256403,0.199418,0.6103739,-0.6939991
2,0.1666667,0.3305364,0.6758686,0.8273718,-0.3248166,0.1993379,0.6110174,-0.6938416
2,0.1777778,0.3304834,0.6758029,0.8271362,-0.3236544,0.1991463,0.6111219,-0.6943476
2,0.1888889,0.3304663,0.6757989,0.826986,-0.322753,0.1989294,0.6111189,-0.6948317
2,0.2,0.3301779,0.6759874,0.8270081,-0.3225081,0.1986523,0.6114208,-0.6947592
2,0.2111111,0.3302265,0.6759849,0.827046,-0.3224691,0.1986237,0.611672,-0.6945644
2,0.2222222,0.3302239,0.6759909,0.8270394,-0.3225064,0.1984972,0.6117219,-0.6945393
2,0.2333333,0.3301717,0.6761001,0.8271476,-0.3228589,0.1985091,0.6116867,-0.6944031
2,0.2444444,0.3301346,0.6761214,0.8271996,-0.3232244,0.198707,0.6114389,-0.6943948
2,0.2555556,0.3300679,0.6761566,0.8272128,-0.3234313,0.1988847,0.6111622,-0.6944912
2,0.2666667,0.3300228,0.6762142,0.8272403,-0.3236183,0.1989852,0.6108198,-0.6946765
2,0.2777778,0.3300644,0.6762328,0.827231,-0.3238628,0.1991271,0.6104961,-0.6948063
2,0.2888889,0.3301054,0.676221,0.8272523,-0.3240428,0.1992089,0.6103793,-0.6948015
2,0.3,0.3300969,0.6762629,0.8272603,-0.3242067,0.1992443,0.6102756,-0.6948061
2,0.3111111,0.3300977,0.6762742,0.8272642,-0.3241397,0.1993178,0.6101798,-0.6949003
2,0.3222222,0.3301436,0.6762934,0.82717,-0.3238066,0.1992811,0.610118,-0.6951205
2,0.3333333,0.3301538,0.6762372,0.8271921,-0.323725,0.1992855,0.6101406,-0.6951373
2,0.3444445,0.330166,0.6762513,0.8271863,-0.323707,0.1991611,0.6102127,-0.695118
2,0.3555556,0.3301538,0.676156,0.8272142,-0.3235466,0.1990276,0.6103519,-0.6951088
2,0.3666667,0.3301459,0.6761391,0.8272334,-0.323406,0.198802,0.6105381,-0.6950752
2,0.3777778,0.3301463,0.6761226,0.8272039,-0.3232392,0.1985478,0.610634,-0.6951413
2,0.3888889,0.3301686,0.6760919,0.8272173,-0.3230621,0.1983814,0.6107012,-0.6952119
2,0.4,0.3301686,0.6760919,0.8272173,-0.3230621,0.1983814,0.6107012,-0.6952119
2,0.4111111,0.3301755,0.6760926,0.8271952,-0.322897,0.1981441,0.6108099,-0.6952609
2,0.4222222,0.3301768,0.676104,0.8271785,-0.3229955,0.1981371,0.6108008,-0.6952251
2,0.4333333,0.3301984,0.6761084,0.8272112,-0.3230237,0.1979881,0.6109044,-0.6951634
2,0.4444444,0.330273,0.6762056,0.827134,-0.3229463,0.1979177,0.6106315,-0.6954591
2,0.4555556,0.3302622,0.6763073,0.8271579,-0.3228739,0.1980029,0.6103749,-0.6956938
2,0.4666667,0.3302747,0.6763329,0.8271657,-0.3229489,0.1980924,0.6102899,-0.6957081
2,0.4777778,0.330283,0.6762229,0.8271551,-0.3230709,0.1981437,0.6102615,-0.6956618
2,0.4888889,0.3302616,0.6762204,0.8271344,-0.3232237,0.1981132,0.6102595,-0.6956011
2,0.5,0.3301025,0.6763586,0.827202,-0.3234432,0.1980968,0.6102004,-0.6955555
2,0.5111111,0.3300261,0.6764283,0.8273075,-0.3236056,0.197733,0.6102133,-0.6955723
2,0.5222223,0.3300261,0.6764283,0.8273075,-0.3236056,0.197733,0.6102133,-0.6955723
2,0.5333334,0.3300013,0.676441,0.8273,-0.323609,0.197599,0.6102209,-0.6956021
2,0.5444446,0.3300604,0.6763411,0.8273013,-0.3235582,0.1975909,0.6102859,-0.6955711
2,0.5555557,0.3302107,0.6761538,0.8272209,-0.3234042,0.1976924,0.6103527,-0.6955552
2,0.5666668,0.3302421,0.6761592,0.8272061,-0.3233004,0.1977077,0.6103958,-0.6955613
2,0.577778,0.330307,0.6760727,0.8271205,-0.3231712,0.1977686,0.610505,-0.6955081
2,0.5888891,0.3303288,0.6760604,0.8271038,-0.3231804,0.1977254,0.61059,-0.6954415
2,0.6000003,0.3303488,0.6760415,0.827085,-0.3230444,0.1978523,0.6106758,-0.6953933
2,0.6111114,0.3303511,0.6760348,0.8270809,-0.3229905,0.1978266,0.6105833,-0.6955069
2,0.6222225,0.3303771,0.6760333,0.8271474,-0.3229446,0.1978304,0.610453,-0.6956415
2,0.6333337,0.3303633,0.6759701,0.827209,-0.3230027,0.1977962,0.6104227,-0.6956508
2,0.6444448,0.3303683,0.6759548,0.8272223,-0.3231085,0.1977278,0.6104051,-0.6956365
2,0.655556,0.3303392,0.6759324,0.8271785,-0.3232749,0.1976384,0.6103625,-0.695622
2,0.6666671,0.3303418,0.6759251,0.8271869,-0.3234305,0.1975006,0.6103262,-0.6956207
2,0.6777782,0.330316,0.6759108,0.8271224,-0.3233917,0.1973952,0.6102927,-0.6956981
2,0.6888894,0.330338,0.6759071,0.8270922,-0.3233243,0.1973867,0.6103211,-0.6957069
2,0.7000005,0.3303594,0.6758764,0.827067,-0.3232041,0.1974488,0.6104036,-0.6956728
2,0.7111117,0.3303863,0.6759222,0.8270189,-0.3228044,0.1974868,0.6103841,-0.6958644
