Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
3,0,0.3281968,0.677563,0.8245384,-0.3054421,0.1883253,0.6033033,-0.7122245
3,0,0.3281968,0.677563,0.8245384,-0.3054421,0.1883253,0.6033033,-0.7122245
3,0.01111111,0.3287432,0.6775095,0.8244319,-0.3060006,0.190223,0.6060287,-0.7091601
3,0.02222222,0.3291556,0.6768759,0.824671,-0.3047993,0.194178,0.6096344,-0.7055056
3,0.03333334,0.3293118,0.6764453,0.8243123,-0.302231,0.1960216,0.6099726,-0.7058085
3,0.04444445,0.3296853,0.676262,0.8239202,-0.2998469,0.1984174,0.6108477,-0.7053989
3,0.05555556,0.3298162,0.6761404,0.8239601,-0.2997405,0.1992865,0.6117256,-0.7044376
3,0.06666667,0.3299018,0.6759874,0.823866,-0.300422,0.1994973,0.612484,-0.7034279
3,0.07777778,0.330004,0.6760938,0.8236651,-0.2993864,0.1992761,0.6122103,-0.7041699
3,0.08888889,0.3298106,0.6762172,0.8235211,-0.2988133,0.1982854,0.6113895,-0.7054052
3,0.1,0.3298528,0.6761992,0.8236137,-0.299385,0.1980348,0.6117883,-0.7048871
3,0.1111111,0.3300418,0.6761968,0.8239096,-0.3018027,0.1979235,0.6129807,-0.7028486
3,0.1222222,0.3300528,0.6762481,0.8240294,-0.3026425,0.1976604,0.6129628,-0.702577
3,0.1333333,0.3299339,0.6763656,0.8241355,-0.3035318,0.1973478,0.6125832,-0.7026123
3,0.1444445,0.3299249,0.67632,0.8241713,-0.3042786,0.1974597,0.6122497,-0.7025486
3,0.1555556,0.3299366,0.6763685,0.8242255,-0.3049394,0.1976569,0.6120729,-0.7023606
3,0.1666667,0.329908,0.6762727,0.8242825,-0.3055007,0.1978622,0.6119726,-0.7021462
3,0.1777778,0.3298795,0.6762928,0.824232,-0.3053235,0.1979591,0.6118534,-0.7022998
3,0.1888889,0.3298305,0.6763202,0.8241379,-0.3046456,0.1977842,0.6115537,-0.7029043
3,0.2,0.3298747,0.6762589,0.8241761,-0.3043525,0.1977588,0.6118444,-0.7027855
3,0.2111111,0.3299766,0.6761858,0.8241989,-0.3045084,0.197778,0.6125639,-0.7020854
3,0.2222222,0.3300377,0.6761208,0.8242538,-0.3045784,0.1976984,0.6129836,-0.7017112
3,0.2333333,0.3300494,0.6761075,0.8242195,-0.3044075,0.1973074,0.6131445,-0.7017549
3,0.2444444,0.330077,0.6761261,0.8242523,-0.3043403,0.1970287,0.6132007,-0.701813
3,0.2555556,0.3302099,0.6760112,0.82428,-0.3047665,0.1969827,0.6136166,-0.7012774
3,0.2666667,0.3302926,0.67601,0.8244001,-0.3052452,0.1971042,0.6139013,-0.7007856
3,0.2777778,0.3304005,0.6759297,0.8244605,-0.3058438,0.1973266,0.6140103,-0.7003664
3,0.2888889,0.330293,0.675929,0.8245327,-0.3064178,0.1975085,0.6135941,-0.700429
3,0.3,0.3303071,0.6759751,0.8246053,-0.3069472,0.1976295,0.613383,-0.7003479
3,0.3111111,0.3302764,0.6759982,0.8246854,-0.3075693,0.1977684,0.6130696,-0.7003102
3,0.3222222,0.3303255,0.6759922,0.8248414,-0.3083134,0.1979479,0.6129807,-0.7000101
3,0.3333333,0.3302485,0.6760642,0.8249986,-0.309044,0.1982671,0.6128637,-0.6997
3,0.3444445,0.3301946,0.6760993,0.8249966,-0.3092143,0.1983333,0.6124593,-0.6999602
3,0.3555556,0.3300434,0.6762292,0.8250363,-0.3091754,0.1980557,0.6118364,-0.7006002
3,0.3666667,0.3300316,0.6762127,0.8250977,-0.3093208,0.1979787,0.6116646,-0.7007078
