Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
2,0,0.3722487,1.364124,0.07067209,0.3352257,-0.3222428,0.09470998,-0.8802348
2,0.01111111,0.3717605,1.355085,0.07628974,0.3330066,-0.3231364,0.08222889,-0.8820022
2,0.02222222,0.3724908,1.349567,0.0803476,0.3195462,-0.3210512,0.0768147,-0.8882094
2,0.03333334,0.3733758,1.345067,0.08271419,0.2996086,-0.3156797,0.08195731,-0.8965846
2,0.04444445,0.373809,1.339824,0.08570519,0.283131,-0.3137452,0.0828863,-0.9025135
2,0.05555556,0.3741746,1.330352,0.09139146,0.2500127,-0.323773,0.08228981,-0.9087865
2,0.06666667,0.3745843,1.324737,0.09429467,0.2379998,-0.3277007,0.08519958,-0.9103348
2,0.07777778,0.3745843,1.324737,0.09429467,0.2379998,-0.3277007,0.08519958,-0.9103348
2,0.08888889,0.3757275,1.319387,0.09688707,0.2289355,-0.3302529,0.08943818,-0.91133
2,0.1,0.3792278,1.310294,0.1006395,0.2143408,-0.3343939,0.1018349,-0.9120681
2,0.1111111,0.3820379,1.306789,0.1013271,0.2085646,-0.3349045,0.1113667,-0.912106
2,0.1222222,0.3844844,1.302805,0.1019804,0.2028803,-0.3366953,0.1191462,-0.9117455
2,0.1333333,0.3877922,1.299253,0.1018919,0.2007991,-0.3401659,0.1229254,-0.9104154
