Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
19,0,0.2942534,0.6383958,0.800514,-0.281422,0.2020833,0.5231488,-0.7786394
19,0,0.2942534,0.6383958,0.800514,-0.281422,0.2020833,0.5231488,-0.7786394
19,0.01111111,0.2947335,0.6380833,0.8009647,-0.2854032,0.2023546,0.5260419,-0.775163
19,0.02222222,0.2946154,0.6387435,0.8009351,-0.2862572,0.2017193,0.5262394,-0.7748795
19,0.03333334,0.293999,0.6396011,0.8007503,-0.2860353,0.1979767,0.5244266,-0.7771524
19,0.04444445,0.2938571,0.6397478,0.8006914,-0.2842772,0.1999385,0.5240776,-0.7775306
19,0.05555556,0.2938144,0.6398765,0.8006061,-0.2835614,0.200502,0.5242651,-0.7775204
19,0.06666667,0.2935626,0.6400477,0.8006466,-0.2834011,0.200698,0.5246208,-0.7772883
19,0.07777778,0.2935218,0.640265,0.8006086,-0.2830699,0.2009414,0.5249318,-0.7771363
19,0.08888889,0.2948241,0.639003,0.8002869,-0.2830837,0.2015295,0.5252003,-0.7767974
19,0.1,0.2948281,0.6391531,0.8003087,-0.2833079,0.2019634,0.5254084,-0.7764621
19,0.1111111,0.2947922,0.6387551,0.8003065,-0.2833565,0.2023774,0.5252291,-0.7764579
19,0.1222222,0.2948115,0.6388236,0.8002959,-0.2837582,0.2028795,0.5251527,-0.7762319
19,0.1333333,0.2949994,0.638433,0.8005005,-0.2848274,0.2033285,0.5251198,-0.7757449
19,0.1444445,0.2950581,0.6382686,0.8006479,-0.2856842,0.203701,0.5251454,-0.7753146
19,0.1555556,0.2950019,0.6383882,0.8008519,-0.2870821,0.2037101,0.5248721,-0.774981
19,0.1666667,0.2951326,0.6381923,0.8010541,-0.2883319,0.2036365,0.5248107,-0.7745777
19,0.1777778,0.2950703,0.6382759,0.8011826,-0.289196,0.2035929,0.5247872,-0.7742829
19,0.1888889,0.2952217,0.6381009,0.801301,-0.2899638,0.2036818,0.5249905,-0.7738345
19,0.2,0.2951909,0.6381348,0.8013512,-0.2903032,0.2036215,0.5251545,-0.7736117
19,0.2111111,0.295146,0.6381384,0.8013811,-0.2904096,0.2034904,0.5252628,-0.7735327
19,0.2222222,0.2950863,0.6381757,0.8013644,-0.2903873,0.2034296,0.5251514,-0.7736328
19,0.2333333,0.2949813,0.6382216,0.8013827,-0.2896083,0.2032529,0.5249052,-0.7741382
19,0.2444444,0.2951367,0.6381409,0.8013881,-0.2894539,0.2032973,0.5251073,-0.7740473
19,0.2555556,0.2951023,0.6381496,0.8013723,-0.2892996,0.2032079,0.5252572,-0.7740265
