Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
1,0,0.3216146,0.6844514,0.7756749,-0.1388341,0.1592968,0.5051614,-0.8367566
1,0,0.3216146,0.6844514,0.7756749,-0.1388341,0.1592968,0.5051614,-0.8367566
1,0.01111111,0.3224531,0.6836595,0.775708,-0.1385155,0.1646643,0.506639,-0.8348749
1,0.02222222,0.3220743,0.6836524,0.7758515,-0.1367051,0.1647709,0.5058808,-0.8356116
1,0.03333334,0.3219443,0.6837175,0.7749231,-0.1346001,0.1633305,0.5040601,-0.8373347
1,0.04444445,0.321561,0.6836279,0.7747101,-0.1321955,0.1630641,0.5015683,-0.8392637
1,0.05555556,0.3215479,0.68369,0.7743045,-0.1314325,0.1638712,0.5007893,-0.8396916
1,0.06666667,0.3216399,0.6836363,0.774398,-0.1323557,0.164435,0.5008117,-0.8394228
1,0.07777778,0.321608,0.6837072,0.7743443,-0.1328223,0.1642273,0.5001042,-0.8398116
1,0.08888889,0.3215526,0.683888,0.774489,-0.1333962,0.1636784,0.4992912,-0.8403113
1,0.1,0.3213562,0.6840571,0.7747342,-0.1348464,0.1636952,0.4995699,-0.839911
1,0.1111111,0.3215438,0.6841273,0.7750618,-0.1363234,0.1639743,0.5000678,-0.8393216
1,0.1222222,0.3216257,0.6841719,0.775268,-0.1377457,0.1641611,0.500617,-0.8387251
1,0.1333333,0.3216207,0.6843879,0.7754779,-0.1389959,0.1637943,0.500944,-0.8383954
1,0.1444445,0.3214777,0.6845379,0.7756225,-0.1396731,0.1634495,0.5009113,-0.8383696
1,0.1555556,0.3214617,0.6846331,0.775714,-0.1400895,0.1631459,0.5006992,-0.838486
1,0.1666667,0.3213732,0.684648,0.7756861,-0.1399078,0.1626332,0.5005947,-0.8386782
1,0.1777778,0.3213498,0.6846282,0.7757041,-0.1398112,0.1624146,0.5007447,-0.8386472
1,0.1888889,0.3213492,0.6845478,0.7756978,-0.1394876,0.162394,0.5011582,-0.8384579
1,0.2,0.3214035,0.6844811,0.775763,-0.1395024,0.1626009,0.5015221,-0.8381978
1,0.2111111,0.3217202,0.6843328,0.7757607,-0.1397205,0.162735,0.5018733,-0.8379253
1,0.2222222,0.3219751,0.6841674,0.7757866,-0.1401182,0.1629772,0.5023651,-0.837517
1,0.2333333,0.3221004,0.6841592,0.7758893,-0.140613,0.1633312,0.502549,-0.8372548
1,0.2444444,0.322105,0.6841521,0.7759376,-0.1409419,0.163354,0.5025123,-0.8372169
1,0.2555556,0.322028,0.6841837,0.775977,-0.141005,0.1631037,0.5022038,-0.8374401
1,0.2666667,0.3218383,0.6842477,0.7760749,-0.1411089,0.1630381,0.5021545,-0.837465
1,0.2777778,0.3219218,0.6843316,0.776234,-0.1415064,0.1632338,0.5022805,-0.8372843
1,0.2888889,0.3219346,0.6843404,0.7763224,-0.1418735,0.1633141,0.5023018,-0.8371937
1,0.3,0.3219373,0.6844153,0.776378,-0.141916,0.1632511,0.5021619,-0.8372826
1,0.3111111,0.3218529,0.684468,0.7763335,-0.1417888,0.1633077,0.5019392,-0.8374268
1,0.3222222,0.321872,0.6844313,0.7764062,-0.1419115,0.1635535,0.5020861,-0.8372698
1,0.3333333,0.321872,0.6844313,0.7764062,-0.1419115,0.1635535,0.5020861,-0.8372698
1,0.3444445,0.3220847,0.6843463,0.7764465,-0.1424898,0.1641526,0.5027477,-0.8366573
1,0.3555556,0.3219924,0.6843998,0.7764053,-0.1423645,0.1640245,0.5025259,-0.8368369
1,0.3666667,0.3220149,0.6843009,0.776299,-0.1418444,0.1637087,0.5022916,-0.8371277
1,0.3777778,0.3219606,0.6843289,0.7762322,-0.1416048,0.1636071,0.5023093,-0.8371775
