Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
1,0,0.3007563,0.7164254,0.8148959,-0.2581965,0.08771705,0.4817759,-0.8327858
1,0,0.3007563,0.7164254,0.8148959,-0.2581965,0.08771705,0.4817759,-0.8327858
1,0.01111111,0.300172,0.7165765,0.8113146,-0.250927,0.09770421,0.471862,-0.839545
1,0.02222222,0.300172,0.7165765,0.8113146,-0.250927,0.09770421,0.471862,-0.839545
1,0.03333334,0.2941699,0.715336,0.8079584,-0.2283272,0.08835772,0.4633836,-0.8516661
1,0.04444445,0.2917059,0.7160066,0.8046914,-0.2119421,0.0794453,0.451916,-0.862868
1,0.05555556,0.2893463,0.7165536,0.8018146,-0.2064064,0.07680261,0.4421677,-0.8694744
1,0.06666667,0.2883678,0.7163678,0.8002057,-0.2006235,0.07524673,0.4456644,-0.8691785
1,0.07777778,0.2896423,0.7166598,0.7998732,-0.1951391,0.07975144,0.4448876,-0.8704226
1,0.08888889,0.2896423,0.7166598,0.7998732,-0.1951391,0.07975144,0.4448876,-0.8704226
1,0.1,0.2883925,0.7151211,0.797908,-0.1861357,0.08573704,0.437974,-0.8753179
1,0.1111111,0.2882257,0.7146695,0.7971376,-0.1820615,0.08974,0.4357913,-0.8768616
1,0.1222222,0.2883023,0.7146252,0.7969054,-0.1811063,0.09255901,0.4344099,-0.8774517
1,0.1333333,0.2880213,0.7142001,0.7961076,-0.1801499,0.09369817,0.4319198,-0.8787559
1,0.1444445,0.2876421,0.7141902,0.7957345,-0.1785587,0.09489453,0.4287538,-0.880501
1,0.1555556,0.2870439,0.7139888,0.7951815,-0.1767905,0.09629239,0.4251035,-0.8824737
1,0.1666667,0.2862172,0.7139018,0.7945475,-0.173094,0.09728894,0.4197861,-0.885637
1,0.1777778,0.2850872,0.7137673,0.7935143,-0.1671117,0.09777649,0.413193,-0.889823
1,0.1888889,0.2843021,0.7135456,0.7928246,-0.1622038,0.09907167,0.4078836,-0.8930317
1,0.2,0.2842097,0.7133089,0.7924439,-0.1597011,0.1031293,0.4057161,-0.8940103
1,0.2111111,0.2840511,0.7131177,0.792165,-0.158559,0.1064086,0.4036354,-0.8947708
1,0.2222222,0.2838829,0.7130311,0.7919958,-0.1576893,0.1094041,0.4014767,-0.895534
1,0.2333333,0.2840176,0.7127694,0.7916131,-0.1569949,0.1121257,0.3995394,-0.8961857
1,0.2444444,0.2836205,0.712719,0.7912561,-0.155075,0.1132078,0.3965172,-0.8977247
1,0.2555556,0.2834553,0.7125012,0.7909197,-0.1521769,0.1130825,0.3942912,-0.8992158
1,0.2666667,0.2833378,0.7123945,0.7907853,-0.151009,0.1140944,0.3934492,-0.8996535
1,0.2777778,0.2832277,0.7124947,0.7906522,-0.1506357,0.1144131,0.3937635,-0.8995382
1,0.2888889,0.2836894,0.7121441,0.7902209,-0.149715,0.1143029,0.3933292,-0.8998958
1,0.3,0.2837596,0.7121803,0.7904306,-0.1505247,0.1128979,0.3946818,-0.8993457
1,0.3111111,0.2837858,0.7122131,0.7903858,-0.1511939,0.1125342,0.3954875,-0.8989249
1,0.3222222,0.2839477,0.7123151,0.7906882,-0.1529247,0.1118795,0.3970139,-0.8980407
1,0.3333333,0.2842877,0.7123184,0.790877,-0.1548968,0.1119756,0.3990718,-0.8967777
1,0.3444445,0.2847135,0.712424,0.7914059,-0.1581715,0.1129487,0.4019693,-0.8947877
1,0.3555556,0.2852712,0.7124989,0.7917278,-0.1612213,0.1139995,0.4043891,-0.893018
1,0.3666667,0.2855449,0.7126266,0.7920771,-0.1640225,0.1152741,0.4055229,-0.8918294
1,0.3777778,0.2854733,0.7126172,0.792012,-0.1645772,0.1156612,0.4044492,-0.8921646
1,0.3888889,0.2852108,0.7127826,0.7918548,-0.1638707,0.1156062,0.402452,-0.8932044
1,0.4,0.2848774,0.7127888,0.7917951,-0.1632367,0.1156165,0.4009426,-0.8939975
1,0.4111111,0.2848136,0.7127028,0.7917147,-0.1632899,0.1158701,0.4001178,-0.8943245
1,0.4222222,0.28483,0.7126769,0.7916775,-0.1633116,0.1164414,0.399594,-0.8944805
1,0.4333333,0.2850765,0.7125201,0.791595,-0.1636749,0.1172296,0.3994372,-0.8943812
1,0.4444444,0.285313,0.7125013,0.7917615,-0.164763,0.1184613,0.4001923,-0.8936813
1,0.4555556,0.2856035,0.7124186,0.7918945,-0.1665102,0.1196269,0.4012154,-0.8927429
1,0.4666667,0.2856754,0.7125486,0.791959,-0.1673437,0.1201639,0.4012988,-0.8924775
1,0.4777778,0.2856545,0.7125682,0.79211,-0.1681379,0.1202534,0.4013069,-0.8923125
1,0.4888889,0.2854056,0.7126917,0.7921638,-0.1686475,0.1202472,0.4013228,-0.8922099
1,0.5,0.2853511,0.7127049,0.7922964,-0.1691149,0.1202649,0.4013105,-0.8921247
1,0.5111111,0.2852338,0.712811,0.7922526,-0.169452,0.1204463,0.401314,-0.8920346
1,0.5222223,0.285324,0.7127879,0.7922799,-0.1698322,0.1205602,0.4014277,-0.8918957
1,0.5333334,0.2855379,0.712676,0.7922795,-0.1703743,0.120828,0.4019213,-0.8915337
1,0.5444446,0.2855042,0.712689,0.7922516,-0.17068,0.1211942,0.4024337,-0.8911944
1,0.5555557,0.285477,0.712684,0.7923305,-0.1708232,0.1213105,0.4026899,-0.8910354
1,0.5666668,0.2854218,0.7127535,0.792346,-0.1709543,0.1213017,0.4027944,-0.8909642
1,0.577778,0.2852715,0.7127508,0.7923959,-0.1707518,0.1209984,0.4026908,-0.891091
1,0.5888891,0.2852495,0.7127739,0.7922863,-0.1707638,0.1209566,0.4027106,-0.8910855
1,0.6000003,0.2851668,0.7127627,0.7923278,-0.1706439,0.1207732,0.4026763,-0.8911488
1,0.6111114,0.2852345,0.7126708,0.7922228,-0.17056,0.1205758,0.4027621,-0.891153
1,0.6222225,0.2852736,0.7126882,0.7922286,-0.1706588,0.1205316,0.4030853,-0.8909938
1,0.6333337,0.2853205,0.7126649,0.7922024,-0.1709245,0.1207811,0.4033424,-0.8907927
1,0.6444448,0.2853324,0.7126198,0.7921071,-0.1709285,0.1207884,0.4033604,-0.8907828
1,0.655556,0.2852366,0.7126201,0.7921309,-0.1707851,0.1205593,0.4031415,-0.8909405
1,0.6666671,0.2851417,0.7126175,0.7919478,-0.1705221,0.1202024,0.4028913,-0.8911522
1,0.6777782,0.2850897,0.7126127,0.7919416,-0.1703061,0.1199901,0.4029571,-0.8911923
1,0.6888894,0.2851097,0.7125793,0.7918845,-0.1702604,0.1199903,0.4032041,-0.8910893
1,0.7000005,0.2850529,0.7125713,0.7919216,-0.1701858,0.1198628,0.4033936,-0.891035
1,0.7111117,0.2850165,0.7125652,0.7918146,-0.1699517,0.1197872,0.4033577,-0.8911061
1,0.7222228,0.285042,0.7125623,0.7917881,-0.1699126,0.1196133,0.4035191,-0.8910637
1,0.7333339,0.28499,0.7126282,0.7917689,-0.1701817,0.1197823,0.4037619,-0.8908797
1,0.7444451,0.28499,0.7126282,0.7917689,-0.1701817,0.1197823,0.4037619,-0.8908797
1,0.7555562,0.2849672,0.7127029,0.7918008,-0.1705639,0.119822,0.4040498,-0.8906708
1,0.7666674,0.2848412,0.71279,0.7918537,-0.1707976,0.1197819,0.4039824,-0.8906619
1,0.7777785,0.2848484,0.712809,0.7919205,-0.1710973,0.1198234,0.4040186,-0.8905824
1,0.7888896,0.2848387,0.7128423,0.7918315,-0.1714779,0.1199067,0.4040664,-0.8904763
1,0.8000008,0.2849019,0.7128732,0.7918484,-0.1718147,0.1199573,0.4042206,-0.8903346
1,0.8111119,0.2849699,0.7127902,0.7918818,-0.1721205,0.1201402,0.4043831,-0.8901771
1,0.8222231,0.2848447,0.7129093,0.791845,-0.1723467,0.1202122,0.404526,-0.8900586
1,0.8333342,0.2848144,0.7129272,0.7919073,-0.1725285,0.1202748,0.4046985,-0.8899365
1,0.8444453,0.2845686,0.7129657,0.7918329,-0.1725671,0.1202116,0.4046809,-0.8899456
1,0.8555565,0.284574,0.712968,0.7917691,-0.1724983,0.120118,0.4047102,-0.8899582
