Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
2,0,0.3472875,0.7103207,0.7591521,0.34009,-0.05744515,-0.6918955,0.6342866
2,0.01111111,0.3475589,0.7104505,0.7592314,0.3403807,-0.05761264,-0.6931215,0.632775
2,0.02222222,0.348037,0.7101062,0.7588041,0.3401774,-0.05834725,-0.6944376,0.6313727
2,0.03333334,0.3483028,0.7101011,0.758962,0.3404216,-0.05818038,-0.6945394,0.6311443
2,0.04444445,0.3483401,0.7102202,0.7588758,0.3402776,-0.05807781,-0.6942515,0.6315481
2,0.05555556,0.3480946,0.7102444,0.7589508,0.3403685,-0.05793072,-0.6942295,0.6315368
2,0.06666667,0.3480241,0.7103171,0.7591354,0.340516,-0.05797802,-0.6945346,0.6311173
2,0.07777778,0.3481834,0.7100115,0.7591908,0.3406817,-0.05802362,-0.6950465,0.6304597
2,0.08888889,0.348303,0.7099978,0.7591811,0.340815,-0.05807576,-0.6955247,0.6298553
2,0.1,0.3483603,0.7097168,0.7593138,0.3408999,-0.05805553,-0.6957584,0.629553
2,0.1111111,0.3483815,0.7096482,0.7593381,0.3409719,-0.05812006,-0.6957518,0.6295153
2,0.1222222,0.3483748,0.7096882,0.7592904,0.3408514,-0.05805339,-0.6955824,0.6297739
2,0.1333333,0.3481947,0.7096642,0.7593632,0.3407322,-0.05786704,-0.6951387,0.6303453
2,0.1444445,0.3480121,0.7098132,0.7592753,0.340128,-0.05728848,-0.6940952,0.6318724
2,0.1555556,0.3479824,0.7098836,0.7593054,0.3400671,-0.05718802,-0.6937634,0.6322786
2,0.1666667,0.3479877,0.7099145,0.7592989,0.3401812,-0.05737054,-0.693473,0.6325192
2,0.1777778,0.3480722,0.710022,0.7592926,0.3400632,-0.05724047,-0.6928176,0.6333121
2,0.1888889,0.3480837,0.710108,0.759163,0.3395452,-0.05748999,-0.692065,0.6343894
2,0.2,0.3478515,0.7101202,0.7592237,0.3395126,-0.057018,-0.6910586,0.6355456
2,0.2111111,0.3477495,0.7101844,0.7591976,0.3394103,-0.05696657,-0.6905923,0.6361114
