Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
7,0,0.3517982,0.7085577,0.7602016,0.3345904,-0.05419764,-0.6852191,0.6446601
7,0,0.3517982,0.7085577,0.7602016,0.3345904,-0.05419764,-0.6852191,0.6446601
7,0.01111111,0.3523762,0.7081834,0.7603793,0.3354836,-0.05464453,-0.6881621,0.6410129
7,0.02222222,0.3525395,0.7079028,0.7605123,0.3359824,-0.0546553,-0.6892834,0.6395442
7,0.03333334,0.3524724,0.7076638,0.7606817,0.3363323,-0.05482985,-0.690378,0.6381634
7,0.04444445,0.3528621,0.7077997,0.7609697,0.3367403,-0.05505712,-0.6919643,0.6362078
7,0.05555556,0.3530871,0.7076535,0.7610556,0.3371897,-0.0553218,-0.6933616,0.6344228
7,0.06666667,0.3533165,0.7075152,0.76116,0.3374069,-0.0554917,-0.6942371,0.6333342
7,0.07777778,0.3534726,0.707408,0.7612013,0.3376526,-0.05562736,-0.6953104,0.6320124
7,0.08888889,0.3536341,0.7072648,0.7612551,0.3379209,-0.05578353,-0.6961296,0.6309526
7,0.1,0.3537324,0.7071211,0.7613419,0.3379599,-0.05589238,-0.696575,0.6304302
7,0.1111111,0.35357,0.7072192,0.7614169,0.3380514,-0.05592094,-0.6966622,0.6302823
7,0.1222222,0.3535134,0.7071761,0.7614066,0.3379623,-0.05591011,-0.6964792,0.6305333
7,0.1333333,0.3536714,0.707082,0.7613449,0.3379169,-0.05595241,-0.6964387,0.6305985
7,0.1444445,0.3536164,0.7070481,0.7613506,0.3377653,-0.05579659,-0.6962246,0.63093
7,0.1555556,0.3535676,0.7071247,0.7612511,0.3376428,-0.05576938,-0.6957451,0.6315266
7,0.1666667,0.3534196,0.7071403,0.76117,0.3375054,-0.05565348,-0.6952745,0.6321284
7,0.1777778,0.3533456,0.7071748,0.7611489,0.3374015,-0.05561855,-0.6947848,0.6327251
7,0.1888889,0.3532187,0.7072647,0.7610668,0.3372735,-0.05550881,-0.6943055,0.6333286
7,0.2,0.3531533,0.7073034,0.7610244,0.3371622,-0.05550946,-0.6938393,0.6338986
7,0.2111111,0.353078,0.7073626,0.7610958,0.3369862,-0.0553914,-0.6934432,0.6344356
7,0.2222222,0.3530632,0.7073686,0.7611078,0.3368744,-0.05528185,-0.6931495,0.6348253
7,0.2333333,0.3530534,0.7073649,0.7611066,0.336891,-0.05524664,-0.6929786,0.6350062
7,0.2444444,0.3531187,0.7073736,0.7611272,0.3369141,-0.05529785,-0.693143,0.6348103
7,0.2555556,0.3531956,0.707303,0.7611554,0.3370298,-0.05536307,-0.6935524,0.6342955
