Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
4,0,0.4467098,0.6467075,0.5653723,0.2516621,0.1906669,0.5813702,-0.7498807
4,0.01111111,0.4470546,0.6463258,0.5654517,0.2535924,0.1935099,0.5818505,-0.7481276
4,0.02222222,0.4473333,0.645732,0.5655026,0.2554393,0.1956868,0.5825183,-0.7464113
4,0.03333334,0.4473694,0.645323,0.5653877,0.2575866,0.1949945,0.5829574,-0.7455112
4,0.04444445,0.4475016,0.6455131,0.5654629,0.2589481,0.1941911,0.5846871,-0.7438929
4,0.05555556,0.4469729,0.6461909,0.5649773,0.2569308,0.1866729,0.5904537,-0.7419596
4,0.06666667,0.4477479,0.6452451,0.5654495,0.2589986,0.1927238,0.5909382,-0.7393034
4,0.07777778,0.4476885,0.6451317,0.5652686,0.2594553,0.1907735,0.5934208,-0.7376586
4,0.08888889,0.4474276,0.6449562,0.5651045,0.2594,0.1886228,0.5960648,-0.7360976
4,0.1,0.4476254,0.6448411,0.5650839,0.2590581,0.1880797,0.598731,-0.7341907
4,0.1111111,0.448095,0.6445548,0.5653262,0.2574075,0.1893374,0.6018376,-0.7319045
4,0.1222222,0.4486378,0.6442444,0.5654507,0.256642,0.1900753,0.6042227,-0.7300146
4,0.1333333,0.449023,0.6440753,0.5655658,0.2561082,0.1912008,0.6061211,-0.7283325
4,0.1444445,0.4494812,0.6437547,0.5656538,0.2561693,0.1920494,0.6076694,-0.7267959
4,0.1555556,0.4497437,0.6436235,0.5658087,0.256457,0.1929491,0.6089639,-0.7253712
4,0.1666667,0.4500775,0.64347,0.5659029,0.2567274,0.1936502,0.6101726,-0.7240717
4,0.1777778,0.4502116,0.6433672,0.5658858,0.2570816,0.1939592,0.6112747,-0.722933
4,0.1888889,0.4501404,0.6432503,0.5658398,0.25784,0.1934081,0.6118695,-0.7223071
4,0.2,0.45021,0.643095,0.5658694,0.2586362,0.1928052,0.6123585,-0.7217691
4,0.2111111,0.4502302,0.6429964,0.5659137,0.2591972,0.1926894,0.6130406,-0.7210193
4,0.2222222,0.4502883,0.6429284,0.5659799,0.2592725,0.1928809,0.6135734,-0.7204877
4,0.2333333,0.4503705,0.6428543,0.5660471,0.259117,0.193087,0.614114,-0.7200277
