Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
3,0,0.4292679,0.6702738,0.5723416,-0.1645589,-0.1747023,-0.459228,0.8552831
3,0,0.4292679,0.6702738,0.5723416,-0.1645589,-0.1747023,-0.459228,0.8552831
3,0.01111111,0.4304486,0.6697186,0.5728335,-0.1636652,-0.1809736,-0.4619029,0.8527063
3,0.02222222,0.4308975,0.6693397,0.5729247,-0.1655466,-0.184901,-0.462308,0.8512797
3,0.03333334,0.4315445,0.6685645,0.5732092,-0.1676316,-0.1900726,-0.462771,0.8494794
3,0.04444445,0.4319968,0.6680214,0.573269,-0.1692335,-0.1944357,-0.4638213,0.8475993
3,0.05555556,0.4323283,0.6676501,0.573235,-0.1717964,-0.1977343,-0.4638828,0.846286
3,0.06666667,0.4325764,0.6672127,0.5733225,-0.1737359,-0.2006947,-0.4644529,0.8448793
3,0.07777778,0.4328831,0.6670786,0.5732437,-0.1752838,-0.2022624,-0.4651291,0.8438131
3,0.08888889,0.4331147,0.6668513,0.5731894,-0.1763241,-0.2033217,-0.4659064,0.8429124
3,0.1,0.4331966,0.6666945,0.5733055,-0.1772306,-0.2042747,-0.4667079,0.8420481
3,0.1111111,0.4333921,0.666678,0.5732833,-0.1770664,-0.2043381,-0.467483,0.8416372
3,0.1222222,0.4333999,0.6666983,0.5732797,-0.1767957,-0.2034271,-0.4675691,0.8418669
3,0.1333333,0.4333178,0.6666545,0.5732927,-0.1768875,-0.202431,-0.4674118,0.8421749
3,0.1444445,0.4330319,0.6668149,0.5732211,-0.1765455,-0.2001975,-0.4669624,0.8430296
3,0.1555556,0.4328272,0.6669958,0.5732322,-0.1759623,-0.1983909,-0.4668773,0.8436254
3,0.1666667,0.43254,0.6670867,0.5732394,-0.1754729,-0.1965542,-0.4668269,0.844185
3,0.1777778,0.4323085,0.6671879,0.5732116,-0.1749603,-0.19502,-0.466813,0.8446548
3,0.1888889,0.4321905,0.6672565,0.5732819,-0.1742751,-0.194593,-0.466643,0.8449887
3,0.2,0.4320911,0.66735,0.573285,-0.1737519,-0.1941658,-0.4663037,0.845382
3,0.2111111,0.4320676,0.6674381,0.5733491,-0.1733416,-0.1942407,-0.4655635,0.8458568
3,0.2222222,0.4322059,0.6675325,0.5734265,-0.172894,-0.1947642,-0.4647472,0.8462768
3,0.2333333,0.4322,0.6675924,0.5734053,-0.1725786,-0.1950045,-0.4639177,0.846741
3,0.2444444,0.432191,0.6675957,0.5734612,-0.1725762,-0.195504,-0.4629753,0.847142
3,0.2555556,0.4321637,0.6676667,0.5734071,-0.1725706,-0.1959122,-0.4623171,0.8474082
3,0.2666667,0.4321104,0.6676133,0.5734226,-0.1728828,-0.1962507,-0.461612,0.8476506
3,0.2777778,0.4320748,0.6675488,0.5733905,-0.1730372,-0.1964639,-0.4610361,0.8478832
3,0.2888889,0.4320405,0.6675187,0.5734434,-0.1731748,-0.1966149,-0.4606887,0.8480089
3,0.3,0.432003,0.6674693,0.5734665,-0.1731051,-0.1967209,-0.460381,0.8481655
3,0.3111111,0.4319302,0.6674656,0.5735073,-0.1731036,-0.1967558,-0.4600092,0.8483594
3,0.3222222,0.4319239,0.6674712,0.5735037,-0.172967,-0.1967177,-0.4597674,0.8485273
3,0.3333333,0.4318333,0.6674547,0.5734953,-0.1728114,-0.1966144,-0.4596038,0.8486716
3,0.3444445,0.431833,0.6674556,0.5734876,-0.172634,-0.1964949,-0.4596286,0.8487219
