Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
18,0,0.3492601,1.135904,0.09134988,0.2459031,-0.3930905,0.2970188,-0.8347403
18,0.01111111,0.3438904,1.122874,0.08891106,0.2325109,-0.4012429,0.3136506,-0.8285928
18,0.02222222,0.3389145,1.110929,0.08582157,0.2147917,-0.4086794,0.3333199,-0.8220361
18,0.03333334,0.3339609,1.098667,0.08223921,0.1924977,-0.4147735,0.3517599,-0.8168062
18,0.04444445,0.3300885,1.085705,0.07884042,-0.1705156,0.4230066,-0.3649474,0.8116668
18,0.05555556,0.3253561,1.072921,0.07525596,-0.1492756,0.4288827,-0.3785309,0.8065301
18,0.06666667,0.3212095,1.060041,0.07188216,-0.1306167,0.4351136,-0.3914999,0.8002145
18,0.07777778,0.3151306,1.047898,0.069176,-0.1146899,0.4440618,-0.4029328,0.7920231
18,0.08888889,0.3105109,1.035732,0.06618521,-0.09969885,0.4518408,-0.4162884,0.7826903
18,0.1,0.3054833,1.02467,0.06331339,-0.08740834,0.4583746,-0.4320021,0.7717685
18,0.1111111,0.3004287,1.015087,0.06030694,-0.0757022,0.4623685,-0.4498662,0.7603322
18,0.1222222,0.2966711,1.006551,0.05689473,-0.06431876,0.4658387,-0.4676722,0.7484251
18,0.1333333,0.29258,0.9991646,0.05420944,-0.05290335,0.4701603,-0.4825333,0.737097
18,0.1444445,0.2897965,0.9930236,0.05114377,-0.04306868,0.4754748,-0.4940745,0.726608
18,0.1555556,0.2866509,0.9860949,0.04868738,-0.03406163,0.4807484,-0.5041116,0.7166535
18,0.1666667,0.2838309,0.9820581,0.04616968,-0.02931938,0.4866658,-0.5097723,0.7088224
18,0.1777778,0.2823958,0.9785732,0.04392049,-0.02538939,0.4917058,-0.5132916,0.7029314
