Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
14,0,0.6226779,0.7596382,0.5812466,-0.06325436,0.09657533,0.7925911,-0.5987249
14,0.01111111,0.6219177,0.7599823,0.5808235,-0.06241199,0.09286122,0.7911724,-0.6012717
14,0.02222222,0.6211858,0.7609652,0.5805858,-0.06407888,0.08614267,0.7900507,-0.603567
14,0.03333334,0.6209698,0.7596872,0.5805916,-0.06052978,0.09135646,0.7901589,-0.6030252
14,0.04444445,0.6205678,0.7595266,0.580557,-0.0587307,0.0913967,0.788922,-0.6048135
14,0.05555556,0.6199131,0.7593268,0.5802593,-0.05641067,0.09043141,0.7872556,-0.6073456
14,0.06666667,0.6194779,0.7590628,0.5801189,-0.05456984,0.09016316,0.7864563,-0.6085879
14,0.07777778,0.6189971,0.7588679,0.579924,-0.05295774,0.09002067,0.7859727,-0.6093756
14,0.08888889,0.6188115,0.7588041,0.5798142,-0.0517878,0.08985764,0.7857115,-0.6098368
14,0.1,0.6187177,0.7588412,0.5797172,-0.05118369,0.08955669,0.7855332,-0.6101617
14,0.1111111,0.6185976,0.758769,0.5795907,-0.05078095,0.08919927,0.7855944,-0.6101691
14,0.1222222,0.6186047,0.7588158,0.579568,-0.05121299,0.08872976,0.7863113,-0.6092772
14,0.1333333,0.6185932,0.7589106,0.5795963,-0.05177725,0.08788172,0.7870632,-0.6083809
14,0.1444445,0.6185201,0.7590787,0.579632,-0.05232086,0.08683191,0.7879524,-0.6073334
14,0.1555556,0.6184692,0.7591879,0.5796807,-0.05262943,0.08574364,0.7888989,-0.6062316
14,0.1666667,0.6183673,0.7591873,0.5796811,-0.05278925,0.08462251,0.7897148,-0.6053122
14,0.1777778,0.6182068,0.7592431,0.5797898,-0.05268264,0.08324401,0.7901544,-0.6049389
14,0.1888889,0.6181442,0.759248,0.5798616,-0.05236809,0.08212982,0.7901189,-0.6051648
14,0.2,0.6181442,0.759248,0.5798616,-0.05236809,0.08212982,0.7901189,-0.6051648
14,0.2111111,0.6182218,0.7592762,0.579976,-0.05209425,0.0815227,0.790216,-0.6051438
14,0.2222222,0.6185142,0.7592459,0.5799941,-0.0515231,0.08052037,0.7900277,-0.6055725
14,0.2333333,0.6186211,0.7592673,0.5799524,-0.05114068,0.07982545,0.7900649,-0.6056485
14,0.2444444,0.6186629,0.7594111,0.5799171,-0.05039329,0.0785545,0.7893886,-0.606758
14,0.2555556,0.6186629,0.7594111,0.5799171,-0.05039329,0.0785545,0.7893886,-0.606758
14,0.2666667,0.618402,0.7595483,0.5799974,-0.04903781,0.07639824,0.7903665,-0.6058708
14,0.2777778,0.6183614,0.7596185,0.5801337,-0.04880252,0.07604156,0.7908922,-0.6052484
14,0.2888889,0.6183398,0.7595881,0.5802268,-0.04859115,0.07578003,0.7913119,-0.6047493
14,0.3,0.6184906,0.7595918,0.5802703,-0.04865789,0.07548925,0.7915648,-0.6044495
14,0.3111111,0.6185268,0.7596426,0.5803048,-0.04863731,0.07498553,0.7914983,-0.6046008
14,0.3222222,0.6185942,0.7597526,0.580333,-0.04842652,0.07455987,0.7915626,-0.6045861
14,0.3333333,0.618623,0.7597604,0.5803896,-0.04830133,0.07440104,0.7916495,-0.604502
14,0.3444445,0.6186557,0.7597855,0.5804671,-0.04814578,0.07423615,0.7916754,-0.6045007
14,0.3555556,0.6186736,0.7597842,0.5805008,-0.04793065,0.07419695,0.7916431,-0.6045649
14,0.3666667,0.6186904,0.7597693,0.5804545,-0.0478071,0.07399148,0.7914526,-0.6048493
14,0.3777778,0.6186342,0.7597197,0.5804697,-0.04773671,0.07369644,0.7914448,-0.604901
14,0.3888889,0.6186342,0.7597197,0.5804697,-0.04773671,0.07369644,0.7914448,-0.604901
14,0.4,0.6185428,0.7597345,0.5803742,-0.04773256,0.07335124,0.7916371,-0.6046914
14,0.4111111,0.6186252,0.7597682,0.5802994,-0.0479443,0.07355759,0.7917668,-0.60448
14,0.4222222,0.6187031,0.7597902,0.5802388,-0.04804623,0.07366167,0.7918076,-0.6044056
14,0.4333333,0.6186789,0.7598123,0.580245,-0.04813571,0.07374931,0.7916511,-0.6045928
14,0.4444444,0.6186855,0.7598293,0.5802098,-0.0480103,0.07376614,0.7914701,-0.6048378
14,0.4555556,0.6185958,0.7597708,0.5802402,-0.04783126,0.07377015,0.7912542,-0.6051337
14,0.4666667,0.6184946,0.7598165,0.5801867,-0.04750007,0.07356241,0.7910942,-0.6053942
14,0.4777778,0.6184022,0.7597582,0.580146,-0.0472149,0.07350031,0.7912686,-0.6051963
14,0.4888889,0.6183414,0.7597492,0.5800815,-0.04725171,0.07341841,0.7915084,-0.6048896
14,0.5,0.6183178,0.7596903,0.5800298,-0.04735409,0.07344934,0.7916403,-0.6047053
14,0.5111111,0.6182907,0.7596292,0.580019,-0.04741065,0.07341078,0.7915401,-0.6048367
14,0.5222223,0.6182312,0.7596118,0.5800224,-0.04734774,0.07324274,0.7914204,-0.6050185
14,0.5333334,0.6181657,0.75957,0.5800005,-0.04725127,0.0730942,0.7912735,-0.6052361
14,0.5444446,0.6180986,0.7595196,0.5800231,-0.0471722,0.0729846,0.7913109,-0.6052066
14,0.5555557,0.6180986,0.7595196,0.5800231,-0.0471722,0.0729846,0.7913109,-0.6052066
14,0.5666668,0.61795,0.7595625,0.5801898,-0.04711414,0.0723896,0.7912993,-0.6052977
14,0.577778,0.6179001,0.7595572,0.5801635,-0.04710779,0.07193597,0.7914593,-0.6051432
14,0.5888891,0.617809,0.7595729,0.5800569,-0.04702578,0.07119989,0.7914491,-0.6052498
14,0.6000003,0.6178117,0.7596613,0.5800632,-0.047148,0.07083486,0.7918497,-0.6047591
14,0.6111114,0.6178117,0.7596613,0.5800632,-0.047148,0.07083486,0.7918497,-0.6047591
14,0.6222225,0.6177946,0.7596055,0.5801255,-0.04717757,0.07071866,0.7921458,-0.6043824
14,0.6333337,0.617786,0.7595809,0.5802411,-0.04695593,0.07043064,0.7920642,-0.6045403
14,0.6444448,0.617786,0.7595809,0.5802411,-0.04695593,0.07043064,0.7920642,-0.6045403
14,0.655556,0.6177433,0.7595614,0.5804052,-0.04655641,0.07004336,0.7919331,-0.6047879
14,0.6666671,0.6177189,0.759527,0.5802911,-0.04630364,0.06979813,0.7920296,-0.6047093
14,0.6777782,0.6177129,0.759562,0.5802253,-0.04622409,0.06959843,0.7922161,-0.604494
14,0.6888894,0.617798,0.7596231,0.5801722,-0.04632835,0.06947266,0.7924365,-0.6042116
14,0.7000005,0.6178257,0.7596391,0.5801737,-0.04637033,0.06949332,0.7925748,-0.6040245
14,0.7111117,0.6178033,0.759687,0.5801703,-0.04639066,0.06924439,0.7924679,-0.6041919
14,0.7222228,0.617794,0.7597583,0.5801437,-0.04640429,0.06897749,0.7923903,-0.604323
14,0.7333339,0.6179451,0.7597886,0.580055,-0.04631006,0.06890733,0.7924753,-0.6042267
14,0.7444451,0.6179522,0.7597973,0.5801293,-0.04623854,0.06880291,0.792581,-0.6041056
14,0.7555562,0.6179389,0.7598205,0.5801343,-0.04608655,0.06860977,0.7927245,-0.6039509
14,0.7666674,0.6178778,0.7598083,0.5801308,-0.04583279,0.0682772,0.7928461,-0.6038482
14,0.7777785,0.6178955,0.7598591,0.5802136,-0.04578712,0.06816627,0.7929605,-0.603714
14,0.7888896,0.617965,0.7598565,0.5801527,-0.04579765,0.06814431,0.7930312,-0.6036227
14,0.8000008,0.6179938,0.7599146,0.580158,-0.04575092,0.06796935,0.7930439,-0.6036294
14,0.8111119,0.618045,0.7599099,0.580146,-0.04572817,0.06785344,0.7929959,-0.6037071
14,0.8222231,0.6180344,0.7599655,0.580319,-0.04580288,0.06778523,0.7930517,-0.6036359
14,0.8333342,0.6180472,0.7599614,0.5803368,-0.04577571,0.06763962,0.7932057,-0.6034518
14,0.8444453,0.6180223,0.7599715,0.5803679,-0.04566473,0.06742363,0.7932534,-0.6034218
14,0.8555565,0.6178606,0.7599898,0.5805204,-0.04546995,0.06703387,0.7932796,-0.6034453
14,0.8666676,0.617907,0.7599791,0.5804829,-0.04540969,0.06680108,0.793407,-0.6033083
14,0.8777788,0.617878,0.7599778,0.5805558,-0.04542825,0.06655914,0.7934222,-0.6033137
14,0.8888899,0.6179138,0.7600011,0.5805316,-0.04552805,0.06632991,0.7935657,-0.6031427
14,0.900001,0.6178191,0.7600435,0.5806105,-0.04560092,0.06634088,0.7937725,-0.6028637
14,0.9111122,0.6178266,0.7599804,0.580623,-0.04565441,0.06645236,0.7939468,-0.6026179
14,0.9222233,0.6176884,0.7600465,0.5806738,-0.04562233,0.06631163,0.7939835,-0.6025874
14,0.9333345,0.6176444,0.7601215,0.5806376,-0.04543443,0.06609679,0.7938948,-0.6027421
14,0.9444456,0.6175727,0.7600186,0.5806963,-0.04530273,0.06590592,0.7939191,-0.6027409
14,0.9555568,0.61753,0.7600571,0.5807296,-0.04519734,0.0657455,0.7940748,-0.6025611
14,0.9666679,0.6174811,0.7600369,0.5806557,-0.04517441,0.06569993,0.7941627,-0.602452
14,0.977779,0.6174823,0.7600545,0.5806873,-0.04540392,0.06582274,0.7942957,-0.6022459
14,0.9888902,0.6174428,0.7600926,0.5805963,-0.04572443,0.06606025,0.7942857,-0.6022088
14,1.000001,0.6173876,0.7600467,0.5806441,-0.04590906,0.06609105,0.7942346,-0.6022587
14,1.011112,0.6173657,0.7600515,0.5806134,-0.04619899,0.0663175,0.7939724,-0.6025575
14,1.022224,0.6173256,0.7600008,0.5806278,-0.04618821,0.06654939,0.7937906,-0.6027722
14,1.033335,0.6171969,0.759977,0.5807613,-0.04612523,0.06667369,0.7936456,-0.6029541
14,1.044446,0.6170979,0.7599764,0.5807751,-0.04585314,0.06681243,0.7935326,-0.6031082
14,1.055557,0.6170849,0.7600238,0.5807331,-0.04576913,0.0669177,0.7935126,-0.6031292
14,1.066668,0.6170661,0.7600306,0.5807652,-0.04574399,0.06700522,0.7934512,-0.6032022
14,1.077779,0.617069,0.7600821,0.5807592,-0.04583755,0.06710176,0.7934491,-0.6031872
14,1.08889,0.6171498,0.7601524,0.5807601,-0.04609137,0.06715824,0.7935345,-0.6030492
14,1.100002,0.6172321,0.7602345,0.5807645,-0.04633955,0.06730083,0.793606,-0.6029201
14,1.111113,0.6173103,0.7603038,0.5807703,-0.04646592,0.06740162,0.793645,-0.602848
14,1.122224,0.6174207,0.7603387,0.580826,-0.04633226,0.06759466,0.7935966,-0.6029002
14,1.133335,0.6174265,0.76035,0.5808936,-0.04611845,0.06765279,0.7935147,-0.603018
14,1.144446,0.6174265,0.76035,0.5808936,-0.04611845,0.06765279,0.7935147,-0.603018
14,1.155557,0.6174324,0.760371,0.5808699,-0.04538099,0.06741516,0.7933178,-0.6033594
14,1.166668,0.6174755,0.7603576,0.5809204,-0.04531263,0.06736955,0.7933154,-0.6033729
14,1.17778,0.6174971,0.7604729,0.5810645,-0.04534081,0.06717749,0.7935352,-0.6031032
14,1.188891,0.6175456,0.760516,0.5811366,-0.04537656,0.06706754,0.793882,-0.6026558
14,1.200002,0.6175201,0.7605492,0.5812841,-0.04543202,0.06695955,0.794066,-0.6024214
14,1.211113,0.6175241,0.7606186,0.581405,-0.0456116,0.06682486,0.7941931,-0.6022552
14,1.222224,0.6174611,0.7606328,0.581493,-0.04560496,0.06668597,0.7942729,-0.6021658
14,1.233335,0.6174786,0.7606611,0.5816087,-0.04570686,0.06671952,0.7942984,-0.6021208
14,1.244446,0.6174786,0.7606611,0.5816087,-0.04570686,0.06671952,0.7942984,-0.6021208
14,1.255558,0.6175362,0.760765,0.5816405,-0.04562143,0.066696,0.7941223,-0.6023621
14,1.266669,0.6173743,0.7607929,0.5818552,-0.0455767,0.06672479,0.7940225,-0.6024939
14,1.27778,0.6173198,0.7607617,0.581742,-0.04544541,0.06671367,0.7940281,-0.6024976
14,1.288891,0.6172452,0.7607717,0.5818392,-0.045559,0.06683258,0.7941326,-0.602338
14,1.300002,0.6172411,0.7608404,0.5817048,-0.04565872,0.06695755,0.7941651,-0.6022736
14,1.311113,0.6172412,0.7608702,0.5816634,-0.04578855,0.06709298,0.7942546,-0.6021309
14,1.322224,0.6172361,0.7608435,0.5814883,-0.0459404,0.06716623,0.7941948,-0.6021901
14,1.333336,0.6172888,0.7608926,0.5814486,-0.04615816,0.06725973,0.7939897,-0.6024335
