Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
9,0,0.5180541,0.6782367,0.5657396,-0.09247409,0.1770602,0.7496324,-0.6309909
9,0,0.5180541,0.6782367,0.5657396,-0.09247409,0.1770602,0.7496324,-0.6309909
9,0.01111111,0.5181487,0.6774555,0.5647632,-0.08565843,0.1781972,0.7485356,-0.6329319
9,0.02222222,0.5171556,0.6770264,0.564605,-0.07560036,0.1763972,0.7456338,-0.6381213
9,0.03333334,0.516659,0.6764121,0.5636744,-0.06758527,0.1756159,0.7441894,-0.6409161
9,0.04444445,0.5162175,0.6762065,0.5633184,-0.06154976,0.1754325,0.7438152,-0.6420078
9,0.05555556,0.5160121,0.6759709,0.5629196,-0.05719033,0.1756834,0.7436196,-0.6425686
9,0.06666667,0.5159454,0.6759925,0.5628106,-0.05540948,0.1762504,0.7435088,-0.6426976
9,0.07777778,0.5159083,0.6758475,0.5625744,-0.05277625,0.1766798,0.7428343,-0.6435805
9,0.08888889,0.515749,0.6758844,0.5624082,-0.05114424,0.1762681,0.7421252,-0.6446426
9,0.1,0.5155965,0.6756337,0.56209,-0.04948494,0.175824,0.7417921,-0.6452765
9,0.1111111,0.5153592,0.6754089,0.5619763,-0.04808243,0.1754734,0.7416542,-0.6456364
9,0.1222222,0.5152752,0.6750757,0.5616782,-0.0480315,0.1748895,0.7421282,-0.6452538
9,0.1333333,0.5152487,0.6750118,0.5614185,-0.04702876,0.1743283,0.7421945,-0.645403
9,0.1444445,0.5152041,0.6748948,0.5613573,-0.04688294,0.173562,0.7421888,-0.6456267
9,0.1555556,0.5152395,0.6748502,0.5615271,-0.04741598,0.1729734,0.7425003,-0.6453877
9,0.1666667,0.514994,0.6749535,0.5614401,-0.04751658,0.1721869,0.7426387,-0.6454313
9,0.1777778,0.5149708,0.6750006,0.5614678,-0.04765511,0.1711019,0.742811,-0.6455114
9,0.1888889,0.5148506,0.675149,0.5613652,-0.0477213,0.1696733,0.7435044,-0.6450852
9,0.2,0.5146922,0.6751137,0.5613214,-0.04769714,0.1680079,0.7441869,-0.6447358
9,0.2111111,0.5145104,0.6752669,0.5612164,-0.04739897,0.1663776,0.7447025,-0.6445853
9,0.2222222,0.5143719,0.6752568,0.5611289,-0.04689983,0.1649756,0.7453221,-0.6442658
9,0.2333333,0.5144155,0.6752484,0.5610226,-0.04666118,0.163866,0.7459484,-0.6438413
9,0.2444444,0.5145,0.6752097,0.5610187,-0.04663853,0.1633282,0.7466117,-0.6432104
9,0.2555556,0.5145024,0.675207,0.56111,-0.0466802,0.1626138,0.7468812,-0.6430756
9,0.2666667,0.5144778,0.6753058,0.5612209,-0.04655332,0.1618896,0.7470447,-0.6430775
9,0.2777778,0.514364,0.6753578,0.5612498,-0.04600348,0.1610432,0.7469061,-0.6434906
9,0.2888889,0.5141951,0.6752989,0.5612304,-0.04492677,0.1601982,0.7472174,-0.6434162
9,0.3,0.5139829,0.6752762,0.5611038,-0.04364202,0.1590312,0.7473009,-0.6436971
9,0.3111111,0.5135503,0.6752864,0.560961,-0.0414762,0.1570447,0.7474537,-0.6441502
9,0.3222222,0.5133749,0.6751584,0.560851,-0.04002828,0.1557747,0.7479642,-0.6439577
9,0.3333333,0.513329,0.6751604,0.560737,-0.03941612,0.1550504,0.7486286,-0.643398
9,0.3444445,0.5132619,0.6750572,0.5607247,-0.03888406,0.1547216,0.7493531,-0.6426657
9,0.3555556,0.5132959,0.6751574,0.5607381,-0.038524,0.1539812,0.7494476,-0.6427549
9,0.3666667,0.513241,0.675253,0.5606509,-0.03765014,0.1531004,0.7492618,-0.6432336
9,0.3777778,0.5130674,0.6755424,0.5606334,-0.0367543,0.1520635,0.749137,-0.6436766
9,0.3888889,0.512816,0.6756216,0.5605273,-0.03478769,0.1512955,0.7486053,-0.6445848
9,0.4,0.5127346,0.6754062,0.5604596,-0.03249006,0.1507975,0.7487147,-0.6446944
9,0.4111111,0.512646,0.6753794,0.560394,-0.0306979,0.1507687,0.7491231,-0.6443143
9,0.4222222,0.5122939,0.6754053,0.5606151,-0.02781685,0.1505435,0.7491975,-0.6444113
9,0.4333333,0.5122185,0.6753768,0.5606266,-0.02470095,0.1505793,0.749097,-0.6446468
9,0.4444444,0.5115839,0.6755003,0.5605702,-0.02136558,0.1495185,0.7486616,-0.6455181
9,0.4555556,0.5112834,0.6756572,0.5606582,-0.01826304,0.1485048,0.7486038,-0.6459143
9,0.4666667,0.5110708,0.675966,0.5608966,-0.0154196,0.147978,0.7476581,-0.6472031
9,0.4777778,0.5110708,0.675966,0.5608966,-0.0154196,0.147978,0.7476581,-0.6472031
9,0.4888889,0.5109025,0.6764753,0.5609966,-0.01229584,0.1483682,0.7462227,-0.6488355
9,0.5,0.5108373,0.676598,0.5610154,-0.01049134,0.148807,0.7451103,-0.6500439
9,0.5111111,0.5108974,0.6768174,0.5612332,-0.00878603,0.1495334,0.7440715,-0.6510915
9,0.5222223,0.5109524,0.6770036,0.5613958,-0.007257052,0.15063,0.7432548,-0.65179
9,0.5333334,0.5111125,0.6771353,0.5617964,-0.006018706,0.152761,0.7429683,-0.6516334
9,0.5444446,0.5111742,0.6771342,0.5620848,-0.004369706,0.154782,0.7424483,-0.6517621
9,0.5555557,0.511258,0.6773076,0.5622647,-0.003218018,0.1563111,0.7420648,-0.6518407
9,0.5666668,0.5111026,0.677592,0.5623271,-0.001864493,0.1568495,0.7415862,-0.6522612
9,0.577778,0.5109196,0.6778775,0.5623089,-0.0005549341,0.1568044,0.7409188,-0.6530324
9,0.5888891,0.5106471,0.6783947,0.5623238,0.0005906448,0.1559177,0.7397467,-0.6545718
9,0.6000003,0.510641,0.6785725,0.5629215,0.002623588,0.1563514,0.7384545,-0.6559209
9,0.6111114,0.5104848,0.6787791,0.5635768,0.005106166,0.157271,0.7371393,-0.6571646
9,0.6222225,0.5105467,0.6789208,0.5646974,0.01042075,0.1579655,0.7341913,-0.6602284
9,0.6333337,0.5105761,0.6792345,0.5656362,0.01514786,0.1579338,0.731711,-0.6628924
9,0.6444448,0.5104229,0.6793455,0.5669106,0.02202101,0.1571659,0.7303179,-0.6644168
9,0.655556,0.5099886,0.6800802,0.5681866,0.02860705,0.1567496,0.7296133,-0.6650382
9,0.6666671,0.5094674,0.6803809,0.5692145,0.03512861,0.1560614,0.7307211,-0.6636699
9,0.6777782,0.5090899,0.6804351,0.5705633,0.04186098,0.1558822,0.7321367,-0.6617585
9,0.6888894,0.5084615,0.6807517,0.5717567,0.04783504,0.1551812,0.7353489,-0.6579457
9,0.7000005,0.5078046,0.6814765,0.5725846,0.05248835,0.1527743,0.7393427,-0.6536646
9,0.7111117,0.5073293,0.6822952,0.5735791,0.05636131,0.1501971,0.7434413,-0.649276
9,0.7222228,0.5069119,0.6830553,0.5745431,0.06001489,0.1479281,0.7468863,-0.6455048
9,0.7333339,0.5066365,0.684148,0.575569,0.06221165,0.1441863,0.7504911,-0.6419526
9,0.7444451,0.5065673,0.685335,0.5763465,0.06387599,0.1398359,0.7525597,-0.6403278
9,0.7555562,0.5063311,0.6865962,0.5774024,0.06529626,0.1346284,0.7550245,-0.6383961
9,0.7666674,0.505946,0.6877493,0.5779288,0.0671261,0.1278919,0.756188,-0.6382143
9,0.7777785,0.5051947,0.6896589,0.57818,0.06645591,0.1205995,0.7605351,-0.634528
9,0.7888896,0.5051947,0.6896589,0.57818,0.06645591,0.1205995,0.7605351,-0.634528
9,0.8000008,0.5052131,0.6912133,0.5799396,0.06830588,0.1134747,0.7638751,-0.6316269
9,0.8111119,0.5049902,0.6923006,0.5806273,0.06984751,0.1077538,0.7628204,-0.6337315
9,0.8222231,0.5052008,0.6934156,0.581533,0.07073645,0.1032867,0.7618601,-0.6355293
9,0.8333342,0.5052043,0.6944837,0.5822977,0.07135935,0.09867221,0.7629373,-0.6349001
9,0.8444453,0.5052153,0.6949474,0.5830945,0.07088716,0.09650403,0.7658611,-0.6317586
9,0.8555565,0.5053976,0.6955664,0.5840063,0.07103967,0.09373772,0.7675362,-0.6301228
9,0.8666676,0.505241,0.6964453,0.5844214,-0.07291237,-0.08777519,-0.766732,0.6317446
9,0.8777788,0.504853,0.6971964,0.5850486,-0.07420536,-0.08238377,-0.7672656,0.6316723
9,0.8888899,0.5044442,0.6976551,0.5852968,-0.07535718,-0.07793035,-0.7678456,0.6313965
9,0.900001,0.504275,0.6978559,0.5855474,-0.07603653,-0.07349422,-0.7695481,0.629772
