Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
1,0,0.2297857,0.8204321,0.7161781,-0.004856512,-0.2064491,-0.5577569,0.8039045
1,0,0.2297857,0.8204321,0.7161781,-0.004856512,-0.2064491,-0.5577569,0.8039045
1,0.01111111,0.2314824,0.8191953,0.7173209,-0.005471937,-0.2129768,-0.5629625,0.7985513
1,0.02222222,0.2334678,0.8181815,0.7179779,-0.004502676,-0.2159347,-0.5666707,0.7951328
1,0.03333334,0.2352831,0.8166562,0.7192121,-0.009243503,-0.2256478,-0.5693307,0.790481
1,0.04444445,0.2366349,0.8160961,0.7201979,-0.01107699,-0.2273013,-0.5723851,0.7877733
1,0.05555556,0.2380493,0.8156162,0.7211182,-0.01440752,-0.2294099,-0.5752752,0.7849981
1,0.06666667,0.2384865,0.8156899,0.7214229,-0.01589616,-0.2304887,-0.5760998,0.784048
1,0.07777778,0.2395195,0.8156644,0.7220805,-0.02344941,-0.2304462,-0.5757192,0.7841507
1,0.08888889,0.2397746,0.8157305,0.7220899,-0.02839015,-0.2300732,-0.5744906,0.7849973
1,0.1,0.2400281,0.8158549,0.7225416,-0.03392529,-0.2297257,-0.5723039,0.7864753
1,0.1111111,0.2409763,0.8155837,0.7227395,-0.03826709,-0.2299337,-0.5707743,0.7873263
1,0.1222222,0.2409432,0.8154281,0.722916,-0.04185278,-0.2305745,-0.5704179,0.7872148
1,0.1333333,0.2414894,0.8151734,0.7232922,-0.0450602,-0.2313232,-0.570107,0.7870432
1,0.1444445,0.2422866,0.8148987,0.7234101,-0.04749434,-0.2319184,-0.5705107,0.7864323
1,0.1555556,0.2424771,0.8148419,0.7234941,-0.0499946,-0.2320403,-0.5707955,0.7860346
1,0.1666667,0.2430919,0.8146745,0.7234712,-0.05197699,-0.2320841,-0.5711106,0.7856641
1,0.1777778,0.2432593,0.8146322,0.7233433,-0.05391402,-0.2319061,-0.5714183,0.7853624
1,0.1888889,0.2436395,0.8144104,0.7231948,-0.056031,-0.2317611,-0.5716839,0.7850636
1,0.2,0.2438246,0.8141479,0.7229643,-0.058111,-0.2318476,-0.5718488,0.7847667
1,0.2111111,0.2440805,0.8138678,0.7228218,-0.05982224,-0.2318875,-0.5720394,0.7844874
1,0.2222222,0.2441512,0.8136398,0.7226861,-0.06144999,-0.2321965,-0.5721664,0.7841775
1,0.2333333,0.244371,0.8132147,0.7224585,-0.06293773,-0.232643,-0.5723556,0.783789
1,0.2444444,0.2442198,0.8128506,0.722235,-0.0643933,-0.2325435,-0.5724888,0.783603
1,0.2555556,0.2440173,0.8125851,0.7218655,-0.06582145,-0.2319589,-0.5728112,0.7834219
1,0.2666667,0.2438201,0.8123505,0.7213113,-0.06661759,-0.2303601,-0.5735438,0.7832903
1,0.2777778,0.2438201,0.8123505,0.7213113,-0.06661759,-0.2303601,-0.5735438,0.7832903
1,0.2888889,0.2435255,0.811875,0.7204212,-0.06650937,-0.227596,-0.5762838,0.7820956
1,0.3,0.2435255,0.811875,0.7204212,-0.06650937,-0.227596,-0.5762838,0.7820956
1,0.3111111,0.2431996,0.8117276,0.7199723,-0.06570479,-0.2270357,-0.5781527,0.7809464
1,0.3222222,0.2428942,0.8112012,0.719436,-0.06455338,-0.2273141,-0.5813419,0.7785902
1,0.3333333,0.2428205,0.8109663,0.7192055,-0.0641013,-0.2276751,-0.58233,0.7777833
1,0.3444445,0.2422524,0.8109869,0.7188891,-0.06317868,-0.2289277,-0.5821634,0.7776158
1,0.3555556,0.2425655,0.8105727,0.7187756,-0.06245259,-0.2303299,-0.5825843,0.7769449
1,0.3666667,0.2426501,0.8104282,0.7187222,-0.06165988,-0.2326986,-0.5816742,0.7769842
1,0.3777778,0.2425938,0.8102726,0.7185555,-0.06129233,-0.2340965,-0.5810421,0.7770663
1,0.3888889,0.2424391,0.810182,0.7183207,-0.06129776,-0.2349869,-0.5800294,0.7775537
1,0.4,0.2421571,0.8101953,0.7180545,-0.06158875,-0.2347097,-0.5782155,0.778964
1,0.4111111,0.241733,0.8103566,0.7176654,-0.06154346,-0.2344736,-0.5763946,0.7803869
1,0.4222222,0.2415659,0.8104808,0.7174264,-0.06121393,-0.2348551,-0.5750642,0.781279
1,0.4333333,0.2419077,0.8102664,0.7173435,-0.06069151,-0.2360042,-0.5741491,0.7816464
1,0.4444444,0.241869,0.8102654,0.7172372,-0.06039371,-0.2371157,-0.5731574,0.782061
1,0.4555556,0.2421476,0.8101225,0.7171721,-0.06010526,-0.2384291,-0.5726134,0.7820823
1,0.4666667,0.2421641,0.8101297,0.7171568,-0.05976067,-0.2395336,-0.5722319,0.7820505
1,0.4777778,0.2423257,0.8097081,0.7171359,-0.0598478,-0.241429,-0.5723416,0.7813804
1,0.4888889,0.2423463,0.8094581,0.7171755,-0.06045295,-0.2430547,-0.5723275,0.7808399
1,0.5,0.2423463,0.8094581,0.7171755,-0.06045295,-0.2430547,-0.5723275,0.7808399
1,0.5111111,0.2423309,0.8093519,0.717056,-0.0611176,-0.2441371,-0.5719467,0.7807296
1,0.5222223,0.2423425,0.8092327,0.7169851,-0.06174653,-0.2450026,-0.5714768,0.7807531
1,0.5333334,0.2422433,0.8091987,0.7167881,-0.06220262,-0.2451578,-0.5709093,0.7810833
1,0.5444446,0.2420871,0.8091453,0.7164599,-0.06302835,-0.2447091,-0.5702389,0.7816473
1,0.5555557,0.241957,0.8091198,0.7162476,-0.0640049,-0.2437514,-0.5697231,0.7822431
1,0.5666668,0.2415126,0.8092228,0.7161443,-0.06458981,-0.2430855,-0.5697877,0.7823551
1,0.577778,0.2415053,0.8090782,0.7161348,-0.06491693,-0.242903,-0.5704757,0.7818832
1,0.5888891,0.2413747,0.8090466,0.7162914,-0.06519911,-0.2429943,-0.5711173,0.7813628
1,0.6000003,0.2415928,0.8086969,0.7165282,-0.06535435,-0.2437313,-0.5725271,0.7800876
1,0.6111114,0.2416461,0.8085986,0.7166924,-0.06549547,-0.2444634,-0.5734609,0.7791602
1,0.6222225,0.2417892,0.8084644,0.717011,-0.06608618,-0.2453329,-0.5739502,0.7784764
1,0.6333337,0.2420006,0.8082314,0.717226,-0.06670943,-0.2457606,-0.5742103,0.7780964
1,0.6444448,0.2421012,0.8080439,0.7173604,-0.06756867,-0.2459781,-0.5741966,0.7779637
1,0.655556,0.2422214,0.8079442,0.7175128,-0.06832626,-0.245758,-0.5740098,0.7781049
1,0.6666671,0.2423271,0.8078761,0.7174712,-0.06918464,-0.2452053,-0.5739734,0.7782304
1,0.6777782,0.2424154,0.8076755,0.7175908,-0.0701848,-0.2447436,-0.5740779,0.778209
1,0.6888894,0.2424603,0.8073711,0.7177927,-0.07116533,-0.2447331,-0.5741156,0.7780954
1,0.7000005,0.2427885,0.8070172,0.7180223,-0.07218063,-0.2449727,-0.5742179,0.7778509
1,0.7111117,0.243079,0.8065814,0.7183399,-0.07345989,-0.2456297,-0.5741804,0.7775516
1,0.7222228,0.2433774,0.8061773,0.7188052,-0.07500539,-0.2465096,-0.5737081,0.7774743
1,0.7333339,0.2437031,0.8057677,0.7192045,-0.07652494,-0.2471919,-0.5729192,0.7776912
1,0.7444451,0.2439132,0.805339,0.7195987,-0.07817379,-0.2476762,-0.5721557,0.7779353
1,0.7555562,0.2442431,0.8050558,0.7199382,-0.07935197,-0.2479767,-0.5711089,0.7784893
1,0.7666674,0.2444769,0.8047363,0.7203135,-0.08069614,-0.2483465,-0.5702376,0.7788718
1,0.7777785,0.2448483,0.8043833,0.72068,-0.08174436,-0.248559,-0.5693684,0.7793304
1,0.7888896,0.2451077,0.8041553,0.7210126,-0.08272621,-0.2488268,-0.5688914,0.7794898
1,0.8000008,0.2454878,0.8038511,0.7213951,-0.083771,-0.2491175,-0.5685593,0.7795275
1,0.8111119,0.2457798,0.8035544,0.7217327,-0.08462962,-0.2493479,-0.5684691,0.7794269
1,0.8222231,0.2460986,0.8033143,0.7220694,-0.08560141,-0.2494099,-0.5682006,0.7794967
1,0.8333342,0.2464753,0.803139,0.7223801,-0.08628036,-0.2492237,-0.5680619,0.7795825
1,0.8444453,0.2467249,0.803035,0.7225701,-0.08676709,-0.2487622,-0.568005,0.7797174
1,0.8555565,0.247011,0.8029408,0.7228187,-0.08716815,-0.2483918,-0.5682098,0.7796414
1,0.8666676,0.247241,0.8028256,0.7231572,-0.08792845,-0.2485801,-0.5684924,0.77929
1,0.8777788,0.2474888,0.8026373,0.7234776,-0.08861838,-0.248906,-0.5687963,0.778886
1,0.8888899,0.2476432,0.8025228,0.7239039,-0.08951219,-0.2496272,-0.5692801,0.7781992
1,0.900001,0.2478285,0.8024019,0.7243533,-0.09009796,-0.2502213,-0.5698599,0.7775161
1,0.9111122,0.2480807,0.8022267,0.7247095,-0.09059811,-0.250759,-0.5705206,0.7767998
1,0.9222233,0.2483461,0.8020027,0.7249712,-0.09089087,-0.2511176,-0.5714096,0.7759961
1,0.9333345,0.2485718,0.8019476,0.7252063,-0.09141048,-0.2513042,-0.571784,0.7755987
1,0.9444456,0.248664,0.8019205,0.7254819,-0.09196255,-0.2511092,-0.5723104,0.7752083
1,0.9555568,0.2487966,0.8018239,0.725543,-0.0925044,-0.2509128,-0.5725954,0.7749968
1,0.9666679,0.2490015,0.8018308,0.7256353,-0.09310997,-0.2504072,-0.5723854,0.775243
1,0.977779,0.2490495,0.8019027,0.7257845,-0.09403662,-0.2498936,-0.571987,0.7755909
1,0.9888902,0.2490433,0.8019784,0.7258249,-0.09488609,-0.2491018,-0.5715159,0.7760893
1,1.000001,0.2491664,0.8020304,0.726014,-0.09534032,-0.2490533,-0.5714126,0.7761253
1,1.011112,0.2494192,0.8019918,0.7263484,-0.09540021,-0.2505887,-0.5715732,0.7755051
1,1.022224,0.2496661,0.8020287,0.7266303,-0.09576827,-0.2516385,-0.5715267,0.7751541
1,1.033335,0.2498257,0.8020343,0.7268289,-0.09627879,-0.2522786,-0.5713183,0.7750363
1,1.044446,0.249837,0.8020993,0.7269019,-0.09716583,-0.2522812,-0.5705854,0.7754645
1,1.055557,0.2498423,0.8022031,0.7269174,-0.0980031,-0.2518661,-0.5698971,0.776
1,1.066668,0.2498846,0.8022648,0.7269781,-0.09873965,-0.2517174,-0.5694066,0.7763149
1,1.077779,0.2503815,0.8020183,0.7270399,-0.09937299,-0.2517231,-0.5691869,0.7763934
1,1.08889,0.2504264,0.801973,0.7270845,-0.09989156,-0.2520633,-0.5693094,0.7761267
1,1.100002,0.2506264,0.801917,0.7271147,-0.1002165,-0.2523752,-0.5696574,0.775728
1,1.111113,0.2507002,0.8018498,0.7272151,-0.1004366,-0.2526148,-0.5699972,0.7753717
1,1.122224,0.251307,0.8015369,0.7273934,-0.1003054,-0.2529431,-0.5705861,0.7748484
1,1.133335,0.2514481,0.8015063,0.7274965,-0.1001682,-0.2532924,-0.5710237,0.7744296
1,1.144446,0.251456,0.801064,0.7272053,-0.1002217,-0.2538413,-0.5715075,0.7738859
1,1.155557,0.250927,0.8013007,0.727005,-0.1003473,-0.2539749,-0.5714046,0.7739018
1,1.166668,0.2510006,0.8012884,0.7270055,-0.1004205,-0.2542943,-0.5712211,0.7739229
1,1.17778,0.2508795,0.8015042,0.7270718,-0.1008582,-0.2542041,-0.5708342,0.774181
1,1.188891,0.2509724,0.801531,0.7271206,-0.1012374,-0.2542293,-0.5704468,0.7744086
1,1.200002,0.2510704,0.8015299,0.7271371,-0.1015876,-0.2546073,-0.5698968,0.7746437
1,1.211113,0.2513076,0.8017482,0.7274503,-0.1018994,-0.2547504,-0.5695629,0.7748011
1,1.222224,0.2513984,0.8017579,0.7274874,-0.1022656,-0.2549874,-0.5692303,0.7749194
1,1.233335,0.2515894,0.8018042,0.7277138,-0.1027045,-0.2552587,-0.5689717,0.774962
1,1.244446,0.2517043,0.8017908,0.7278319,-0.1030328,-0.255689,-0.5687298,0.774954
1,1.255558,0.2519658,0.8018592,0.728002,-0.1028287,-0.2559886,-0.5687365,0.7748773
1,1.266669,0.2521763,0.8019483,0.7280816,-0.1024593,-0.2563324,-0.5688179,0.7747529
1,1.27778,0.2523991,0.8020233,0.7281413,-0.1021755,-0.2563544,-0.5686927,0.7748749
1,1.288891,0.2524773,0.8020858,0.7281469,-0.1024155,-0.2559282,-0.5686897,0.7749864
1,1.300002,0.2525948,0.8021244,0.7282198,-0.1024519,-0.2559535,-0.5687252,0.774947
1,1.311113,0.2523533,0.801599,0.7285784,-0.1029341,-0.2564151,-0.5689155,0.7745908
1,1.322224,0.2525511,0.8014302,0.7284713,-0.1032898,-0.2567569,-0.5690067,0.7743632
1,1.333336,0.252634,0.8013471,0.7285551,-0.1037712,-0.2567585,-0.5690871,0.7742394
1,1.344447,0.2528268,0.8013723,0.7286075,-0.1037714,-0.2566702,-0.5692112,0.7741773
1,1.355558,0.25297,0.8013884,0.7287481,-0.1037736,-0.2566589,-0.5692741,0.7741345
1,1.366669,0.2531996,0.8013704,0.7288237,-0.1035603,-0.2569221,-0.5694711,0.7739308
1,1.37778,0.2534296,0.8013164,0.7289448,-0.1035176,-0.257184,-0.5696152,0.7737436
1,1.388891,0.2535707,0.8012982,0.7290371,-0.1036889,-0.257196,-0.5697092,0.7736473
1,1.400002,0.2536144,0.8013359,0.7290135,-0.1039584,-0.2570003,-0.5696158,0.773745
1,1.411114,0.2537569,0.8013506,0.7290492,-0.1040734,-0.2568156,-0.5696086,0.7737962
1,1.422225,0.2539164,0.801443,0.7290285,-0.104095,-0.2567857,-0.5696676,0.7737597
1,1.433336,0.2540696,0.801468,0.729169,-0.1042869,-0.256752,-0.5697227,0.7737046
1,1.444447,0.2541134,0.8014437,0.7292236,-0.1045464,-0.2568982,-0.5698073,0.7735587
1,1.455558,0.2542251,0.801424,0.7293055,-0.1048573,-0.2569889,-0.5699238,0.7734005
1,1.466669,0.2543364,0.8014084,0.7294046,-0.104953,-0.2571542,-0.570088,0.7732116
1,1.47778,0.254473,0.8013992,0.7295103,-0.1051649,-0.2573958,-0.5703654,0.7728979
1,1.488891,0.2545435,0.8013462,0.729669,-0.105535,-0.257729,-0.5704938,0.7726416
1,1.500003,0.2546612,0.8012968,0.7297072,-0.1059288,-0.2579952,-0.5704683,0.7725176
1,1.511114,0.2547124,0.8012735,0.7297857,-0.1062025,-0.2581544,-0.5703954,0.7724806
1,1.522225,0.2547891,0.8013062,0.7297564,-0.1064926,-0.2582006,-0.5703039,0.7724929
1,1.533336,0.2548147,0.8014067,0.7297018,-0.1068486,-0.2578196,-0.5700073,0.7727898
1,1.544447,0.2548499,0.8015187,0.7296687,-0.1071293,-0.2577268,-0.5699772,0.7728041
1,1.555558,0.255046,0.8014995,0.7297066,-0.107293,-0.2579109,-0.5700548,0.7726627
1,1.566669,0.2551617,0.801478,0.7297742,-0.1077918,-0.2584884,-0.5702344,0.7722677
1,1.577781,0.2552558,0.8014155,0.7298271,-0.1083608,-0.2588319,-0.5702291,0.7720769
1,1.588892,0.2552774,0.801495,0.7298636,-0.1089149,-0.2589326,-0.5700971,0.7720627
1,1.600003,0.2553891,0.8015276,0.7297677,-0.1092747,-0.2589689,-0.570106,0.771993
1,1.611114,0.2553794,0.8014556,0.7296732,-0.1094641,-0.2590217,-0.5701323,0.771929
1,1.622225,0.2552923,0.8014448,0.7296242,-0.1097487,-0.2591033,-0.5701456,0.7718514
1,1.633336,0.2551908,0.8014408,0.7296811,-0.1098307,-0.2593304,-0.5702088,0.7717167
1,1.644447,0.2550994,0.8016161,0.7296581,-0.1098105,-0.2596657,-0.570294,0.771544
1,1.655559,0.2551256,0.8016044,0.7296153,-0.1099743,-0.259838,-0.5701191,0.771592
1,1.66667,0.2553273,0.8015322,0.7296677,-0.1100245,-0.2598892,-0.5699297,0.7717075
