Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
2,0,0.3211983,0.6815978,0.7915951,-0.2433097,0.1915511,0.5246137,-0.7930253
2,0.01111111,0.3217881,0.6813286,0.7914617,-0.2444317,0.1942566,0.524417,-0.7921517
2,0.02222222,0.3221492,0.6807129,0.7916149,-0.2436357,0.1997831,0.5229139,-0.7920161
2,0.03333334,0.321413,0.6810788,0.7910202,-0.2422381,0.1986203,0.5201401,-0.7945595
2,0.04444445,0.3211394,0.680999,0.7907421,-0.2404042,0.1999541,0.5177309,-0.7963535
2,0.05555556,0.3208663,0.6808718,0.7905014,-0.2388507,0.2011073,0.515707,-0.7978424
2,0.06666667,0.3207893,0.6809729,0.7905743,-0.2384056,0.2023694,0.5149819,-0.7981247
2,0.07777778,0.3209138,0.6808459,0.7906251,-0.2386454,0.2034154,0.5154861,-0.7974613
2,0.08888889,0.320925,0.6810349,0.7906913,-0.2387377,0.2034798,0.5161123,-0.7970122
2,0.1,0.3208664,0.6811413,0.7906655,-0.2382825,0.203641,0.5159436,-0.7972164
2,0.1111111,0.3208876,0.681107,0.7906833,-0.238247,0.2033306,0.5162057,-0.7971365
2,0.1222222,0.3208466,0.6811576,0.7906749,-0.2383958,0.2032796,0.5164836,-0.796925
2,0.1333333,0.3208729,0.6811373,0.7907734,-0.2389366,0.2030016,0.5167607,-0.7966543
2,0.1444445,0.3208516,0.6812086,0.7907743,-0.2392993,0.2027148,0.5166668,-0.7966793
2,0.1555556,0.3208248,0.681228,0.7908409,-0.2397183,0.2023356,0.516553,-0.7967237
2,0.1666667,0.3209733,0.6811972,0.7908494,-0.2402917,0.2021012,0.5168656,-0.7964076
2,0.1777778,0.3210743,0.6812507,0.7909697,-0.2412512,0.2018106,0.5175027,-0.7957771
2,0.1888889,0.3211143,0.6812503,0.7910644,-0.2418901,0.2015315,0.5179136,-0.7953865
2,0.2,0.32109,0.6813463,0.7910901,-0.2423984,0.2012422,0.5180562,-0.7952121
2,0.2111111,0.3211076,0.6813579,0.7911477,-0.2428359,0.2011524,0.5181752,-0.7950239
2,0.2222222,0.320997,0.6815046,0.791258,-0.2433633,0.2011808,0.5183234,-0.7947587
2,0.2333333,0.3210129,0.6815119,0.7912711,-0.2435812,0.201354,0.5183317,-0.7946426
2,0.2444444,0.3211199,0.6814932,0.7912593,-0.2436828,0.2013998,0.5183178,-0.7946089
2,0.2555556,0.3211383,0.6814886,0.7911452,-0.2433249,0.2014922,0.5181075,-0.7948324
2,0.2666667,0.3211913,0.681362,0.7910793,-0.2429056,0.201469,0.5179397,-0.7950758
2,0.2777778,0.3211699,0.6813609,0.7910092,-0.242642,0.2013407,0.5178581,-0.795242
2,0.2888889,0.3211221,0.6813574,0.7909964,-0.2424805,0.2013005,0.5179815,-0.7952211
2,0.3,0.321102,0.6813633,0.7909999,-0.2425256,0.2012416,0.518034,-0.795188
2,0.3111111,0.3209734,0.6814371,0.7910648,-0.242612,0.20127,0.518025,-0.7951603
2,0.3222222,0.3210273,0.6814491,0.7911285,-0.2425649,0.2012186,0.5179582,-0.7952312
2,0.3333333,0.3210033,0.6814282,0.7911093,-0.2424525,0.2013297,0.5178913,-0.7952808
2,0.3444445,0.3209928,0.6814567,0.7910938,-0.2422951,0.2014328,0.5177521,-0.7953935
2,0.3555556,0.3209479,0.6814528,0.7910422,-0.2420167,0.2015522,0.5175341,-0.7955897
2,0.3666667,0.3209026,0.6814687,0.7910538,-0.2418977,0.2016529,0.5174143,-0.7956784
2,0.3777778,0.3208539,0.6814402,0.7910807,-0.2418558,0.2017755,0.5173538,-0.7956994
2,0.3888889,0.320789,0.6815541,0.7911275,-0.2420246,0.2018137,0.5174214,-0.7955944
2,0.4,0.3206902,0.6815771,0.791141,-0.2421502,0.2018007,0.5173463,-0.7956082
2,0.4111111,0.3206477,0.6815898,0.791168,-0.2423295,0.2018335,0.5173022,-0.7955741
2,0.4222222,0.3207664,0.6815013,0.7911356,-0.2424754,0.2020237,0.5173393,-0.7954571
2,0.4333333,0.3207343,0.6814972,0.7911571,-0.2425197,0.2020768,0.5172448,-0.7954917
2,0.4444444,0.3206992,0.6815063,0.7911584,-0.2425263,0.20207,0.5171928,-0.7955253
2,0.4555556,0.3206675,0.6814799,0.7911556,-0.2425178,0.2021887,0.5171964,-0.7954952
2,0.4666667,0.3206349,0.6814796,0.7911562,-0.242544,0.2021818,0.5171937,-0.7954908
2,0.4777778,0.3206208,0.6814685,0.7911622,-0.2425135,0.2022457,0.5172324,-0.7954588
2,0.4888889,0.3206236,0.6815029,0.7911865,-0.2425326,0.2022085,0.5172043,-0.7954806
2,0.5,0.3206192,0.6815574,0.7912143,-0.2426091,0.2021366,0.5172342,-0.7954561
2,0.5111111,0.3206036,0.6815706,0.7912461,-0.2427462,0.2021089,0.5172808,-0.7953911
2,0.5222223,0.3206161,0.6816342,0.7913063,-0.2428897,0.202087,0.5173613,-0.7953004
2,0.5333334,0.3205918,0.6816434,0.7913294,-0.2429897,0.2021077,0.517333,-0.795283
2,0.5444446,0.3205894,0.6816804,0.7913275,-0.2429817,0.2021195,0.5173234,-0.7952887
2,0.5555557,0.3205645,0.681687,0.7913409,-0.2430111,0.2021282,0.5172789,-0.7953064
2,0.5666668,0.3205452,0.6817134,0.7913243,-0.242974,0.2021274,0.5173287,-0.7952856
2,0.577778,0.3205204,0.6817372,0.7912828,-0.2429356,0.2021605,0.517301,-0.7953068
2,0.5888891,0.3204634,0.6817459,0.7912344,-0.2426585,0.2021223,0.5171694,-0.7954868
