Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
1,0,0.2974514,0.8107994,0.3961599,-0.139744,-0.2596672,-0.575377,0.76288
1,0,0.2974514,0.8107994,0.3961599,-0.139744,-0.2596672,-0.575377,0.76288
1,0.01111111,0.2988906,0.8109412,0.3975923,-0.1300599,-0.2677131,-0.5775416,0.7601709
1,0.02222222,0.3003659,0.8107024,0.3990911,-0.1237635,-0.2758124,-0.5779796,0.7579907
1,0.03333334,0.3013878,0.8103998,0.4004321,-0.1159958,-0.2820042,-0.5780707,0.7568705
1,0.04444445,0.3024839,0.8102575,0.4018667,-0.110021,-0.2893081,-0.5788965,0.7543706
1,0.05555556,0.3024848,0.81,0.4028883,-0.1081256,-0.2924129,-0.5765855,0.755217
1,0.06666667,0.3026123,0.8094445,0.4035999,-0.1073119,-0.2953555,-0.5753441,0.7551348
1,0.07777778,0.3018661,0.8091838,0.4040394,-0.1088636,-0.2955423,-0.5729476,0.7566601
1,0.08888889,0.3014829,0.8087211,0.4042719,-0.1097825,-0.2961587,-0.5718871,0.7570885
1,0.1,0.3013499,0.8084549,0.4044995,-0.10979,-0.2967263,-0.570551,0.7578728
1,0.1111111,0.3009495,0.8084826,0.4048648,-0.1096267,-0.2978106,-0.5690866,0.7585719
1,0.1222222,0.3008611,0.8083372,0.4049117,-0.1100484,-0.2977068,-0.5675912,0.7596711
1,0.1333333,0.300558,0.8084303,0.4048581,-0.1098849,-0.2984799,-0.5662801,0.7603695
1,0.1444445,0.3005565,0.8084905,0.4051037,-0.1089084,-0.2990741,-0.5654653,0.7608829
1,0.1555556,0.3002422,0.8088031,0.4052376,-0.1075473,-0.3003984,-0.5649483,0.7609387
1,0.1666667,0.300203,0.8090308,0.4052193,-0.1065424,-0.3013457,-0.5648352,0.7607895
1,0.1777778,0.300026,0.8091188,0.4054304,-0.1060987,-0.3015,-0.5647546,0.7608502
1,0.1888889,0.2999032,0.8091445,0.4053976,-0.1058746,-0.3015976,-0.5651205,0.7605711
1,0.2,0.2997806,0.8090536,0.4053851,-0.1063157,-0.3012292,-0.5658119,0.7601414
1,0.2111111,0.2994913,0.8090513,0.4053468,-0.1065719,-0.3007653,-0.5664715,0.7597979
1,0.2222222,0.2994046,0.8088626,0.4053588,-0.1062157,-0.3008933,-0.5687348,0.7581044
1,0.2333333,0.2993216,0.8088532,0.4057233,-0.1052398,-0.3017594,-0.5702088,0.7567878
