Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
4,0,-0.2300652,0.7960989,0.641139,0.5736636,-0.4474951,0.4937481,0.47631
4,0.01111111,-0.2299153,0.7964717,0.6408741,0.5725021,-0.4489139,0.494311,0.475788
4,0.02222222,-0.2290747,0.7972102,0.6407533,0.5691675,-0.4526305,0.4944609,0.4761119
4,0.03333334,-0.2292851,0.7974994,0.6412997,0.5701908,-0.4552159,0.4943146,0.4725612
4,0.04444445,-0.2295493,0.7972878,0.6415011,0.5704488,-0.4559895,0.4954983,0.4702587
4,0.05555556,-0.2297541,0.7975788,0.6412864,0.5709162,-0.456849,0.4964623,0.4678342
4,0.06666667,-0.2298565,0.7974195,0.6416987,0.5710526,-0.4580109,0.496955,0.4660051
4,0.07777778,-0.2296276,0.7975433,0.6414832,0.5701001,-0.4598493,0.4976836,0.464581
4,0.08888889,-0.2295152,0.7975199,0.6416604,0.5687051,-0.4617956,0.4985796,0.4633979
4,0.1,-0.2292873,0.7975631,0.6416762,0.5670737,-0.4638366,0.4995962,0.4622625
4,0.1111111,-0.2290635,0.7975836,0.6414078,0.5655442,-0.4657885,0.5002654,0.4614494
4,0.1222222,-0.2286413,0.7976903,0.6414154,0.5637927,-0.467761,0.5004687,0.4613768
4,0.1333333,-0.2283885,0.7977067,0.6411849,0.5624396,-0.4692073,0.5007594,0.4612444
4,0.1444445,-0.2281878,0.7976425,0.6409313,0.562189,-0.4694828,0.5011238,0.4608735
4,0.1555556,-0.2281878,0.7976425,0.6409313,0.562189,-0.4694828,0.5011238,0.4608735
4,0.1666667,-0.2283903,0.7972482,0.6404691,0.5637804,-0.4680316,0.5017146,0.4597614
4,0.1777778,-0.2284757,0.7969949,0.6402066,0.5647939,-0.4667235,0.5021821,0.4593366
4,0.1888889,-0.2284086,0.7969468,0.6401637,0.5652075,-0.4661054,0.5024369,0.4591769
4,0.2,-0.2279212,0.7973133,0.6400084,0.5647833,-0.4666136,0.5023659,0.4592603
4,0.2111111,-0.2279212,0.7973133,0.6400084,0.5647833,-0.4666136,0.5023659,0.4592603
