Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
1,0,-0.2044958,0.7881169,-0.8067456,0.7801924,0.09119974,-0.215239,0.5802195
1,0,-0.2044958,0.7881169,-0.8067456,0.7801924,0.09119974,-0.215239,0.5802195
1,0.01111111,-0.2036268,0.7886184,-0.8073419,0.7798229,0.08721584,-0.21435,0.581656
1,0.02222222,-0.202006,0.7893495,-0.8081949,0.7787891,0.08311956,-0.2166316,0.5827945
1,0.03333334,-0.2016929,0.7894695,-0.8086272,0.7780689,0.08242106,-0.21537,0.5843213
1,0.04444445,-0.2007501,0.7894043,-0.8089507,0.7781323,0.08085695,-0.2171466,0.5837976
1,0.05555556,-0.1997966,0.7894902,-0.8091252,0.7789878,0.08127059,-0.2188523,0.5819594
1,0.06666667,-0.1993322,0.7896432,-0.8092843,0.779465,0.08160126,-0.2194349,0.581054
1,0.07777778,-0.1990373,0.7897865,-0.8093726,0.7799262,0.08192955,-0.2197662,0.5802633
1,0.08888889,-0.1984698,0.7899914,-0.8095218,0.7808804,0.08201419,-0.2199168,0.5789094
1,0.1,-0.1980938,0.790319,-0.8096451,0.782065,0.0813573,-0.2191913,0.5776768
1,0.1111111,-0.1975324,0.7905253,-0.8097789,0.7832479,0.08015344,-0.2182962,0.5765803
1,0.1222222,-0.197417,0.7909613,-0.8097339,0.7847417,0.07829842,-0.2164045,0.5755162
1,0.1333333,-0.1973031,0.7911614,-0.8098003,0.7863479,0.07653409,-0.2148022,0.5741599
1,0.1444445,-0.1970357,0.7912217,-0.809977,0.7879702,0.07499735,-0.213274,0.5727063
1,0.1555556,-0.1968977,0.7913437,-0.8100586,0.7894586,0.07410495,-0.2122767,0.5711411
1,0.1666667,-0.1966944,0.7914019,-0.8103524,0.7908777,0.07393663,-0.2115133,0.5694802
1,0.1777778,-0.1966855,0.7916365,-0.8108161,0.792303,0.07427296,-0.2108409,0.5677021
1,0.1888889,-0.1964443,0.7916342,-0.8109781,0.7938603,0.07476576,-0.2101174,0.5657266
1,0.2,-0.1964093,0.7919128,-0.8112508,0.7952807,0.07517524,-0.2092501,0.5639962
1,0.2111111,-0.1962909,0.7920156,-0.8113627,0.7966254,0.07576049,-0.2084114,0.5623282
