Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
8,0,0.2365042,0.7546555,0.3401354,0.1911356,0.2327488,-0.8211651,0.4847504
8,0.01111111,0.23624,0.7570794,0.3201424,0.1703652,0.2333849,-0.8184336,0.4966623
8,0.02222222,0.2381117,0.7593691,0.3028536,0.1556385,0.2306921,-0.8188416,0.5020521
8,0.03333334,0.2412546,0.763257,0.2856068,0.147968,0.2277793,-0.8213676,0.5015749
8,0.04444445,0.2444509,0.7664787,0.2698707,0.1391468,0.2270014,-0.8223076,0.50291
8,0.05555556,0.2480182,0.771547,0.2558538,-0.1346116,-0.2302664,0.8179258,-0.5097593
8,0.06666667,0.2497479,0.7781858,0.2417049,-0.129222,-0.24109,0.8068192,-0.5236602
8,0.07777778,0.2524347,0.7839019,0.2280596,-0.1240858,-0.2495166,0.8001847,-0.5310826
8,0.08888889,0.2543836,0.7887133,0.2144341,-0.1139833,-0.2544143,0.7993425,-0.53229
8,0.1,0.2559949,0.7948214,0.2026006,-0.1035316,-0.2662952,0.7903972,-0.5418859
8,0.1111111,0.2575575,0.8005558,0.1908686,-0.09265514,-0.2769752,0.7824573,-0.5499639
8,0.1222222,0.2593231,0.8062181,0.1802082,-0.081123,-0.2871848,0.7739339,-0.558543
8,0.1333333,0.2610602,0.8121517,0.1694503,-0.07014088,-0.2973186,0.7642694,-0.5679561
8,0.1444445,0.2626363,0.8188882,0.1605449,-0.05914441,-0.3098364,0.7553784,-0.574375
8,0.1555556,0.2645926,0.825171,0.1512776,-0.04642843,-0.3185442,0.753417,-0.5733557
8,0.1666667,0.2666974,0.8315331,0.1421225,-0.03434917,-0.3264164,0.7515243,-0.5722619
8,0.1777778,0.2695599,0.8386221,0.1341043,-0.02277431,-0.3294824,0.7584081,-0.5619074
8,0.1888889,0.271927,0.8452762,0.1259928,-0.01105468,-0.3344388,0.7606192,-0.5563155
8,0.2,0.2739236,0.8526598,0.1191357,0.001608819,-0.3399546,0.7620994,-0.5510288
8,0.2111111,0.2760329,0.8594466,0.1123174,0.01241514,-0.3451306,0.7615991,-0.548359
8,0.2222222,0.2782191,0.8660064,0.1052686,0.02449332,-0.3476366,0.7634641,-0.5437568
8,0.2333333,0.2802423,0.8717201,0.09850916,0.03813429,-0.3461766,0.7659322,-0.5404214
8,0.2444444,0.2820775,0.8773459,0.09240605,0.05110429,-0.3455286,0.7638612,-0.5426919
8,0.2555556,0.2839497,0.8827881,0.0864276,0.06392084,-0.3432533,0.7616678,-0.5458511
8,0.2666667,0.2860554,0.8884211,0.08048347,0.07601248,-0.3412967,0.7593626,-0.5487322
8,0.2777778,0.2875319,0.8938314,0.0753224,0.08705562,-0.3393983,0.7553688,-0.5537581
8,0.2888889,0.2890229,0.8994942,0.07056402,0.09839062,-0.3390656,0.7516004,-0.5571809
8,0.3,0.2902507,0.9047761,0.06615239,0.1088096,-0.3387125,0.7465079,-0.5622812
8,0.3111111,0.291565,0.9101834,0.06172976,0.119282,-0.3385928,0.7412837,-0.5671201
8,0.3222222,0.2922401,0.9140697,0.05817683,0.1302177,-0.3367224,0.7349499,-0.5740297
8,0.3333333,0.293,0.9182116,0.05395105,0.1414841,-0.3335043,0.7306004,-0.5787747
8,0.3444445,0.2976623,0.9253333,0.05449568,0.1523824,-0.3259162,0.729144,-0.5821576
8,0.3555556,0.2966419,0.9376085,0.04306284,0.1620428,-0.3162829,0.7280053,-0.5862725
8,0.3666667,0.2986829,0.94088,0.03761902,0.1712083,-0.3056266,0.7265337,-0.5911251
8,0.3777778,0.2975997,0.9421946,0.03393891,0.185631,-0.2981929,0.7191776,-0.5995044
8,0.3888889,0.2970887,0.9442605,0.03110799,0.2039395,-0.2988688,0.7033408,-0.6118806
8,0.4,0.2953776,0.945502,0.0307928,0.2216019,-0.2996761,0.6865858,-0.624249
8,0.4111111,0.2943635,0.9478688,0.03140251,0.236311,-0.303086,0.6716578,-0.6333814
8,0.4222222,0.2927945,0.9498388,0.03152453,0.2475239,-0.3023245,0.6625918,-0.6389866
8,0.4333333,0.2949449,0.9529235,0.02966474,0.2503904,-0.2899617,0.6708484,-0.6349719
8,0.4444444,0.2943931,0.9558152,0.02848816,0.255893,-0.2849345,0.6755313,-0.6300703
8,0.4555556,0.2938139,0.9594321,0.02849838,0.2605163,-0.2874662,0.6746619,-0.6279536
8,0.4666667,0.2924521,0.9630783,0.02816513,0.2656124,-0.2912732,0.6733147,-0.6255056
8,0.4777778,0.2916114,0.9665205,0.02846783,0.2706568,-0.294524,0.67212,-0.6231012
8,0.4888889,0.2903839,0.9691288,0.02947754,0.2753474,-0.2980695,0.6707959,-0.6207827
8,0.5,0.2893295,0.9719052,0.03000943,0.2805962,-0.2997836,0.669436,-0.6190727
8,0.5111111,0.2884981,0.9747258,0.03076847,0.2851996,-0.3019042,0.6679035,-0.617592
8,0.5222223,0.2878356,0.9776342,0.03155025,0.2881732,-0.3043556,0.6669406,-0.6160471
8,0.5333334,0.2871555,0.9805993,0.03259871,0.2900459,-0.3060962,0.6679722,-0.6131816
8,0.5444446,0.2863069,0.9838423,0.03346528,0.2912128,-0.308177,0.6704862,-0.6088269
8,0.5555557,0.2854776,0.9869922,0.03488493,0.2910349,-0.3104688,0.6745563,-0.603226
8,0.5666668,0.2850031,0.9905162,0.03614227,0.2891259,-0.3145593,0.67739,-0.5988334
8,0.577778,0.2841312,0.9937698,0.03755153,0.2885434,-0.3190328,0.6790735,-0.5948277
8,0.5888891,0.283838,0.9970276,0.03891566,0.286275,-0.3242739,0.6798347,-0.5922143
8,0.6000003,0.2839415,0.9994699,0.04011174,0.28467,-0.3264393,0.6802966,-0.5912672
8,0.6111114,0.2840784,1.001457,0.04091798,0.2834437,-0.3263289,0.681539,-0.590486
8,0.6222225,0.2844164,1.00243,0.04198355,0.2832863,-0.3228441,0.6814289,-0.5926004
8,0.6333337,0.2844679,1.004085,0.04353108,0.2828202,-0.3215511,0.6812763,-0.5937006
8,0.6444448,0.2852976,1.004886,0.04493052,0.2836397,-0.3169377,0.6800135,-0.5972275
8,0.655556,0.2856103,1.006204,0.04651155,0.2850544,-0.3160087,0.6779938,-0.5993387
8,0.6666671,0.2857789,1.007402,0.04812016,0.2871848,-0.3160416,0.6736199,-0.6032237
8,0.6777782,0.2859037,1.008475,0.04924007,0.288341,-0.3148795,0.6712977,-0.6058629
8,0.6888894,0.2862981,1.009633,0.05015022,0.2885891,-0.3137355,0.6687331,-0.6091654
8,0.7000005,0.2868116,1.010848,0.05139951,0.2887064,-0.3136508,0.6647794,-0.6134657
8,0.7111117,0.2872791,1.011763,0.05252052,0.2888224,-0.3133036,0.6609382,-0.6177242
8,0.7222228,0.2879761,1.012904,0.053625,0.2883175,-0.3129848,0.657361,-0.6219243
8,0.7333339,0.2885744,1.014177,0.05452596,0.2880712,-0.3130938,0.6538324,-0.625692
8,0.7444451,0.28906,1.015376,0.05576877,0.2882423,-0.3141503,0.649639,-0.6294402
8,0.7555562,0.2896228,1.016599,0.05673514,0.2892525,-0.3145413,0.6459579,-0.6325624
8,0.7666674,0.2934324,1.02071,0.05364199,-0.2896777,0.3146814,-0.6432468,0.6350559
8,0.7777785,0.2939986,1.022213,0.05458828,-0.2907514,0.3145725,-0.6412688,0.6366177
8,0.7888896,0.294518,1.02403,0.05521565,-0.2914571,0.3136643,-0.6411056,0.6369073
8,0.8000008,0.2948747,1.025621,0.05590187,-0.2926567,0.3120715,-0.6419377,0.6363014
8,0.8111119,0.2951978,1.027288,0.05653165,-0.2943035,0.311747,-0.6403277,0.6373222
