Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
19,0,0.5156593,1.307277,0.01136264,0.3374854,-0.4949925,0.1167713,-0.7921178
19,0,0.5156593,1.307277,0.01136264,0.3374854,-0.4949925,0.1167713,-0.7921178
19,0.01111111,0.5150795,1.307284,0.01071884,0.3377131,-0.4944334,0.1135809,-0.7928334
19,0.02222222,0.5143874,1.307884,0.01078419,0.3375117,-0.4946213,0.1098249,-0.793331
19,0.03333334,0.5142994,1.309346,0.00996758,0.3357894,-0.4933708,0.1099443,-0.7948226
19,0.04444445,0.5136404,1.310337,0.009278588,0.3349887,-0.4928094,0.1083834,-0.7957225
19,0.05555556,0.5126947,1.311147,0.008969784,0.3351021,-0.4931336,0.1050057,-0.795927
19,0.06666667,0.5117291,1.312373,0.008387446,0.3349163,-0.4934362,0.1032409,-0.7960485
19,0.07777778,0.5108908,1.313904,0.00754597,0.3348109,-0.4927386,0.1028415,-0.7965764
19,0.08888889,0.5097321,1.315291,0.006786101,0.3354744,-0.4918731,0.1021333,-0.796923
19,0.1,0.5085816,1.316932,0.006059662,0.336962,-0.490809,0.1010126,-0.7970945
19,0.1111111,0.5072623,1.318434,0.0052488,0.3389315,-0.4900946,0.0985772,-0.7970039
19,0.1222222,0.5059049,1.320233,0.004460387,0.3407457,-0.4892877,0.09602523,-0.7970377
19,0.1333333,0.5043701,1.322319,0.00345201,0.3426784,-0.4882219,0.09317181,-0.7972012
19,0.1444445,0.5027227,1.324849,0.00217104,0.3448746,-0.4870994,0.09031986,-0.7972691
19,0.1555556,0.5010479,1.327367,0.001052484,0.3471932,-0.4857931,0.08760919,-0.7973622
19,0.1666667,0.4986631,1.330637,-0.0003372282,0.3500372,-0.4841582,0.08501478,-0.7973942
19,0.1777778,0.496001,1.333954,-0.001816332,0.3530291,-0.482424,0.08256735,-0.7973833
19,0.1888889,0.4929454,1.338062,-0.003668085,0.3563141,-0.4805047,0.08048068,-0.7972944
19,0.2,0.4898444,1.342076,-0.005458243,0.3601365,-0.478454,0.07829566,-0.7970277
19,0.2111111,0.486122,1.346782,-0.007799789,0.3663141,-0.4749396,0.07598044,-0.7965384
19,0.2222222,0.4827871,1.351125,-0.01009241,0.3719722,-0.4716094,0.07322554,-0.7961528
19,0.2333333,0.4787378,1.355754,-0.01250702,0.3790828,-0.4676822,0.06925482,-0.7954705
19,0.2444444,0.4746085,1.360562,-0.0152674,0.3866662,-0.4636346,0.06442389,-0.7945954
