Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
2,0,0.340717,0.6891961,0.8016906,-0.3042344,0.2514637,0.5931019,-0.701739
2,0.01111111,0.3415151,0.6877391,0.8012297,-0.2985031,0.2580045,0.5932208,-0.7017254
2,0.02222222,0.3409765,0.6872751,0.8008228,-0.2913731,0.2601217,0.5915105,-0.7053748
2,0.03333334,0.3414252,0.6870662,0.8006393,-0.2891275,0.2623599,0.5945145,-0.7029402
2,0.04444445,0.3420869,0.6859732,0.8003583,-0.2866319,0.2651469,0.5975317,-0.7003536
2,0.05555556,0.3424156,0.6848542,0.8002025,-0.2828332,0.2678633,0.6006491,-0.6981943
2,0.06666667,0.3431807,0.684199,0.8000423,-0.2808097,0.2701989,0.6041194,-0.6951102
2,0.07777778,0.3435284,0.6834141,0.7999287,-0.278719,0.2720824,0.6062973,-0.6933185
2,0.08888889,0.3447716,0.6825482,0.7997465,-0.2775428,0.2740003,0.6088163,-0.6908232
2,0.1,0.3454708,0.6821993,0.7997187,-0.2779097,0.2749487,0.6118843,-0.6875806
2,0.1111111,0.3458917,0.6815768,0.7999817,-0.278787,0.2752554,0.6146885,-0.6845949
2,0.1222222,0.346279,0.6813203,0.8002194,-0.2796791,0.2747523,0.6167942,-0.6825362
2,0.1333333,0.3464637,0.681046,0.8002759,-0.2805148,0.2733094,0.6186422,-0.6810986
2,0.1444445,0.3468196,0.6810713,0.8002015,-0.2806804,0.272035,0.6202169,-0.6801077
2,0.1555556,0.3468682,0.680976,0.8001409,-0.2807381,0.2700576,0.6213061,-0.6798777
2,0.1666667,0.3469697,0.6810321,0.8000964,-0.2810688,0.2685379,0.6223693,-0.6793704
2,0.1777778,0.3470956,0.6809288,0.8001531,-0.2814534,0.2672579,0.6235119,-0.6786678
2,0.1888889,0.3472384,0.6810458,0.8000864,-0.2818214,0.2664553,0.624121,-0.6782707
2,0.2,0.3469805,0.681233,0.8002472,-0.2820348,0.2660765,0.6245866,-0.6779019
2,0.2111111,0.3470311,0.6811595,0.8003084,-0.2823513,0.2659186,0.6251239,-0.6773368
2,0.2222222,0.347066,0.6810964,0.8003809,-0.2826465,0.2664196,0.6254076,-0.6767546
2,0.2333333,0.3469829,0.6811585,0.8002893,-0.2825409,0.2668379,0.6248989,-0.6771038
2,0.2444444,0.3469027,0.6813142,0.800197,-0.2823692,0.2665059,0.624522,-0.6776537
2,0.2555556,0.3467373,0.6815461,0.8000065,-0.2817058,0.2660039,0.6233411,-0.6792125
2,0.2666667,0.3464463,0.6817589,0.799953,-0.2815814,0.2657577,0.6223343,-0.6802829
2,0.2777778,0.3463853,0.6818205,0.7999806,-0.2820461,0.2661208,0.6218345,-0.6804054
2,0.2888889,0.3463271,0.6818879,0.8000154,-0.2826025,0.2663937,0.6214204,-0.6804461
2,0.3,0.3462774,0.681976,0.8000471,-0.2832334,0.2666962,0.6208703,-0.6805676
2,0.3111111,0.3461756,0.6821336,0.8000234,-0.2836025,0.2666629,0.6200613,-0.6811641
2,0.3222222,0.3461232,0.6823341,0.8001042,-0.2839613,0.2663613,0.6192816,-0.6818416
2,0.3333333,0.3460381,0.6824805,0.8001133,-0.2844579,0.2662305,0.6186341,-0.6822732
2,0.3444445,0.3459379,0.6824673,0.800337,-0.285193,0.2660902,0.6181098,-0.6824963
2,0.3555556,0.3458903,0.6825506,0.8005077,-0.2862446,0.26611,0.6177109,-0.6824094
2,0.3666667,0.3458395,0.6826584,0.8007337,-0.2875682,0.2660796,0.617214,-0.6823145
2,0.3777778,0.3457519,0.6828527,0.8009169,-0.2888321,0.2657699,0.616528,-0.6825215
2,0.3888889,0.3455664,0.6831369,0.8010458,-0.2900789,0.2649299,0.6154813,-0.6832637
2,0.4,0.3453547,0.6835725,0.8011877,-0.2912162,0.2633931,0.6142905,-0.6844446
2,0.4111111,0.3450615,0.6837656,0.8014007,-0.2927546,0.2619179,0.6131901,-0.6853406
2,0.4222222,0.3448684,0.6840973,0.8015591,-0.2943813,0.2603237,0.6124683,-0.6858964
2,0.4333333,0.3447598,0.6843333,0.801666,-0.2959074,0.259032,0.6117896,-0.6863341
2,0.4444444,0.3444685,0.6846163,0.8018355,-0.297365,0.2577896,0.6111358,-0.6867545
2,0.4555556,0.3443058,0.6848826,0.8019085,-0.2987202,0.2564241,0.6107126,-0.6870538
2,0.4666667,0.3442836,0.6849684,0.8017945,-0.2987284,0.2555619,0.6102859,-0.6877505
