Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
7,0,0.3561932,0.6778109,0.7818721,-0.2453318,0.2036263,0.57433,-0.7539852
7,0,0.3561932,0.6778109,0.7818721,-0.2453318,0.2036263,0.57433,-0.7539852
7,0.01111111,0.3559712,0.6775056,0.7826666,-0.2463863,0.2061302,0.5752271,-0.7522752
7,0.02222222,0.3559712,0.6775056,0.7826666,-0.2463863,0.2061302,0.5752271,-0.7522752
7,0.03333334,0.3556244,0.6770632,0.7825136,-0.2447603,0.2062655,0.5725955,-0.7547724
7,0.04444445,0.3556767,0.6775005,0.7826835,-0.2454079,0.2062925,0.5725722,-0.7545723
7,0.05555556,0.3556297,0.6773005,0.7824988,-0.2459212,0.2064678,0.5727189,-0.7542459
7,0.06666667,0.355853,0.6771891,0.7824434,-0.2460724,0.2063812,0.5725176,-0.7543732
7,0.07777778,0.3557833,0.6772504,0.7824287,-0.2468735,0.2063793,0.5728264,-0.7538772
7,0.08888889,0.355808,0.6772051,0.7825632,-0.2475493,0.206547,0.5731732,-0.7533461
7,0.1,0.3558235,0.6774301,0.7825358,-0.2482176,0.206899,0.5734193,-0.752842
7,0.1111111,0.3557988,0.6774278,0.782674,-0.2488361,0.2074414,0.573205,-0.7526518
7,0.1222222,0.3557402,0.6775394,0.782631,-0.2493988,0.2079352,0.5729126,-0.7525518
7,0.1333333,0.3558184,0.6775577,0.7826815,-0.2502981,0.2083161,0.5727902,-0.7522411
7,0.1444445,0.3558625,0.6775646,0.7828175,-0.2515307,0.2087692,0.5725887,-0.7518576
7,0.1555556,0.3558741,0.6776832,0.7830065,-0.2530791,0.2092586,0.572314,-0.7514111
7,0.1666667,0.3558443,0.6777242,0.7832444,-0.2546246,0.2097181,0.5721023,-0.7509218
7,0.1777778,0.3559448,0.6778482,0.783495,-0.2564033,0.2103752,0.5720017,-0.7502092
7,0.1888889,0.356156,0.6779168,0.7836735,-0.2577305,0.2109531,0.5715353,-0.7499474
7,0.2,0.3561748,0.6779517,0.7838342,-0.2588443,0.2115778,0.5711727,-0.7496641
7,0.2111111,0.3562834,0.6779055,0.7839977,-0.2598383,0.212033,0.5708076,-0.7494697
7,0.2222222,0.3562626,0.6779232,0.784124,-0.260534,0.2123367,0.5705046,-0.7493727
7,0.2333333,0.3563694,0.6779135,0.7841662,-0.2614298,0.212693,0.5703917,-0.7490457
7,0.2444444,0.3564308,0.6779118,0.7842312,-0.2622046,0.2130689,0.5702206,-0.7487982
7,0.2555556,0.3564482,0.6779655,0.784397,-0.2629193,0.2132551,0.5699878,-0.7486719
7,0.2666667,0.356575,0.6778682,0.7844529,-0.2635633,0.2135659,0.5697978,-0.7485016
7,0.2777778,0.3565852,0.6778238,0.7845295,-0.26394,0.213883,0.5697985,-0.7482776
7,0.2888889,0.3565972,0.677814,0.7845507,-0.2640829,0.2140018,0.569768,-0.7482165
7,0.3,0.3565688,0.6778302,0.7845407,-0.2642302,0.2140902,0.5696927,-0.7481965
7,0.3111111,0.356372,0.6779031,0.7846478,-0.2643322,0.2140653,0.5695567,-0.7482712
7,0.3222222,0.3563806,0.677956,0.784613,-0.2644825,0.2141735,0.5695729,-0.7481748
7,0.3333333,0.3564777,0.6778901,0.7846327,-0.2646838,0.2143285,0.5696415,-0.7480068
7,0.3444445,0.3565713,0.6778755,0.7845404,-0.2646992,0.2144827,0.5697034,-0.7479102
7,0.3555556,0.3565593,0.6778648,0.7845498,-0.2648163,0.2144539,0.5696999,-0.7478796
7,0.3666667,0.3566364,0.6777923,0.7845657,-0.2649543,0.2145486,0.5696793,-0.7478192
7,0.3777778,0.3566138,0.6778296,0.7845644,-0.2651605,0.2146163,0.5695771,-0.7478045
7,0.3888889,0.3565591,0.6779231,0.7845592,-0.2653697,0.2145564,0.5694253,-0.7478631
7,0.4,0.3565793,0.6779465,0.7846211,-0.2655812,0.2146281,0.5693281,-0.7478416
7,0.4111111,0.3565735,0.6779653,0.7846342,-0.2657022,0.2146379,0.5692573,-0.7478496
7,0.4222222,0.3565831,0.6780095,0.784618,-0.2657903,0.2147495,0.5692842,-0.7477658
7,0.4333333,0.3564896,0.6780857,0.7847096,-0.2659514,0.2148854,0.5692692,-0.7476808
7,0.4444444,0.356491,0.6781203,0.7847071,-0.2660181,0.2149102,0.5692015,-0.7477015
7,0.4555556,0.3564631,0.6781434,0.7847091,-0.2658131,0.2148879,0.5691208,-0.7478423
7,0.4666667,0.3562506,0.6782644,0.7847539,-0.2657687,0.2148151,0.5691656,-0.7478449
7,0.4777778,0.356196,0.6782864,0.7847272,-0.2658796,0.2146975,0.5692939,-0.7477416
7,0.4888889,0.3562506,0.6781405,0.784673,-0.2658052,0.2145198,0.5693671,-0.7477633
7,0.5,0.3562216,0.678165,0.7846687,-0.2658075,0.2143864,0.5693479,-0.7478153
7,0.5111111,0.3563364,0.6780634,0.7846043,-0.2657225,0.2142706,0.5694509,-0.7478004
7,0.5222223,0.3563609,0.6780322,0.7845643,-0.2656922,0.2141741,0.5694449,-0.7478433
7,0.5333334,0.356369,0.6780103,0.7846093,-0.2656308,0.2142421,0.5694076,-0.7478741
7,0.5444446,0.3563155,0.678044,0.7846215,-0.2656293,0.2143578,0.5693551,-0.7478814
7,0.5555557,0.3563091,0.6780361,0.7846531,-0.2656179,0.2144406,0.5693119,-0.7478946
7,0.5666668,0.3563078,0.6780055,0.7846711,-0.2657412,0.2145572,0.5692586,-0.7478579
